,v,vw,o,c,h,l,t,n
0,635466.0,154.1749,152.56,154.76,154.95,152.03,1600315200000,12176
1,770609.0,154.1526,154.38,153.88,155.97,152.54,1600401600000,12363
2,858716.0,148.8038,151.01,148.43,151.75,147.61,1600660800000,11545
3,1253092.0,148.8657,148.99,150.11,152.46,146.42,1600747200000,17598
4,625936.0,148.0925,150.57,146.45,150.9415,146.3,1600833600000,10162
5,1124021.0,146.2781,144.52,146.71,148.84,142.46,1600920000000,15281
6,783129.0,149.2169,146.33,149.41,150.4,146.26,1601006400000,11148
7,731097.0,152.9319,150.88,153.39,154.165,150.01,1601265600000,11323
8,613352.0,152.2429,153.89,151.71,153.89,151.66,1601352000000,10939
9,550681.0,153.4276,151.48,153.5,154.865,151.445,1601438400000,10240
10,660826.0,154.8004,153.56,154.85,156.26,153.195,1601524800000,10807
11,491356.0,154.6909,152.24,155.5,156.35,151.66,1601611200000,11172
12,560540.0,156.042,155.74,155.86,158.16,154.92,1601870400000,10765
13,845200.0,157.0018,160.26,155.16,160.775,155.06,1601956800000,15290
14,1069710.0,156.8504,155.62,156.81,158.5004,155.2828,1602043200000,17163
15,407253.0,156.8408,157.8,157.66,158.5,155.115,1602129600000,8128
16,843253.0,155.8085,158.58,155.32,158.58,155.07,1602216000000,11591
17,726801.0,155.4216,155.51,156.25,156.39,153.63,1602475200000,13430
18,758108.0,157.4524,155.61,157.38,158.08,155.215,1602561600000,12629
19,585716.0,157.0275,158.16,156.58,159.18,154.79,1602648000000,13367
20,701469.0,156.9768,154.98,157.52,157.91,154.08,1602734400000,12335
21,498674.0,155.7105,157.52,154.99,157.61,154.83,1602820800000,10522
22,607675.0,154.8575,156.11,153.25,157.355,152.77,1603080000000,11649
23,620195.0,153.8461,154.68,153.02,154.98,152.69,1603166400000,11949
24,893515.0,155.186,155.99,154.38,157.7,153.875,1603252800000,15894
25,625825.0,152.9999,153.84,152.93,154.075,150.82,1603339200000,11468
26,546029.0,154.4342,153.42,154.72,155.165,151.78,1603425600000,7255
27,622478.0,150.9387,152.71,151.21,152.96,149.35,1603684800000,10201
28,780788.0,150.7542,150.47,150.41,151.91,150.0,1603771200000,10929
29,692364.0,147.2934,147.42,146.38,150.07,146.15,1603857600000,12940
30,723944.0,145.9539,145.73,146.0,147.52,144.23,1603944000000,14006
31,825624.0,146.6478,144.87,147.28,147.405,144.6,1604030400000,18178
32,1016602.0,151.0502,149.49,151.38,152.47,148.76,1604293200000,19109
33,852617.0,156.3359,153.48,157.43,158.12,152.68,1604379600000,19858
34,797155.0,156.7253,158.37,155.53,159.55,154.86,1604466000000,16193
35,548125.0,156.6269,157.78,156.43,158.84,155.28,1604552400000,11883
36,729340.0,156.032,156.05,156.38,157.54,154.315,1604638800000,12426
37,1894228.0,158.6425,161.59,156.63,164.08,156.33,1604898000000,24043
38,1724145.0,155.6219,153.25,155.42,158.86,150.7,1604984400000,19016
39,1139713.0,156.0978,156.78,156.52,158.8,153.21,1605070800000,19256
40,1095370.0,153.1232,156.72,153.06,156.72,151.5,1605157200000,19237
41,1079993.0,153.4969,152.99,154.0,154.84,152.13,1605243600000,16823
42,1311965.0,151.5674,155.5,151.06,156.06,150.32,1605502800000,19257
43,1076179.0,149.2848,149.92,149.3,150.7,147.65,1605589200000,21888
44,886702.0,149.8403,148.93,148.1,151.83,147.98,1605675600000,18789
45,1711861.0,145.4633,147.54,146.08,147.54,144.0718,1605762000000,22820
46,1347759.0,144.7423,145.91,144.33,147.09,143.8801,1605848400000,19438
47,1098717.0,145.0627,142.99,145.56,146.86,142.59,1606107600000,18251
48,1116244.0,149.2577,147.13,149.83,150.44,146.19,1606194000000,20282
49,800660.0,149.4454,150.44,149.4,150.61,147.3,1606280400000,14637
50,460504.0,149.3795,150.24,149.93,150.6515,148.31,1606453200000,9482
51,1535565.0,148.4261,149.33,147.7,150.305,147.37,1606712400000,21521
52,1264749.0,151.7435,149.07,152.61,153.18,147.57,1606798800000,19806
53,1285040.0,148.4862,151.18,148.45,151.445,147.5,1606885200000,16530
54,649970.0,150.1592,148.64,150.14,151.06,148.305,1606971600000,13694
55,610637.0,151.5838,149.96,152.47,152.82,149.96,1607058000000,13884
56,991306.0,152.9779,151.61,153.68,153.72,151.0,1607317200000,16615
57,1142947.0,151.4768,152.69,152.78,153.06,148.96,1607403600000,20164
58,1282623.0,156.8117,152.99,157.95,158.42,152.51,1607490000000,22257
59,851097.0,157.2501,156.25,158.22,158.62,154.56,1607576400000,13612
60,914125.0,158.2401,158.02,157.66,160.9,156.43,1607662800000,16968
61,965193.0,158.2454,158.61,157.56,161.33,157.3,1607922000000,14081
62,1054820.0,158.5897,157.9,159.84,159.94,156.11,1608008400000,17327
63,1247548.0,160.5219,159.95,161.32,161.931,158.31,1608094800000,17117
64,1355746.0,160.8731,162.05,160.34,163.7,160.0,1608181200000,17669
65,1539227.0,159.8736,159.97,159.99,161.045,158.76,1608267600000,15411
66,1078826.0,159.9495,158.44,160.49,160.58,156.69,1608526800000,14643
67,784348.0,159.9017,160.42,159.4,161.18,158.68,1608613200000,11919
68,611602.0,159.435,158.68,159.29,160.4599,158.41,1608699600000,12256
69,311994.0,160.085,159.86,160.68,160.98,158.93,1608786000000,5460
70,871188.0,159.7912,161.31,158.8,162.64,158.27,1609131600000,16214
71,708708.0,157.0079,159.13,156.69,159.42,156.185,1609218000000,13141
72,603294.0,158.0461,156.64,157.66,159.7,156.64,1609304400000,12076
73,624993.0,156.8944,157.07,157.51,157.67,155.52,1609390800000,11249
74,852874.0,157.761,157.9,157.34,159.57,155.96,1609736400000,14703
75,623656.0,156.7617,156.23,157.17,158.14,155.34,1609822800000,11618
76,1587102.0,164.618,157.21,166.25,166.79,157.21,1609909200000,24993
77,997833.0,167.6881,165.96,167.67,168.8,164.6,1609995600000,17935
78,868095.0,169.7905,168.31,170.06,171.07,168.095,1610082000000,14762
79,1190531.0,171.4849,167.95,171.02,173.85,167.35,1610341200000,19346
80,1104734.0,176.0717,170.84,176.67,177.92,170.695,1610427600000,16890
81,885426.0,172.5356,176.02,171.76,176.11,171.25,1610514000000,12096
82,885563.0,169.1486,172.91,168.83,172.91,167.75,1610600400000,14328
83,933477.0,165.8,167.4,165.25,168.0,164.94,1610686800000,14108
84,960352.0,165.8814,165.11,165.93,167.12,163.19,1611032400000,13479
85,504126.0,165.3757,166.04,165.18,166.48,164.21,1611118800000,10538
86,475184.0,166.6327,165.02,166.68,167.78,165.02,1611205200000,7558
87,667146.0,164.1208,165.59,163.76,166.45,163.15,1611291600000,11711
88,1853028.0,159.7704,163.68,159.66,164.6736,156.385,1611550800000,23361
89,831335.0,157.7546,160.01,157.63,160.11,156.56,1611637200000,13095
90,3392905.0,147.7223,152.65,147.93,154.45,143.15,1611723600000,46926
91,1644914.0,152.5708,149.62,153.34,154.67,148.5,1611810000000,24742
