,v,vw,o,c,h,l,t,n
0,4149604.0,235.8239,234.62,236.18,238.4,233.43,1600401600000,34323
1,2338460.0,232.6883,232.84,233.91,233.98,230.03,1600660800000,33023
2,1823140.0,234.8074,234.14,236.92,237.07,231.79,1600747200000,29131
3,2717186.0,233.0967,238.53,230.65,239.35,230.37,1600833600000,38664
4,4922055.0,216.0791,218.87,214.42,220.45,213.15,1600920000000,63441
5,3745077.0,213.2005,213.03,214.63,215.065,210.42,1601006400000,46928
6,2679804.0,222.0015,219.09,222.78,223.89,218.3005,1601265600000,34539
7,2627267.0,224.0667,223.37,224.08,225.17,222.31,1601352000000,32160
8,2290020.0,226.4158,225.27,225.99,228.295,224.62,1601438400000,31880
9,1970147.0,225.6692,227.36,225.18,229.24,224.03,1601524800000,30834
10,1972450.0,222.9694,222.05,222.4,224.92,221.35,1601611200000,25043
11,1472955.0,223.4407,224.37,223.49,224.94,222.04,1601870400000,23399
12,2316167.0,221.9179,223.59,220.35,225.27,220.09,1601956800000,32421
13,2043769.0,222.4958,221.9,223.45,224.63,220.05,1602043200000,28438
14,1425484.0,225.5504,226.04,225.61,226.79,223.97,1602129600000,21591
15,1338380.0,228.0707,225.86,228.69,229.09,225.8,1602216000000,23105
16,1568717.0,230.2793,229.69,230.59,231.765,227.58,1602475200000,23809
17,1678202.0,229.9152,230.72,229.38,231.9,228.81,1602561600000,23977
18,1486326.0,230.2281,228.88,229.43,231.9,228.32,1602648000000,22880
19,1304904.0,227.9806,225.59,228.77,230.68,225.26,1602734400000,20923
20,1971306.0,230.23,229.03,230.05,231.94,228.68,1602820800000,24959
21,1957202.0,228.8456,230.23,226.24,233.25,225.72,1603080000000,29133
22,1817724.0,229.7388,226.7,230.39,232.285,226.45,1603166400000,29233
23,1742404.0,232.7056,229.9,233.1,234.38,229.055,1603252800000,26559
24,1701152.0,229.5126,233.1,228.14,234.705,227.85,1603339200000,25679
25,1231982.0,228.3896,227.7,229.7,229.8,226.93,1603425600000,18543
26,2197043.0,220.2933,225.36,219.23,227.99,218.35,1603684800000,35409
27,1595199.0,221.3111,220.63,220.66,223.0,220.21,1603771200000,24169
28,2442781.0,214.6383,216.81,213.94,217.93,212.92,1603857600000,37043
29,1528260.0,216.2207,215.51,216.44,218.53,212.45,1603944000000,29476
30,2000725.0,215.9359,215.28,216.91,217.81,213.64,1604030400000,30593
31,2125398.0,220.3598,219.17,220.19,223.16,218.32,1604293200000,32843
32,1570180.0,225.4133,222.0,225.71,227.77,221.43,1604379600000,24356
33,1763952.0,228.0696,225.0,227.92,230.9,224.4,1604466000000,27464
34,1994480.0,234.4709,233.37,233.99,236.12,232.415,1604552400000,27074
35,1459683.0,235.5346,235.01,236.29,237.0,231.07,1604638800000,21438
36,3138340.0,243.3543,239.89,240.22,248.0,239.665,1604898000000,44444
37,2857296.0,237.8247,238.61,238.71,239.605,235.58,1604984400000,37395
38,1787753.0,242.5685,240.96,242.75,244.08,240.13,1605070800000,28523
39,1726995.0,239.3233,242.0,238.15,243.09,236.89,1605157200000,28105
40,1485182.0,240.6962,239.99,241.78,242.42,238.09,1605243600000,22556
41,1676892.0,244.7947,243.88,244.95,246.69,242.64,1605502800000,24567
42,1342081.0,243.633,243.37,243.82,245.49,241.28,1605589200000,21114
43,1647492.0,241.107,243.36,239.73,243.82,239.55,1605675600000,24708
44,1653351.0,242.1926,241.51,243.2,243.465,238.69,1605762000000,24624
45,1852017.0,244.1343,243.95,243.44,246.0,242.256,1605848400000,23015
46,1312180.0,245.2529,244.71,246.2,246.67,242.57,1606107600000,23744
47,1938027.0,248.8657,247.41,250.0,250.09,245.895,1606194000000,26290
48,1473025.0,249.5483,250.0,249.33,250.405,248.32,1606280400000,24634
49,888139.0,250.1454,250.08,250.12,250.91,248.51,1606453200000,13936
50,2480523.0,248.5975,249.06,249.09,250.44,246.29,1606712400000,27717
51,2123326.0,252.2456,251.51,252.27,253.93,250.22,1606798800000,34070
52,1709531.0,249.442,250.71,249.66,251.82,248.13,1606885200000,23676
53,1589938.0,250.4015,250.0,249.93,251.71,248.86,1606971600000,22841
54,1880588.0,252.6159,250.22,253.44,253.46,250.05,1607058000000,26151
55,2009750.0,249.5359,249.85,249.3,251.0,248.36,1607317200000,23047
56,1865136.0,249.3812,249.0,249.86,250.555,247.2,1607403600000,23856
57,2228517.0,247.1795,250.12,246.77,250.52,245.56,1607490000000,33091
58,1898674.0,246.4002,245.87,246.16,247.82,244.62,1607576400000,28536
59,1872427.0,245.6951,245.89,245.83,246.92,244.55,1607662800000,27208
60,2440481.0,245.3013,247.1,243.75,249.39,243.55,1607922000000,30532
61,2456966.0,246.8604,248.91,247.05,248.91,245.0622,1608008400000,32367
62,2277535.0,247.29,247.02,247.45,248.285,246.22,1608094800000,32012
63,4966886.0,266.5007,263.78,264.47,271.1752,263.3,1608181200000,63970
64,6400584.0,264.5802,263.89,266.25,266.96,258.62,1608267600000,46621
65,2779861.0,260.981,261.12,261.42,263.33,257.74,1608526800000,36154
