,v,vw,o,c,h,l,t,n
0,3583266.0,79.1325,79.89,78.78,79.95,78.51,1600401600000,21853
1,3151005.0,78.8774,78.34,79.36,79.54,77.79,1600660800000,30018
2,1812128.0,79.8484,78.97,79.85,80.65,78.84,1600747200000,23286
3,3427262.0,79.5033,79.84,79.18,80.17,78.94,1600833600000,30467
4,3570288.0,79.9074,79.13,80.49,80.5684,78.58,1600920000000,34387
5,3279546.0,80.5327,80.31,80.65,80.89,79.81,1601006400000,32254
6,1733362.0,80.9406,81.06,80.65,81.53,80.46,1601265600000,20204
7,1712371.0,81.0327,81.01,80.97,81.555,80.48,1601352000000,18486
8,2617835.0,81.6987,81.54,81.73,82.095,81.24,1601438400000,23907
9,2365643.0,82.5915,81.69,83.06,83.09,81.3,1601524800000,23120
10,3919298.0,84.4024,82.73,85.3,85.61,82.22,1601611200000,31322
11,3397338.0,86.5311,85.25,87.05,87.33,84.25,1601870400000,28875
12,4369675.0,88.4515,86.62,88.43,89.68,86.36,1601956800000,39386
13,2257026.0,88.8214,88.8,88.61,89.65,88.09,1602043200000,22994
14,1626432.0,89.2543,88.93,89.38,89.82,88.371,1602129600000,21473
15,2734661.0,89.438,89.95,89.82,89.95,88.56,1602216000000,30479
16,2301769.0,90.3333,89.7,90.48,91.255,88.91,1602475200000,27707
17,3103116.0,89.2869,89.89,89.23,89.96,88.44,1602561600000,31840
18,2266763.0,89.2642,89.53,89.34,90.05,88.59,1602648000000,29280
19,1675210.0,89.5701,88.56,89.54,90.62,88.56,1602734400000,21684
20,1966605.0,91.0917,89.76,91.52,91.69,89.36,1602820800000,23293
21,2229692.0,91.4436,91.43,91.28,91.87,90.94,1603080000000,23156
22,3647026.0,90.8615,91.9,90.68,91.9,90.02,1603166400000,29660
23,2604482.0,90.5938,90.41,90.4,91.37,90.08,1603252800000,33609
24,3507924.0,91.975,90.17,92.2,92.7,89.79,1603339200000,30277
25,3525727.0,91.8995,92.15,91.88,92.31,91.52,1603425600000,31342
26,3753494.0,93.2099,91.46,93.59,94.21,91.46,1603684800000,43396
27,2485842.0,92.851,93.08,92.53,93.8,91.96,1603771200000,28721
28,2916323.0,91.3161,92.07,90.32,93.44,90.18,1603857600000,31216
29,2215683.0,90.3423,90.06,90.54,91.48,88.84,1603944000000,31627
30,2415003.0,89.9068,90.6,89.93,91.14,88.75,1604030400000,29927
31,3171586.0,90.8296,90.83,91.23,91.24,89.77,1604293200000,33041
32,2886665.0,91.0886,92.09,90.89,92.09,90.45,1604379600000,36577
33,2401720.0,90.806,90.65,90.15,92.13,89.99,1604466000000,31564
34,3012422.0,91.4235,91.08,90.71,92.83,90.58,1604552400000,35004
35,2145669.0,91.1296,91.11,90.92,91.91,90.47,1604638800000,23770
36,3674458.0,91.6753,92.0,90.26,94.21,90.03,1604898000000,44322
37,2587122.0,90.7781,90.04,90.79,91.74,89.385,1604984400000,28201
38,2094197.0,91.4699,91.28,91.15,92.7853,90.73,1605070800000,25318
39,1687542.0,89.7225,90.39,89.635,90.88,88.84,1605157200000,25526
40,1936344.0,89.8338,90.02,89.87,90.47,89.2,1605243600000,25510
41,4201080.0,88.7348,89.27,89.21,89.81,88.005,1605502800000,47626
42,3052660.0,87.5849,88.9,86.73,89.18,86.49,1605589200000,38322
43,2861594.0,85.2233,87.27,84.13,87.28,84.05,1605675600000,35315
44,4399203.0,82.5691,83.33,82.45,83.69,81.98,1605762000000,53643
45,5841366.0,82.0694,81.79,82.49,82.79,80.81,1605848400000,54493
