,v,vw,o,c,h,l,t,n
0,1523677.0,157.7431,156.7,157.71,159.58,155.61,1600401600000,13914
1,920187.0,150.1698,153.62,150.39,155.14,147.68,1600660800000,16746
2,637037.0,148.6709,150.11,148.69,152.37,147.16,1600747200000,12242
3,467053.0,147.5998,149.34,145.35,151.24,145.185,1600833600000,9398
4,529820.0,144.6536,145.46,144.61,147.06,141.82,1600920000000,11336
5,510016.0,145.929,142.77,146.74,148.06,142.64,1601006400000,10793
6,720566.0,151.24,149.72,151.48,152.8,147.9,1601265600000,13662
7,528382.0,150.1278,150.25,150.38,151.535,147.0,1601352000000,11262
8,966331.0,154.3943,151.63,154.11,156.38,150.84,1601438400000,18922
9,603429.0,154.819,155.19,155.31,156.91,153.17,1601524800000,13556
10,588376.0,158.3415,152.15,158.85,160.69,152.02,1601611200000,12871
11,673185.0,162.5192,161.04,162.66,163.42,160.87,1601870400000,13427
12,663916.0,162.0113,164.52,159.8,165.56,159.435,1601956800000,13149
13,699812.0,164.4036,162.62,164.89,165.67,161.81,1602043200000,13560
14,471753.0,168.4778,166.58,169.31,169.5,165.4048,1602129600000,10118
15,540998.0,170.4154,170.0,170.34,171.67,169.13,1602216000000,11592
16,573120.0,171.9814,169.75,172.04,172.93,169.75,1602475200000,10568
17,757957.0,167.7433,170.75,166.73,171.95,165.955,1602561600000,15088
18,485257.0,167.6126,167.56,167.07,169.15,166.62,1602648000000,10676
19,483990.0,170.0423,164.55,170.98,171.68,164.11,1602734400000,11986
20,683380.0,170.5299,171.48,169.95,171.78,168.565,1602820800000,12486
21,566153.0,170.4477,171.4,169.04,173.11,168.66,1603080000000,10281
22,717573.0,169.182,169.29,167.99,171.1,167.53,1603166400000,14630
23,486637.0,167.6787,168.16,166.75,170.24,166.69,1603252800000,8762
24,444004.0,169.1916,167.16,170.32,170.79,166.21,1603339200000,10882
25,499645.0,170.7427,171.73,170.39,172.4,169.81,1603425600000,12221
26,505662.0,165.5456,167.76,165.61,168.24,163.44,1603684800000,11782
27,530483.0,162.9437,165.74,162.39,165.74,162.02,1603771200000,12529
28,747121.0,158.5508,159.01,158.25,161.15,156.5399,1603857600000,16763
29,743573.0,160.5665,158.98,161.11,162.76,155.33,1603944000000,14847
30,659913.0,159.8688,159.92,160.83,161.49,157.83,1604030400000,13659
31,522852.0,164.2448,163.86,164.45,165.53,162.3865,1604293200000,13599
32,592401.0,168.144,167.0,167.45,170.1,166.395,1604379600000,12871
33,855479.0,169.7399,164.49,168.4,172.94,161.94,1604466000000,15706
34,653729.0,172.7885,170.86,172.69,174.63,170.53,1604552400000,11650
35,373256.0,170.5337,172.95,169.78,172.95,168.7,1604638800000,8830
36,1412187.0,184.2127,182.58,182.94,187.475,182.18,1604898000000,24175
37,1042794.0,182.574,182.74,183.17,184.53,178.6472,1604984400000,17169
38,573590.0,182.144,185.16,181.3,185.18,180.03,1605070800000,11869
39,586239.0,177.6637,180.38,177.3,180.88,175.6701,1605157200000,13064
40,718989.0,183.8202,179.58,184.88,185.62,178.99,1605243600000,14922
41,648504.0,186.3042,188.46,185.97,188.57,184.32,1605502800000,12560
42,588733.0,183.8905,183.61,184.23,185.08,181.51,1605589200000,14545
43,451544.0,185.6131,184.5,183.33,188.4423,183.28,1605675600000,10731
44,444811.0,182.9017,181.82,183.63,184.1,180.26,1605762000000,11935
45,549207.0,180.6765,182.81,179.8,182.99,179.77,1605848400000,11745
46,537535.0,183.2317,181.73,183.76,184.25,181.08,1606107600000,11179
47,769231.0,191.2657,186.81,192.67,193.19,185.72,1606194000000,14575
48,679272.0,190.2903,191.79,190.19,191.94,188.48,1606280400000,14896
49,300281.0,190.5055,190.08,190.75,191.5,189.25,1606453200000,6264
50,1106917.0,186.0256,188.35,185.24,190.12,184.735,1606712400000,14518
51,782642.0,189.6882,189.51,190.25,190.79,187.93,1606798800000,14656
52,829572.0,192.0415,189.95,193.44,193.86,189.31,1606885200000,14880
53,729933.0,195.2098,193.08,194.71,196.69,192.85,1606971600000,14445
54,519404.0,196.5219,196.05,196.28,198.158,195.43,1607058000000,11394
55,817163.0,193.8694,195.14,194.44,195.34,192.5621,1607317200000,15205
56,659601.0,192.5182,192.39,192.51,193.7,191.56,1607403600000,11346
57,697010.0,193.5763,194.02,193.24,196.42,191.81,1607490000000,11470
58,843194.0,192.3943,191.2,192.85,193.12,190.27,1607576400000,10780
59,546426.0,191.1015,190.38,191.74,192.33,189.48,1607662800000,13239
60,948977.0,191.6061,194.61,190.99,194.61,190.89,1607922000000,13942
61,683398.0,191.2269,193.09,190.77,193.145,189.64,1608008400000,14611
62,797778.0,189.9631,192.25,189.74,192.68,188.86,1608094800000,15805
63,694043.0,189.6794,190.2,190.05,190.79,188.1695,1608181200000,14641
64,2388771.0,187.1583,188.05,186.94,190.32,185.63,1608267600000,16555
65,785157.0,186.3926,186.55,186.76,187.765,182.83,1608526800000,14338
66,596248.0,185.8619,187.24,185.06,187.72,184.44,1608613200000,12697
67,453870.0,188.4519,185.63,188.54,189.69,185.63,1608699600000,10657
68,216122.0,188.7888,188.98,189.7,189.88,186.95,1608786000000,4421
69,406971.0,191.1081,191.16,189.98,193.07,189.93,1609131600000,9802
70,412067.0,189.5768,190.97,189.07,191.36,188.84,1609218000000,8945
71,398125.0,191.4193,188.83,191.35,192.5,188.83,1609304400000,8247
72,424080.0,193.7124,191.21,194.33,194.66,191.13,1609390800000,7982
73,601677.0,188.9887,195.3,188.11,195.9,185.8,1609736400000,14944
74,567951.0,187.2833,188.11,187.01,189.85,185.71,1609822800000,12525
75,746441.0,196.9944,191.26,197.74,199.94,190.83,1609909200000,15672
76,592453.0,200.5687,200.0,200.13,202.18,199.405,1609995600000,13935
77,550337.0,200.7252,200.75,201.55,201.635,198.52,1610082000000,13687
78,862427.0,201.2752,199.22,201.58,201.96,199.11,1610341200000,11430
79,740606.0,204.9174,202.09,204.55,206.15,201.335,1610427600000,16123
80,469523.0,203.1143,204.56,203.07,204.86,201.5,1610514000000,10697
81,754645.0,206.172,203.97,206.95,207.28,202.525,1610600400000,13980
82,710905.0,206.6926,204.63,208.28,208.53,203.43,1610686800000,14060
83,828586.0,212.5708,209.6,212.99,213.73,209.27,1611032400000,13055
84,545221.0,213.24,213.74,213.16,214.49,211.3901,1611118800000,11405
85,673874.0,212.8393,213.4,211.94,214.5,211.94,1611205200000,13221
86,455035.0,211.4711,210.4,211.79,212.45,210.0,1611291600000,11936
87,639357.0,211.3092,210.33,211.61,213.47,209.346,1611550800000,14166
88,561229.0,211.9195,213.23,211.27,213.41,210.34,1611637200000,11826
89,897683.0,204.6141,207.28,201.46,209.96,201.06,1611723600000,20047
90,778707.0,206.2073,204.47,206.66,209.41,199.307,1611810000000,16926
91,1023596.0,199.2679,204.97,197.87,204.97,197.81,1611896400000,16683
92,618504.0,199.7793,199.82,200.84,201.06,196.77,1612155600000,14263
93,523648.0,205.0549,203.63,205.09,206.2,202.74,1612242000000,12833
94,853375.0,202.8889,204.35,201.86,205.3,201.04,1612328400000,15248
95,484768.0,208.0335,202.47,209.31,209.43,202.265,1612414800000,13343
96,469306.0,211.0737,210.69,211.06,213.29,209.89,1612501200000,10194
97,401388.0,212.5472,211.31,213.31,213.51,210.94,1612760400000,9499
98,570282.0,214.1443,212.83,214.66,215.45,211.46,1612846800000,10686
99,753654.0,215.6316,215.23,215.05,217.74,213.74,1612933200000,13335
100,449772.0,214.4134,215.0,214.7,215.9099,212.96,1613019600000,11064
101,417302.0,217.1697,214.0,218.08,218.35,213.79,1613106000000,8586
102,835596.0,220.2115,219.75,220.19,221.3673,218.65,1613451600000,11172
103,521391.0,218.0827,219.16,218.39,219.8,216.3014,1613538000000,10568
104,607756.0,214.3433,215.75,214.2,217.3,212.795,1613624400000,12936
105,1253892.0,222.1933,215.75,224.49,224.7,214.31,1613710800000,16931
106,878478.0,225.8832,223.46,225.88,227.93,222.14,1613970000000,14768
107,727195.0,225.2356,227.96,226.5,227.96,222.81,1614056400000,15933
108,650183.0,230.2329,226.25,232.1,232.81,225.21,1614142800000,13872
109,577926.0,226.8458,233.49,223.94,233.91,223.11,1614229200000,14889
110,894874.0,221.9787,224.1,221.24,226.29,220.38,1614315600000,15679
111,667508.0,228.8522,224.98,229.08,230.73,224.98,1614574800000,13571
112,758268.0,226.7835,228.27,225.79,229.07,225.79,1614661200000,11677
113,900357.0,225.2075,226.75,223.69,228.26,223.38,1614747600000,15666
114,954028.0,218.016,221.91,217.24,224.27,213.38,1614834000000,21378
115,966003.0,221.1846,221.26,222.3,223.3,213.9,1614920400000,17860
116,862462.0,226.4581,225.0,224.07,230.0,223.475,1615179600000,16918
117,865205.0,224.4978,223.66,223.5,227.04,221.3,1615266000000,18379
118,1175443.0,226.0587,225.75,225.65,228.49,224.47,1615352400000,19658
119,1002801.0,227.1243,224.94,226.54,229.34,222.25,1615438800000,18004
120,704845.0,225.9667,229.18,225.49,229.42,224.54,1615525200000,13929
121,979360.0,225.2331,226.13,228.13,228.18,221.83,1615780800000,20007
122,928549.0,221.787,226.28,221.12,227.62,220.4,1615867200000,18501
123,944786.0,223.5122,221.76,225.49,225.5332,220.305,1615953600000,18929
124,1630763.0,231.1068,227.01,226.9,236.44,225.67,1616040000000,28488
125,3370057.0,228.2852,225.18,228.43,230.34,221.9,1616126400000,23609
126,931392.0,228.5911,228.42,229.18,230.08,225.826,1616385600000,15061
127,773254.0,224.0678,227.79,221.57,229.16,220.82,1616472000000,14189
128,630796.0,224.8793,223.6,222.47,228.38,222.47,1616558400000,13263
