,v,vw,o,c,h,l,t,n
0,177826000.0,148.1384,151.587,147.7455,151.89,145.277,1600401600000,336452
1,122291500.0,145.6005,145.325,148.0235,148.1,143.55,1600660800000,304152
2,138975820.0,153.4748,151.6918,156.4495,156.6995,150.01,1600747200000,312294
3,113053300.0,152.4321,156.0215,149.993,156.35,149.6188,1600833600000,263058
4,110587840.0,151.352,148.8895,150.9895,153.465,148.25,1600920000000,256916
5,92304040.0,153.0307,152.743,154.7565,155.077,149.95,1601006400000,194970
6,84483300.0,157.7242,157.4425,158.7025,158.752,155.8584,1601265600000,192754
7,70067960.0,158.0636,158.7695,157.244,159.413,156.627,1601352000000,154046
8,97922020.0,158.6104,157.057,157.4365,160.644,156.6995,1601438400000,200061
9,99064120.0,160.0386,160.4,161.063,161.2,158.6,1601524800000,207139
10,112051960.0,157.6038,157.6815,156.25,159.7898,156.15,1601611200000,266315
11,75056640.0,158.9035,157.292,159.96,160.1265,157.0425,1601870400000,166764
12,101629140.0,156.7741,158.25,154.998,159.1,154.5,1601956800000,262964
13,86084780.0,158.522,156.75,159.7845,160.0,156.6193,1602043200000,195829
14,63482280.0,159.822,161.2495,159.5275,161.6647,158.7495,1602129600000,147554
15,98157420.0,163.0194,160.5,164.3325,164.4495,159.8915,1602216000000,213811
16,167227560.0,171.7324,167.497,172.1465,174.812,166.9775,1602475200000,360550
17,114713940.0,172.9833,173.3995,172.1815,174.619,171.2109,1602561600000,255472
18,116578320.0,169.3511,172.35,168.1855,173.244,167.0,1602648000000,269537
19,104468960.0,165.6888,164.6005,166.9325,167.794,164.0,1602734400000,224287
20,128797060.0,166.4817,168.1615,163.6355,169.983,158.0,1602820800000,249394
21,104412320.0,162.1453,164.9805,160.3605,166.45,159.6368,1603080000000,264789
22,90060560.0,161.3742,161.114,160.8505,163.3,159.6005,1603166400000,204420
23,91837760.0,159.638,160.625,159.247,161.6938,158.0,1603252800000,209820
24,82033060.0,158.0085,159.4935,158.82,159.9375,156.097,1603339200000,204712
25,69333740.0,158.5322,159.55,160.22,160.2665,157.0,1603425600000,153745
26,118018020.0,160.5293,159.937,160.352,164.149,157.665,1603684800000,253420
27,85820940.0,162.8774,161.247,164.3165,164.583,160.565,1603771200000,191067
28,111766600.0,159.748,162.465,158.139,163.201,158.1235,1603857600000,272695
29,131752000.0,160.4809,160.0635,160.5505,162.8625,158.2,1603944000000,328194
30,167921620.0,153.2768,157.8875,151.8075,158.3502,150.95,1604030400000,475613
31,144704600.0,150.1173,153.087,150.224,153.9853,147.506,1604293200000,406206
32,97954940.0,152.2985,150.9265,152.4205,153.745,149.049,1604379600000,247963
33,136780820.0,160.4389,157.9995,162.058,162.2425,156.9865,1604466000000,323719
34,115713700.0,166.6543,165.9985,166.1,168.34,164.444,1604552400000,263106
35,92345000.0,164.2962,165.232,165.5685,166.1,161.6,1604638800000,206123
36,143808120.0,160.3035,161.5515,157.187,164.45,155.6053,1604898000000,382356
37,131299120.0,152.6046,154.751,151.751,155.7,150.9741,1604984400000,379848
38,87170460.0,155.6306,153.089,156.8695,156.9573,152.5,1605070800000,224336
39,87424160.0,156.157,157.9975,155.514,158.794,154.3025,1605157200000,215252
40,75251740.0,155.7216,156.1,156.4405,157.0861,154.2695,1605243600000,181421
41,76173520.0,155.8441,154.66,156.553,157.135,153.6343,1605502800000,190494
42,68894700.0,157.8526,159.1772,156.783,159.4625,156.763,1605589200000,187447
43,58336720.0,156.0751,156.7,155.273,157.0,155.255,1605675600000,169469
44,59955400.0,155.4358,155.2655,155.851,156.25,154.046,1605762000000,164545
45,66927760.0,155.5905,155.851,154.97,156.6445,154.9023,1605848400000,163911
46,94177740.0,155.0036,155.8349,154.9195,156.9873,153.273,1606107600000,256233
47,71742040.0,155.6353,155.025,155.903,156.7125,154.3129,1606194000000,206272
48,75496060.0,158.8135,157.0935,159.2535,159.9,157.013,1606280400000,217294
49,47857340.0,160.1685,160.563,159.767,160.8095,159.5025,1606453200000,130646
50,81278320.0,158.3039,160.424,158.402,161.4195,156.2775,1606712400000,230589
51,90887640.0,160.4156,159.425,161.004,162.4475,157.859,1606798800000,236351
52,62548480.0,160.3195,161.0825,160.1765,161.6,158.663,1606885200000,166667
53,57840780.0,160.0968,160.273,159.3365,161.432,159.0655,1606971600000,167058
54,58272220.0,158.5182,159.9105,158.129,159.9105,157.938,1607058000000,165673
55,55026320.0,157.8891,157.824,157.9,159.038,157.0845,1607317200000,149203
56,65726060.0,157.6298,157.945,158.8645,159.2065,156.001,1607403600000,181280
57,82016720.0,156.3198,158.3945,155.21,158.7215,154.4,1607490000000,240020
58,60596440.0,155.492,154.4495,155.0745,157.105,153.8,1607576400000,174755
59,60565900.0,155.0359,154.833,155.821,155.9335,153.641,1607662800000,158149
60,83101480.0,158.4656,157.15,157.8485,159.5235,156.3,1607922000000,202647
61,66473720.0,157.8568,159.0505,158.256,159.425,156.5245,1608008400000,162626
62,88256520.0,160.9659,158.8005,162.048,162.35,158.184,1608094800000,212078
63,69486940.0,161.9838,162.5,161.804,163.1755,161.05,1608181200000,156922
64,119914260.0,160.1154,162.1995,160.0825,162.471,158.58,1608267600000,205390
65,76731200.0,160.1048,160.0005,160.309,161.3483,158.3,1608526800000,178095
66,47635620.0,160.0604,160.1422,160.326,161.1,159.004,1608613200000,129229
67,41875740.0,159.8342,160.25,159.2635,160.5065,159.2085,1608699600000,108006
68,29033540.0,159.1315,159.695,158.6345,160.1,158.45,1608786000000,80009
69,113135740.0,162.8687,159.7,164.198,165.2,158.6345,1609131600000,254209
70,97308660.0,166.1097,165.497,166.1,167.5325,164.0612,1609218000000,209313
71,62322200.0,165.28,167.05,164.2925,167.105,164.1235,1609304400000,140256
72,58809720.0,162.8247,163.75,162.8465,164.1461,162.06,1609390800000,126766
73,88228320.0,159.6805,163.5,159.3315,163.6,157.201,1609736400000,244077
74,53110960.0,160.1852,158.3005,160.9255,161.169,158.253,1609822800000,135626
75,87896300.0,158.1428,157.324,156.919,159.8755,156.558,1609909200000,236833
76,70290900.0,159.1995,157.85,158.108,160.4271,157.75,1609995600000,166748
77,70299080.0,158.3121,159.0,159.135,159.532,157.11,1610082000000,190280
78,73081900.0,156.5557,157.4005,155.7105,157.8192,155.5,1610341200000,211079
79,69691640.0,155.832,156.0,156.0415,157.1071,154.3,1610427600000,192771
80,66349880.0,158.3579,156.422,158.2945,159.4975,156.104,1610514000000,166014
81,61418380.0,157.3031,158.376,156.3735,158.9,156.0295,1610600400000,158481
82,84479900.0,155.5273,156.151,155.2125,157.1273,154.7585,1610686800000,182766
83,65475600.0,156.0549,155.35,156.038,157.25,154.8,1611032400000,160325
84,106196700.0,161.7709,159.0995,163.169,163.99,158.75,1611118800000,249048
85,98837020.0,165.8747,164.65,165.3495,167.4275,164.4784,1611205200000,225977
86,56438280.0,164.8989,165.2155,164.6115,166.0955,164.1582,1611291600000,132727
87,74995060.0,165.2916,166.425,164.7,168.1945,162.1573,1611550800000,183652
88,59104700.0,166.1508,164.8178,166.3065,166.9,164.1435,1611637200000,138616
89,93203160.0,163.3479,167.0745,161.629,167.326,160.354,1611723600000,237909
90,62984560.0,163.082,161.752,161.881,165.084,161.4345,1611810000000,159385
91,85871120.0,160.4667,161.5,160.31,161.8495,159.3,1611896400000,193750
92,83164040.0,165.3957,162.118,167.144,167.513,161.7513,1612155600000,208720
93,141962120.0,169.9532,169.0,169.0,171.387,168.0563,1612242000000,349007
94,141775620.0,168.5045,171.2505,165.6265,171.7,165.431,1612328400000,335473
95,73413220.0,165.6209,166.5,166.55,167.35,163.8875,1612414800000,179352
96,71965260.0,167.0449,165.95,167.6075,168.85,165.1355,1612501200000,156673
97,65147820.0,166.0191,167.925,166.147,168.25,165.2,1612760400000,171436
98,44070520.0,165.7397,165.6245,165.25,166.9,164.892,1612846800000,126607
99,60431000.0,164.0665,165.7,164.329,165.8977,162.7,1612933200000,158357
100,46028340.0,163.2458,164.6,163.1065,164.6,162.403,1613019600000,128763
101,46706780.0,162.9173,162.5,163.8855,164.0125,161.6655,1613106000000,117762
102,51465620.0,163.7545,162.7025,163.4475,165.415,162.6796,1613451600000,138112
103,66041980.0,164.9381,163.18,165.432,166.0455,162.975,1613538000000,159164
104,60672140.0,165.6686,164.121,166.4115,166.9,163.697,1613624400000,150467
105,86103680.0,164.3326,166.4115,162.495,166.675,162.2875,1613710800000,186659
106,70023580.0,159.7461,160.4065,159.037,161.616,158.613,1613970000000,194812
107,93544440.0,157.418,156.3515,159.725,160.2365,154.68,1614056400000,243836
108,60225500.0,157.6662,158.3375,157.9765,158.5615,156.269,1614142800000,174835
109,90676020.0,154.8909,156.837,152.858,158.913,152.388,1614229200000,295583
110,85518600.0,154.3775,154.76,154.6465,156.122,151.835,1614315600000,215555
111,54679260.0,156.3712,156.3945,157.307,157.478,154.8995,1614574800000,155961
112,51915240.0,156.3642,157.1735,154.7265,158.176,154.356,1614661200000,137796
113,79774500.0,151.6505,154.059,150.25,155.3888,149.75,1614747600000,265872
114,109231560.0,150.0362,150.6,148.8785,152.9065,147.2715,1614834000000,320905
115,107471020.0,148.0348,150.25,150.023,150.45,144.05,1614920400000,314581
116,81786160.0,150.0071,150.75,147.5975,153.2295,147.5655,1615179600000,225890
117,80600640.0,152.8931,150.8995,153.1425,154.548,150.2574,1615266000000,198934
118,60249780.0,153.2003,154.9225,152.882,155.823,151.5025,1615352400000,163117
119,55447980.0,155.5429,155.2005,155.6795,156.5892,154.1465,1615438800000,150914
120,48431360.0,153.6747,153.75,154.4745,154.949,152.275,1615525200000,150742
121,58371840.0,152.9803,153.7285,154.084,154.112,151.6045,1615780800000,164272
122,50775280.0,155.1278,155.2485,154.593,156.4455,153.793,1615867200000,135941
123,62366280.0,156.0684,153.661,156.7865,158.6525,153.511,1615953600000,179314
124,73140540.0,153.2536,155.05,151.3995,155.8315,151.25,1616040000000,212050
125,92206680.0,152.7086,151.4615,153.748,153.8643,150.8315,1616126400000,167143
126,58043580.0,155.4122,153.3925,155.5435,156.329,153.0025,1616385600000,148669
127,76345260.0,157.5756,156.35,156.875,159.1,156.0425,1616472000000,184398
128,59179620.0,156.1133,157.552,154.3535,158.0155,154.2575,1616558400000,162871
129,71245380.0,153.1818,153.6495,152.313,155.489,151.857,1616644800000,181977
130,66258480.0,151.7634,152.203,152.6015,152.833,149.8,1616731200000,179219
131,54709360.0,153.3196,152.772,153.7865,154.5625,151.4223,1616990400000,140592
132,46752060.0,152.6655,153.5005,152.7645,153.65,151.7,1617076800000,124463
133,61877920.0,154.9228,153.203,154.704,155.9665,153.125,1617163200000,143696
134,58806360.0,156.9796,155.897,158.05,158.122,155.7775,1617249600000,147624
135,66297640.0,160.5716,158.65,161.3365,161.7978,158.062,1617595200000,173200
136,50756180.0,161.6038,161.1875,161.191,162.3655,160.852,1617681600000,127569
137,66924540.0,163.8467,161.69,163.9695,165.1806,161.1825,1617768000000,162245
138,56241800.0,165.5051,165.545,164.965,166.225,164.6,1617854400000,150496
139,86769460.0,167.1676,165.235,168.61,168.61,164.445,1617940800000,210311
140,65635960.0,168.7656,167.7605,168.9695,169.752,167.5575,1618200000000,154354
141,66016740.0,170.7329,170.0423,170.0,171.6,169.7815,1618286400000,173494
142,62704080.0,167.7463,170.202,166.65,170.2065,166.3,1618372800000,177490
143,64661600.0,168.7746,168.55,168.9545,169.85,167.6,1618459200000,156816
144,63690980.0,169.4801,169.0,169.972,170.34,167.7795,1618545600000,156901
145,54508100.0,169.2911,169.5165,168.6005,171.7967,168.008,1618804800000,148916
146,52460640.0,166.9848,168.68,166.7345,169.1495,165.8,1618891200000,143655
147,44218900.0,167.21,165.8,168.101,168.143,165.1903,1618977600000,121428
148,51539000.0,166.7387,168.584,165.452,168.6435,165.0725,1619064000000,141914
149,63932240.0,167.2841,165.955,167.044,168.75,165.425,1619150400000,136899
150,97614160.0,169.5083,167.4,170.45,171.4225,166.547,1619409600000,229396
151,76542800.0,171.2334,172.1735,170.8715,173.0,169.9005,1619496000000,182726
152,92637680.0,173.384,171.74,172.925,174.494,171.25,1619582400000,220336
153,153647620.0,175.3246,175.2549,173.5655,175.7223,171.75,1619668800000,377685
154,139402000.0,175.3274,176.256,173.371,177.7,173.125,1619755200000,314972
155,116310600.0,170.8723,174.2365,169.3245,174.3323,168.6351,1620014400000,270975
156,108716980.0,165.5132,167.8095,165.5935,168.3988,163.6065,1620100800000,282615
157,74226160.0,165.088,166.9428,163.527,167.7348,163.218,1620187200000,202539
158,88953920.0,164.2884,163.5,165.3185,165.72,162.36,1620273600000,196856
159,94205520.0,165.3311,165.9545,164.5805,166.5445,164.4535,1620360000000,200632
160,116572060.0,160.9544,164.116,159.5245,164.15,159.5,1620619200000,270467
161,92395620.0,159.8018,156.814,161.1955,161.9,156.3685,1620705600000,228010
162,98728200.0,158.0675,159.25,157.597,160.397,156.655,1620792000000,236517
163,67137540.0,158.1955,159.2735,158.0735,160.192,156.65,1620878400000,186979
