,v,vw,o,c,h,l,t,n
0,2451875.0,105.6936,105.42,105.58,107.38,104.64,1600401600000,20095
1,2153816.0,104.8802,104.04,105.97,105.97,103.49,1600660800000,28241
2,1697550.0,107.3735,106.41,107.63,108.25,105.905,1600747200000,19962
3,1942476.0,107.7756,108.07,106.49,109.78,106.39,1600833600000,24636
4,2550405.0,105.4726,106.12,104.77,106.86,104.11,1600920000000,38756
5,1960053.0,105.6753,105.1,105.97,106.64,104.25,1601006400000,25244
6,1527075.0,107.8253,107.25,108.44,108.57,106.65,1601265600000,21793
7,2418741.0,110.3422,109.94,110.08,111.22,108.84,1601352000000,31467
8,2215156.0,111.2207,109.5,111.29,112.41,109.5,1601438400000,28830
9,3663901.0,113.6885,112.69,114.09,114.72,111.86,1601524800000,40144
10,1965639.0,112.5582,111.04,112.42,113.46,111.01,1601611200000,29142
11,2033864.0,115.7183,112.57,116.07,116.74,112.57,1601870400000,27746
12,2427416.0,114.2458,115.98,112.45,116.43,112.25,1601956800000,33133
13,1574405.0,114.6484,114.0,114.49,115.44,113.76,1602043200000,22880
14,1546391.0,114.7454,115.13,114.92,115.65,113.91,1602129600000,21730
15,2856779.0,116.5359,115.37,116.59,118.25,115.11,1602216000000,36791
16,1358207.0,117.8771,117.87,118.33,118.7,116.86,1602475200000,19465
17,1253334.0,118.4187,118.12,118.21,119.15,117.21,1602561600000,19754
18,1660876.0,118.5548,118.93,118.44,119.9,117.39,1602648000000,21372
19,1652654.0,119.5571,117.43,120.56,120.7433,116.9,1602734400000,23227
20,1930115.0,120.0649,120.89,119.35,121.1,119.31,1602820800000,23626
21,2280765.0,121.6226,120.12,120.83,123.22,119.71,1603080000000,34467
22,1754742.0,122.214,121.29,120.89,123.67,120.78,1603166400000,27707
23,1792091.0,119.4763,121.45,118.69,121.78,118.55,1603252800000,26501
24,2000468.0,117.5404,118.98,117.46,119.62,115.77,1603339200000,27712
25,1897706.0,116.9981,115.5,118.21,118.25,115.21,1603425600000,24491
26,1393605.0,114.5611,117.14,114.36,117.18,112.88,1603684800000,26630
27,2173767.0,114.2471,115.01,113.58,116.12,113.3,1603771200000,22611
28,2300450.0,111.3762,111.5,111.11,114.3,110.345,1603857600000,29418
29,2135767.0,112.6082,112.28,112.28,113.95,111.5,1603944000000,24894
30,1912000.0,111.1399,111.56,111.55,112.65,109.6,1604030400000,21842
31,2854064.0,115.1554,112.97,115.72,115.795,112.76,1604293200000,28471
32,2059969.0,118.3501,117.0,118.82,119.73,116.17,1604379600000,25790
33,1936705.0,120.0602,119.69,119.86,121.4,118.56,1604466000000,23102
34,2505313.0,122.9214,122.2,123.06,124.89,121.75,1604552400000,27308
35,1686776.0,122.9788,123.0,123.06,123.75,121.61,1604638800000,25386
36,4966722.0,114.8209,120.31,111.0,123.21,110.92,1604898000000,60186
37,3968464.0,112.531,111.6,112.63,113.71,110.99,1604984400000,36478
38,2081765.0,113.6899,113.83,114.56,114.81,112.1,1605070800000,28263
39,2312003.0,113.7514,114.45,114.0,115.5,112.34,1605157200000,31314
40,1852697.0,114.4096,114.64,114.3,115.84,113.5,1605243600000,25496
41,3335108.0,117.8756,115.0,118.65,118.8499,113.62,1605502800000,33012
