,v,vw,o,c,h,l,t,n
0,422677,513.0722,513.17,513.48,515.72,503.68,1600401600000,5418
1,123250,513.4614,511.26,517.91,517.92,500.6,1600660800000,4768
2,221328,514.5386,515.46,515.68,517.93,504.65,1600747200000,4509
3,95499,514.5325,513.71,511.77,523.76,510.39,1600833600000,5074
4,178030,497.265,512.45,494.17,512.45,490.725,1600920000000,6568
5,150925,500.873,491.58,504.15,506.58,491.58,1601006400000,4219
6,108013,514.7178,508.85,513.92,519.465,508.85,1601265600000,4508
7,97993,516.3626,517.06,515.1,521.06,513.54,1601352000000,5155
8,195792,517.1556,518.9,515.46,525.61,510.74,1601438400000,6259
9,149688,518.6893,519.19,520.81,521.23,512.665,1601524800000,5852
10,77474,512.6694,513.26,510.68,518.52,507.82,1601611200000,3675
11,224841,529.9115,511.76,530.66,534.555,511.76,1601870400000,5118
12,135521,532.9201,529.51,533.33,537.695,520.36,1601956800000,4045
13,172399,546.3172,539.0,545.39,549.56,536.795,1602043200000,5579
14,96911,548.8728,549.95,551.1,551.14,540.76,1602129600000,2940
15,95089,562.4117,552.9,566.14,567.33,551.94,1602216000000,4121
16,138741,568.0851,572.71,568.49,572.71,560.34,1602475200000,4500
17,86321,566.0859,568.05,565.74,573.795,563.3273,1602561600000,3842
18,129724,558.2993,566.23,557.39,569.66,552.04,1602648000000,4929
19,98860,550.6087,552.9,552.61,554.14,543.9197,1602734400000,4467
20,170891,557.1377,556.97,556.57,566.56,554.56,1602820800000,4535
21,91624,556.518,561.13,554.34,563.35,551.01,1603080000000,4716
22,135376,562.9792,553.96,562.58,566.59,552.61,1603166400000,5034
23,156491,559.7644,565.28,559.43,568.7,553.965,1603252800000,4889
24,131338,575.3369,560.0,579.04,584.38,557.89,1603339200000,5427
25,100562,579.9498,580.85,581.71,586.2,574.03,1603425600000,4710
26,102861,579.9274,576.65,583.82,585.5938,573.185,1603684800000,5277
27,149157,588.4507,582.16,589.54,592.66,579.83,1603771200000,5497
28,186763,564.0155,577.5,559.46,581.89,558.36,1603857600000,6646
29,160926,566.2824,559.81,568.03,572.57,554.6803,1603944000000,5879
30,236377,585.3117,567.54,586.42,598.06,567.54,1604030400000,8277
31,151660,591.7419,595.0,591.02,609.45,583.465,1604293200000,6692
32,141407,600.3077,598.61,601.57,606.02,590.8201,1604379600000,5054
33,240525,624.4449,610.01,624.79,631.55,609.005,1604466000000,7396
34,129688,631.7671,638.46,630.57,641.2399,627.085,1604552400000,5930
35,149227,642.2843,632.39,643.45,647.91,623.41,1604638800000,5600
36,299025,598.8684,648.39,579.96,648.39,577.95,1604898000000,11723
37,347734,556.4533,572.91,555.78,572.91,550.45,1604984400000,9783
38,153382,582.0701,562.69,585.45,588.85,562.69,1605070800000,6622
39,135158,597.8002,590.92,602.25,602.39,584.91,1605157200000,5965
40,94423,604.237,601.88,602.36,609.704,601.62,1605243600000,4725
