,v,vw,o,c,h,l,t,n
0,4155080.0,220.0609,219.0,219.94,221.32,218.3,1600056000000,44134
1,3930693.0,219.3429,220.08,218.94,221.57,218.45,1600142400000,46683
2,5721591.0,220.3122,220.28,219.59,222.26,219.19,1600228800000,60825
3,7062087.0,217.7442,218.46,218.05,218.68,216.5,1600315200000,61307
4,13190328.0,218.7396,219.08,218.21,221.01,217.83,1600401600000,60376
5,8479490.0,211.7328,214.0,213.02,215.45,208.73,1600660800000,94215
6,5394902.0,213.2979,212.54,214.16,214.75,211.7,1600747200000,54322
7,4482691.0,211.3391,213.94,209.61,214.88,209.38,1600833600000,51899
8,4061072.0,208.2472,209.14,208.72,210.23,206.58,1600920000000,52484
9,3658914.0,209.1712,207.0,210.45,211.11,206.82,1601006400000,39479
10,5129120.0,213.9072,213.22,213.54,215.47,212.0206,1601265600000,48175
11,4100787.0,211.3359,213.59,210.44,213.59,210.24,1601352000000,46220
12,5876990.0,212.6538,211.11,212.94,213.7,210.7522,1601438400000,56486
13,4880776.0,212.3889,214.3,212.02,214.385,210.62,1601524800000,54630
14,4545272.0,211.4554,209.84,211.18,213.68,209.53,1601611200000,57139
15,3730946.0,212.8618,213.09,212.36,213.9,212.05,1601870400000,43727
16,5418003.0,211.3414,212.65,210.26,213.48,209.65,1601956800000,60087
17,3820599.0,212.91,212.33,213.29,214.67,211.36,1602043200000,42759
18,3675692.0,214.8743,214.39,215.15,215.69,213.44,1602129600000,41676
19,3159984.0,215.4676,215.88,215.68,216.2924,214.16,1602216000000,38021
20,4011846.0,216.4378,216.74,216.41,217.43,215.12,1602475200000,42632
21,4974157.0,213.3525,215.76,212.31,216.38,212.0,1602561600000,52686
22,5127780.0,211.1364,212.02,210.91,212.35,210.54,1602648000000,54173
23,3187836.0,210.6444,209.27,211.65,211.99,208.22,1602734400000,38090
24,4132230.0,212.4533,211.84,211.91,213.8253,211.81,1602820800000,37026
25,3485510.0,209.7485,212.16,208.99,212.32,208.2,1603080000000,43291
26,3952927.0,210.2077,209.63,210.06,211.45,209.41,1603166400000,45080
27,3296277.0,210.2731,208.97,210.18,211.38,208.6103,1603252800000,35529
28,3016978.0,210.8361,209.63,211.61,211.78,209.23,1603339200000,37952
29,2906294.0,212.7988,212.43,212.71,213.87,211.73,1603425600000,33911
30,4819247.0,208.2642,209.64,208.49,210.26,207.0,1603684800000,55369
31,3113417.0,207.2919,208.0,206.88,208.48,206.58,1603771200000,38623
32,7765640.0,201.1513,202.68,200.7,203.88,199.79,1603857600000,89823
33,5334717.0,200.9386,200.03,201.51,202.955,197.81,1603944000000,61579
34,5810775.0,201.0786,200.51,201.9,202.271,198.7,1604030400000,64837
35,6035078.0,204.5252,204.84,204.31,206.18,203.06,1604293200000,70879
36,5556054.0,207.6226,206.93,206.63,209.8007,206.36,1604379600000,67884
37,6082037.0,207.5646,206.59,206.17,210.15,204.78,1604466000000,70520
38,6043648.0,208.5174,208.69,207.45,210.86,206.97,1604552400000,68875
39,4430958.0,208.7609,208.45,208.85,210.26,207.5875,1604638800000,47802
40,11773150.0,222.4454,221.97,221.5,225.23,218.01,1604898000000,131907
41,7240477.0,225.8767,221.82,228.48,228.61,220.94,1604984400000,80792
42,4914672.0,227.3867,228.5,227.37,228.98,225.4701,1605070800000,54225
43,5215449.0,224.4459,225.01,224.72,225.88,223.18,1605157200000,50458
44,4885672.0,226.946,226.5,227.42,228.145,225.29,1605243600000,47587
45,5954059.0,231.6915,230.58,233.1,233.46,229.86,1605502800000,57907
46,5140278.0,232.946,231.93,233.16,234.97,230.01,1605589200000,58208
47,4841525.0,232.0284,233.57,230.07,234.476,230.0,1605675600000,53197
48,4731637.0,228.9301,229.67,229.53,229.97,227.6154,1605762000000,54684
49,4309682.0,227.6648,228.78,227.01,229.72,226.771,1605848400000,47216
50,3764415.0,229.3073,229.77,229.54,230.5,228.0442,1606107600000,45414
51,4789587.0,233.5117,232.45,233.92,234.99,231.24,1606194000000,59665
52,3317911.0,233.1233,233.92,233.13,234.0,232.0104,1606280400000,41557
53,1935806.0,231.9249,233.1,231.55,234.17,230.45,1606453200000,28532
54,6092892.0,229.0842,231.19,228.91,231.29,228.165,1606712400000,59398
55,4522956.0,230.3775,230.23,229.68,231.98,229.34,1606798800000,50782
56,4766039.0,229.608,229.8,230.42,230.59,228.31,1606885200000,51867
57,4773432.0,230.2287,230.0,231.02,231.5,228.87,1606971600000,50750
58,4824812.0,231.0691,230.24,231.35,231.89,230.24,1607058000000,56942
59,4846096.0,229.152,231.26,229.24,231.26,228.1,1607317200000,57256
60,4690040.0,227.8998,227.46,228.19,228.735,226.61,1607403600000,55953
61,4951182.0,227.3865,228.57,227.51,228.9,226.635,1607490000000,53511
