,v,vw,o,c,h,l,t,n
0,990937.0,85.8364,83.99,85.91,86.53,83.99,1600056000000,15820
1,1052558.0,88.2924,86.25,87.77,89.56,86.25,1600142400000,15738
2,1786502.0,89.4197,87.76,89.93,90.68,86.43,1600228800000,21445
3,1482238.0,88.1756,88.94,87.87,89.91,87.39,1600315200000,15468
4,2287190.0,85.5239,86.97,84.87,87.54,84.71,1600401600000,16146
5,2097166.0,81.6968,84.0,81.11,84.37,80.79,1600660800000,22774
6,2229860.0,81.0802,81.05,80.5,83.36,80.2,1600747200000,21333
7,1627302.0,79.9107,80.08,79.0,81.82,78.94,1600833600000,19863
8,999710.0,79.4274,79.19,79.38,80.43,78.435,1600920000000,17677
9,855674.0,79.9779,78.58,80.38,80.48,78.41,1601006400000,11429
10,1319758.0,82.8901,82.22,82.73,84.04,81.89,1601265600000,16417
11,945638.0,80.3273,81.31,80.28,81.765,79.0,1601352000000,12864
12,1335491.0,80.4327,80.82,80.3,82.11,79.28,1601438400000,14723
13,893987.0,81.9266,80.6,82.83,82.9,80.37,1601524800000,12786
14,1106482.0,84.4163,81.24,85.27,85.54,80.715,1601611200000,14794
15,949009.0,84.2427,85.92,84.5,86.34,83.32,1601870400000,13564
16,1302847.0,83.808,85.09,82.94,85.71,82.61,1601956800000,14590
17,1219518.0,82.6947,83.19,82.38,83.99,82.02,1602043200000,13298
18,1572240.0,83.7352,83.07,84.17,84.75,82.74,1602129600000,17130
19,979111.0,82.8445,84.5,82.78,84.5,82.0,1602216000000,13309
20,821191.0,82.6828,82.78,82.7,83.23,81.855,1602475200000,11406
21,1412409.0,79.9163,81.58,79.76,81.805,79.1,1602561600000,16358
22,1022548.0,79.655,79.76,79.61,80.4,79.13,1602648000000,12122
23,733850.0,79.5846,79.0,79.5,80.29,78.8,1602734400000,10973
24,1158285.0,78.1093,79.16,77.67,79.21,77.24,1602820800000,14965
25,1153979.0,76.3678,76.83,76.0,77.51,75.785,1603080000000,18040
26,779497.0,76.5051,77.2,76.14,77.66,75.96,1603166400000,12224
27,880239.0,75.9214,75.68,76.05,76.32,74.9,1603252800000,10818
28,626809.0,76.8426,76.08,77.22,77.48,75.81,1603339200000,9409
29,531659.0,77.4971,77.85,77.67,78.24,76.82,1603425600000,11713
30,1020237.0,75.3339,77.0,75.41,77.03,74.6401,1603684800000,15483
31,1212367.0,74.0695,74.97,73.74,75.545,73.54,1603771200000,15621
32,2059849.0,71.7527,73.02,71.15,73.02,70.59,1603857600000,24607
33,1618949.0,71.529,70.73,71.64,72.23,69.69,1603944000000,20099
34,1087186.0,71.871,71.5,72.41,72.55,71.01,1604030400000,14518
35,1239476.0,75.0564,73.26,76.05,76.12,72.32,1604293200000,18112
36,1005593.0,77.6906,76.9,77.9,78.33,76.285,1604379600000,14688
37,1052586.0,75.3916,77.77,74.49,77.77,74.41,1604466000000,14664
38,1740084.0,75.0119,74.56,74.74,75.79,74.14,1604552400000,22314
39,1270720.0,73.5894,75.35,73.41,75.85,72.53,1604638800000,15109
40,4808716.0,89.5689,83.28,88.77,96.445,83.28,1604898000000,51071
41,3652899.0,91.7559,89.39,92.53,93.34,88.63,1604984400000,41007
42,1652830.0,90.4061,91.99,90.8,91.99,88.26,1605070800000,20358
43,1432120.0,87.9451,89.88,87.09,90.23,86.33,1605157200000,18929
44,1751397.0,90.2615,88.01,91.62,91.71,87.95,1605243600000,18367
45,1691327.0,96.0897,96.05,96.6,97.36,94.27,1605502800000,19891
46,1861034.0,97.9112,95.15,98.46,99.37,94.22,1605589200000,22584
47,1614572.0,98.0133,98.71,96.12,99.89,96.12,1605675600000,20731
48,1467914.0,96.5512,95.2,97.42,97.96,94.12,1605762000000,17178
49,1554366.0,97.784,98.13,98.38,98.6119,96.43,1605848400000,17006
50,2214737.0,100.6226,99.43,100.39,101.605,99.16,1606107600000,18432
51,1753250.0,104.3732,102.31,104.43,105.93,102.31,1606194000000,20064
52,1644830.0,102.2916,103.42,102.35,103.675,100.92,1606280400000,16135
53,427735.0,102.1069,102.77,102.43,103.15,101.055,1606453200000,6506
54,2240901.0,99.3565,101.73,98.16,102.33,98.05,1606712400000,18976
55,1209683.0,99.9907,99.98,99.83,100.73,99.28,1606798800000,13421
56,1251090.0,100.9263,99.95,101.05,101.695,99.1,1606885200000,11865
