,v,vw,o,c,h,l,t,n
0,765170.0,113.2151,112.36,113.15,114.815,111.86,1600056000000,12915
1,468891.0,114.525,113.32,114.18,115.51,113.2,1600142400000,10923
2,894225.0,114.8767,115.11,113.91,116.65,113.6412,1600228800000,12343
3,908856.0,113.5376,112.07,114.23,114.48,111.76,1600315200000,13386
4,1240261.0,113.405,115.0,112.82,115.26,112.17,1600401600000,12821
5,1031921.0,109.1659,110.89,108.81,111.47,108.49,1600660800000,16069
6,847664.0,108.874,108.33,110.17,110.31,105.87,1600747200000,13648
7,946435.0,109.8974,111.01,109.21,112.13,108.01,1600833600000,14765
8,911084.0,110.1598,108.63,110.43,111.98,108.14,1600920000000,15742
9,688627.0,111.6574,110.25,112.74,112.86,109.67,1601006400000,10670
10,1214966.0,116.0927,114.44,116.5,116.72,113.11,1601265600000,15236
11,790063.0,117.9351,116.99,118.11,118.965,116.51,1601352000000,14261
12,1013463.0,120.035,118.53,119.53,121.89,118.1,1601438400000,15911
13,1000938.0,123.1195,120.445,123.5,124.53,120.445,1601524800000,18313
14,1128318.0,123.0758,120.64,123.49,124.62,120.42,1601611200000,15095
15,653728.0,125.643,124.35,125.88,126.43,124.06,1601870400000,11105
16,985929.0,124.4948,126.13,123.07,127.24,122.52,1601956800000,16229
17,497869.0,125.4474,124.68,125.93,126.24,124.3,1602043200000,10211
18,404348.0,126.165,126.73,126.2,127.16,125.57,1602129600000,9326
19,506660.0,126.5293,127.25,125.99,127.83,125.62,1602216000000,9426
20,596325.0,129.4783,127.86,130.01,130.81,126.48,1602475200000,10036
21,688900.0,130.3733,130.53,129.93,131.215,129.685,1602561600000,11713
22,673178.0,130.1672,130.38,129.52,131.13,129.39,1602648000000,10967
23,473929.0,128.9083,127.58,129.8,130.16,127.0,1602734400000,9247
24,393909.0,130.9894,130.75,130.62,131.76,129.3,1602820800000,7318
25,482590.0,129.6555,130.21,128.86,132.25,128.12,1603080000000,7751
26,422356.0,129.9255,130.72,129.32,131.39,128.91,1603166400000,9617
27,468863.0,128.9385,129.75,128.84,130.2987,128.09,1603252800000,7128
28,337782.0,129.0254,128.52,129.44,129.83,127.32,1603339200000,7869
29,310924.0,129.6931,130.3037,130.0,130.54,128.67,1603425600000,6793
30,426470.0,125.6194,128.27,125.67,129.61,124.2201,1603684800000,10063
31,620061.0,123.9534,125.35,123.28,126.2,123.12,1603771200000,10198
32,706867.0,119.2049,120.33,118.73,120.75,118.31,1603857600000,10344
33,733060.0,120.4458,117.28,120.95,122.09,117.02,1603944000000,10708
34,1147024.0,122.066,119.94,122.6,123.1984,118.6071,1604030400000,16747
35,1247647.0,125.8159,125.17,126.45,129.46,123.215,1604293200000,22789
36,676921.0,130.2996,130.05,130.72,131.81,127.66,1604379600000,15119
37,993776.0,134.1078,132.15,133.85,135.95,130.09,1604466000000,15374
38,1322187.0,138.7039,135.22,138.18,139.75,135.11,1604552400000,18111
39,676298.0,138.3387,138.3,138.05,139.49,137.11,1604638800000,10119
40,1568912.0,144.9592,141.09,143.95,146.95,141.09,1604898000000,18880
41,1310312.0,139.6907,141.33,137.53,144.22,136.87,1604984400000,21964
42,582342.0,138.3696,138.32,138.7,139.335,136.87,1605070800000,11753
43,456458.0,136.2907,138.46,135.56,139.23,135.26,1605157200000,10291
44,1199473.0,137.5209,136.99,137.59,138.43,136.82,1605243600000,18068
45,677911.0,139.1425,139.31,139.08,140.82,138.57,1605502800000,11655
46,711413.0,136.9838,137.61,136.78,138.96,136.33,1605589200000,12706
47,1480993.0,136.9362,137.1,135.73,138.11,135.67,1605675600000,18960
48,1418938.0,132.6639,134.74,132.78,135.075,131.05,1605762000000,21411
49,783704.0,132.3903,132.45,131.95,133.6,131.92,1605848400000,12571
50,1103111.0,131.1962,132.26,131.22,132.69,130.23,1606107600000,15409
51,1970328.0,135.0635,131.855,136.82,137.67,131.665,1606194000000,22761
52,786789.0,132.4376,136.24,131.94,136.34,131.33,1606280400000,14894
53,357083.0,131.9652,132.11,132.23,132.42,131.08,1606453200000,7093
54,1082054.0,130.234,131.5,130.49,131.5,129.06,1606712400000,13491
