,v,vw,o,c,h,l,t,n
0,3477247.0,34.1926,32.36,34.64,34.73,32.2,1600315200000,29511
1,6647974.0,34.3997,34.97,34.01,35.63,33.68,1600401600000,29039
2,2850693.0,31.639,33.2,31.61,33.24,31.09,1600660800000,26471
3,2115650.0,31.3242,31.47,31.25,31.72,31.14,1600747200000,17554
4,2030527.0,31.2764,31.15,30.92,31.94,30.9,1600833600000,19446
5,1928296.0,30.6195,30.75,30.69,31.09,30.12,1600920000000,18317
6,2014317.0,30.3463,30.4,30.42,30.5758,29.965,1601006400000,17605
7,1451565.0,31.1214,31.15,30.95,31.5,30.89,1601265600000,16377
8,1616671.0,30.0312,30.9,29.86,30.9,29.77,1601352000000,13864
9,2347491.0,30.6369,30.04,30.71,31.08,29.99,1601438400000,20060
10,1996370.0,30.1159,30.62,29.88,30.89,29.77,1601524800000,19282
11,1575893.0,30.4608,29.49,30.57,30.85,29.3,1601611200000,15172
12,1608691.0,31.4928,30.75,31.53,31.77,30.72,1601870400000,14616
13,1578068.0,31.7864,31.92,31.29,32.62,31.25,1601956800000,15463
14,2133678.0,31.1492,31.64,30.95,31.87,30.93,1602043200000,18488
15,1257613.0,31.6082,31.34,31.86,31.86,31.11,1602129600000,12892
16,1875099.0,31.3658,31.96,31.33,32.28,30.97,1602216000000,18686
17,3663192.0,29.8271,31.12,29.52,31.17,29.385,1602475200000,27301
18,2203383.0,29.5638,29.37,29.45,29.96,29.18,1602561600000,19675
19,2153754.0,29.9,29.3,29.81,30.4901,29.06,1602648000000,21864
20,1184184.0,29.5856,29.38,29.66,29.85,29.17,1602734400000,13904
21,1806040.0,29.3595,29.78,29.28,29.88,29.15,1602820800000,14666
22,1535324.0,29.1111,29.28,28.88,29.5,28.815,1603080000000,16165
23,2022829.0,28.4584,29.16,28.06,29.25,28.04,1603166400000,19161
24,3474338.0,27.2092,27.86,27.25,27.9916,26.88,1603252800000,30607
25,2577005.0,27.7327,27.36,27.92,28.005,27.31,1603339200000,21754
26,1638338.0,27.8459,28.1,27.58,28.435,27.53,1603425600000,15962
27,2020148.0,26.7461,27.25,26.83,27.25,26.44,1603684800000,20512
28,3061234.0,26.415,26.7,26.16,26.96,26.1,1603771200000,25504
29,2853558.0,25.7752,25.48,25.71,26.22,25.3,1603857600000,29165
30,2521600.0,26.5696,25.5,26.78,26.9,25.49,1603944000000,26631
31,3032084.0,27.2412,26.68,27.61,27.63,26.42,1604030400000,31371
32,2710846.0,27.9791,28.01,28.07,28.29,27.645,1604293200000,31078
33,3211506.0,27.0145,27.97,27.02,28.03,26.68,1604379600000,28384
34,1975877.0,26.8059,27.18,26.66,27.24,26.05,1604466000000,17998
35,3837802.0,27.1781,25.96,27.34,28.02,25.96,1604552400000,31255
36,2989095.0,27.622,27.36,27.33,28.29,27.06,1604638800000,27292
37,4000203.0,29.0994,29.12,28.96,30.51,28.37,1604898000000,33571
38,3759248.0,29.87,29.33,30.11,30.36,28.88,1604984400000,30413
39,4007531.0,30.7594,30.4,30.55,31.5,30.355,1605070800000,35944
40,2677348.0,30.0661,30.17,30.14,30.49,29.73,1605157200000,23832
41,2742352.0,30.6686,30.21,30.89,30.945,30.21,1605243600000,24665
42,4357902.0,32.1726,31.8,32.4,32.54,31.15,1605502800000,34949
43,3028764.0,32.2257,32.11,32.22,32.59,31.72,1605589200000,26226
44,3280262.0,32.8081,32.5,32.45,33.28,32.28,1605675600000,26130
45,2765436.0,32.1443,32.5,32.15,32.695,31.89,1605762000000,22052
46,2990807.0,33.2063,32.32,33.5,33.67,32.22,1605848400000,27917
47,4668894.0,35.5091,34.03,35.82,36.09,34.03,1606107600000,43804
48,6366933.0,38.1355,36.23,38.65,38.77,36.23,1606194000000,46252
49,3479932.0,38.1456,38.24,38.17,38.705,37.32,1606280400000,33068
50,2427034.0,38.6851,38.56,38.77,39.41,38.28,1606453200000,19919
51,3350982.0,37.4823,38.39,37.3,38.44,37.075,1606712400000,28595
