,v,vw,o,c,h,l,t,n
0,7767244.0,27.5135,27.07,27.49,27.82,26.915,1600315200000,46682
1,9356723.0,27.1995,27.11,27.16,27.51,26.975,1600401600000,47868
2,5028165.0,26.0098,26.31,25.83,26.7201,25.67,1600660800000,40621
3,8566993.0,24.7299,25.79,24.51,25.88,24.3,1600747200000,48694
4,4834647.0,24.5151,24.72,23.95,25.3618,23.92,1600833600000,42540
5,3632803.0,23.936,23.95,23.83,24.53,23.46,1600920000000,34771
6,3501393.0,24.1989,23.58,24.43,24.515,23.54,1601006400000,31332
7,4115464.0,25.2904,24.96,25.34,25.54,24.91,1601265600000,30118
8,2899568.0,24.8323,25.22,24.78,25.36,24.49,1601352000000,27606
9,4960635.0,25.3169,24.92,25.28,25.72,24.9,1601438400000,37860
10,3463594.0,25.4035,25.46,25.43,25.71,25.14,1601524800000,31361
11,3393263.0,25.912,24.9,26.21,26.36,24.8,1601611200000,31481
12,4636753.0,27.2097,26.52,27.48,27.5,26.45,1601870400000,31563
13,4826075.0,27.6358,28.0,27.13,28.48,27.02,1601956800000,37868
14,2994604.0,28.0759,27.63,28.12,28.46,27.59,1602043200000,29219
15,2519880.0,28.3924,28.41,28.56,28.63,27.96,1602129600000,22779
16,4188856.0,28.1475,28.75,27.96,28.87,27.87,1602216000000,34060
17,3441195.0,28.304,28.0,28.47,28.51,27.82,1602475200000,22641
18,5914562.0,28.0085,28.44,28.02,28.5,27.57,1602561600000,38652
19,5046634.0,27.918,28.18,27.58,28.56,27.54,1602648000000,34683
20,9371652.0,27.8267,27.24,27.9,28.055,27.15,1602734400000,53232
21,9188202.0,26.6513,27.0,26.61,27.07,26.07,1602820800000,58427
22,4501844.0,26.7831,26.92,26.64,27.075,26.5,1603080000000,36031
23,5194950.0,27.7146,27.11,27.62,28.04,26.99,1603166400000,40770
24,5104086.0,27.4688,27.41,27.55,27.64,27.19,1603252800000,38608
25,4337533.0,28.5634,27.64,28.86,28.98,27.42,1603339200000,34140
26,4428109.0,28.956,29.1,29.13,29.37,28.43,1603425600000,34197
27,4525604.0,28.3205,28.8,28.36,28.91,27.99,1603684800000,33351
28,3537999.0,27.0817,27.75,26.66,28.07,26.64,1603771200000,32816
29,3838008.0,26.048,26.03,25.88,26.519,25.81,1603857600000,31470
30,4531909.0,26.489,25.8,26.71,26.96,25.41,1603944000000,31307
31,3437448.0,26.9121,26.64,27.25,27.26,26.31,1604030400000,31071
32,3825992.0,27.8231,27.61,28.03,28.07,27.08,1604293200000,33461
33,3640817.0,28.9131,28.69,29.01,29.22,28.51,1604379600000,32891
34,5897561.0,26.982,27.98,26.72,28.01,26.44,1604466000000,50901
35,8899733.0,28.6934,26.92,28.91,29.235,26.91,1604552400000,58132
36,4284495.0,28.1912,29.09,27.71,29.34,27.49,1604638800000,38498
37,10734971.0,32.416,30.6,32.33,32.97,30.53,1604898000000,86453
38,5595166.0,32.5299,32.46,32.8,32.975,31.87,1604984400000,43804
39,4052288.0,31.7522,32.9,31.68,32.9,31.42,1605070800000,33870
40,4452027.0,30.5923,30.83,30.68,31.3,30.09,1605157200000,37393
41,3532900.0,31.713,31.16,31.75,32.0,31.07,1605243600000,33761
42,3946202.0,33.0385,33.25,33.04,33.97,32.54,1605502800000,35088
