,v,vw,o,c,h,l,t,n
0,754985.0,609.9788,608.03,609.7,613.59,603.665,1600056000000,15613
1,830391.0,622.5352,610.72,622.55,627.435,610.22,1600142400000,20477
2,1179311.0,631.4823,626.75,630.07,635.855,626.21,1600228800000,26094
3,1341250.0,616.9134,618.23,620.31,624.175,609.665,1600315200000,29346
4,1969005.0,623.0369,622.08,625.25,628.3,611.79,1600401600000,28887
5,1313952.0,612.8489,621.97,614.34,625.92,606.91,1600660800000,27948
6,1216662.0,628.1701,612.45,633.05,634.34,612.45,1600747200000,23664
7,1017419.0,621.1404,632.97,616.35,633.99,615.1,1600833600000,22038
8,931374.0,614.4747,614.46,611.45,621.28,609.54,1600920000000,22528
9,1072822.0,613.5497,609.89,614.23,617.4,606.11,1601006400000,20322
10,1035287.0,627.7466,625.16,628.23,633.64,619.64,1601265600000,21679
11,817367.0,629.3504,626.85,626.5,635.8262,625.02,1601352000000,16969
12,1148721.0,626.5882,629.81,624.34,632.06,620.68,1601438400000,20563
13,1386790.0,633.7473,627.31,635.11,640.0,627.31,1601524800000,24985
14,1046520.0,622.9142,626.54,620.23,633.17,617.285,1601611200000,24748
15,807857.0,634.1294,623.35,633.98,639.27,621.63,1601870400000,19686
16,1104605.0,624.8193,632.36,620.89,638.06,619.1,1601956800000,23758
17,802651.0,625.0898,623.23,623.73,629.73,622.99,1602043200000,14620
18,583760.0,628.1917,626.81,629.08,633.689,622.235,1602129600000,14127
19,625936.0,635.9474,631.88,635.64,639.34,631.64,1602216000000,14623
20,1307412.0,653.1635,643.57,651.72,663.7,639.24,1602475200000,23010
21,963957.0,650.1742,653.61,649.95,656.89,646.49,1602561600000,18193
22,840748.0,643.2907,651.67,638.62,653.635,638.01,1602648000000,16831
23,825854.0,635.9699,631.87,636.89,640.3,630.5,1602734400000,18966
24,772844.0,637.9776,638.87,633.92,646.985,633.52,1602820800000,16111
25,1080619.0,623.2909,635.67,617.66,640.0,616.6955,1603080000000,19701
