,v,vw,o,c,h,l,t,n
0,2560641.0,76.6614,76.58,76.71,77.205,76.17,1600315200000,22136
1,5342567.0,75.9554,76.3,75.83,76.94,75.28,1600401600000,28038
2,3054912.0,74.9839,75.32,75.19,75.93,74.35,1600660800000,28655
3,2896279.0,76.1821,75.24,76.07,76.57,75.22,1600747200000,29469
4,2996576.0,75.4616,76.17,75.14,76.23,75.03,1600833600000,29531
5,2423197.0,75.6771,75.3,75.76,76.27,74.96,1600920000000,27950
6,2840351.0,75.8064,75.39,75.95,76.11,75.33,1601006400000,26249
7,2645077.0,76.869,76.73,76.61,77.51,76.42,1601265600000,27979
8,2117826.0,76.3101,76.67,76.22,76.78,75.85,1601352000000,25667
9,4001559.0,76.9782,76.58,77.15,77.45,76.41,1601438400000,28375
10,4114597.0,77.1067,77.53,77.06,77.73,76.7351,1601524800000,35859
11,3618364.0,77.3253,76.59,77.4,77.96,76.46,1601611200000,38139
12,2809829.0,78.115,77.5,78.42,78.49,77.43,1601870400000,30050
13,2693872.0,77.8296,78.55,77.54,78.63,77.2,1601956800000,29180
14,1963598.0,78.0831,77.83,78.13,78.39,77.69,1602043200000,24234
15,2184856.0,78.6018,78.23,78.74,78.84,78.08,1602129600000,21384
16,2920171.0,79.6682,79.09,79.77,80.1262,78.89,1602216000000,26003
17,2742405.0,80.4019,79.69,80.63,80.955,79.62,1602475200000,21685
18,3138846.0,80.3524,80.5,80.26,80.99,79.85,1602561600000,24802
19,2246709.0,79.9714,80.44,79.86,80.63,79.42,1602648000000,26554
20,3405913.0,79.6915,79.42,79.71,80.14,79.283,1602734400000,26872
21,3192846.0,80.244,80.12,80.31,80.59,80.025,1602820800000,28255
22,2917168.0,79.6355,80.45,79.21,80.9,79.01,1603080000000,27351
23,3003324.0,80.1056,80.07,79.83,80.76,79.71,1603166400000,31787
24,3643218.0,80.1955,79.52,80.2,80.74,79.52,1603252800000,32834
25,2581013.0,79.2883,79.38,79.29,79.68,78.68,1603339200000,25543
26,2295437.0,79.5506,79.55,79.34,80.0,79.32,1603425600000,24205
27,3921744.0,78.6005,78.86,78.69,79.22,78.12,1603684800000,35565
28,2866002.0,79.2444,79.22,78.85,79.64,78.79,1603771200000,32015
29,4820696.0,77.355,77.42,76.86,78.175,76.7,1603857600000,48841
30,3985042.0,76.717,76.54,76.67,77.44,75.5607,1603944000000,43770
31,7450865.0,78.9292,79.94,78.89,81.09,77.675,1604030400000,71687
32,4324182.0,80.1571,80.18,80.16,81.02,79.51,1604293200000,54140
33,5367727.0,82.6503,80.88,83.11,83.42,80.83,1604379600000,52368
34,5770455.0,84.6049,83.35,83.86,85.64,83.09,1604466000000,53634
35,3971195.0,83.6633,84.75,83.01,84.75,82.98,1604552400000,45206
36,3545376.0,82.9834,83.08,83.03,83.55,82.45,1604638800000,35373
37,6761763.0,82.6685,83.8,81.78,84.569,81.54,1604898000000,67093
38,4565315.0,83.2322,81.89,83.35,83.76,81.394,1604984400000,49785
39,3984886.0,84.6344,84.0,84.93,85.245,83.44,1605070800000,36347
40,3745831.0,84.6388,85.0,84.73,85.12,84.205,1605157200000,39408
41,3808011.0,85.1753,84.78,85.36,85.41,84.69,1605243600000,33587
42,3808174.0,85.6457,85.38,85.93,85.94,85.21,1605502800000,33401
43,3460564.0,85.6217,85.39,85.35,86.06,85.28,1605589200000,31470
44,4208304.0,85.1716,85.64,84.61,85.94,84.6,1605675600000,35373
45,4477801.0,85.2375,84.99,85.38,85.64,84.7,1605762000000,42948
46,3877188.0,85.4461,85.52,85.16,86.41,85.12,1605848400000,35934
47,3082221.0,84.587,85.23,84.54,85.23,83.9733,1606107600000,30468
48,4273536.0,84.6156,84.95,84.71,85.65,84.115,1606194000000,41299
49,3195303.0,84.8772,85.14,84.75,85.47,84.44,1606280400000,26713
50,2188268.0,84.7436,84.95,84.9,85.06,84.3,1606453200000,18643
51,4404768.0,85.114,84.99,85.64,85.66,84.2,1606712400000,31680
52,3411903.0,85.9722,85.76,86.26,86.34,85.38,1606798800000,32538
53,2790741.0,85.7845,86.07,85.74,86.38,85.25,1606885200000,25568
54,3892218.0,85.0735,85.52,85.19,85.73,84.41,1606971600000,32538
55,3194853.0,84.8797,85.24,85.03,85.68,84.42,1607058000000,35961
56,2998069.0,85.2783,84.8,85.39,85.86,84.75,1607317200000,28685
