,v,vw,o,c,h,l,t,n
0,39626010.0,45.1874,45.48,45.26,45.85,44.29,1600401600000,125010
1,32257655.0,44.3735,44.92,44.68,45.44,43.41,1600660800000,140341
2,32899316.0,45.9918,44.94,46.19,46.475,44.84,1600747200000,141382
3,19671192.0,45.6929,46.2,45.36,46.38,45.245,1600833600000,108851
4,14500623.0,45.6508,45.19,45.7,46.08,44.905,1600920000000,89687
5,12555978.0,45.9447,45.35,46.15,46.33,45.22,1601006400000,76519
6,16208781.0,46.6817,46.89,46.76,47.07,46.24,1601265600000,94001
7,11873967.0,46.4628,46.85,46.2,46.87,46.17,1601352000000,70340
8,27897250.0,46.3872,46.54,46.26,46.72,45.75,1601438400000,114689
9,15524355.0,46.4597,46.566,46.44,46.77,46.17,1601524800000,79636
10,18104053.0,45.4387,45.8,45.15,45.99,45.11,1601611200000,107678
11,12599396.0,45.6173,45.3,45.81,45.93,45.02,1601870400000,74209
12,17911209.0,44.8156,45.28,44.51,45.52,44.37,1601956800000,91075
13,17829245.0,44.7714,45.03,44.96,45.105,44.26,1602043200000,87450
14,15365992.0,45.1804,45.0895,45.3,45.39,44.83,1602129600000,57997
15,25103928.0,44.9125,45.3801,44.85,45.63,44.68,1602216000000,92020
16,19520077.0,45.8074,45.3,45.99,46.26,44.922,1602475200000,111565
17,13854743.0,45.8014,46.13,45.89,46.31,45.38,1602561600000,85303
18,15326671.0,45.3501,45.8,45.28,46.005,44.99,1602648000000,74814
19,12904916.0,44.9718,45.03,45.11,45.15,44.525,1602734400000,69791
20,13361955.0,45.5063,45.225,45.56,45.885,44.9,1602820800000,78338
21,17520400.0,44.6321,45.56,44.33,45.76,44.2,1603080000000,82271
22,13099584.0,44.3532,44.63,44.27,44.66,44.13,1603166400000,67488
23,13198948.0,44.5548,44.0,44.52,44.9,43.97,1603252800000,75478
24,15957523.0,44.9569,44.5,45.11,45.235,44.36,1603339200000,77817
25,10529350.0,44.9795,45.4,45.06,45.55,44.6,1603425600000,65958
26,15634591.0,43.9295,44.71,43.77,44.82,43.55,1603684800000,97647
27,11134876.0,43.5276,43.6,43.44,43.84,43.36,1603771200000,67519
28,20200151.0,42.2972,42.91,41.98,43.08,41.91,1603857600000,120883
29,20354399.0,43.0074,42.08,43.06,43.69,41.89,1603944000000,126842
30,22002001.0,42.1651,42.47,42.24,43.05,41.7464,1604030400000,120609
31,24480430.0,41.4912,42.75,41.4,42.93,40.965,1604293200000,132040
32,20761579.0,42.5736,41.95,42.62,42.98,41.7521,1604379600000,107517
33,23064111.0,44.0039,44.27,43.7,44.61,43.4,1604466000000,137326
34,18897353.0,44.496,44.58,44.35,44.81,44.21,1604552400000,98572
35,13159145.0,44.4765,44.57,44.53,44.7,43.95,1604638800000,72869
36,37456780.0,47.5281,47.6,47.18,48.23,46.72,1604898000000,187323
37,21103089.0,47.6302,46.1655,47.77,47.96,45.95,1604984400000,115663
38,11840198.0,47.6025,47.78,47.67,47.97,47.12,1605070800000,81906
39,20021297.0,47.679,47.6275,47.98,48.09,47.25,1605157200000,104020
40,17035841.0,48.9101,47.81,49.0,49.245,47.73,1605243600000,101144
41,19426603.0,49.5537,49.4,49.54,49.75,49.25,1605502800000,105623
42,19426024.0,49.6792,49.19,49.78,49.99,48.98,1605589200000,89530
43,18279215.0,49.5723,49.6,49.14,50.38,49.04,1605675600000,103846
44,13484466.0,49.4469,49.2109,49.48,49.735,49.0,1605762000000,78571
45,19830089.0,49.276,49.28,49.17,49.68,49.1,1605848400000,74586
46,14677517.0,49.5669,49.09,49.81,49.98,48.79,1606107600000,79574
47,31754006.0,51.749,50.0,52.34,52.49,49.92,1606194000000,143294
48,19322119.0,51.4112,52.17,51.8,52.195,50.7779,1606280400000,105398
49,6243660.0,51.7998,51.31,51.75,52.21,51.31,1606453200000,36249
50,34359794.0,50.4909,51.13,50.24,51.48,49.84,1606712400000,118410
51,14084950.0,50.8971,50.75,51.02,51.27,50.11,1606798800000,96234
52,14262952.0,51.0969,50.93,51.05,51.335,50.81,1606885200000,76774
53,14677167.0,51.4249,50.77,51.59,51.72,50.68,1606971600000,79113
54,12158096.0,51.6733,51.75,51.69,51.91,51.49,1607058000000,65690
55,12195893.0,51.7653,51.58,51.93,52.02,51.24,1607317200000,68662
56,13352423.0,51.506,51.3,51.41,51.8,51.21,1607403600000,82833
57,17327429.0,51.5153,51.62,51.26,52.355,51.15,1607490000000,101130
58,17304090.0,50.4637,51.28,50.48,51.28,50.25,1607576400000,87451
59,19640245.0,50.7324,50.5674,50.93,51.105,50.13,1607662800000,109647
60,14005769.0,51.0471,50.8528,50.99,51.27,50.75,1607922000000,79947
61,18870055.0,51.6135,51.38,51.51,52.095,51.3,1608008400000,104559
62,13129797.0,51.5303,51.68,51.43,52.07,51.01,1608094800000,73931
63,13464901.0,51.3365,51.54,51.36,51.88,51.08,1608181200000,78726
64,31640433.0,50.9576,51.56,50.9,51.6,50.4,1608267600000,90529
65,19672374.0,50.3086,50.52,50.37,50.65,49.48,1608526800000,92355
66,13739850.0,50.0234,50.0,50.02,50.31,49.8,1608613200000,67915
67,12934228.0,49.9731,50.15,50.035,50.27,49.65,1608699600000,71397
68,3875302.0,50.291,50.2,50.38,50.44,50.085,1608786000000,29822
69,13510792.0,51.115,50.78,51.11,51.36,50.53,1609131600000,67293
70,11245224.0,51.5106,51.16,51.55,51.7277,51.04,1609218000000,62182
71,9953969.0,51.3625,51.69,51.21,51.925,51.19,1609304400000,55254
72,11651211.0,52.2004,51.3597,52.4,52.48,51.24,1609390800000,66368
73,22302131.0,50.5586,52.28,50.51,52.4,49.615,1609736400000,132205
74,17854645.0,49.8827,50.1597,49.98,50.295,49.195,1609822800000,99259
75,22552567.0,50.2404,49.12,50.56,50.77,49.1,1609909200000,124406
76,20230810.0,50.6392,50.2,50.66,50.98,50.1,1609995600000,88543
77,22140412.0,51.3323,50.3588,51.54,51.66,50.31,1610082000000,124963
78,18795694.0,51.3272,51.735,51.52,51.74,50.7279,1610341200000,96410
79,20819455.0,50.1708,51.29,50.01,51.545,49.61,1610427600000,123115
80,16226974.0,50.1015,49.62,50.16,50.375,49.521,1610514000000,83528
