,v,vw,o,c,h,l,t,n
0,440181.0,1277.9248,1311.62,1267.19,1318.0,1254.5296,1600056000000,17332
1,334684.0,1280.1188,1283.6,1277.36,1291.39,1269.1,1600142400000,14036
2,306993.0,1270.8009,1286.46,1265.87,1286.84,1264.13,1600228800000,10855
3,457598.0,1226.4135,1240.74,1225.37,1251.39,1209.03,1600315200000,18513
4,802252.0,1217.3576,1231.0,1215.48,1247.36,1200.94,1600401600000,15006
5,312951.0,1195.672,1194.24,1206.52,1207.81,1180.0001,1600660800000,13508
6,306090.0,1229.7419,1223.83,1234.58,1242.64,1215.37,1600747200000,11529
7,535115.0,1263.4728,1250.33,1248.39,1290.9311,1240.44,1600833600000,20284
8,243820.0,1232.0996,1239.49,1229.28,1245.93,1215.5237,1600920000000,11060
9,236691.0,1239.2679,1223.86,1244.5,1253.48,1217.39,1601006400000,9241
10,200101.0,1259.742,1263.16,1263.35,1274.94,1243.5,1601265600000,8534
11,180632.0,1259.5385,1263.26,1261.61,1266.7,1245.13,1601352000000,8371
12,288818.0,1250.4274,1261.8,1243.71,1272.0,1234.37,1601438400000,11598
13,351218.0,1243.91,1255.57,1238.02,1265.0,1231.0,1601524800000,13790
14,286156.0,1245.5566,1214.3,1254.8,1265.715,1214.0,1601611200000,11242
15,203097.0,1253.8391,1258.07,1253.01,1264.0,1242.0,1601870400000,10593
16,471190.0,1274.3235,1252.48,1256.41,1291.983,1248.03,1601956800000,18088
17,243788.0,1281.3736,1272.6,1278.68,1295.345,1266.06,1602043200000,10911
18,244088.0,1276.3889,1287.92,1281.75,1288.0,1260.0,1602129600000,11083
19,246389.0,1282.9276,1287.48,1281.99,1291.9962,1276.895,1602216000000,10391
20,207781.0,1283.7237,1291.19,1278.93,1292.12,1275.48,1602475200000,10083
21,403019.0,1314.5442,1282.29,1325.22,1330.0,1272.07,1602561600000,16992
22,288094.0,1325.8515,1330.17,1321.37,1341.99,1314.8,1602648000000,11564
23,264926.0,1332.7156,1306.15,1343.25,1344.895,1305.0,1602734400000,10631
24,306071.0,1345.744,1348.88,1339.68,1356.75,1335.5277,1602820800000,12511
25,323221.0,1342.6059,1345.0,1335.59,1357.3,1328.0,1603080000000,12624
