,v,vw,o,c,h,l,t,n
0,5263500.0,60.8659,60.53,61.13,61.34,60.11,1600401600000,31289
1,7799511.0,56.039,58.0,55.99,58.03,55.12,1600660800000,64857
2,7030702.0,54.7169,56.01,54.34,56.4,53.94,1600747200000,59181
3,5722249.0,54.6699,54.22,54.94,55.37,53.6,1600833600000,48945
4,4002002.0,54.4436,54.81,54.3,55.47,53.84,1600920000000,36948
5,3910654.0,55.0483,54.3,55.41,55.56,54.0,1601006400000,31456
6,4559169.0,55.6681,56.21,55.52,56.84,55.25,1601265600000,32350
7,2550986.0,55.7376,55.74,55.86,56.175,55.24,1601352000000,24826
8,3697584.0,58.1446,56.26,58.33,58.885,56.21,1601438400000,31001
9,3893832.0,58.5392,58.36,58.82,58.94,57.69,1601524800000,27759
10,4005822.0,59.9704,58.08,59.98,60.91,57.6,1601611200000,30636
11,3593046.0,62.1036,60.49,62.26,62.7,60.28,1601870400000,31296
12,4197750.0,62.5522,62.33,62.25,63.67,61.74,1601956800000,29437
13,3130251.0,64.574,62.76,64.62,65.14,62.58,1602043200000,28986
14,2160157.0,64.5164,65.0,64.68,65.26,63.84,1602129600000,19785
15,2384365.0,64.1257,64.99,64.2,65.23,63.555,1602216000000,21407
16,2249169.0,65.3196,64.69,65.3,65.83,64.47,1602475200000,21090
17,3053443.0,65.6917,64.7,65.37,66.39,64.51,1602561600000,23904
18,2518846.0,65.1045,65.24,65.19,65.7,63.89,1602648000000,23555
19,2498681.0,65.653,64.12,65.86,66.12,64.01,1602734400000,24248
20,2715666.0,66.2992,66.0,66.21,66.85,65.2,1602820800000,18852
21,1529206.0,65.9693,66.3,65.73,66.75,65.44,1603080000000,16908
22,1776589.0,65.7648,65.92,65.56,66.51,65.25,1603166400000,20531
23,2160929.0,66.0113,65.37,65.98,66.55,65.21,1603252800000,18097
24,1722000.0,66.7909,66.02,66.94,67.31,66.02,1603339200000,21904
25,2405147.0,67.5563,67.31,67.42,68.64,67.06,1603425600000,21610
26,2803350.0,66.2108,66.67,66.39,67.01,65.63,1603684800000,29933
27,4086960.0,63.9653,62.69,64.14,64.96,61.02,1603771200000,36567
28,3388823.0,61.6447,62.76,61.16,63.31,61.03,1603857600000,31844
29,5225430.0,59.0343,60.96,58.33,61.145,58.33,1603944000000,42057
30,4384534.0,58.7496,58.21,59.1,59.58,58.19,1604030400000,41765
31,6638261.0,61.4939,60.02,62.38,62.54,59.84,1604293200000,54016
32,4716467.0,64.4325,63.35,64.64,65.45,62.886,1604379600000,41865
33,9150564.0,64.5808,64.0,63.99,65.84,63.41,1604466000000,69259
34,6243780.0,67.4893,64.81,67.88,68.18,64.31,1604552400000,47963
35,3699885.0,67.8456,68.0,67.93,68.3,66.5,1604638800000,33913
36,4356643.0,69.7757,69.85,68.82,71.09,68.68,1604898000000,41744
37,6604563.0,70.7444,69.76,71.12,72.31,67.85,1604984400000,50895
38,4191797.0,70.586,72.0,69.4,72.24,69.39,1605070800000,40897
