,v,vw,o,c,h,l,t,n
0,2533055.0,103.0491,101.92,103.66,103.84,101.74,1600401600000,22505
1,1291659.0,101.8652,102.09,102.63,102.72,100.07,1600660800000,18078
2,1268668.0,104.4048,103.0,105.06,105.28,102.91,1600747200000,17951
3,822012.0,103.3774,105.37,102.32,105.675,102.06,1600833600000,12802
4,932872.0,102.1213,101.96,102.01,103.28,101.22,1600920000000,14593
5,1014936.0,103.7785,102.19,104.26,104.73,101.82,1601006400000,14316
6,1063420.0,106.0216,105.61,106.16,106.5,105.4,1601265600000,16927
7,583125.0,105.9047,106.24,105.74,106.82,105.26,1601352000000,11175
8,1827186.0,105.5987,105.86,105.16,107.01,104.63,1601438400000,20127
9,1128600.0,106.8632,106.18,107.22,107.48,105.86,1601524800000,19096
10,941461.0,106.9874,105.66,107.34,107.66,105.66,1601611200000,15206
11,1216925.0,109.3908,108.95,109.69,109.96,108.185,1601870400000,16603
12,1074377.0,110.3506,109.63,109.68,112.02,109.08,1601956800000,17124
13,1125984.0,111.2601,110.78,111.32,111.78,110.57,1602043200000,16587
14,1222777.0,113.4265,111.88,114.0,114.01,111.43,1602129600000,16130
15,939313.0,115.4792,114.59,115.21,116.45,114.28,1602216000000,12110
16,1108507.0,117.1341,116.42,117.09,118.36,114.76,1602475200000,17217
17,1124691.0,116.7484,117.06,116.37,117.83,116.24,1602561600000,16105
18,804160.0,116.5964,116.39,115.8,118.12,115.485,1602648000000,13137
19,730901.0,117.0121,114.91,117.64,118.1,114.61,1602734400000,13084
20,860136.0,117.562,117.86,117.18,118.56,116.73,1602820800000,12611
21,900065.0,115.8264,116.91,115.26,118.36,114.685,1603080000000,14145
22,615155.0,115.7359,115.8,114.98,116.62,114.83,1603166400000,11396
23,612160.0,114.7266,115.1,114.6,116.04,114.01,1603252800000,9371
24,1000749.0,114.0439,114.74,114.09,115.08,113.2,1603339200000,14385
25,1238466.0,114.4214,114.98,114.29,115.805,113.69,1603425600000,15000
26,957588.0,111.5927,112.32,111.98,113.19,110.2,1603684800000,15555
27,837574.0,112.3035,112.01,112.1,113.12,111.65,1603771200000,13742
28,1269821.0,109.3027,110.33,108.47,110.93,108.37,1603857600000,19352
29,1641024.0,110.5596,108.11,111.28,112.26,107.64,1603944000000,23361
30,1498382.0,110.2514,109.98,110.36,111.3,109.24,1604030400000,19060
31,1547955.0,113.195,111.9,113.4,114.255,110.17,1604293200000,23794
32,1395608.0,117.2803,114.83,116.38,118.77,114.33,1604379600000,21476
33,1105513.0,121.2746,119.39,121.34,122.93,117.61,1604466000000,16900
34,1080347.0,123.8248,122.6,123.95,124.73,121.77,1604552400000,16092
35,719553.0,123.6368,124.25,123.72,124.25,122.64,1604638800000,11254
36,1815275.0,124.4013,129.43,121.33,130.96,121.3,1604898000000,21454
37,1856302.0,117.9284,120.19,116.99,120.9,116.51,1604984400000,25928
38,1075766.0,117.6222,117.62,117.8,118.74,116.73,1605070800000,17198
39,903048.0,117.8199,118.81,117.33,119.39,116.98,1605157200000,13752
40,1630856.0,117.6524,117.5,117.71,118.9,117.13,1605243600000,15490
41,1966912.0,116.4636,117.65,116.05,118.755,115.8,1605502800000,24681
42,1271778.0,115.7295,115.81,116.19,116.74,114.19,1605589200000,17941
43,1849695.0,116.7759,116.79,115.97,118.02,115.29,1605675600000,24886
44,2010346.0,113.7399,116.65,113.83,117.25,112.05,1605762000000,32804
45,1451069.0,114.3311,113.45,114.47,115.37,112.57,1605848400000,21548
46,1393723.0,113.0927,114.16,113.15,114.53,111.86,1606107600000,21773
47,1497514.0,113.2764,113.7192,113.2,114.26,112.67,1606194000000,21983
48,983610.0,114.4132,113.78,114.76,115.04,113.03,1606280400000,15592
49,484586.0,114.7384,114.29,115.21,115.4,114.0,1606453200000,8650
50,2910965.0,115.1943,115.21,115.45,115.65,113.7807,1606712400000,22610
51,1414529.0,115.6846,116.0,115.25,117.2,114.935,1606798800000,21858
52,1065804.0,113.6488,115.06,113.3,115.17,113.13,1606885200000,12932
53,1507006.0,114.782,111.95,115.0,115.57,111.95,1606971600000,17567
54,1363664.0,112.859,115.0,112.09,115.3217,111.9,1607058000000,19783
55,1145023.0,114.2738,112.62,114.61,115.04,112.21,1607317200000,13621
56,1108003.0,115.2241,114.03,115.56,116.18,113.5,1607403600000,15774
57,945959.0,114.6707,115.38,114.08,116.36,113.65,1607490000000,14390
58,986560.0,114.3822,113.76,114.75,114.92,112.87,1607576400000,14059
59,1296397.0,116.2205,114.19,116.98,117.05,113.54,1607662800000,19750
60,1874682.0,118.5834,117.5,118.29,119.94,117.135,1607922000000,22932
61,1839604.0,121.2047,119.19,121.36,122.24,119.02,1608008400000,21708
62,953426.0,121.219,121.6,120.92,123.16,120.08,1608094800000,15384
63,892393.0,121.6784,121.42,121.68,122.11,120.89,1608181200000,13917
64,2452796.0,122.1287,122.56,122.36,122.56,120.74,1608267600000,15779
65,1883070.0,121.7171,120.57,122.18,122.33,118.4,1608526800000,14873
66,806478.0,122.6011,122.17,123.04,123.09,121.055,1608613200000,13947
67,751706.0,123.5662,123.25,123.35,124.11,123.08,1608699600000,12734
68,291371.0,123.3478,123.56,123.71,124.04,122.7,1608786000000,4973
69,1010414.0,126.3432,125.36,126.72,127.58,124.26,1609131600000,15417
70,940426.0,125.8738,127.17,125.92,127.66,125.02,1609218000000,14235
71,886250.0,127.2089,126.01,126.54,128.135,125.9301,1609304400000,13414
72,867459.0,127.0653,126.47,127.25,127.58,125.62,1609390800000,9775
73,1685306.0,121.7873,127.85,120.65,128.32,120.16,1609736400000,24991
74,1472728.0,119.8424,120.32,120.13,121.57,118.45,1609822800000,20574
75,1689515.0,118.6345,117.93,117.8,120.39,117.2901,1609909200000,26771
76,1370414.0,120.167,117.8,120.87,121.14,117.8,1609995600000,18613
77,843522.0,122.6009,120.67,122.18,124.01,120.46,1610082000000,16613
78,668827.0,120.8381,122.07,120.87,122.17,119.81,1610341200000,14805
79,775619.0,121.973,120.46,121.83,122.688,120.12,1610427600000,13964
80,808326.0,119.7241,121.74,119.1,121.77,119.04,1610514000000,13726
81,781838.0,117.8458,119.1,117.26,119.22,117.0,1610600400000,15165
82,1377084.0,115.3119,116.49,115.78,116.52,113.5901,1610686800000,18582
83,903353.0,116.2039,116.11,116.09,117.17,115.35,1611032400000,15088
84,972635.0,116.1676,116.04,116.39,116.56,114.95,1611118800000,13611
85,990869.0,116.0164,116.44,115.7,117.62,115.275,1611205200000,14604
86,1621170.0,114.6727,115.38,114.59,115.87,114.07,1611291600000,16979
87,1588329.0,112.882,113.93,112.9,114.2,111.37,1611550800000,21059
88,1057290.0,111.2267,112.77,110.27,112.9,110.09,1611637200000,16026
89,2188834.0,108.463,108.78,108.25,110.316,106.68,1611723600000,32847
90,1685517.0,110.2959,109.07,109.92,111.43,108.46,1611810000000,22621
91,1468866.0,109.47,109.0,109.75,110.4,107.84,1611896400000,21344
92,1013857.0,110.9499,110.11,110.86,111.71,109.76,1612155600000,17769
93,1140968.0,113.2606,111.81,113.96,114.35,111.47,1612242000000,19308
94,935162.0,112.6109,113.36,112.1,114.0,111.8,1612328400000,16590
95,781261.0,113.9434,112.44,114.33,114.76,111.99,1612414800000,12786
96,1761862.0,118.9892,116.88,119.39,120.14,115.55,1612501200000,24382
97,1043877.0,120.7873,119.5,120.78,121.51,119.0,1612760400000,15335
98,894329.0,121.0228,120.97,121.08,121.455,120.41,1612846800000,14235
99,847619.0,119.0619,121.669,118.05,121.97,117.73,1612933200000,14185
100,881241.0,116.2873,118.86,115.97,119.22,115.39,1613019600000,15888
101,907246.0,118.9482,117.74,119.425,119.91,116.62,1613106000000,15270
102,957084.0,118.1869,119.74,118.14,119.8,117.06,1613451600000,20248
103,785918.0,117.2802,117.89,117.99,118.17,115.06,1613538000000,13948
104,1111783.0,118.2673,117.63,118.77,119.04,116.92,1613624400000,18619
105,2252329.0,117.6701,116.39,117.07,118.955,116.1,1613710800000,29744
106,1892557.0,113.3379,116.22,112.53,116.23,111.875,1613970000000,26077
107,1517364.0,110.6089,112.16,111.21,113.1,109.11,1614056400000,23925
108,1487251.0,110.8443,109.96,110.56,112.42,108.855,1614142800000,22064
109,1259203.0,107.8207,109.79,106.92,111.09,106.28,1614229200000,20741
110,1636873.0,109.1161,107.47,109.16,110.13,106.84,1614315600000,22446
111,2149620.0,109.5117,110.09,109.82,110.745,108.73,1614574800000,21964
112,977004.0,109.5515,110.13,109.57,110.78,108.38,1614661200000,14927
113,1245579.0,107.9111,108.8,107.01,109.47,106.79,1614747600000,21854
114,1681958.0,105.2582,106.65,104.11,108.39,103.89,1614834000000,25482
115,1079426.0,104.9462,104.98,106.39,106.62,101.92,1614920400000,21155
116,1242949.0,105.2689,105.3,103.99,107.32,103.9,1615179600000,23182
117,990308.0,106.5366,105.89,106.31,107.3557,105.19,1615266000000,15147
118,1219888.0,108.6987,107.5492,108.67,109.29,107.29,1615352400000,20258
119,827853.0,110.1363,109.05,110.32,110.6496,109.05,1615438800000,13426
120,597251.0,109.6183,109.78,109.95,110.66,108.47,1615525200000,11271
121,585805.0,110.4996,109.87,110.84,110.865,109.52,1615780800000,10817
122,730377.0,109.4785,111.94,109.03,112.32,108.65,1615867200000,12705
123,1244212.0,109.5928,108.73,110.53,111.04,107.51,1615953600000,18475
124,1421095.0,109.9829,109.07,109.01,111.6,108.7,1616040000000,21118
125,2615525.0,107.1848,109.0,106.595,109.36,105.87,1616126400000,22952
126,1188523.0,109.4291,106.4,109.79,110.145,106.34,1616385600000,17242
127,1348219.0,108.2979,108.96,107.39,110.5,107.15,1616472000000,19383
128,1390538.0,106.7084,108.21,105.9,108.35,105.88,1616558400000,21129
129,1089211.0,105.0303,106.07,105.51,106.325,104.085,1616644800000,22285
130,1229046.0,106.3425,104.75,107.43,107.57,104.75,1616731200000,17060
131,911877.0,106.2194,107.49,106.12,107.99,105.354,1616990400000,15037
132,990741.0,105.9535,105.74,106.25,106.54,104.79,1617076800000,15595
133,1504702.0,108.7473,106.65,108.61,109.765,105.9,1617163200000,17851
134,1368993.0,111.8721,109.72,112.61,112.81,108.86,1617249600000,22336
135,924899.0,113.3491,113.37,113.75,113.85,112.32,1617595200000,15483
136,1196139.0,113.3413,113.55,112.85,114.42,112.61,1617681600000,16434
137,1097418.0,112.83,112.61,113.42,113.75,111.34,1617768000000,14510
138,912831.0,114.8059,114.13,114.94,115.27,114.0,1617854400000,18678
139,1479745.0,117.2262,115.09,118.03,118.31,114.8,1617940800000,25112
140,790009.0,118.148,117.6,118.31,118.6,117.37,1618200000000,15072
141,1053430.0,117.7934,117.9,117.53,119.24,117.04,1618286400000,16030
142,1378257.0,118.9554,117.63,118.97,119.98,117.4097,1618372800000,19119
143,1684409.0,121.5496,119.77,121.68,122.55,119.52,1618459200000,24760
144,1468213.0,123.1999,122.38,123.48,123.92,121.55,1618545600000,18877
145,1262055.0,122.1074,122.82,121.76,123.01,121.53,1618804800000,16144
146,737622.0,121.4223,122.0,121.29,122.97,120.7743,1618891200000,13639
147,636819.0,122.4313,121.25,122.55,123.15,120.83,1618977600000,11284
148,984265.0,123.1917,122.6,122.89,124.65,121.9,1619064000000,15049
149,936239.0,124.7419,123.63,124.68,125.435,123.625,1619150400000,13978
150,847289.0,123.4573,124.94,123.45,124.94,122.35,1619409600000,10431
151,712186.0,123.8715,123.25,123.97,124.54,122.92,1619496000000,11270
152,700882.0,123.1688,123.6,123.28,123.81,122.67,1619582400000,12460
153,619432.0,125.3037,123.99,125.67,126.1773,123.48,1619668800000,13041
154,1054735.0,124.5949,124.65,124.51,125.3,124.14,1619755200000,13264
155,619263.0,124.8038,125.37,124.5,125.565,124.28,1620014400000,13609
156,812492.0,122.9973,123.99,123.51,124.03,121.67,1620100800000,15220
157,996884.0,122.8945,123.96,122.61,124.51,122.435,1620187200000,13707
158,676412.0,122.0364,123.05,122.54,123.05,120.73,1620273600000,12277
159,845269.0,124.5395,122.79,124.56,125.07,122.49,1620360000000,13087
160,726475.0,123.8965,123.98,123.11,125.23,121.66,1620619200000,15212
161,851405.0,121.3911,123.26,121.04,123.6,120.605,1620705600000,15726
162,1187713.0,118.5541,118.83,118.1,120.13,117.6,1620792000000,19033
163,916490.0,120.5912,119.28,120.49,121.11,119.0,1620878400000,17260
164,741003.0,123.6394,120.96,124.13,124.64,120.75,1620964800000,13605
165,667273.0,122.9037,122.96,122.95,124.21,122.04,1621224000000,13384
166,920096.0,121.7871,123.03,121.17,123.21,121.13,1621310400000,15392
167,1227195.0,120.1194,119.41,120.99,121.11,118.03,1621396800000,22099
168,1813038.0,124.1809,127.0,124.09,127.95,122.69,1621483200000,28695
169,1444156.0,126.842,124.67,127.02,127.58,124.67,1621569600000,23479
170,1220775.0,127.9346,128.3,128.14,128.5673,126.82,1621828800000,21092
171,1046955.0,127.9926,128.36,127.83,128.934,127.4,1621915200000,15226
172,625453.0,127.564,127.94,127.91,128.21,126.85,1622001600000,15008
173,1786093.0,128.6263,127.97,128.49,130.07,127.04,1622088000000,17934
174,993787.0,128.8724,128.31,129.01,129.3305,128.01,1622174400000,15119
175,929245.0,126.2773,129.44,125.8,129.64,125.4786,1622520000000,16235
176,898481.0,124.8143,125.81,124.44,126.31,124.22,1622606400000,18282
177,810716.0,123.4545,123.31,123.62,124.06,121.63,1622692800000,14771
178,697182.0,124.6601,124.06,125.03,125.22,123.46,1622779200000,12363
179,922058.0,123.9782,124.91,124.34,125.165,123.05,1623038400000,14540
180,607045.0,124.3526,124.48,124.37,124.925,123.55,1623124800000,12988
181,581854.0,123.0234,124.68,122.53,124.68,122.48,1623211200000,11826
182,846240.0,123.2957,122.71,123.93,124.05,121.56,1623297600000,16435
183,503634.0,124.8765,124.08,124.84,125.66,123.875,1623384000000,10767
184,653896.0,125.1009,124.96,125.68,125.84,123.69,1623643200000,12000
185,591850.0,125.4642,125.93,125.57,126.0,124.75,1623729600000,10413
186,730992.0,125.448,125.53,125.7,126.15,124.26,1623816000000,13272
187,945282.0,127.6453,125.5,128.07,128.38,125.45,1623902400000,17790
188,1695636.0,127.8443,126.41,128.14,128.85,125.57,1623988800000,21325
189,1449787.0,131.2253,128.72,131.72,132.3399,128.6,1624248000000,21510
190,933434.0,131.6691,132.02,131.53,132.17,130.79,1624334400000,14687
191,726263.0,131.9312,131.68,131.68,132.6,130.81,1624420800000,12453
192,705836.0,131.675,132.47,131.39,132.74,131.149,1624507200000,15385
193,1308152.0,132.6933,131.93,133.28,133.47,131.42,1624593600000,13606
194,953168.0,133.419,134.0,133.61,134.04,132.56,1624852800000,16615
195,1441904.0,133.3884,133.43,133.31,134.69,132.73,1624939200000,19008
196,683698.0,131.9975,133.37,131.83,133.625,131.65,1625025600000,12352
197,744307.0,134.2153,132.04,134.42,135.07,131.92,1625112000000,12998
198,765041.0,135.2187,134.75,135.24,135.97,134.32,1625198400000,13870
199,1182606.0,135.9699,135.67,136.59,136.64,134.07,1625544000000,19640
200,1397054.0,138.4447,137.15,138.74,138.95,136.85,1625630400000,19755
201,1325072.0,137.6638,137.5,136.85,139.13,136.28,1625716800000,23317
202,706888.0,137.9129,136.22,138.49,138.71,136.16,1625803200000,15445
203,924357.0,139.3308,138.57,139.15,140.66,138.545,1626062400000,16523
204,560494.0,138.3293,139.07,138.3,139.4,137.6,1626148800000,14760
205,653659.0,139.4975,138.99,139.53,140.5002,138.99,1626235200000,13273
206,931992.0,139.0646,139.06,139.49,140.04,137.69,1626321600000,17986
207,766627.0,140.3647,139.75,140.14,141.32,139.22,1626408000000,15821
208,1085533.0,139.4601,139.24,139.72,140.528,138.65,1626667200000,19382
209,1319792.0,143.3247,140.26,143.45,144.44,139.9,1626753600000,21045
210,738798.0,144.1623,143.29,144.4,144.5062,143.01,1626840000000,16609
211,685670.0,145.247,146.0,145.52,146.0,143.45,1626926400000,14918
212,661696.0,146.8135,146.0,146.64,147.555,145.56,1627012800000,12905
213,864784.0,145.7702,146.21,145.95,146.64,144.8338,1627272000000,15255
214,790279.0,145.3882,146.01,146.06,146.77,143.9,1627358400000,16561
215,696610.0,145.503,146.06,145.6,146.54,144.37,1627444800000,14865
216,583582.0,146.7987,146.1,146.7,147.95,145.12,1627531200000,13376
217,867562.0,146.8343,146.25,147.0,147.2,145.13,1627617600000,14211
218,923476.0,146.2789,147.17,146.04,148.31,145.55,1627876800000,17992
219,748699.0,147.973,146.69,148.19,148.84,146.28,1627963200000,16189
220,816048.0,148.2136,147.54,148.33,149.065,147.13,1628049600000,17506
221,684712.0,147.9233,148.34,148.21,148.67,146.77,1628136000000,14668
222,932064.0,146.1843,148.29,145.99,148.29,145.658,1628222400000,17763
223,540447.0,145.9168,145.76,146.03,146.39,145.075,1628481600000,12893
224,1018927.0,144.0627,145.85,143.33,146.54,143.1,1628568000000,18558
225,698499.0,143.1545,143.59,143.39,144.44,142.14,1628654400000,15801
226,849225.0,141.4635,142.88,141.36,143.02,140.88,1628740800000,15251
227,790508.0,141.2714,141.36,141.5,141.91,139.69,1628827200000,15000
