,v,vw,o,c,h,l,t,n
0,183114.0,4.576,4.32,4.69,4.8,4.25,1600056000000,1110
1,322116.0,5.5274,4.7,5.37,6.04,4.7,1600142400000,2278
2,330650.0,6.1333,5.45,6.01,6.57,5.45,1600228800000,3138
3,510670.0,6.4233,5.83,6.0,7.16,5.7725,1600315200000,3668
4,828095.0,7.5526,5.97,8.14,8.35,5.9614,1600401600000,4673
5,408811.0,7.6202,7.73,7.77,8.18,7.1,1600660800000,2746
6,416872.0,8.618,7.88,8.66,9.1626,7.88,1600747200000,2955
7,705931.0,9.4783,8.9,9.1,10.2633,8.7101,1600833600000,5088
8,337896.0,8.0787,8.81,7.93,8.9,7.52,1600920000000,2435
9,174591.0,8.3479,7.98,8.27,8.8713,7.94,1601006400000,1460
10,164440.0,8.228,8.23,8.18,8.5,8.1,1601265600000,1401
11,204742.0,7.4054,8.11,7.33,8.1399,7.01,1601352000000,1653
12,118437.0,7.2764,7.14,7.32,7.59,7.14,1601438400000,1034
13,94669.0,7.308,7.3,7.42,7.47,7.1261,1601524800000,1254
14,111716.0,7.7607,7.18,7.92,7.9782,7.18,1601611200000,1199
15,112821.0,7.7974,7.94,7.81,8.16,7.51,1601870400000,680
16,102420.0,7.9881,7.8,7.89,8.2,7.5,1601956800000,872
17,115412.0,8.0144,7.86,8.2,8.35,7.69,1602043200000,1259
18,92503.0,8.6457,8.24,8.71,8.95,8.0752,1602129600000,774
19,58494.0,8.225,8.69,8.06,8.81,7.99,1602216000000,600
20,38044.0,7.9423,8.05,8.0,8.1786,7.76,1602475200000,459
21,55282.0,7.7312,8.0,7.62,8.1,7.59,1602561600000,691
22,43146.0,7.9175,7.68,7.81,8.06,7.68,1602648000000,404
23,107160.0,7.5599,7.72,7.37,7.914,7.36,1602734400000,885
24,41049.0,7.3789,7.33,7.35,7.5,7.31,1602820800000,456
25,67676.0,7.3771,7.35,7.33,7.67,7.27,1603080000000,790
26,52024.0,7.5886,7.51,7.58,7.77,7.405,1603166400000,535
27,32671.0,7.736,7.51,7.65,7.86,7.51,1603252800000,390
28,73291.0,7.9567,7.62,8.13,8.28,7.62,1603339200000,648
29,82220.0,8.4114,8.25,8.38,8.57,8.25,1603425600000,619
30,71238.0,8.0458,8.14,8.04,8.2843,7.99,1603684800000,817
31,39090.0,8.0361,8.04,7.95,8.4,7.92,1603771200000,403
32,154090.0,7.6248,7.94,7.48,8.0,7.46,1603857600000,1197
33,192632.0,7.1401,7.48,6.85,7.53,6.7201,1603944000000,1192
34,76867.0,6.5072,6.8,6.45,6.825,6.37,1604030400000,815
35,45478.0,6.651,6.52,6.94,6.96,6.42,1604293200000,464
36,38769.0,7.1388,7.0,7.59,7.6,6.83,1604379600000,472
37,59854.0,6.883,7.52,6.64,7.53,6.56,1604466000000,725
38,48097.0,7.0951,6.65,7.26,7.39,6.65,1604552400000,478
39,56186.0,7.4468,7.25,7.53,7.75,7.06,1604638800000,510
40,98907.0,7.855,7.75,7.98,8.3599,7.52,1604898000000,926
41,64752.0,8.186,7.95,8.32,8.35,7.8,1604984400000,832
42,66948.0,8.3839,8.32,8.31,8.6,8.09,1605070800000,890
43,46855.0,8.2509,8.39,8.03,8.39,8.0,1605157200000,518
44,68664.0,8.4743,8.14,8.31,8.71,8.11,1605243600000,558
45,93523.0,8.41,8.42,8.25,8.62,8.25,1605502800000,957
46,108874.0,8.192,8.25,8.1,8.35,8.03,1605589200000,1270
47,146786.0,8.2481,8.15,7.75,8.68,7.72,1605675600000,1253
48,101382.0,7.6277,7.75,7.54,7.83,7.43,1605762000000,1196
49,93750.0,7.3935,7.5,7.21,7.545,7.21,1605848400000,911
50,101013.0,7.2201,6.98,7.14,7.5,6.96,1606107600000,1039
51,130484.0,7.7633,7.23,7.69,8.19,7.23,1606194000000,1233
52,109932.0,7.8133,7.67,7.79,8.01,7.46,1606280400000,966
53,81371.0,8.0009,7.77,7.99,8.24,7.72,1606453200000,766
54,89114.0,7.5825,7.86,7.4,7.97,7.4,1606712400000,814
55,52095.0,7.4847,7.53,7.27,7.86,7.27,1606798800000,625
56,116829.0,7.1498,7.37,7.16,7.39,6.98,1606885200000,1101
57,243678.0,7.1695,7.19,7.29,7.35,6.99,1606971600000,2098
58,179734.0,7.7534,7.39,7.6,8.02,7.39,1607058000000,1617
59,287533.0,8.5086,7.6,8.99,9.1,7.55,1607317200000,2503
60,483419.0,10.5796,8.99,10.55,11.39,8.99,1607403600000,4663
61,383265.0,11.939,10.55,12.61,12.69,10.55,1607490000000,3510
62,335093.0,13.4727,12.65,13.77,14.21,12.16,1607576400000,3075
63,172972.0,13.8696,13.88,13.5,14.32,13.23,1607662800000,2037
64,146289.0,13.3328,13.46,13.1,14.05,12.54,1607922000000,1811
65,154306.0,12.5283,13.3,12.8,13.3,12.16,1608008400000,1941
66,151085.0,12.7458,12.84,12.69,13.25,12.21,1608094800000,1536
67,221269.0,13.3263,12.76,13.5,14.11,12.255,1608181200000,2287
68,209445.0,13.0143,13.55,12.98,13.77,12.71,1608267600000,1442
69,155908.0,12.766,12.95,12.77,13.16,12.17,1608526800000,1584
70,87185.0,12.5216,12.91,12.46,12.97,12.16,1608613200000,1336
71,116145.0,12.7662,12.51,12.71,13.2,12.32,1608699600000,1709
72,44783.0,12.4524,12.66,12.39,12.95,12.25,1608786000000,528
73,150011.0,12.3604,12.41,12.31,12.81,11.76,1609131600000,1465
74,95938.0,11.4324,12.32,11.28,12.43,11.07,1609218000000,951
75,55548.0,11.4491,11.33,11.57,11.79,11.12,1609304400000,726
76,53463.0,11.4416,11.52,11.37,11.77,11.26,1609390800000,698
77,119015.0,11.0495,11.35,10.96,11.75,10.62,1609736400000,1435
78,118917.0,11.0998,11.05,10.77,11.58,10.52,1609822800000,1014
79,134511.0,11.5555,11.05,11.61,11.89,10.73,1609909200000,1498
80,72350.0,11.8147,11.76,11.94,12.01,11.55,1609995600000,638
81,217907.0,12.1887,12.0,12.22,12.44,11.68,1610082000000,1515
82,150550.0,13.0651,12.07,13.43,13.74,11.95,1610341200000,1678
83,149251.0,13.7222,13.4,13.83,14.01,13.11,1610427600000,1651
84,79192.0,13.4818,13.85,13.63,13.99,13.27,1610514000000,1359
85,196400.0,13.8808,13.81,14.1,14.25,13.5,1610600400000,1982
86,127644.0,14.0052,13.79,14.02,14.31,13.63,1610686800000,1303
87,93953.0,14.1717,14.2,14.23,14.37,13.9,1611032400000,1553
88,98819.0,14.016,14.25,14.02,14.35,13.68,1611118800000,1034
89,182460.0,13.5489,13.91,13.85,14.22,13.14,1611205200000,1921
90,94618.0,13.3037,13.81,13.17,13.92,13.14,1611291600000,1222
91,121390.0,12.6861,13.18,12.68,13.24,12.24,1611550800000,1081
92,56194.0,12.4836,12.98,12.18,13.0,12.05,1611637200000,937
93,122852.0,11.9284,11.89,11.54,12.7826,11.22,1611723600000,1120
94,84798.0,12.0704,11.73,12.0,12.51,11.34,1611810000000,925
95,71565.0,11.4182,12.01,11.34,12.16,11.04,1611896400000,921
96,70573.0,11.6652,11.45,11.63,12.17,11.06,1612155600000,784
97,105360.0,12.926,12.14,12.93,13.4,12.14,1612242000000,1043
98,143933.0,13.3906,13.03,13.34,13.74,12.44,1612328400000,959
99,94329926.0,22.7804,22.68,22.77,23.64,22.38,1633320000000,96170
100,18917513.0,22.8072,23.1,22.65,23.58,22.24,1633406400000,102108
101,16499000.0,22.0073,22.24,22.07,22.64,21.505,1633492800000,86771
102,12577176.0,22.0428,22.05,22.01,22.35,21.895,1633579200000,74781
103,9189157.0,22.2081,22.32,22.27,22.79,22.0,1633665600000,59261
104,9324409.0,21.9006,22.69,21.52,22.69,21.45,1633924800000,49030
105,9741314.0,21.3427,21.555,21.45,21.67,21.05,1634011200000,58426
106,10633390.0,20.9205,20.83,20.9,21.095,20.67,1634097600000,55898
107,8080005.0,20.8337,21.18,20.75,21.28,20.665,1634184000000,45187
108,9945308.0,20.5063,21.1,20.34,21.1,20.22,1634270400000,56131
109,10330548.0,20.5195,20.84,20.4,21.23,20.26,1634529600000,64469
110,7418888.0,20.6703,20.45,20.86,20.885,20.19,1634616000000,41859
111,9979391.0,21.1531,20.78,21.41,21.445,20.66,1634702400000,48894
112,8732317.0,20.8545,21.22,20.78,21.35,20.55,1634788800000,45289
113,6430937.0,21.1856,21.38,21.29,21.571,20.81,1634875200000,39136
114,9177841.0,22.278,21.56,22.56,22.59,21.53,1635134400000,52356
115,6521885.0,22.5192,22.56,22.47,22.71,22.3,1635220800000,39735
116,8732375.0,22.2985,22.23,22.11,22.72,21.97,1635307200000,53667
117,5748270.0,21.706,21.95,21.88,22.07,21.33,1635393600000,41859
118,8626457.0,21.3623,21.79,21.32,21.86,21.213,1635480000000,45627
119,9760770.0,21.6286,21.52,21.59,21.905,21.4,1635739200000,62941
