,v,vw,o,c,h,l,t,n
0,4322246.0,206.6028,207.57,206.31,208.57,204.7,1600401600000,26885
1,1643669.0,204.2122,204.49,205.81,205.83,201.5619,1600660800000,24146
2,1608105.0,206.2855,205.29,207.15,207.59,203.89,1600747200000,20295
3,1808776.0,206.4838,207.85,205.2,208.72,205.16,1600833600000,25052
4,2431766.0,203.9012,205.8,203.67,206.514,202.26,1600920000000,30469
5,2332694.0,204.9021,202.44,207.16,207.53,201.44,1601006400000,28979
6,2112787.0,209.398,208.41,209.79,211.33,207.79,1601265600000,23297
7,1754826.0,211.0212,210.0,211.01,212.24,209.41,1601352000000,21365
8,3309650.0,214.5551,211.76,215.33,216.63,211.14,1601438400000,34936
9,2121450.0,215.1902,217.01,214.67,218.68,213.77,1601524800000,29559
10,1470908.0,213.0253,212.21,212.5,215.23,211.425,1601611200000,20513
11,1266790.0,217.5933,214.54,218.35,218.63,214.54,1601870400000,21045
12,2014343.0,218.4413,218.85,218.24,220.8139,217.107,1601956800000,26933
13,1770650.0,221.8965,219.52,222.03,223.2799,219.36,1602043200000,25592
14,2172202.0,221.3809,222.66,220.71,222.867,219.94,1602129600000,21432
15,1648634.0,224.4154,221.6,226.06,226.17,221.17,1602216000000,24517
16,1934500.0,226.0632,226.78,225.75,227.48,225.11,1602475200000,26627
17,1691683.0,225.2197,224.42,225.62,225.96,224.38,1602561600000,23381
18,1812004.0,225.8728,225.85,226.55,227.2,224.21,1602648000000,26336
19,1768901.0,224.2467,223.05,225.42,225.79,220.68,1602734400000,29384
20,2792257.0,227.5212,226.39,227.45,229.4499,226.0,1602820800000,27759
21,2317078.0,225.1424,228.25,223.83,228.71,222.25,1603080000000,31273
22,2349638.0,227.4159,224.01,227.03,229.0,223.56,1603166400000,35742
23,3809485.0,227.4501,228.76,226.55,229.75,226.21,1603252800000,35024
24,2775131.0,232.954,226.78,233.98,235.6,225.78,1603339200000,36745
25,2311375.0,233.0722,235.19,232.66,236.55,231.33,1603425600000,29515
26,2411268.0,233.5027,231.42,234.91,235.12,231.21,1603684800000,33733
27,3300718.0,238.8945,235.83,239.78,240.51,235.83,1603771200000,40433
28,2897843.0,234.167,237.0,232.1,238.67,231.13,1603857600000,40386
29,2240203.0,230.6321,232.28,230.07,233.4,228.33,1603944000000,31048
30,2623424.0,228.215,229.0,229.54,230.855,225.4,1604030400000,32316
31,2546137.0,232.3935,232.38,232.44,235.23,229.84,1604293200000,31556
32,1689482.0,234.8315,235.12,234.76,236.68,232.84,1604379600000,25561
33,3064687.0,242.1349,239.46,240.52,245.49,238.6,1604466000000,39358
34,3426974.0,241.3522,247.04,240.34,247.04,239.74,1604552400000,38602
35,2384292.0,245.5472,242.48,245.46,247.75,239.77,1604638800000,30259
36,4018230.0,238.5113,245.7,233.78,248.32,233.46,1604898000000,53248
37,6291652.0,227.7731,233.17,225.88,234.25,224.81,1604984400000,61730
38,3969677.0,231.8853,227.97,233.14,234.89,226.14,1605070800000,44394
39,2361831.0,233.0071,233.01,232.99,235.49,231.55,1605157200000,34289
40,2533314.0,234.7487,235.0,234.68,236.28,233.9,1605243600000,30568
41,2199945.0,231.1459,236.34,229.65,236.34,228.82,1605502800000,31301
42,2443475.0,230.0282,228.63,229.35,232.0712,227.77,1605589200000,32819
43,2911798.0,225.5206,229.73,224.7,230.37,223.12,1605675600000,39201
44,2823804.0,225.7961,224.13,225.83,227.21,221.22,1605762000000,35514
45,2452146.0,225.8048,225.67,225.76,227.54,224.12,1605848400000,29892
46,2823742.0,221.3296,227.0,221.08,227.81,218.77,1606107600000,41480
47,4003310.0,218.4717,222.35,218.26,222.395,216.71,1606194000000,45474
48,3276047.0,216.0308,214.64,217.22,217.38,212.42,1606280400000,38863
49,1407208.0,217.1064,218.2,216.78,218.545,215.01,1606453200000,19441
50,3376584.0,223.0053,219.51,224.63,224.81,219.01,1606712400000,42455
51,3958869.0,224.8941,226.01,225.0,228.0,223.0,1606798800000,48081
52,2170703.0,224.8071,225.1,224.8,226.02,223.24,1606885200000,30437
53,3233380.0,223.7352,224.62,223.34,226.21,222.45,1606971600000,29330
54,2570235.0,222.333,222.26,224.43,224.69,219.82,1607058000000,34241
55,1873416.0,226.4727,225.41,226.15,228.0,225.03,1607317200000,25796
56,2090353.0,224.4405,225.3,223.5,226.89,223.25,1607403600000,28330
57,2527112.0,222.5799,223.52,222.84,224.31,221.02,1607490000000,31324
58,3288707.0,223.7715,223.01,223.21,226.3,221.94,1607576400000,30012
59,1514587.0,223.3174,223.68,223.75,226.05,221.43,1607662800000,23703
60,1963638.0,222.6914,223.72,221.1,225.61,220.91,1607922000000,23957
61,2119438.0,222.9511,221.87,223.17,224.7204,220.83,1608008400000,26607
62,1812896.0,222.0864,222.84,221.9,223.59,220.55,1608094800000,24545
63,1650497.0,224.1854,222.83,224.49,225.1,222.44,1608181200000,24240
64,4630335.0,225.0483,224.64,226.11,227.41,222.1,1608267600000,28321
65,2528223.0,224.8029,223.47,226.16,226.58,220.31,1608526800000,27151
66,1848258.0,223.3847,225.31,222.93,226.07,222.64,1608613200000,26472
67,1782682.0,221.9669,223.46,220.57,224.92,220.47,1608699600000,24626
68,631636.0,221.8343,220.75,221.49,223.57,220.57,1608786000000,9766
69,2140402.0,222.8423,223.28,222.75,225.35,221.46,1609131600000,24223
70,1761404.0,223.7575,225.39,222.86,225.6475,222.66,1609218000000,25543
71,1444836.0,221.2781,223.8,220.68,224.85,220.29,1609304400000,24135
72,1844915.0,221.3341,220.83,222.14,222.35,219.67,1609390800000,24434
73,3243939.0,222.9228,224.99,223.23,225.66,219.68,1609736400000,42608
74,3761128.0,226.7651,222.73,228.77,229.365,222.73,1609822800000,45385
75,4016700.0,232.9049,223.88,236.35,237.64,222.4603,1609909200000,54501
76,3739820.0,240.5239,238.45,239.71,243.05,237.89,1609995600000,48657
77,2328083.0,243.093,241.04,243.49,244.96,240.5,1610082000000,31550
