,v,vw,o,c,h,l,t,n
0,1753601.0,144.302,145.01,144.28,146.34,143.22,1600056000000,14809
1,1890856.0,147.3308,144.86,147.28,148.465,144.84,1600142400000,16185
2,2148567.0,151.0834,150.0,150.43,152.98,149.37,1600228800000,21999
3,1866344.0,146.9334,148.83,146.73,149.6938,145.54,1600315200000,15139
4,2858114.0,145.2025,145.69,144.88,147.0844,144.025,1600401600000,16318
5,2120340.0,142.3035,144.32,141.86,144.645,141.35,1600660800000,19936
6,1790127.0,143.6229,141.6,143.41,144.97,141.09,1600747200000,19626
7,2080802.0,140.175,142.45,139.19,143.25,138.71,1600833600000,21670
8,1178994.0,141.6432,139.53,141.25,143.11,139.48,1600920000000,17050
9,1240067.0,141.4429,141.25,142.02,142.08,139.75,1601006400000,15184
10,1427899.0,145.3431,144.18,145.94,146.14,143.84,1601265600000,15666
11,1030790.0,147.337,146.0,147.52,148.17,145.74,1601352000000,13704
12,1677974.0,147.0598,148.14,146.76,148.79,145.44,1601438400000,18437
13,1496335.0,147.0217,146.89,147.25,148.25,145.2,1601524800000,17075
14,1737645.0,148.9342,146.4,149.35,149.78,145.395,1601611200000,15117
15,1348630.0,151.005,149.07,151.98,152.42,147.14,1601870400000,18915
16,1233471.0,152.6112,151.98,153.03,153.48,150.18,1601956800000,13427
17,1448397.0,152.9087,153.58,152.58,154.2,152.185,1602043200000,15404
18,1011744.0,156.1169,153.26,156.85,158.0,153.14,1602129600000,13709
19,1213342.0,158.0139,157.59,158.34,158.7,156.82,1602216000000,14975
20,1331818.0,158.817,158.27,159.06,159.58,156.93,1602475200000,13145
21,1135141.0,158.3295,158.62,157.98,159.51,157.41,1602561600000,16426
22,1053810.0,156.4613,157.99,156.36,158.28,155.385,1602648000000,14319
23,1045614.0,157.2254,155.59,156.67,158.66,155.0,1602734400000,16543
24,1405944.0,157.7319,156.54,157.7,158.99,155.89,1602820800000,17726
25,1029562.0,156.0893,158.16,155.18,158.7,154.53,1603080000000,15444
26,712445.0,155.5824,155.77,155.6,156.639,154.52,1603166400000,12371
27,1042450.0,154.7983,154.62,154.87,156.39,153.7331,1603252800000,11321
28,1230247.0,153.1605,154.79,152.3,155.0,151.96,1603339200000,16400
29,751923.0,151.7549,152.5,152.6,152.87,150.25,1603425600000,13065
30,886045.0,152.0816,151.76,152.67,152.73,150.46,1603684800000,12756
31,746474.0,151.7048,152.98,150.66,153.56,150.66,1603771200000,13052
32,1011715.0,149.6588,148.73,149.88,151.155,148.16,1603857600000,14917
33,1128004.0,149.0399,149.87,148.72,150.33,147.56,1603944000000,18387
34,1865096.0,143.0372,147.58,144.3,147.58,140.91,1604030400000,29519
