,v,vw,o,c,h,l,t,n
0,5378294.0,50.0857,50.07,50.09,50.51,49.695,1600056000000,39077
1,4852089.0,51.0828,50.61,51.07,51.5601,50.39,1600142400000,35398
2,5998888.0,50.2417,50.19,49.7,51.1,49.43,1600228800000,42212
3,5313542.0,50.5405,49.37,50.97,51.25,48.85,1600315200000,42566
4,7145935.0,50.5633,50.53,50.37,51.23,50.25,1600401600000,36443
5,6557006.0,47.9042,49.04,47.91,49.33,47.18,1600660800000,48784
6,4232615.0,47.7285,47.98,47.8,48.155,47.2,1600747200000,31795
7,4062290.0,47.1468,47.68,46.74,48.12,46.47,1600833600000,34012
8,4716775.0,46.3777,46.67,46.41,46.99,45.69,1600920000000,43817
9,4137923.0,46.0268,45.77,46.04,46.4,45.63,1601006400000,32503
10,4068064.0,47.5705,46.5,47.48,48.28,46.5,1601265600000,31297
11,2758300.0,46.751,47.23,46.57,47.78,46.26,1601352000000,23020
12,4723091.0,47.2707,47.19,47.05,48.12,46.6102,1601438400000,31828
13,3453394.0,46.3999,47.21,46.11,47.5,45.93,1601524800000,28663
14,4629266.0,47.0346,45.37,47.31,47.47,45.13,1601611200000,33361
15,3969628.0,48.5296,47.9,48.58,48.8832,47.7,1601870400000,29075
16,4538341.0,48.5612,49.12,47.88,49.79,47.86,1601956800000,30735
17,4567506.0,48.4259,48.45,48.3,49.06,48.0,1602043200000,37368
18,3012347.0,49.0093,48.62,49.38,49.41,48.4759,1602129600000,25936
19,4531972.0,49.4924,49.8,49.36,50.09,48.7,1602216000000,35588
20,3078450.0,48.7374,49.4,48.58,49.5,48.2622,1602475200000,27313
21,6932361.0,48.2669,48.48,47.88,48.98,47.8,1602561600000,44499
22,5396314.0,48.4547,47.84,48.83,48.9699,47.42,1602648000000,38535
23,2844009.0,48.7003,47.88,49.01,49.075,47.84,1602734400000,25714
24,2957394.0,49.5006,49.37,49.3,49.995,49.13,1602820800000,25711
25,2944174.0,49.3245,49.33,48.84,50.33,48.74,1603080000000,26040
26,2561679.0,49.5834,49.35,49.34,50.15,49.21,1603166400000,25586
27,4179779.0,49.0339,49.38,48.55,49.715,48.55,1603252800000,34814
28,5352117.0,48.5629,49.81,48.82,50.16,47.15,1603339200000,44392
29,3205806.0,48.7891,49.52,48.53,49.9499,48.41,1603425600000,26454
30,4088375.0,47.2898,47.94,47.15,48.14,46.8168,1603684800000,43822
31,4181804.0,46.6812,46.92,46.57,47.19,46.39,1603771200000,28667
32,6255545.0,45.1402,44.94,45.18,45.7,44.33,1603857600000,58818
33,4360996.0,45.9597,44.63,46.25,46.66,44.57,1603944000000,42917
34,5200896.0,45.3725,45.86,45.49,46.1899,44.73,1604030400000,47081
35,3726772.0,47.3829,46.25,47.82,48.06,45.88,1604293200000,43599
36,3344259.0,48.4727,48.25,48.73,49.03,47.66,1604379600000,35555
37,4582879.0,47.1061,47.95,46.45,48.34,46.2522,1604466000000,42737
38,4338507.0,48.6423,46.9,48.97,49.45,46.88,1604552400000,38749
39,3110312.0,48.7646,49.23,48.23,49.82,48.031,1604638800000,28757
40,9618725.0,52.8354,51.59,52.12,54.18,51.54,1604898000000,80431
41,6230192.0,52.9785,52.33,53.46,53.7,52.07,1604984400000,47826
42,4199865.0,52.5247,53.5,52.21,53.605,52.02,1605070800000,35121
43,3524254.0,51.1948,51.74,51.04,52.07,50.54,1605157200000,34735
44,3549707.0,51.4033,50.27,51.97,52.13,50.2,1605243600000,31214
45,4160430.0,53.4617,53.55,53.93,53.94,52.14,1605502800000,33432
46,4850109.0,54.0619,53.16,54.48,54.56,52.83,1605589200000,39332
47,5961874.0,55.6199,54.65,55.3,56.275,54.53,1605675600000,51699
48,3607389.0,54.9856,54.91,55.34,55.49,53.92,1605762000000,36351
49,2983235.0,54.7817,55.07,54.73,55.42,54.28,1605848400000,29533
50,4608075.0,55.9182,55.28,55.94,56.29,55.28,1606107600000,33814
51,4556516.0,57.5707,57.0,57.73,58.18,56.61,1606194000000,41490
52,4217478.0,56.6639,57.45,56.43,57.45,56.165,1606280400000,35140
53,2847383.0,55.3416,55.91,55.4,56.05,55.01,1606453200000,25137
54,8826442.0,53.4678,54.89,53.01,55.0,52.8,1606712400000,67362
55,4388626.0,53.5884,54.43,53.53,54.43,52.9,1606798800000,44032
56,3764060.0,53.1763,53.32,53.2,53.565,52.69,1606885200000,35246
57,3254548.0,53.4955,52.99,53.6,53.889,52.8,1606971600000,33118
58,3342103.0,54.87,53.81,55.05,55.1,53.8,1607058000000,32811
59,3647975.0,53.5349,54.93,53.21,54.94,53.02,1607317200000,31924
60,3211076.0,54.1622,52.9,54.55,54.67,52.8,1607403600000,31748
61,3284587.0,54.8801,54.94,54.66,55.7499,54.35,1607490000000,33760
62,3464066.0,54.4493,54.66,54.43,55.11,54.04,1607576400000,26882
