,v,vw,o,c,h,l,t,n
0,2526355.0,37.8973,37.44,37.9,38.07,37.34,1600056000000,16741
1,2590831.0,37.9724,37.98,37.82,38.27,37.76,1600142400000,23086
2,2012587.0,38.1151,38.06,37.98,38.44,37.825,1600228800000,18043
3,1922339.0,37.1125,37.68,37.04,37.82,36.8,1600315200000,19264
4,4252994.0,36.6348,36.91,36.54,37.29,36.29,1600401600000,18075
5,2176257.0,35.9033,36.09,35.83,36.41,35.65,1600660800000,18557
6,1965987.0,36.6352,35.86,36.65,36.96,35.86,1600747200000,18288
7,1734401.0,36.2346,36.59,35.9,36.855,35.86,1600833600000,16870
8,1860642.0,35.8938,35.91,35.66,36.68,35.61,1600920000000,17248
9,1497546.0,36.0108,35.54,36.23,36.25,35.37,1601006400000,13587
10,1236043.0,36.8381,36.71,36.93,37.015,36.47,1601265600000,12237
11,1720698.0,36.8575,36.67,36.96,37.07,36.48,1601352000000,17158
12,2155853.0,36.9753,37.21,36.9,37.48,36.52,1601438400000,16484
13,2152229.0,37.1839,37.05,37.49,37.51,36.6,1601524800000,18894
14,2408969.0,38.2109,37.09,38.44,38.57,36.91,1601611200000,17665
15,1841145.0,39.0384,38.68,39.22,39.348,38.22,1601870400000,15346
16,2026863.0,39.0913,39.22,38.99,39.59,38.76,1601956800000,16138
17,1237719.0,39.073,39.16,38.99,39.32,38.93,1602043200000,10729
18,1338697.0,39.5778,39.19,39.67,39.7,39.11,1602129600000,11036
19,1447099.0,39.7954,39.92,39.82,39.97,39.44,1602216000000,13032
20,1017919.0,40.382,39.98,40.5,40.62,39.69,1602475200000,9083
21,1383324.0,39.6483,40.12,39.57,40.31,39.45,1602561600000,12926
22,1640374.0,38.8156,39.59,38.63,39.59,38.555,1602648000000,14721
23,1316275.0,38.9039,38.31,38.94,39.07,38.31,1602734400000,11483
24,1513416.0,38.9693,38.75,38.86,39.32,38.6657,1602820800000,9998
25,1869890.0,38.4978,38.98,38.4,39.0,38.315,1603080000000,14401
26,1283590.0,38.7901,38.7,38.74,39.02,38.47,1603166400000,12444
27,1487296.0,38.6211,38.71,38.53,38.86,38.38,1603252800000,13612
28,887529.0,38.7113,38.56,38.67,38.9353,38.44,1603339200000,8668
29,819987.0,38.9139,38.97,38.95,39.12,38.62,1603425600000,8259
30,1002452.0,38.2266,38.59,38.22,38.7,38.0,1603684800000,11617
31,1285555.0,38.0215,38.19,37.74,38.52,37.74,1603771200000,12488
32,2419547.0,37.2143,37.06,37.16,37.905,36.8001,1603857600000,21385
33,1762795.0,37.8014,37.2,37.83,38.29,36.8,1603944000000,18384
34,2340543.0,37.9267,37.8,37.99,38.27,37.55,1604030400000,24755
35,2251887.0,38.8159,38.37,39.04,39.22,38.1,1604293200000,23882
36,2065824.0,40.0071,39.37,40.27,40.54,39.07,1604379600000,21162
37,2637270.0,40.987,40.64,40.93,41.35,40.295,1604466000000,24732
38,3267076.0,40.8155,41.22,40.59,41.32,40.56,1604552400000,27852
39,1690175.0,40.804,40.72,40.78,41.02,40.28,1604638800000,16151
40,3293217.0,40.0784,42.76,38.66,43.45,38.5,1604898000000,31737
41,2987708.0,39.4547,38.71,39.57,39.83,38.48,1604984400000,25424
42,1941451.0,40.246,40.35,40.33,40.615,39.74,1605070800000,19691
