,v,vw,o,c,h,l,t,n
0,1579817.0,90.5598,88.07,91.61,91.79,87.855,1600056000000,17628
1,1833338.0,92.833,91.25,93.38,94.45,90.34,1600142400000,20509
2,1935715.0,93.3715,93.37,92.97,94.75,92.57,1600228800000,21320
3,1793255.0,91.672,92.11,91.62,93.1,90.547,1600315200000,19334
4,2134100.0,90.4365,91.1,89.97,93.07,89.2,1600401600000,19294
5,2120547.0,87.0313,86.09,87.78,87.85,85.38,1600660800000,24475
6,1630011.0,88.9112,88.12,89.98,90.0,87.45,1600747200000,19588
7,2963930.0,90.1512,91.27,90.0,91.46,88.94,1600833600000,32702
8,7388037.0,96.1266,92.41,97.31,99.6,92.31,1600920000000,62362
9,3641766.0,97.0743,98.6,97.17,99.62,95.7,1601006400000,38419
10,3246854.0,100.0361,98.67,100.58,101.29,97.27,1601265600000,31170
11,2312336.0,100.1614,101.28,100.8,101.75,98.39,1601352000000,28636
12,2441281.0,101.6418,100.18,100.74,103.06,100.18,1601438400000,29463
13,2066787.0,103.5534,101.8,104.88,104.98,100.84,1601524800000,27620
14,2095152.0,103.8977,101.5,104.21,105.65,101.23,1601611200000,24156
15,1604675.0,103.5144,105.06,103.71,105.7,102.43,1601870400000,22674
16,2381666.0,102.8165,103.81,101.25,104.61,100.83,1601956800000,29206
17,1534220.0,101.5117,102.55,101.46,103.37,100.77,1602043200000,19315
18,1368186.0,102.8575,101.98,103.38,103.72,100.41,1602129600000,13043
19,1389999.0,102.3244,103.26,101.99,103.28,101.79,1602216000000,17205
20,1668379.0,100.4689,101.4,100.17,101.79,99.87,1602475200000,17662
21,1689976.0,98.631,99.3,98.76,100.05,97.57,1602561600000,19257
22,1298785.0,99.3923,98.96,99.23,100.38,98.67,1602648000000,15957
23,1197168.0,100.0957,98.11,100.13,101.09,97.87,1602734400000,15505
24,1236298.0,99.1783,100.1,98.94,100.5,98.3,1602820800000,15225
25,1250158.0,97.8153,99.59,96.61,100.48,96.13,1603080000000,16664
26,1212185.0,98.3566,97.32,98.34,99.34,96.41,1603166400000,17246
27,881984.0,97.6286,97.94,97.69,98.07,96.7,1603252800000,14238
28,895622.0,99.1069,97.79,99.82,99.9,97.25,1603339200000,12257
29,1463083.0,98.3653,100.52,99.53,100.52,96.5388,1603425600000,19313
30,1451403.0,95.5526,98.72,95.4,98.72,94.02,1603684800000,20421
31,1698425.0,95.4833,95.55,95.84,96.54,94.67,1603771200000,20885
32,3011225.0,91.3919,93.67,90.19,93.82,89.89,1603857600000,28907
33,1590011.0,92.0955,90.19,92.51,93.5,89.9019,1603944000000,21855
34,1498854.0,91.195,91.71,91.92,93.0495,89.34,1604030400000,21558
35,1198556.0,91.4023,92.86,91.84,92.99,90.22,1604293200000,18481
36,1267292.0,93.0329,93.0,93.1,93.77,92.075,1604379600000,19173
37,2431754.0,96.3296,93.86,96.59,98.13,92.6,1604466000000,27338
