,v,vw,o,c,h,l,t,n
0,6378520.0,97.4724,97.705,97.3275,100.265,95.2525,1600401600000,20165
1,2671392.0,97.5041,96.25,97.9225,98.3025,95.4137,1600660800000,17166
2,2636316.0,97.9263,98.045,99.5325,99.6575,95.43,1600747200000,16207
3,2174268.0,97.1512,98.7775,96.5175,99.6275,95.655,1600833600000,15631
4,1695836.0,95.4698,95.25,95.5075,96.9473,94.2025,1600920000000,14250
5,2830680.0,98.6036,94.9459,100.59,100.6325,94.1925,1601006400000,16676
6,4324604.0,98.8237,99.75,100.0475,100.375,96.7525,1601265600000,24387
7,2238364.0,100.8972,99.9475,100.545,102.3888,99.4875,1601352000000,14311
8,2511820.0,102.5684,100.6025,103.0575,103.9075,99.3775,1601438400000,15872
9,1986872.0,103.5848,104.27,103.46,105.0,102.4575,1601524800000,16435
10,5284708.0,96.9925,99.2475,96.13,100.4,94.7775,1601611200000,40088
11,3311728.0,95.8345,97.0,95.6275,97.4388,94.6838,1601870400000,24986
12,3647416.0,94.81,94.9175,93.7225,97.3375,93.3525,1601956800000,21169
13,4076924.0,97.5681,94.1875,98.455,98.6075,94.1875,1602043200000,19890
14,2159684.0,97.6018,99.165,96.875,99.95,96.7925,1602129600000,16076
15,2635008.0,96.9775,98.3825,96.5,99.245,96.3,1602216000000,13229
16,3730888.0,98.6496,98.13,98.545,100.4575,97.005,1602475200000,19089
17,2457000.0,99.7201,99.625,100.235,100.725,98.625,1602561600000,19235
18,2228260.0,98.9372,100.085,98.5025,100.8175,97.585,1602648000000,17085
19,4233460.0,99.3414,97.7675,99.895,100.115,97.1328,1602734400000,15963
20,3354160.0,102.3306,100.8,101.25,104.4975,99.735,1602820800000,20447
21,3773768.0,100.0148,100.9025,99.375,102.5,98.755,1603080000000,16879
22,3259016.0,98.6659,99.36,98.1075,101.05,97.4075,1603166400000,14840
23,3056032.0,97.3749,98.4725,96.96,99.1988,96.2725,1603252800000,20035
24,1857980.0,98.6579,96.625,98.9488,99.5625,96.465,1603339200000,14184
25,2192968.0,101.7269,99.5,102.75,102.8025,99.2412,1603425600000,16403
26,3588976.0,103.093,101.415,104.5,104.7475,100.875,1603684800000,23001
27,11525748.0,97.1254,98.8075,95.1575,99.5,95.0275,1603771200000,50829
28,22844272.0,85.9251,91.585,87.28,92.0,82.655,1603857600000,78131
29,9402028.0,84.4885,88.19,83.8225,88.5975,83.0925,1603944000000,36721
30,8897044.0,80.827,84.185,79.895,84.5,79.375,1604030400000,37169
31,7264896.0,78.3354,82.135,78.0,82.135,76.4075,1604293200000,40761
32,4890956.0,82.0839,78.7525,82.9425,83.375,78.7525,1604379600000,28344
33,5573552.0,85.4334,86.5025,86.125,87.59,83.825,1604466000000,30126
34,5623036.0,89.7938,88.455,88.7775,91.5613,87.4525,1604552400000,29252
35,3709256.0,89.608,89.095,90.33,91.265,87.2757,1604638800000,21747
36,4772216.0,88.0339,90.3325,85.96,91.51,85.775,1604898000000,28347
37,4222836.0,83.8677,84.0525,84.8825,85.315,81.715,1604984400000,29228
38,3633488.0,86.7506,85.7125,86.875,88.12,85.125,1605070800000,17410
39,5052280.0,85.6119,87.1175,84.175,89.82,83.505,1605157200000,24130
40,2561612.0,84.8404,85.705,84.1,86.6475,83.6675,1605243600000,14620
41,3214024.0,85.1429,84.1,85.0075,86.115,83.2375,1605502800000,17487
42,3374404.0,83.9052,84.2125,83.5875,84.6625,83.31,1605589200000,16973
43,3338372.0,82.4353,83.8113,82.3025,83.9563,81.8925,1605675600000,15377
44,3407256.0,82.4559,81.725,82.66,83.6,81.0675,1605762000000,18419
45,6636200.0,80.2177,82.7875,78.9675,83.0697,78.885,1605848400000,28930
46,5198704.0,79.6244,79.7475,80.2725,81.25,78.6565,1606107600000,26964
47,3915304.0,78.6202,80.7491,78.33,80.7491,78.13,1606194000000,21464
48,3271348.0,78.3994,78.77,78.1375,80.035,77.7527,1606280400000,18850
49,2344492.0,78.9405,79.4075,79.5525,79.915,78.0025,1606453200000,10928
50,8849296.0,79.558,79.3925,79.92,80.4825,78.3451,1606712400000,24747
51,6228952.0,81.5503,80.3375,81.93,82.2775,79.7925,1606798800000,22502
52,4467572.0,82.8283,81.67,83.3,83.4645,80.655,1606885200000,20617
53,6918660.0,86.1849,83.35,86.1575,87.2675,82.8147,1606971600000,26227
54,4669376.0,86.5606,85.88,87.0075,87.49,84.54,1607058000000,20311
55,3526632.0,84.9231,87.685,84.35,88.4568,83.9838,1607317200000,18305
56,3515768.0,85.6177,84.6125,87.04,87.07,83.3325,1607403600000,17190
57,6437836.0,84.4499,86.9525,83.3475,87.375,82.4,1607490000000,26580
58,5680948.0,86.1622,83.0,86.7975,87.3574,82.5225,1607576400000,28014
59,4313176.0,86.612,85.6125,86.9275,87.875,85.4338,1607662800000,20654
60,6190368.0,88.2482,87.2875,88.3975,89.735,87.0088,1607922000000,23676
61,5116060.0,88.2591,89.1625,88.5525,89.345,86.25,1608008400000,19900
62,3284432.0,87.9099,88.05,88.0875,89.205,87.22,1608094800000,17728
63,2645936.0,89.1833,88.8425,89.4775,89.8875,88.135,1608181200000,16213
64,4991924.0,89.5262,90.364,89.6425,91.375,88.37,1608267600000,17601
65,3480540.0,87.346,88.1675,87.2125,88.7325,86.66,1608526800000,19593
66,2807872.0,87.4761,87.2375,88.5575,88.5625,86.3575,1608613200000,15310
67,2450328.0,89.7409,89.2925,88.9975,91.2475,88.995,1608699600000,14918
68,1129804.0,88.8125,89.135,88.755,89.5698,87.93,1608786000000,6353
69,4018196.0,90.1792,88.8475,90.5775,91.345,88.0925,1609131600000,20070
