,v,vw,o,c,h,l,t,n
0,12892584.0,68.1003,67.72,68.27,69.86,65.42,1600401600000,44997
1,3082432.0,69.2292,65.51,70.72,70.82,65.41,1600660800000,30451
2,3109252.0,70.6062,71.0,72.23,72.32,67.49,1600747200000,34187
3,2796879.0,72.2125,71.85,70.27,74.76,69.44,1600833600000,33366
4,2064680.0,69.6196,69.32,69.41,70.98,67.53,1600920000000,25104
5,2387042.0,72.5059,69.79,73.62,73.9,69.5506,1601006400000,27772
6,3455605.0,77.7024,75.14,78.14,79.73,74.7,1601265600000,39921
7,4218447.0,81.5261,78.2,80.8,83.37,78.2,1601352000000,48001
8,3352573.0,83.2014,81.37,82.59,84.72,81.27,1601438400000,33989
9,4046316.0,87.7195,85.56,89.51,89.52,84.41,1601524800000,45830
10,4115769.0,90.0917,85.61,90.43,92.57,85.16,1601611200000,46652
11,4212241.0,95.9205,93.0,98.05,98.42,92.9,1601870400000,53246
12,5770036.0,98.0284,98.06,98.57,100.28,95.06,1601956800000,59706
13,4977889.0,105.6435,101.5,107.82,108.75,100.46,1602043200000,62849
14,6016615.0,105.7138,109.6,105.5,109.8,102.5638,1602129600000,63436
15,2955288.0,108.8005,107.18,109.18,111.27,105.29,1602216000000,39631
16,4176626.0,104.2955,110.4,104.43,110.41,101.52,1602475200000,57812
17,2872296.0,106.0131,103.11,106.65,107.44,102.75,1602561600000,39709
18,3037773.0,109.4858,108.425,108.97,111.1,107.06,1602648000000,38910
19,2388366.0,109.296,107.25,110.71,111.59,105.2001,1602734400000,33191
20,3851010.0,111.0733,112.75,110.84,114.3,108.76,1602820800000,36973
21,3303933.0,115.3849,111.485,114.69,118.05,110.825,1603080000000,41554
22,2898559.0,115.9964,114.88,116.14,118.05,112.3339,1603166400000,37668
23,5484427.0,108.0908,116.9,101.53,118.939,100.4,1603252800000,70907
24,7405361.0,98.438,102.26,103.46,104.02,92.14,1603339200000,86677
25,3367069.0,104.1012,106.3535,103.33,109.22,100.7,1603425600000,40164
26,2958413.0,101.8798,98.56,103.67,104.29,97.5,1603684800000,37165
27,3572380.0,100.3544,103.37,98.63,104.43,97.31,1603771200000,46337
28,5804720.0,102.6548,97.29,102.81,105.8699,95.7551,1603857600000,58190
29,1968586.0,102.9392,103.29,102.51,105.53,100.87,1603944000000,27743
30,3046923.0,97.0099,100.99,98.09,102.12,93.53,1604030400000,39424
31,3316529.0,103.0161,99.01,103.83,106.04,99.0,1604293200000,43316
32,3503375.0,104.6064,100.5565,104.75,107.38,100.24,1604379600000,43848
33,5388601.0,100.846,99.3323,106.19,106.36,93.49,1604466000000,65170
34,4929140.0,118.8635,111.0,120.26,123.285,110.9901,1604552400000,58454
35,3382118.0,121.9885,123.69,122.53,125.6399,118.66,1604638800000,38929
36,3378923.0,123.1029,129.54,117.08,129.6077,116.74,1604898000000,55493
37,3169923.0,111.1972,117.27,109.39,117.59,108.05,1604984400000,44267
38,2935945.0,119.0019,113.9883,120.43,121.48,113.9883,1605070800000,40985
39,2059743.0,118.4977,119.95,117.21,122.259,115.83,1605157200000,29385
40,1732227.0,117.5515,119.4,116.59,120.36,115.1,1605243600000,26966
41,2173391.0,120.6608,118.21,119.93,123.6,116.01,1605502800000,29388
42,1861521.0,123.6302,119.57,125.12,126.58,118.65,1605589200000,29369
43,1920648.0,125.066,126.1787,124.92,127.49,122.5,1605675600000,27251
44,2219178.0,128.5261,126.62,128.89,130.95,125.8501,1605762000000,31282
45,2984912.0,131.2542,131.0,129.59,133.78,129.3,1605848400000,38398
46,2608314.0,133.0764,132.93,134.43,134.85,130.45,1606107600000,37049
47,2705819.0,135.2812,135.33,136.02,138.7,130.8,1606194000000,39775
48,2773757.0,138.9206,136.21,139.07,141.42,135.13,1606280400000,36219
49,3654754.0,143.5184,142.49,140.56,148.9373,137.77,1606453200000,46232
50,9315449.0,136.8539,141.95,136.57,145.0,133.03,1606712400000,63294
51,3350188.0,130.7521,138.6505,128.85,139.5247,127.3,1606798800000,51533
52,2490775.0,127.46,127.5,127.93,130.442,121.7,1606885200000,36482
53,1850653.0,129.5607,129.5,127.67,133.69,126.29,1606971600000,27371
54,2413248.0,131.5677,130.12,130.46,136.11,129.23,1607058000000,31435
55,1308648.0,129.4103,130.29,129.32,133.2,127.22,1607317200000,23662
56,1528551.0,132.9842,129.98,134.74,135.149,129.41,1607403600000,24108
57,2184123.0,130.3827,136.36,127.26,136.715,125.87,1607490000000,39206
58,1310483.0,130.5733,125.6675,131.21,132.22,125.54,1607576400000,22743
59,3083566.0,139.3378,133.38,139.91,144.6,133.0,1607662800000,43046
60,2215730.0,144.0381,143.0,145.07,147.49,137.7475,1607922000000,32714
61,4003975.0,158.0579,147.4,160.46,161.56,147.2574,1608008400000,54330
62,3213304.0,158.6793,159.0,163.31,163.46,152.53,1608094800000,47060
63,2818534.0,162.6331,165.52,163.52,168.18,159.0,1608181200000,39116
64,3563254.0,165.5175,163.69,164.41,169.67,163.005,1608267600000,37993
65,2741064.0,167.9321,162.95,170.78,172.1,161.185,1608526800000,38918
66,3500861.0,179.1267,174.99,177.27,186.4,173.0,1608613200000,53988
67,2535028.0,179.353,181.4008,180.32,184.08,174.2101,1608699600000,37852
68,1062292.0,181.2832,179.7604,181.39,184.54,177.48,1608786000000,15874
69,2698571.0,179.4136,188.452,175.49,189.4064,173.6718,1609131600000,47519
70,3147304.0,169.3343,175.49,170.2,176.23,164.3001,1609218000000,50916
71,2474115.0,174.4253,171.68,172.93,177.55,171.68,1609304400000,34787
72,5626524.0,177.2119,176.9408,175.47,183.9899,172.91,1609390800000,76211
73,3878990.0,173.3235,178.7,172.24,179.15,167.07,1609736400000,62353
74,4607169.0,181.6818,175.71,181.48,186.63,173.55,1609822800000,65334
