,v,vw,o,c,h,l,t,n
0,3083936.0,30.7919,30.25,31.06,31.48,29.75,1600056000000,28333
1,2518127.0,30.9137,31.19,30.5,31.72,30.36,1600142400000,23221
2,3571841.0,32.7265,30.88,32.91,33.88,30.6,1600228800000,33340
3,3290215.0,33.3164,32.06,33.79,33.82,31.81,1600315200000,32384
4,4801253.0,33.6958,33.49,33.77,34.0,32.9891,1600401600000,29843
5,2850924.0,31.7655,32.55,32.08,32.79,31.025,1600660800000,29930
6,2702997.0,31.5567,32.37,31.61,33.1,30.9407,1600747200000,24773
7,2398032.0,30.5541,31.61,29.9,32.02,29.86,1600833600000,26217
8,2031187.0,29.9253,29.87,29.99,30.93,28.85,1600920000000,22058
9,3254776.0,29.4976,29.6,29.9,30.14,28.8399,1601006400000,25916
10,2581238.0,31.4318,30.805,31.49,32.025,30.66,1601265600000,24533
11,2003756.0,30.84,31.07,31.2,31.31,30.26,1601352000000,24370
12,2935053.0,30.6647,31.32,30.12,31.77,29.99,1601438400000,29582
13,4321662.0,29.1762,30.01,29.09,30.01,28.59,1601524800000,38189
14,3746778.0,30.0455,28.17,30.47,30.97,28.05,1601611200000,36990
15,2378348.0,30.848,31.0,30.87,31.28,30.225,1601870400000,25601
16,3605316.0,30.2556,31.63,29.21,32.43,29.03,1601956800000,30704
17,3222568.0,29.2693,29.65,29.47,29.8695,28.9202,1602043200000,25686
18,2542361.0,30.3073,29.85,31.12,31.15,29.5,1602129600000,24380
19,2768341.0,30.8394,31.5,30.69,31.86,30.42,1602216000000,21109
20,1891745.0,30.8873,30.34,31.2,31.52,29.57,1602475200000,20532
21,1866395.0,30.7257,30.834,30.41,31.45,30.38,1602561600000,20101
22,2693006.0,31.3807,30.69,30.49,32.39,30.4752,1602648000000,26325
23,2780290.0,30.0408,29.91,30.63,30.63,29.21,1602734400000,28294
24,2783566.0,29.642,30.5224,29.29,30.59,29.2,1602820800000,25809
25,4017748.0,28.5017,29.68,28.04,29.685,28.01,1603080000000,36099
26,2942063.0,28.2601,28.39,28.45,29.08,27.58,1603166400000,28106
27,3019957.0,27.9192,28.21,27.71,28.44,27.5118,1603252800000,27974
28,3400443.0,28.7706,27.77,29.17,29.395,27.69,1603339200000,34889
29,2758813.0,29.1197,29.3,29.03,29.66,28.63,1603425600000,27410
30,2738081.0,27.7349,28.54,27.525,28.74,27.24,1603684800000,30249
31,4581165.0,26.7077,27.35,26.57,27.44,26.445,1603771200000,40050
