,v,vw,o,c,h,l,t,n
0,4241253.0,28.6757,28.7,28.63,29.25,28.38,1600315200000,33151
1,6768132.0,28.0519,28.65,27.96,28.66,27.59,1600401600000,45622
2,4797721.0,26.7646,27.53,26.78,27.67,26.44,1600660800000,36309
3,4320952.0,26.8014,26.85,26.77,27.12,26.555,1600747200000,36656
4,3726141.0,26.1879,26.59,25.91,26.97,25.86,1600833600000,36322
5,2443227.0,26.0762,25.97,26.2,26.43,25.57,1600920000000,27844
6,3348544.0,26.5143,25.98,26.7,26.845,25.92,1601006400000,29663
7,3112839.0,27.6621,27.09,27.84,27.86,27.07,1601265600000,27748
8,3335291.0,27.5944,27.71,27.77,27.97,27.12,1601352000000,30198
9,4539292.0,27.9089,27.99,27.83,28.52,27.5,1601438400000,41112
10,3437657.0,27.8507,27.96,28.02,28.22,27.505,1601524800000,33406
11,4330875.0,28.0272,27.68,28.08,28.36,26.915,1601611200000,36133
12,2589565.0,28.5553,28.23,28.71,28.78,28.02,1601870400000,23986
13,3580634.0,28.4036,28.78,27.92,29.06,27.81,1601956800000,33187
14,4490284.0,28.9815,28.2,28.97,29.26,28.1,1602043200000,38221
15,2509674.0,29.3394,29.25,29.56,29.57,28.915,1602129600000,22539
16,3239569.0,29.2574,29.77,29.19,30.0,29.04,1602216000000,24663
17,3221164.0,29.0403,29.44,28.94,29.52,28.825,1602475200000,31341
18,7187039.0,27.6064,28.89,27.23,28.915,27.16,1602561600000,61580
19,3288165.0,27.0725,27.26,26.93,27.45,26.9,1602648000000,32856
20,6332893.0,26.6911,26.79,26.93,26.98,26.37,1602734400000,37609
21,3428271.0,26.8886,27.11,26.86,27.23,26.55,1602820800000,29254
22,3741377.0,26.2736,27.09,26.02,27.11,25.97,1603080000000,33239
23,3402676.0,26.122,26.4,26.05,26.4,25.87,1603166400000,31794
24,2572494.0,26.4594,25.9,26.57,26.7,25.78,1603252800000,24563
25,3572065.0,27.3231,26.84,27.46,27.6,26.72,1603339200000,33829
26,3463775.0,26.9716,27.62,27.08,27.665,26.72,1603425600000,28167
27,4847095.0,26.3441,26.82,26.41,26.84,26.09,1603684800000,46006
28,3079386.0,26.2118,26.35,26.185,26.36,26.045,1603771200000,26961
29,3730095.0,25.4915,25.78,25.31,26.03,25.21,1603857600000,38703
30,2419883.0,25.5905,24.935,25.57,25.81,24.935,1603944000000,25966
31,5643769.0,26.1687,25.56,26.52,26.52,25.51,1604030400000,49169
32,7284235.0,27.1457,26.66,27.4,27.46,26.29,1604293200000,63227
33,8345158.0,27.148,28.81,27.04,29.28,26.36,1604379600000,60501
34,15753238.0,25.4955,26.93,25.63,27.1,24.98,1604466000000,113196
35,6588934.0,26.4406,26.07,26.61,26.665,25.44,1604552400000,47270
36,7719090.0,25.9987,26.43,25.95,26.615,25.645,1604638800000,54669
37,8566618.0,26.463,26.97,26.25,27.61,25.97,1604898000000,74614
38,4604839.0,26.6511,26.01,26.85,27.135,25.88,1604984400000,37958
39,6876670.0,27.2181,26.95,27.46,27.6,26.575,1605070800000,46497
40,14392488.0,25.849,27.12,25.64,27.225,25.33,1605157200000,93225
41,6483189.0,26.5096,25.95,26.635,26.76,25.6069,1605243600000,49597
42,8104995.0,27.215,26.83,27.18,27.63,26.7,1605502800000,63476
43,5242826.0,27.8436,27.07,28.16,28.215,26.665,1605589200000,41965
44,4151498.0,27.834,28.1,27.66,28.19,27.64,1605675600000,27376
45,4010242.0,27.6785,27.61,27.71,27.975,27.38,1605762000000,32001
46,2846552.0,27.7412,27.73,27.83,27.9382,27.54,1605848400000,25701
47,3551259.0,28.4366,28.0,28.53,28.76,27.75,1606107600000,30577
48,4009861.0,29.4183,28.85,29.48,29.75,28.61,1606194000000,35187
