,v,vw,o,c,h,l,t,n
0,1739185.0,82.1328,83.56,81.74,83.73,81.52,1600401600000,17100
1,1223626.0,74.5549,79.1,73.28,79.61,73.05,1600660800000,20613
2,770208.0,74.5129,73.7,73.82,76.1,73.61,1600747200000,12288
3,982818.0,72.3921,73.74,71.46,74.96,71.35,1600833600000,14212
4,606107.0,72.0441,71.27,72.34,72.99,70.685,1600920000000,11036
5,428514.0,72.9684,72.3,73.13,73.58,71.59,1601006400000,7473
6,598064.0,75.1277,74.54,74.94,75.81,74.13,1601265600000,8575
7,435533.0,72.8395,74.58,72.99,74.64,71.7475,1601352000000,8770
8,642839.0,73.4206,73.74,73.44,74.55,72.3,1601438400000,9954
9,511388.0,75.1168,74.36,76.05,76.1,73.6,1601524800000,8299
10,580905.0,77.776,74.46,78.43,78.91,74.08,1601611200000,9565
11,372214.0,78.4639,79.1,78.55,79.64,77.51,1601870400000,6869
12,369284.0,78.6618,79.26,78.4,80.095,77.7429,1601956800000,6101
13,347184.0,77.7395,78.63,77.65,79.01,77.01,1602043200000,6715
14,305195.0,79.1418,78.23,79.72,79.76,77.9,1602129600000,6085
15,416226.0,78.631,80.3,78.38,80.34,78.13,1602216000000,5808
16,440618.0,78.8918,78.95,78.82,79.655,77.56,1602475200000,7572
17,548352.0,77.2324,78.82,76.93,79.0198,76.2,1602561600000,9094
18,382930.0,76.1472,76.85,75.64,77.75,75.52,1602648000000,7212
19,344543.0,76.157,75.0,76.18,77.12,74.79,1602734400000,7607
20,607203.0,74.4462,75.04,74.37,75.405,73.165,1602820800000,9164
21,600269.0,73.8215,74.3,73.41,74.76,73.01,1603080000000,10823
22,397303.0,74.1631,74.16,74.16,75.13,73.655,1603166400000,7841
23,484029.0,73.6979,73.77,73.77,74.3963,73.01,1603252800000,8696
24,498683.0,74.6986,73.94,75.29,75.4,73.52,1603339200000,9467
25,367329.0,76.3861,75.98,76.72,77.02,75.57,1603425600000,7591
26,770209.0,73.3555,75.96,73.3,75.96,72.46,1603684800000,15524
27,797482.0,71.1063,73.3,70.21,73.47,70.2,1603771200000,15356
28,889372.0,68.1912,69.15,67.91,69.82,67.32,1603857600000,15898
29,633743.0,69.1653,67.91,69.31,70.0,67.01,1603944000000,12218
30,1614591.0,68.7262,69.04,68.78,69.76,67.8101,1604030400000,13711
31,570202.0,70.3788,69.54,71.45,71.45,68.4,1604293200000,11070
32,746132.0,74.6177,72.5,75.54,76.08,72.37,1604379600000,14771
33,761965.0,72.5814,75.4,71.89,75.77,71.79,1604466000000,13314
34,514885.0,72.5063,72.57,72.1,73.79,71.935,1604552400000,10079
35,1078598.0,69.346,72.92,68.93,73.835,67.9,1604638800000,21049
36,2817283.0,89.4559,75.6,91.61,94.32,75.12,1604898000000,39033
37,1987035.0,93.6833,90.91,94.08,94.99,90.54,1604984400000,26707
38,1204862.0,90.185,93.62,90.32,93.62,88.31,1605070800000,17334
39,1235944.0,85.4903,87.52,85.33,88.15,83.12,1605157200000,20584
40,917856.0,87.8633,86.19,88.47,89.22,86.19,1605243600000,13149
41,1016115.0,92.8954,95.16,92.74,95.61,90.73,1605502800000,15211
42,767637.0,91.0427,91.23,91.31,91.9,89.69,1605589200000,13019
43,989722.0,91.9196,91.54,90.65,93.53,90.41,1605675600000,14442
44,1005900.0,90.5372,89.96,90.79,91.43,88.29,1605762000000,15242
45,1119437.0,89.993,90.33,89.78,91.49,89.44,1605848400000,15164
46,1069530.0,93.887,91.43,93.07,95.5,90.34,1606107600000,17487
47,1063740.0,94.9768,95.49,93.61,97.0,93.47,1606194000000,18351
48,1029828.0,90.9767,92.54,91.04,92.54,89.6,1606280400000,15185
49,704579.0,89.0217,91.14,88.37,91.67,88.15,1606453200000,10745
50,5391752.0,87.2951,88.19,87.22,88.8,86.34,1606712400000,30134
51,878752.0,88.3875,88.96,87.6,90.78,87.18,1606798800000,17321
52,897098.0,89.394,87.17,89.96,90.71,86.2,1606885200000,15734
53,777817.0,91.5999,90.02,91.81,92.64,89.96,1606971600000,12857
54,487856.0,92.7251,93.01,93.1,93.58,92.03,1607058000000,12715
55,749652.0,90.5303,92.62,90.3,92.62,89.79,1607317200000,11816
56,471206.0,89.9086,89.45,89.66,91.71,89.31,1607403600000,7680
57,583148.0,90.267,90.07,90.71,90.88,89.32,1607490000000,8902
58,973795.0,91.1821,89.14,91.43,91.81,89.14,1607576400000,12273
59,467222.0,89.8837,90.51,90.15,91.12,88.4,1607662800000,7752
60,739808.0,89.082,91.08,88.87,91.94,88.32,1607922000000,10470
61,834713.0,91.8729,89.73,93.31,93.37,88.4,1608008400000,13125
62,776683.0,90.792,93.24,90.72,93.74,89.9,1608094800000,11523
63,489134.0,90.4517,91.25,90.73,91.5,89.61,1608181200000,10606
