,v,vw,o,c,h,l,t,n
0,32889792.5,56.0736,54.48,56.4,57.44,53.36,1600315200000,339225
1,19069146.25,55.6536,55.36,55.04,57.12,54.96,1600401600000,168311
2,20518249.5,50.7848,53.04,50.8,53.2,49.84,1600660800000,238424
3,17775326.25,50.3544,51.2,50.0,52.64,49.68,1600747200000,168826
4,11162660.875,49.8216,50.24,48.88,51.36,48.8,1600833600000,125350
5,12020237.5,48.6632,48.8,48.48,49.44,48.0,1600920000000,167108
6,10106652.875,48.7056,48.48,48.88,49.36,48.16,1601006400000,119774
7,10555445.875,49.9864,49.84,49.6,50.48,49.44,1601265600000,110541
8,9365573.625,48.9888,49.68,48.96,49.84,48.48,1601352000000,122511
9,12149629.875,49.8928,49.12,49.84,50.32,49.12,1601438400000,132017
10,9967070.375,49.4944,50.16,49.92,50.32,48.88,1601524800000,117932
11,11475251.5,50.376,48.4,51.12,51.2,48.4,1601611200000,135417
12,7483259.875,51.1888,51.12,51.28,51.6,50.56,1601870400000,93446
13,21326855.75,50.4,51.44,49.36,52.64,48.88,1601956800000,213357
14,10554594.625,50.3528,49.76,50.48,51.2,49.68,1602043200000,117376
15,12971207.25,52.4456,50.88,53.2,53.36,50.72,1602129600000,151822
16,21912678.75,54.9712,56.56,54.72,56.56,53.6,1602216000000,226242
17,11314757.125,54.5408,55.36,54.64,55.36,53.92,1602475200000,143060
18,9554314.25,53.8136,54.32,53.76,54.54,53.28,1602561600000,106715
19,12344861.5,54.6016,53.76,54.56,55.12,53.76,1602648000000,129633
20,11233220.875,54.0264,53.6,54.96,55.04,52.88,1602734400000,99823
21,21506672.375,57.7528,55.68,58.32,58.8,55.48,1602820800000,221870
22,16603615.5,58.7528,59.12,58.32,59.76,57.84,1603080000000,170028
23,12456645.375,58.7896,58.8,58.72,59.36,58.16,1603166400000,125369
24,9331788.75,58.832,58.24,58.56,59.28,58.16,1603252800000,107273
25,12087079.125,60.8456,58.64,61.76,62.0,58.56,1603339200000,143586
26,16825633.0,61.9576,63.44,61.04,64.24,60.48,1603425600000,182718
27,13190224.0,59.1216,59.68,59.04,60.48,58.24,1603684800000,146872
28,12364117.625,57.4344,59.2,56.8,59.2,56.72,1603771200000,154472
29,31938378.875,61.2648,60.08,59.36,62.88,59.28,1603857600000,338359
30,15656529.0,59.8272,61.28,58.96,61.92,58.48,1603944000000,203476
31,12948365.75,59.1408,58.72,59.36,60.32,58.32,1604030400000,179814
32,13735573.375,59.7976,60.0,60.16,60.64,58.64,1604293200000,168481
33,12315586.875,62.0768,61.2,62.8,63.32,60.32,1604379600000,145660
34,15972369.125,62.7912,61.52,62.8,64.16,60.24,1604466000000,178923
35,10816050.875,64.0168,63.6,63.92,64.4,63.28,1604552400000,136686
36,10642354.625,64.5336,64.16,64.72,65.12,63.68,1604638800000,123598
37,24864678.5,70.8776,74.8,69.76,75.28,68.88,1604898000000,303215
38,20780680.875,71.9352,70.6,71.84,72.8,70.0,1604984400000,222125
39,11101373.125,71.3568,72.88,71.12,72.96,70.64,1605070800000,124908
40,10111084.75,70.1096,70.08,70.08,70.96,69.36,1605157200000,112696
41,16357529.375,72.892,70.88,74.0,74.0,70.8,1605243600000,193472
42,15150702.75,76.2856,76.88,76.56,77.12,75.36,1605502800000,179541
43,11469012.875,77.008,75.6,77.44,77.88,74.64,1605589200000,154594
44,18850451.0,79.0016,79.76,77.84,80.4,77.8,1605675600000,204216
45,11083966.125,77.2616,76.96,77.28,78.04,76.08,1605762000000,158944
46,10188829.0,77.58,77.12,78.08,78.64,76.736,1605848400000,136576
47,13460758.0,80.9984,78.88,80.56,82.16,78.88,1606107600000,181157
48,22490548.625,84.6288,85.68,83.6,86.8,83.2,1606194000000,285853
49,13947123.75,83.8296,84.24,84.0,84.48,82.72,1606280400000,170829
50,6742356.0,83.2232,84.4,83.2,84.48,82.48,1606453200000,109157
51,15787304.375,81.7192,83.12,81.44,83.12,79.68,1606712400000,190248
52,11029280.625,82.3888,82.64,81.2,83.84,80.88,1606798800000,142921
53,9749723.875,82.5792,80.64,83.44,83.84,80.08,1606885200000,140693
54,11525546.375,84.7216,83.2,84.8,85.6,83.12,1606971600000,144212
55,16991299.625,85.7208,85.36,87.04,87.44,84.08,1607058000000,196128
56,12310279.875,87.5528,87.12,86.88,88.8,86.08,1607317200000,177423
57,11844641.125,87.5688,86.56,87.68,88.24,86.32,1607403600000,141495
58,15894347.5,90.5176,88.0,91.12,91.92,88.0,1607490000000,214114
59,12113908.5,90.7352,88.64,90.56,91.84,88.48,1607576400000,162796
60,11247020.5,89.5608,90.24,89.28,91.28,88.16,1607662800000,177719
61,10023388.625,87.7768,90.16,86.64,90.8,86.32,1607922000000,147391
62,10938765.625,87.8424,87.5808,88.88,89.2,85.2,1608008400000,152887
63,7474409.625,87.7104,89.04,87.44,89.2,87.2,1608094800000,114508
64,7873723.125,87.088,87.52,87.04,87.92,86.4,1608181200000,124778
65,15231836.125,86.8864,86.24,86.48,88.96,85.92,1608267600000,140201
66,11030124.375,85.6064,83.76,86.16,86.96,82.88,1608526800000,161049
67,11225233.75,85.0816,85.68,84.88,86.08,83.92,1608613200000,127993
68,7667176.25,86.9312,85.44,86.88,87.84,84.96,1608699600000,95574
69,3802936.125,85.4816,86.8,85.2,86.8,84.96,1608786000000,59075
70,6819261.0,85.424,85.6,85.12,86.24,84.64,1609131600000,103862
71,6694524.625,85.1136,85.28,84.48,86.16,84.32,1609218000000,103284
72,6397398.625,85.9128,84.64,85.68,86.76,84.4,1609304400000,100892
73,6016561.75,85.96,85.2,86.4,86.64,84.64,1609390800000,106488
74,10129371.125,84.3608,87.12,83.76,87.2,83.2,1609736400000,152041
75,10540203.75,85.9488,83.44,86.16,87.04,83.36,1609822800000,152193
76,16540762.125,90.9304,86.64,90.88,92.96,86.64,1609909200000,250543
77,9566991.5,90.816,92.48,90.16,92.56,89.92,1609995600000,146196
78,9198122.25,90.6648,90.32,90.72,91.52,89.28,1610082000000,138398
79,8543129.375,91.2936,88.88,91.6,92.24,88.48,1610341200000,131193
80,11561584.125,93.7952,92.08,94.24,95.28,91.28,1610427600000,184585
81,6791667.375,92.9816,94.24,92.56,94.56,92.16,1610514000000,113375
82,7535691.25,93.2408,92.88,93.28,93.84,92.64,1610600400000,111290
83,9606014.25,91.3696,92.8,90.64,92.8,90.0,1610686800000,134190
84,8065372.5,91.8944,91.84,91.44,93.2,91.2,1611032400000,124154
85,7491980.875,91.0624,92.0,91.12,92.0,90.4,1611118800000,112641
86,8301767.75,89.364,91.2,88.56,91.44,88.56,1611205200000,142541
87,6767532.5,88.6848,87.76,88.88,89.44,87.2,1611291600000,124320
88,11720966.125,87.7848,89.12,87.92,89.2,86.16,1611550800000,223904
89,27095355.0,92.9128,96.24,90.32,97.84,89.6,1611637200000,420531
90,18874928.25,87.6456,88.64,91.04,92.48,85.12,1611723600000,330551
91,11894401.125,90.02,91.28,88.72,91.76,88.52,1611810000000,242846
92,13787124.0,86.9344,88.0,85.44,89.9112,85.36,1611896400000,242473
93,8458876.25,86.0832,86.88,85.92,88.0,85.12,1612155600000,181226
94,10659878.75,89.2936,87.04,89.92,90.76,86.72,1612242000000,217863
95,6863269.5,89.5296,89.92,89.6,90.4,88.56,1612328400000,134762
96,8424970.875,91.324,89.84,91.6,92.0,89.52,1612414800000,152502
97,6580776.875,91.2656,92.08,91.2,92.4,90.52,1612501200000,109771
98,5401623.875,92.2696,91.76,92.88,93.2,91.28,1612760400000,121446
99,6675827.0,92.076,92.48,92.32,92.8,91.28,1612846800000,110675
100,5765854.25,91.6496,92.72,91.2,92.72,91.04,1612933200000,106684
101,6539150.0,90.692,91.12,91.68,91.76,89.52,1613019600000,121341
102,7373814.5,93.2,91.28,93.84,93.92,91.04,1613106000000,148260
103,7690364.375,95.1456,94.56,95.76,95.84,94.24,1613451600000,154978
104,5562053.75,94.7328,94.72,94.88,95.6,94.08,1613538000000,107355
105,6198786.375,93.196,94.72,93.04,94.88,92.08,1613624400000,111835
106,7797588.125,95.432,93.76,96.16,96.24,93.44,1613710800000,125680
107,12220783.0,99.86,96.56,100.0,101.6,96.2,1613970000000,238563
108,9119272.5,100.0664,100.8,100.72,101.2,97.44,1614056400000,191827
109,13477111.75,104.8656,102.4,104.96,106.8,101.16,1614142800000,240609
110,11696562.875,103.268,104.8,102.08,106.16,101.28,1614229200000,201988
111,11226488.125,101.0064,101.44,100.32,102.72,99.28,1614315600000,168358
112,9894030.25,105.0952,103.36,104.88,106.32,102.32,1614574800000,171882
113,9824483.625,104.4704,105.2,103.84,106.0,103.76,1614661200000,152553
114,14816574.875,107.6056,104.72,107.52,108.92,104.4,1614747600000,278086
115,21132863.75,108.912,111.04,108.56,113.04,105.44,1614834000000,372830
116,13287700.625,108.1656,110.4,108.8,110.48,105.12,1614920400000,248174
117,18218000.875,113.1696,113.68,113.36,114.72,110.48,1615179600000,333569
118,14558460.5,113.1832,112.8,112.0,115.32,110.64,1615266000000,259315
119,27832702.375,106.2536,109.2,106.0,109.92,103.36,1615352400000,468232
120,38643734.0,97.9736,101.52,98.16,102.88,95.6,1615438800000,641021
121,16972097.625,99.8936,97.92,100.64,100.9408,97.84,1615525200000,281132
122,14159646.125,104.956,101.92,106.8,106.88,101.8,1615780800000,261733
123,9450596.125,105.5392,106.64,105.2,106.8,104.56,1615867200000,173589
124,9980869.125,107.472,105.6,108.88,108.88,105.0,1615953600000,202880
125,8067223.5,107.6384,108.72,106.0,109.52,105.5408,1616040000000,175007
126,9197862.875,105.7504,105.6,105.76,106.8,103.84,1616126400000,147341
127,6702440.625,104.7568,105.28,105.04,105.92,103.44,1616385600000,144467
128,8295066.375,102.3032,103.68,101.28,105.44,100.4,1616472000000,171823
129,7844224.875,102.0392,102.08,100.0,104.16,100.0,1616558400000,162725
130,9289177.125,100.9528,99.2,102.8,103.44,97.84,1616644800000,172984
131,7654339.125,103.4216,103.6,103.92,105.04,101.68,1616731200000,147679
132,6784853.875,103.296,103.36,103.6,104.4,102.24,1616990400000,118263
133,6674847.375,105.7648,103.84,106.4,106.88,103.2,1617076800000,125057
134,7917232.875,105.7312,107.04,105.04,107.4,105.04,1617163200000,136869
135,7499600.375,105.9432,105.84,106.24,106.88,105.2,1617249600000,123031
136,6439212.25,107.6328,107.76,107.68,108.52,106.96,1617595200000,121969
137,5073932.25,107.4752,107.68,107.2,108.0,106.96,1617681600000,101098
138,5280700.625,106.8872,107.2,107.12,108.24,106.08,1617768000000,95071
139,6952935.0,106.7312,106.08,107.6,108.0,104.72,1617854400000,116592
140,8013589.25,108.64,108.0,108.8,110.64,107.36,1617940800000,149107
141,5362707.625,108.5344,108.88,108.72,109.44,107.76,1618200000000,112478
142,6463238.875,107.4544,108.08,107.52,108.32,106.08,1618286400000,112698
143,8152449.5,109.4472,107.44,109.44,110.32,107.36,1618372800000,141907
144,6425087.125,108.3008,109.84,108.4,110.0,107.52,1618459200000,117378
145,6569581.375,107.7608,109.04,107.12,109.44,106.8,1618545600000,128919
146,5690108.0,106.752,106.56,107.68,107.76,105.36,1618804800000,120065
147,7750714.875,104.5688,107.28,104.48,107.28,103.2,1618891200000,153415
148,6281643.5,105.9112,103.44,106.8,107.04,102.16,1618977600000,125077
149,6646087.25,107.7704,106.8,107.28,109.4,106.24,1619064000000,137003
150,5961201.125,108.1952,108.0,108.4,108.88,106.88,1619150400000,103624
151,11856456.625,109.8288,109.04,108.56,112.0,108.4,1619409600000,187630
152,18878062.125,105.9016,108.0,107.92,108.32,103.28,1619496000000,326949
153,8371694.875,106.0224,106.64,105.6,106.8,105.2,1619582400000,161146
154,6981821.125,105.4464,105.44,105.68,106.32,104.64,1619668800000,133234
155,6297260.5,105.2576,105.28,104.96,106.8,104.64,1619755200000,115429
156,7999494.625,107.2144,105.92,107.6,108.24,105.36,1620014400000,138913
157,9789547.875,105.148,106.72,104.96,107.08,104.56,1620100800000,165496
158,7011706.625,105.7288,105.28,105.68,106.32,104.72,1620187200000,123989
159,7901392.0,105.0696,105.76,105.68,106.48,104.24,1620273600000,122615
160,6797853.125,105.968,105.28,106.4,106.72,104.56,1620360000000,106519
161,8263441.75,107.608,106.48,106.8,108.64,106.4,1620619200000,137905
162,8593679.0,104.6376,105.52,104.72,106.32,103.52,1620705600000,134645
163,8920363.125,103.1672,104.64,102.56,105.04,102.16,1620792000000,131702
164,8280435.625,103.276,102.4,103.76,104.32,101.76,1620878400000,143954
165,6419637.0,105.464,104.96,106.08,106.4,104.2408,1620964800000,106291
166,9601440.0,105.3344,105.84,105.2,106.72,104.96,1621224000000,114213
167,6160654.25,104.6648,105.44,103.76,106.16,103.76,1621310400000,99693
168,7527194.25,103.7944,103.2,104.72,104.8,102.32,1621396800000,129747
169,5879356.0,104.1904,104.72,104.48,104.8704,103.36,1621483200000,99378
170,6836441.375,105.6768,104.88,105.84,106.24,104.4,1621569600000,111835
