,v,vw,o,c,h,l,t,n
0,61875640.0,73.392,74.9005,72.9995,75.1502,71.8565,1600401600000,80443
1,57776540.0,71.2242,72.003,71.558,72.418,70.3275,1600660800000,103648
2,31664020.0,72.6542,72.5045,73.273,73.476,71.7265,1600747200000,60292
3,33147000.0,71.605,72.939,70.7605,73.048,70.385,1600833600000,61426
4,29004320.0,71.4635,70.5515,71.4145,72.1854,70.4925,1600920000000,57240
5,26467500.0,71.7569,71.6315,72.248,72.5,70.667,1601006400000,46814
6,40158820.0,73.184,73.7105,73.226,73.84,72.4651,1601265600000,58018
7,19582040.0,73.4033,73.5195,73.4665,73.8332,72.9403,1601352000000,38922
8,34032160.0,73.7715,73.34,73.48,74.4875,72.994,1601438400000,52374
9,35589940.0,74.4648,74.2135,74.5045,74.952,73.9605,1601524800000,50317
10,25681420.0,73.2721,73.1015,72.921,74.16,72.546,1601611200000,51996
11,22265140.0,73.9316,73.3105,74.301,74.4105,73.2135,1601870400000,40677
12,24908460.0,73.3282,73.779,72.672,74.338,72.4295,1601956800000,51449
13,34923120.0,72.7354,73.2145,73.0145,73.448,71.8,1602043200000,64119
14,23756620.0,74.117,73.2545,74.2965,74.5,73.2545,1602129600000,43202
15,28510840.0,75.3466,74.735,75.761,75.826,74.4725,1602216000000,48579
16,49651200.0,78.3109,77.15,78.4575,79.693,76.6285,1602475200000,80125
17,32020860.0,78.8024,79.1865,78.584,79.5,78.16,1602561600000,55794
18,38619800.0,78.4856,78.9295,78.404,79.3842,77.5265,1602648000000,51479
19,30816340.0,78.0074,77.3575,77.9565,78.7553,77.2515,1602734400000,43490
20,28702740.0,78.7216,78.2925,78.6505,79.0565,78.15,1602820800000,45312
21,32141500.0,77.3634,79.023,76.7305,79.4075,76.4,1603080000000,48649
22,44851440.0,77.5985,76.3525,77.7965,78.875,76.2835,1603166400000,58137
23,51366900.0,79.9562,78.6665,79.6655,80.9365,78.5815,1603252800000,81309
24,28680840.0,80.3814,79.6525,80.7665,81.0995,79.25,1603339200000,46698
25,27516880.0,81.6834,81.3035,82.05,82.118,81.0255,1603425600000,46485
26,37065080.0,79.9574,81.2505,79.5225,81.912,78.825,1603684800000,56471
27,24580040.0,79.7918,79.7835,80.213,80.3423,79.139,1603771200000,40752
28,36676680.0,76.5131,77.987,75.831,78.0675,75.731,1603857600000,70461
29,40061280.0,79.31,76.118,78.362,79.6855,76.112,1603944000000,89200
30,86617240.0,81.8291,83.6055,81.0505,84.35,80.223,1604030400000,144354
31,50708920.0,81.8494,81.408,81.3015,83.0385,80.8015,1604293200000,81304
32,32932760.0,82.4851,81.589,82.5105,83.085,80.831,1604379600000,54600
33,71418540.0,87.2251,85.514,87.4565,88.5683,85.3015,1604466000000,127143
34,41316240.0,88.5335,89.05,88.1685,89.682,87.5255,1604552400000,66355
35,33224500.0,87.9229,87.6975,88.0875,88.6215,87.0175,1604638800000,48815
36,45365400.0,89.2674,89.545,88.15,90.903,88.001,1604898000000,77205
37,52722840.0,87.0379,86.5545,87.0195,88.15,85.865,1604984400000,69566
