,v,vw,o,c,h,l,t,n
0,63055760.0,72.8597,74.415,72.5545,74.76,71.581,1600401600000,97437
1,56790100.0,71.0689,71.581,71.507,72.003,70.134,1600660800000,119774
2,33950840.0,72.4157,72.516,72.991,73.1985,71.4748,1600747200000,72088
3,37725980.0,71.2506,72.6045,70.4695,72.654,70.134,1600833600000,78171
4,34552220.0,71.1409,70.134,71.143,71.8995,70.1075,1600920000000,65398
5,30333540.0,71.5693,71.2525,71.953,72.297,70.384,1601006400000,52948
6,30784720.0,72.9491,73.5995,72.933,73.6495,72.314,1601265600000,64179
7,31822240.0,73.1905,73.1955,73.301,73.6,72.7,1601352000000,54287
8,40923400.0,73.5431,73.0468,73.28,74.3099,72.7878,1601438400000,60040
9,32884420.0,74.2889,74.183,74.395,74.7535,73.84,1601524800000,64276
10,31222640.0,73.0404,72.9815,72.78,73.9515,72.3675,1601611200000,69546
11,21601160.0,73.7859,73.1325,74.1415,74.235,73.0045,1601870400000,49130
12,26095040.0,73.1544,73.775,72.551,74.226,72.2505,1601956800000,60217
13,36108960.0,72.5773,72.9655,72.957,73.4485,71.6615,1602043200000,75915
14,26076040.0,73.9932,73.2725,74.1715,74.4014,73.2725,1602129600000,56400
15,32766800.0,75.1607,74.643,75.5225,75.5925,74.35,1602216000000,57028
16,55343280.0,78.0864,76.9,78.2295,79.421,76.465,1602475200000,100239
17,39072180.0,78.6073,78.8505,78.3535,79.258,77.9315,1602561600000,68646
18,33184560.0,78.3687,78.73,78.172,79.1925,77.2948,1602648000000,61803
19,31229700.0,77.8564,77.225,77.7735,78.5698,77.0565,1602734400000,54564
20,34206500.0,78.4882,78.0915,78.385,78.8855,77.883,1602820800000,55836
21,29733040.0,77.2932,78.7965,76.4975,79.1963,76.146,1603080000000,63045
22,41718300.0,77.513,76.1555,77.554,78.692,76.025,1603166400000,82682
23,60321060.0,79.6981,78.4925,79.2995,80.757,78.3568,1603252800000,106893
24,30515460.0,80.0143,79.25,80.333,80.671,78.874,1603339200000,58045
25,30548040.0,81.246,80.7525,81.649,81.706,80.5955,1603425600000,60644
26,35188340.0,79.56,80.75,79.2145,81.479,78.389,1603684800000,71246
27,25864360.0,79.6268,79.4466,79.944,80.1,78.8495,1603771200000,48245
28,45171840.0,76.1851,77.5005,75.54,77.6905,75.424,1603857600000,97683
29,55406860.0,79.3559,75.851,77.844,79.4368,75.8275,1603944000000,114706
30,99908540.0,81.5638,83.372,80.8055,84.0658,80.0785,1604030400000,186171
31,44228980.0,81.7641,81.177,81.216,82.912,80.712,1604293200000,93574
32,31431760.0,82.3339,81.538,82.283,82.95,80.6054,1604379600000,66858
33,71342980.0,87.133,85.279,87.2925,88.5015,85.15,1604466000000,144487
34,39758140.0,88.3182,88.5225,88.125,89.5909,87.0515,1604552400000,83445
35,28621680.0,87.7155,87.567,87.9865,88.4248,86.834,1604638800000,61215
36,53440480.0,89.0119,89.799,88.071,90.8445,87.8773,1604898000000,95272
37,43021160.0,86.8684,86.4885,86.886,87.969,85.806,1604984400000,84579
38,31838120.0,87.5234,87.42,87.3615,88.145,87.153,1605070800000,63382
39,26487260.0,87.3452,87.1,87.141,88.249,86.8985,1605157200000,59626
40,29697540.0,88.0831,87.4,88.613,88.8565,86.799,1605243600000,66292
41,25467860.0,88.8272,88.207,88.7015,89.717,88.0665,1605502800000,54032
42,21320680.0,88.2914,88.393,88.083,88.857,87.9745,1605589200000,47431
43,20107540.0,87.4556,87.832,87.032,88.25,86.9283,1605675600000,50857
44,20106800.0,87.5223,86.6615,87.9285,88.1745,86.501,1605762000000,45945
45,27706440.0,87.4321,88.1,86.819,88.4181,86.75,1605848400000,61400
46,22552360.0,86.2939,87.011,86.378,87.2995,85.509,1606107600000,57018
47,27242320.0,87.5363,86.375,88.195,88.3238,86.0365,1606194000000,59845
48,19599140.0,88.1504,88.3905,88.2065,88.519,87.418,1606280400000,49047
49,14790140.0,89.1928,88.227,89.351,89.8505,88.227,1606453200000,37080
50,32417740.0,87.7969,88.7825,87.72,89.0168,87.392,1606712400000,71925
51,37362680.0,89.7099,88.3328,89.768,91.086,88.1515,1606798800000,84278
52,29424700.0,90.8988,89.768,91.2485,91.637,89.2585,1606885200000,63550
53,24712320.0,91.3354,91.027,91.092,92.1915,90.85,1606971600000,55036
54,20544840.0,91.1472,91.011,91.188,91.475,90.6795,1607058000000,49921
55,22287820.0,90.7852,90.7775,90.8515,91.4645,90.152,1607317200000,48037
56,19935360.0,90.3909,90.426,90.5665,90.7985,89.564,1607403600000,49951
57,31728520.0,89.3236,90.518,88.893,91.4185,88.1,1607490000000,68277
58,28574320.0,88.1286,88.13,88.3825,88.7495,86.6764,1607576400000,63798
59,18628620.0,88.3483,88.0,88.74,88.8655,87.637,1607662800000,50710
60,33049420.0,88.1958,88.536,87.613,89.49,87.4565,1607922000000,65255
61,21065840.0,87.7625,87.993,88.054,88.2,87.0835,1608008400000,51587
62,24676720.0,87.8361,88.4555,87.8595,88.4555,87.453,1608094800000,54523
63,34880100.0,87.2562,88.1965,87.0255,88.3355,86.5575,1608181200000,67114
64,82556740.0,86.335,87.3085,86.311,87.418,85.75,1608267600000,86800
65,33974140.0,86.0775,85.4565,86.728,86.85,84.7,1608526800000,77751
66,20376580.0,85.9985,86.4665,86.011,86.6306,85.289,1608613200000,53047
67,22973680.0,86.491,86.1965,86.4115,87.2055,86.06,1608699600000,44388
68,9312760.0,86.5798,86.45,86.708,87.1205,86.2175,1608786000000,21761
69,27650740.0,88.5688,87.2455,88.698,89.35,87.091,1609131600000,65303
70,19725740.0,88.2254,89.3615,87.888,89.4235,87.7555,1609218000000,53625
71,21026160.0,86.9976,88.25,86.8125,88.388,86.4,1609304400000,59437
72,21069580.0,87.4263,86.8635,87.632,87.875,86.8045,1609390800000,42530
73,37323900.0,86.5013,88.0,86.3065,88.1245,85.357,1609736400000,82155
74,20359240.0,86.8046,86.2545,87.0025,87.3415,85.845,1609822800000,52183
75,46588020.0,86.122,85.0128,86.144,87.1983,84.8051,1609909200000,110154
76,41936580.0,88.2209,86.338,88.717,88.891,86.338,1609995600000,79710
77,35484520.0,89.2493,88.858,89.8915,89.9678,88.061,1610082000000,75503
78,34812360.0,88.1933,88.851,87.8145,89.219,87.607,1610341200000,67599
79,29534300.0,86.9372,87.268,86.8715,88.395,85.8188,1610427600000,66895
80,23431500.0,87.2947,86.366,87.3625,87.8195,86.366,1610514000000,52693
81,29212340.0,87.0547,87.4435,86.546,88.3775,86.3035,1610600400000,58675
82,31444280.0,86.5599,86.451,86.381,87.381,85.5855,1610686800000,53944
83,41659020.0,88.6818,87.15,89.2235,90.192,86.6415,1611032400000,84471
84,64151400.0,93.3719,91.3185,94.0035,94.9862,90.9755,1611118800000,120829
85,58659460.0,95.0759,94.6825,94.2075,96.604,93.9705,1611205200000,111405
86,32663400.0,94.8291,94.573,94.628,95.2195,93.8248,1611291600000,60872
87,50586920.0,94.3797,95.637,94.714,96.091,92.958,1611550800000,95174
88,31461560.0,95.2078,94.2995,95.3975,95.7875,93.8065,1611637200000,66157
89,82512620.0,91.5425,93.7455,90.947,94.0235,89.864,1611723600000,173563
90,55278100.0,92.9903,91.55,92.66,94.3995,91.55,1611810000000,97506
91,44530180.0,91.4221,91.701,91.368,92.3768,90.078,1611896400000,88840
92,40252060.0,94.1701,92.2293,94.6535,95.777,92.2293,1612155600000,98572
93,66332400.0,97.4375,95.6565,95.956,97.4685,95.3185,1612242000000,135480
94,97881640.0,103.3935,103.2805,102.944,105.3312,100.6775,1612328400000,179311
95,48595600.0,102.4473,103.0308,102.6815,103.465,101.755,1612414800000,100655
96,29865120.0,103.8317,102.978,104.4415,104.797,102.5,1612501200000,67299
97,28828860.0,104.1686,105.0,104.226,105.75,103.1675,1612760400000,74686
98,21891660.0,104.1148,103.74,103.7695,104.9255,103.5,1612846800000,57791
99,25101600.0,103.9459,104.157,104.324,104.944,102.612,1612933200000,58221
100,20480580.0,104.0681,104.55,104.4375,104.7,103.443,1613019600000,54272
101,18990500.0,104.4659,103.9885,104.7515,104.975,103.6785,1613106000000,43879
102,31003900.0,106.0069,104.5875,105.535,107.257,104.5875,1613451600000,69420
103,20303540.0,105.554,104.699,105.931,106.1222,104.4175,1613538000000,54216
104,22570980.0,105.2496,105.25,105.2905,106.0995,104.6665,1613624400000,58486
105,37938780.0,104.9072,105.3895,104.4405,105.929,104.1715,1613710800000,72933
106,29283340.0,103.1251,102.68,102.713,104.0165,102.4,1613970000000,75627
107,34657980.0,101.7163,100.6995,103.006,103.625,99.5115,1614056400000,110485
108,22608740.0,103.3397,101.502,104.1905,104.416,101.3765,1614142800000,67551
109,41548180.0,101.6367,102.7965,100.7975,104.15,100.3245,1614229200000,111308
110,40041280.0,101.4883,101.4975,101.0955,102.826,100.0505,1614315600000,81503
111,26061780.0,102.9627,102.4,103.483,103.8115,101.721,1614574800000,62818
112,25563680.0,103.6292,103.242,103.224,104.737,102.8335,1614661200000,54184
113,33892900.0,101.3164,102.5975,100.5705,103.7995,99.7,1614747600000,79581
114,49215720.0,101.923,100.7435,101.6965,103.7295,100.2715,1614834000000,112108
115,53099540.0,103.6383,103.0575,104.8535,105.31,101.3889,1614920400000,130107
116,36867420.0,102.7097,104.203,100.375,105.687,100.2595,1615179600000,97752
117,33920620.0,102.4829,102.4875,102.018,103.1958,101.78,1615266000000,77405
118,27100080.0,101.9601,103.07,101.8095,103.07,100.9665,1615352400000,69804
119,27702600.0,104.662,102.911,105.027,105.5635,102.8225,1615438800000,64158
120,33817980.0,102.4736,103.8205,102.5,103.8805,101.621,1615525200000,85811
121,26153620.0,102.1174,102.2488,102.722,102.7495,101.3895,1615780800000,63480
122,31900300.0,104.4828,103.2995,104.1945,105.684,102.9645,1615867200000,72423
123,26380120.0,103.5215,103.4235,104.111,104.95,102.2061,1615953600000,69845
124,31712960.0,101.9294,102.409,101.067,103.4373,100.959,1616040000000,90308
125,46071920.0,101.3404,101.4865,101.348,101.852,100.1465,1616126400000,82736
126,33535420.0,101.6036,101.3815,101.5345,102.417,100.7,1616385600000,80974
127,28509120.0,102.3686,101.9975,102.0665,103.2055,101.4,1616472000000,68617
128,25217060.0,102.2929,102.588,101.6265,103.38,101.45,1616558400000,66693
129,33615740.0,101.2744,101.4525,101.623,102.282,99.8045,1616644800000,81639
130,27977500.0,101.0368,101.5895,101.2365,101.9693,100.1925,1616731200000,75762
131,26492620.0,101.7588,101.108,102.2895,102.4605,100.2725,1616990400000,59788
132,27317120.0,102.4111,102.649,102.3235,103.1335,101.8075,1617076800000,59704
133,42569640.0,103.4438,102.72,103.126,104.313,102.35,1617163200000,82209
134,39880100.0,105.7959,104.6125,106.489,106.7875,104.5715,1617249600000,95801
135,48509600.0,110.14,107.3575,110.948,111.4495,107.2603,1617595200000,117365
136,35205580.0,110.5841,110.546,110.463,111.4,110.0895,1617681600000,93532
137,24133920.0,111.6005,110.655,111.9515,112.225,110.655,1617768000000,65358
138,28664280.0,112.5401,113.2,112.5215,113.5895,112.1505,1617854400000,74757
139,26145300.0,112.982,112.272,113.5335,113.6985,111.8628,1617940800000,68762
140,25023660.0,112.2174,112.706,112.231,112.8443,111.391,1618200000000,78309
141,25681560.0,112.6553,112.5495,112.7215,113.1735,112.1525,1618286400000,61775
142,21002860.0,112.4951,113.3715,112.0955,113.3715,111.8008,1618372800000,58888
143,29174980.0,113.9806,113.0975,114.2625,114.8,112.5585,1618459200000,79080
144,26282780.0,114.116,114.462,114.1375,114.712,113.546,1618545600000,67179
145,30289400.0,114.4142,113.509,114.488,115.2045,113.509,1618804800000,73374
146,22288320.0,113.9013,114.8745,113.9505,114.95,112.856,1618891200000,68786
147,23204180.0,113.2645,113.6025,113.9175,114.0,112.241,1618977600000,74102
148,24145520.0,113.0337,113.77,112.626,114.4441,112.016,1619064000000,74812
149,29111080.0,114.5798,113.35,114.9965,115.3059,113.0625,1619150400000,81278
150,32036220.0,115.5906,115.226,115.4965,116.2265,114.8658,1619409600000,79716
151,44385600.0,115.6731,115.8816,114.549,115.9225,114.308,1619496000000,126045
152,81106800.0,119.3423,119.6248,117.952,121.569,117.661,1619582400000,191717
153,41233080.0,119.5319,119.4615,119.638,120.208,118.6925,1619668800000,114801
154,44856760.0,117.8902,118.401,117.675,119.0925,117.328,1619755200000,120102
155,28242780.0,117.7376,118.2455,117.154,119.0775,116.775,1620014400000,86932
156,44818640.0,114.4684,115.6775,115.3415,116.2495,112.834,1620100800000,129579
157,26636180.0,116.0368,116.4315,115.7385,116.75,115.414,1620187200000,72759
158,25190460.0,116.0777,115.3165,116.8675,116.8675,114.6521,1620273600000,73157
159,28897240.0,117.8688,118.1945,117.5965,118.5625,117.3078,1620360000000,74917
160,30914580.0,114.9958,116.407,114.5875,116.55,114.227,1620619200000,100469
161,34185840.0,113.1394,112.1535,113.503,114.014,111.696,1620705600000,106225
162,45175480.0,110.5124,111.3095,110.0125,112.399,109.681,1620792000000,127150
163,33220400.0,111.3256,111.306,111.452,111.9719,110.336,1620878400000,90470
164,31996580.0,113.5064,112.927,113.919,114.236,112.5,1620964800000,88559
165,21597380.0,113.932,113.1785,114.446,114.489,112.7755,1621224000000,65178
166,22203700.0,114.0767,115.1175,113.1235,115.3841,113.1095,1621310400000,65568
167,23684100.0,112.7815,111.4215,113.575,113.7495,111.272,1621396800000,71894
168,32351000.0,115.034,114.55,115.3475,115.6,114.176,1621483200000,66850
169,40601800.0,115.0154,115.8705,114.7065,115.9445,114.465,1621569600000,78782
170,30992200.0,117.6888,115.7445,118.052,118.2775,115.5978,1621828800000,67873
171,22439640.0,118.25,118.6,118.1435,119.2,117.75,1621915200000,60520
172,21571960.0,119.0027,118.326,119.0155,119.4495,118.3231,1622001600000,53471
173,35224020.0,118.4846,119.4525,118.134,119.4525,117.813,1622088000000,64794
174,21490800.0,118.2384,118.721,117.8425,118.8035,117.6425,1622174400000,53804
175,23254020.0,118.7301,118.722,119.059,119.2855,117.714,1622520000000,62602
176,21006020.0,118.5383,119.4575,118.5295,119.682,117.6178,1622606400000,65065
177,18695920.0,117.185,117.2865,117.379,117.8508,116.476,1622692800000,62991
178,24458200.0,119.4769,118.4635,119.6785,119.9515,118.1205,1622779200000,69846
179,24119320.0,119.734,119.4718,120.115,120.2255,119.05,1623038400000,65802
180,24239840.0,120.2523,120.6005,119.922,120.976,119.739,1623124800000,66307
181,17941040.0,120.325,120.5715,120.397,120.644,119.845,1623211200000,52423
