,v,vw,o,c,h,l,t,n
0,3444859.0,91.463,92.68,91.17,93.1,90.62,1600315200000,27575
1,5656117.0,90.2005,90.34,89.64,91.34,89.27,1600401600000,26706
2,5053315.0,85.1759,87.2,85.48,87.3,83.52,1600660800000,35036
3,3836895.0,84.8627,85.07,85.24,85.83,83.95,1600747200000,25461
4,2554139.0,84.7083,85.69,83.86,87.33,83.68,1600833600000,24100
5,5320292.0,83.1277,83.37,83.07,84.75,81.48,1600920000000,34975
6,3272387.0,84.7428,83.06,85.93,86.06,82.825,1601006400000,31688
7,2306462.0,88.6441,87.82,89.06,89.44,86.8,1601265600000,32370
8,2990359.0,87.3331,88.9,86.6,88.98,86.43,1601352000000,30533
9,3142818.0,86.3652,87.54,85.32,88.88,85.17,1601438400000,31986
10,1811060.0,86.5903,85.92,87.22,87.24,85.55,1601524800000,22752
11,1667793.0,87.1052,84.91,87.96,88.02,84.61,1601611200000,22367
12,1353546.0,89.1685,88.45,89.3,90.0063,87.86,1601870400000,21609
13,2136773.0,90.9018,90.28,89.6,92.39,89.38,1601956800000,29992
14,2121280.0,91.2657,90.41,91.72,92.15,90.41,1602043200000,24065
15,2211312.0,92.1834,92.28,92.54,92.93,91.14,1602129600000,26049
16,1664391.0,92.2069,93.0,91.37,94.1,91.255,1602216000000,20043
17,1434098.0,91.261,91.44,91.35,91.78,90.385,1602475200000,16385
18,2107575.0,89.0224,90.8,88.64,91.3,88.19,1602561600000,26197
19,2252854.0,88.6583,89.0,88.3,90.23,87.8,1602648000000,24492
20,1350505.0,87.7261,87.36,88.68,88.7,86.42,1602734400000,16633
21,1966975.0,89.2452,88.88,89.5,90.1,88.52,1602820800000,19478
22,1574102.0,88.5806,89.65,87.55,90.8407,86.97,1603080000000,19086
23,2293849.0,89.5391,88.53,89.57,90.47,87.77,1603166400000,19071
24,3431626.0,88.7357,89.33,88.97,89.63,88.2038,1603252800000,16796
25,4394883.0,93.4013,90.21,94.39,94.43,89.705,1603339200000,33706
26,2422088.0,94.7832,94.8,94.61,95.67,94.16,1603425600000,25105
27,2045650.0,90.0984,92.92,90.38,93.0,88.47,1603684800000,27417
28,1680055.0,88.4274,90.25,87.67,90.455,87.47,1603771200000,21617
29,2298366.0,84.8233,85.98,84.02,86.65,83.8442,1603857600000,26951
30,2559755.0,86.2273,84.02,86.51,87.445,83.62,1603944000000,28043
31,2346907.0,86.8896,85.76,87.81,88.0775,84.78,1604030400000,27921
32,2365333.0,87.5916,88.0,88.0,88.51,86.52,1604293200000,24794
33,3056325.0,90.6469,88.75,90.65,91.95,88.75,1604379600000,26503
34,3002005.0,94.1307,91.27,93.09,96.62,90.58,1604466000000,34294
35,2409830.0,94.4946,93.33,94.08,96.08,93.07,1604552400000,31111
36,2871443.0,93.2137,93.65,92.84,95.06,92.28,1604638800000,30772
37,9712325.0,105.5707,112.39,104.19,116.73,102.6,1604898000000,81328
38,4476923.0,104.4732,105.0,104.24,106.45,102.7425,1604984400000,43343
39,3687554.0,103.5644,104.65,103.75,104.76,101.445,1605070800000,36653
40,2723939.0,102.0606,102.33,102.05,103.265,100.83,1605157200000,28129
41,2659169.0,104.7158,102.91,105.8,105.92,102.65,1605243600000,28702
42,4534524.0,107.6667,109.47,106.58,109.71,106.26,1605502800000,46747
43,2756039.0,103.5155,104.56,103.34,105.21,102.54,1605589200000,30438
44,1917885.0,104.0756,103.37,103.35,105.63,102.9,1605675600000,23360
45,3298157.0,102.8217,102.33,102.8,103.584,102.01,1605762000000,21522
46,2345260.0,102.2211,102.85,101.76,103.37,101.45,1605848400000,26066
47,3445501.0,104.1024,102.89,105.05,105.05,102.41,1606107600000,23409
48,2850722.0,108.7142,107.97,108.94,109.62,107.03,1606194000000,29009
49,1861716.0,106.8491,108.0,106.3,108.15,106.22,1606280400000,20757
50,1008660.0,105.0974,106.62,104.41,107.0,104.17,1606453200000,16743
51,2971611.0,103.4147,104.04,103.63,104.275,101.77,1606712400000,31474
52,1959478.0,104.9456,105.26,104.84,105.64,103.87,1606798800000,25631
53,2079236.0,106.3589,104.3,106.75,107.19,103.8,1606885200000,26902
54,3131031.0,109.6277,107.13,109.16,111.54,107.13,1606971600000,32385
55,1274944.0,110.4329,109.87,110.85,111.24,108.625,1607058000000,18063
