,v,vw,o,c,h,l,t,n
0,5244400.0,78.4239,79.46,79.0,79.47,77.52,1600056000000,51098
1,7502716.0,76.4945,75.55,75.9,79.3599,74.65,1600142400000,66919
2,5085460.0,78.6983,77.44,78.89,79.84,77.11,1600228800000,49267
3,3261896.0,78.2592,78.6,78.14,79.28,77.27,1600315200000,29408
4,5520277.0,79.0417,78.03,79.18,79.88,77.76,1600401600000,42940
5,2819874.0,76.4328,77.38,76.75,78.1,74.75,1600660800000,29034
6,2825686.0,78.9696,77.15,79.85,80.06,76.46,1600747200000,31437
7,3027947.0,77.8484,80.0,76.28,80.055,76.1166,1600833600000,35845
8,2607891.0,77.5148,76.34,77.54,79.09,75.21,1600920000000,29608
9,2479232.0,77.0107,76.51,76.7,77.68,75.83,1601006400000,28582
10,2306167.0,79.1001,78.19,79.64,79.735,77.275,1601265600000,24020
11,2212960.0,79.0436,79.63,78.97,80.34,78.41,1601352000000,25692
12,4679291.0,81.4188,79.25,81.68,82.72,79.13,1601438400000,48266
13,3341235.0,82.336,82.46,82.93,83.1999,81.3,1601524800000,40536
14,2350170.0,83.2641,81.1,83.86,84.19,80.801,1601611200000,29483
15,2852961.0,82.7946,84.35,83.01,85.57,80.82,1601870400000,34633
16,2556533.0,81.4974,83.41,80.66,83.69,80.02,1601956800000,34277
17,2760433.0,80.6374,81.84,80.43,82.35,79.72,1602043200000,35354
18,2404405.0,83.3504,81.35,84.01,84.04,81.35,1602129600000,26546
19,2117006.0,84.1147,84.61,84.07,85.155,83.38,1602216000000,20226
20,1496368.0,83.8048,84.45,83.95,84.57,83.0,1602475200000,20200
21,1413392.0,83.1063,83.1,83.03,83.805,81.72,1602561600000,17935
22,1544420.0,83.2502,83.25,83.32,83.76,82.3,1602648000000,18606
23,1847571.0,84.1205,81.9,84.68,84.88,81.75,1602734400000,24840
24,3888081.0,85.3011,85.41,84.68,86.7994,84.5,1602820800000,31780
25,2398469.0,83.1507,84.93,82.54,84.9599,81.97,1603080000000,23245
26,1690792.0,83.49,82.82,83.29,84.33,82.4,1603166400000,21269
27,3182973.0,80.8916,83.08,80.09,83.315,79.7664,1603252800000,32528
28,4524035.0,76.9681,79.97,76.54,80.0,75.72,1603339200000,47366
29,3440487.0,77.6711,76.85,78.27,78.48,76.04,1603425600000,30257
30,2870548.0,75.1857,77.0,75.02,77.4,74.2,1603684800000,33833
31,3226701.0,73.0241,75.2,72.51,75.2,72.2,1603771200000,40380
32,2795836.0,72.6096,71.07,72.33,73.72,70.75,1603857600000,29635
33,2320280.0,72.2027,72.79,71.6,73.56,71.32,1603944000000,26016
