,v,vw,o,c,h,l,t,n
0,2342514.0,51.2366,52.02,50.98,52.11,50.88,1600401600000,15373
1,1805014.0,49.7929,50.3371,49.83,50.77,48.89,1600660800000,18473
2,1322581.0,50.0508,49.67,50.01,50.47,49.6425,1600747200000,12649
3,1196571.0,50.0294,50.22,49.83,50.425,49.79,1600833600000,12807
4,1253435.0,49.825,49.8,49.93,50.31,49.417,1600920000000,14505
5,2044104.0,51.0302,49.52,51.35,51.52,49.305,1601006400000,17975
6,1492996.0,51.5725,51.66,51.49,51.9699,51.24,1601265600000,12368
7,968366.0,51.2896,51.66,51.08,51.77,50.99,1601352000000,12651
8,1583797.0,51.6048,51.56,51.65,51.87,51.24,1601438400000,13062
9,1596631.0,52.1702,51.57,52.33,52.53,51.57,1601524800000,14832
10,1491664.0,52.956,52.06,53.09,53.47,52.02,1601611200000,14724
11,1463109.0,53.1361,53.15,53.31,53.52,52.53,1601870400000,11507
12,1334873.0,54.1998,53.53,54.39,54.8699,53.15,1601956800000,13375
13,1063044.0,54.1893,54.73,54.08,54.84,53.74,1602043200000,10855
14,1405465.0,54.9432,54.22,55.18,55.2,54.08,1602129600000,10888
15,881312.0,54.8065,55.22,54.74,55.52,54.48,1602216000000,11597
16,1271837.0,54.8024,54.63,54.72,55.2,54.585,1602475200000,11979
17,898630.0,54.0658,54.38,54.08,54.4999,53.66,1602561600000,11911
18,697951.0,54.071,54.29,54.05,54.53,53.76,1602648000000,9999
19,874586.0,54.453,53.71,54.55,54.88,53.62,1602734400000,11016
20,1339749.0,54.9344,54.49,54.89,55.23,54.21,1602820800000,12146
21,1599775.0,54.7496,54.98,54.72,55.22,54.56,1603080000000,10983
22,875572.0,55.0943,54.89,55.14,55.38,54.62,1603166400000,10254
23,1526984.0,55.669,55.0,55.64,56.08,54.98,1603252800000,11339
24,1256016.0,56.3579,55.5,56.46,56.65,55.33,1603339200000,11573
25,832248.0,56.5682,56.85,56.67,56.86,56.13,1603425600000,9731
26,797791.0,56.6422,56.29,56.83,57.01,56.1,1603684800000,11087
27,978564.0,57.2172,57.05,57.16,57.52,56.63,1603771200000,13041
28,1267466.0,55.8661,56.19,55.52,57.06,55.43,1603857600000,14758
29,967497.0,55.4947,54.78,55.57,56.2685,54.145,1603944000000,13418
30,1348042.0,55.2253,55.42,55.28,55.74,54.64,1604030400000,15807
31,1342450.0,56.5283,56.06,56.69,56.93,55.39,1604293200000,18171
32,1951507.0,56.4422,55.92,56.44,57.52,55.71,1604379600000,22731
33,1552744.0,55.8508,56.3,55.34,57.475,55.12,1604466000000,18047
34,1145890.0,55.3224,55.86,54.88,56.165,54.65,1604552400000,14829
35,1047756.0,54.6328,55.25,54.57,55.79,54.05,1604638800000,11854
36,1550964.0,57.2581,56.41,56.63,58.1,56.3,1604898000000,18915
37,1132863.0,56.8972,56.41,56.96,57.38,56.41,1604984400000,12689
38,733919.0,57.3946,57.17,57.42,57.78,56.98,1605070800000,10878
39,1282005.0,56.3392,57.17,56.13,57.39,55.86,1605157200000,14466
40,977953.0,56.2136,56.51,56.2,56.8,55.85,1605243600000,11367
41,1032580.0,56.2725,57.01,56.44,57.12,55.79,1605502800000,12767
42,1405579.0,55.2312,56.23,54.73,56.55,54.66,1605589200000,16352
43,1501943.0,53.6785,54.98,53.06,55.11,53.01,1605675600000,17758
44,1022624.0,52.5275,53.6,52.47,53.7142,52.22,1605762000000,13330
45,1667758.0,52.8226,52.52,52.87,53.15,52.16,1605848400000,18009
46,1048960.0,52.8804,53.16,52.75,53.4,52.6,1606107600000,13208
47,1215335.0,53.1371,53.04,53.37,53.5,52.55,1606194000000,15738
48,1282522.0,53.4175,53.42,53.51,53.87,52.76,1606280400000,12212
49,461181.0,52.8667,53.39,52.76,53.71,52.56,1606453200000,6328
50,2093113.0,52.546,52.61,52.6,52.95,52.11,1606712400000,14753
51,1355851.0,53.416,52.96,53.37,53.7,52.81,1606798800000,14423
52,1412072.0,53.3719,53.15,53.82,53.85,52.69,1606885200000,15622
53,1485143.0,53.298,53.69,53.36,53.69,52.88,1606971600000,17617
54,1270033.0,53.0501,53.34,52.88,53.77,52.66,1607058000000,15793
55,1267010.0,53.1892,53.02,53.335,53.37,52.735,1607317200000,14662
56,1177011.0,52.8249,53.1,52.76,53.315,52.55,1607403600000,15059
57,1161842.0,52.2668,52.81,52.295,52.85,51.9228,1607490000000,14261
58,1016147.0,51.7951,51.99,51.86,52.36,51.49,1607576400000,14702
59,810208.0,51.6404,51.58,51.705,51.83,51.43,1607662800000,10985
