,v,vw,o,c,h,l,t,n
0,1431121.0,69.5186,67.39,70.1,70.24,66.22,1600315200000,18578
1,1548284.0,68.807,69.85,68.34,70.42,68.22,1600401600000,13194
2,1100214.0,65.333,67.09,65.01,67.145,64.64,1600660800000,16223
3,1393891.0,64.1069,64.77,63.57,66.11,63.3,1600747200000,16419
4,972055.0,63.6322,64.53,63.53,65.15,63.085,1600833600000,12847
5,739250.0,63.029,63.49,62.67,64.54,62.125,1600920000000,10154
6,878635.0,64.4109,62.61,64.89,65.23,62.33,1601006400000,12126
7,673874.0,66.8706,65.74,66.77,67.81,65.74,1601265600000,9667
8,749641.0,65.6883,66.45,65.29,67.07,65.08,1601352000000,11391
9,869642.0,66.4615,66.03,66.27,67.15,65.67,1601438400000,11498
10,824919.0,66.7008,66.84,66.67,67.33,66.02,1601524800000,12005
11,708558.0,67.5959,65.6,67.93,68.22,65.35,1601611200000,8800
12,995209.0,69.3237,68.35,69.55,69.93,68.21,1601870400000,12630
13,1798236.0,70.5851,70.0,70.16,71.705,69.38,1601956800000,19524
14,2537837.0,72.455,72.0,72.21,74.25,71.22,1602043200000,23432
15,1078012.0,73.9333,72.63,74.33,74.68,72.36,1602129600000,15033
16,1333061.0,73.2942,74.56,73.21,75.0,72.66,1602216000000,12004
17,638462.0,72.867,73.45,72.62,73.57,72.59,1602475200000,9191
18,763826.0,71.8366,71.95,71.96,72.17,71.48,1602561600000,9191
19,505756.0,72.1397,71.91,72.13,73.05,71.745,1602648000000,8827
20,623357.0,72.7485,71.03,73.24,73.5,70.691,1602734400000,10072
21,999445.0,72.8058,73.28,72.7,73.68,72.14,1602820800000,10316
22,792651.0,72.1658,72.66,71.66,73.02,71.46,1603080000000,11486
23,861897.0,72.0091,72.34,71.89,73.109,71.48,1603166400000,7889
24,1890842.0,71.796,72.02,71.34,72.35,71.25,1603252800000,11386
25,1635752.0,71.8342,71.73,72.88,72.92,71.03,1603339200000,13152
26,692766.0,72.1552,73.3,72.11,73.58,71.55,1603425600000,8160
27,1205689.0,68.6716,71.06,67.79,71.21,67.23,1603684800000,13446
28,752598.0,66.7679,67.68,66.23,68.105,66.17,1603771200000,10378
29,1105126.0,63.8445,64.45,63.31,65.1,63.21,1603857600000,13970
30,1134765.0,64.0998,63.22,64.09,64.87,62.835,1603944000000,13437
31,729936.0,63.2874,64.09,63.45,64.435,62.62,1604030400000,10333
32,1069942.0,65.3143,64.52,65.67,65.99,64.12,1604293200000,12152
33,675191.0,67.3395,66.75,67.23,68.44,66.59,1604379600000,10321
34,1243387.0,67.7513,67.7,67.21,68.91,67.09,1604466000000,13460
35,772746.0,68.1541,67.91,67.76,68.71,67.14,1604552400000,10624
36,772786.0,66.4282,67.78,66.39,68.305,65.89,1604638800000,8683
37,2463620.0,76.8348,72.86,75.87,82.39,72.71,1604898000000,28616
38,1088928.0,76.291,76.46,76.46,76.92,75.24,1604984400000,13827
39,1029995.0,74.5672,76.48,73.78,76.725,73.69,1605070800000,11128
40,744943.0,71.5084,73.1,71.41,73.1,70.79,1605157200000,10313
41,588878.0,71.804,72.0,71.93,72.55,71.07,1605243600000,8835
42,1103782.0,73.8239,74.26,74.23,74.62,72.2,1605502800000,14137
43,706588.0,74.2002,73.44,74.5,74.77,73.07,1605589200000,8317
44,1077321.0,74.1953,74.62,73.24,75.4835,73.23,1605675600000,9286
45,1028806.0,71.47,72.49,71.6,72.62,70.46,1605762000000,14333
46,1234508.0,69.8886,71.21,69.62,71.385,69.31,1605848400000,13991
47,1344787.0,69.9468,70.04,70.07,70.42,69.35,1606107600000,15583
48,1576003.0,72.1412,71.53,71.98,73.38,71.01,1606194000000,17871
49,1047129.0,72.9123,71.96,73.26,74.1249,71.11,1606280400000,12232
50,661230.0,73.0138,73.02,73.19,73.63,72.315,1606453200000,8551
51,3605907.0,72.3426,73.0,72.38,73.0,71.755,1606712400000,17311
52,1070334.0,72.4105,73.29,72.75,73.78,71.58,1606798800000,12757
53,821210.0,72.5717,71.77,72.63,73.12,71.75,1606885200000,9504
54,846127.0,75.3901,73.0,75.66,76.22,72.64,1606971600000,12561
