,v,vw,o,c,h,l,t,n
0,4702013.0,221.4109,221.62,220.27,223.57,220.13,1600401600000,33284
1,2876044.0,215.4681,217.14,216.41,218.045,213.4,1600660800000,43593
2,2516887.0,215.8834,216.43,216.41,216.96,214.55,1600747200000,38995
3,2820867.0,216.5685,217.67,214.97,219.685,214.24,1600833600000,39546
4,1756100.0,216.0444,214.75,216.12,218.41,213.59,1600920000000,29992
5,2232035.0,217.2769,215.3,218.18,219.25,213.65,1601006400000,31561
6,2156223.0,220.5583,220.0,220.26,221.98,219.02,1601265600000,31725
7,1768466.0,219.3797,220.42,218.68,220.955,218.4783,1601352000000,27388
8,3070391.0,220.1778,218.87,219.49,222.2,218.41,1601438400000,37156
9,2483533.0,220.0758,221.59,219.59,223.0,217.79,1601524800000,39004
10,3884971.0,221.7049,217.51,222.67,223.3499,217.1,1601611200000,51757
11,2980148.0,225.5568,224.86,226.07,226.5,224.01,1601870400000,44493
12,2519907.0,225.942,226.83,224.09,228.66,223.6,1601956800000,43167
13,2026052.0,226.8517,225.58,226.48,228.41,225.125,1602043200000,35224
14,3258447.0,225.893,226.09,225.8,227.08,224.29,1602129600000,50858
15,3282010.0,224.7763,226.94,224.83,227.22,223.12,1602216000000,50162
16,2461575.0,225.378,224.81,226.11,226.51,223.12,1602475200000,41279
17,2160808.0,227.0556,225.7,227.35,228.58,224.93,1602561600000,35489
18,1900884.0,228.1372,228.41,227.62,229.4803,227.35,1602648000000,32099
19,2211944.0,228.8098,226.15,229.64,230.0,225.59,1602734400000,31849
20,2363385.0,230.265,229.77,229.37,231.91,229.1501,1602820800000,36616
21,2043108.0,227.3097,229.55,226.0,231.02,225.17,1603080000000,31360
22,1926155.0,227.9869,226.74,227.45,230.0,226.43,1603166400000,34802
23,1561939.0,228.2615,227.23,228.19,229.49,227.21,1603252800000,24881
24,2002987.0,228.478,227.76,229.15,229.4,226.875,1603339200000,30897
25,2307661.0,228.7785,230.41,228.71,230.41,227.8,1603425600000,30418
26,2567629.0,223.5431,226.78,224.27,227.25,220.97,1603684800000,48033
27,1833213.0,223.4355,224.47,222.97,225.23,222.72,1603771200000,32181
28,3323815.0,216.3512,218.39,214.69,220.5916,214.46,1603857600000,62733
29,2509720.0,215.5484,214.69,214.95,217.65,213.07,1603944000000,42311
30,3508984.0,212.284,213.6,213.0,215.22,209.905,1604030400000,53238
31,3029980.0,213.147,215.88,212.56,216.32,210.79,1604293200000,50643
32,2652855.0,216.7649,215.59,216.8,218.1,213.95,1604379600000,46401
33,3431456.0,216.4673,215.0,214.87,219.47,213.3,1604466000000,54540
34,3683190.0,215.9973,216.07,216.31,218.2,214.68,1604552400000,53222
35,3967507.0,216.2693,216.0,216.56,217.885,214.25,1604638800000,51506
36,8110086.0,216.2791,226.79,213.22,227.8477,207.17,1604898000000,118839
37,4317282.0,213.2479,215.75,213.32,215.99,211.34,1604984400000,64996
38,4192197.0,217.5588,214.81,218.02,219.25,214.3,1605070800000,50972
39,4298548.0,212.918,217.56,213.07,217.82,210.88,1605157200000,71117
40,3104515.0,213.1892,213.76,213.28,214.39,212.34,1605243600000,45389
41,3758302.0,215.5735,215.5,216.73,216.75,213.6301,1605502800000,58012
42,2489633.0,215.7611,215.6,216.01,217.39,214.02,1605589200000,44491
43,3112438.0,216.3504,216.1,215.52,217.84,215.41,1605675600000,37174
44,2881144.0,214.7556,214.84,215.11,215.48,213.33,1605762000000,44161
45,4048467.0,214.2844,214.39,214.09,215.215,213.625,1605848400000,36911
46,3067758.0,216.4327,215.14,217.0,217.6,214.65,1606107600000,38986
47,3928496.0,219.7793,219.01,219.71,221.25,218.25,1606194000000,45166
48,1917521.0,219.1401,219.98,219.34,220.59,217.92,1606280400000,32718
49,1394366.0,218.5357,219.02,218.33,220.4,217.66,1606453200000,21407
50,3449341.0,216.4471,216.46,217.44,217.57,214.43,1606712400000,44999
51,4263019.0,216.6177,218.88,216.14,218.93,215.53,1606798800000,45110
52,6288877.0,210.8821,214.0,210.86,214.4,209.13,1606885200000,92433
53,3775463.0,211.6809,210.94,211.51,213.23,210.5581,1606971600000,50071
54,3207755.0,211.247,211.6,210.74,213.38,210.1,1607058000000,45875
55,3911279.0,207.9818,208.53,208.89,209.11,206.19,1607317200000,67992
56,2814019.0,208.0869,206.55,208.39,209.1,206.41,1607403600000,44461
57,3064095.0,208.5894,209.49,208.69,209.5271,207.33,1607490000000,48294
58,2998602.0,207.8128,208.5,208.04,208.76,207.07,1607576400000,40600
59,2818461.0,207.5062,207.47,207.76,208.94,206.73,1607662800000,41103
60,4844676.0,212.5096,210.73,211.92,214.74,210.21,1607922000000,63566
61,3893505.0,214.8144,213.22,214.86,216.21,212.7392,1608008400000,50671
62,2718557.0,214.6988,214.88,213.8,217.51,213.66,1608094800000,39847
63,2608739.0,214.3318,215.39,214.25,215.785,213.53,1608181200000,41556
64,8973095.0,215.128,215.15,215.08,216.85,213.82,1608267600000,48559
65,4429436.0,211.0105,210.62,211.67,212.55,208.01,1608526800000,60347
66,2819103.0,211.8333,211.2,211.92,212.905,210.37,1608613200000,35706
