,v,vw,o,c,h,l,t,n
0,2963472.0,51.4058,50.03,51.76,51.92,49.915,1600315200000,22228
1,9391568.0,50.7585,51.895,50.7,52.155,49.905,1600401600000,32079
2,4684766.0,48.8375,49.75,49.25,49.91,48.08,1600660800000,33834
3,3161576.0,49.394,49.5,49.6,49.735,48.995,1600747200000,21840
4,3568978.0,49.3226,49.625,48.825,50.155,48.65,1600833600000,22495
5,2915900.0,48.9472,48.41,48.875,49.55,48.155,1600920000000,22654
6,2864960.0,48.9749,48.675,49.525,49.635,47.765,1601006400000,20945
7,3912436.0,51.1249,50.555,51.535,51.545,50.255,1601265600000,25915
8,2799646.0,51.3888,51.37,51.37,52.02,51.005,1601352000000,17730
9,4818638.0,51.7276,51.52,51.38,52.335,51.215,1601438400000,26837
10,4888858.0,53.3197,53.04,53.525,54.005,52.505,1601524800000,31531
11,3328678.0,52.4692,52.125,51.88,53.665,51.88,1601611200000,22570
12,2674450.0,53.3735,52.37,53.655,53.705,52.37,1601870400000,19153
13,2573140.0,53.7978,53.67,53.245,54.945,53.13,1601956800000,20127
14,2700526.0,54.3312,54.19,54.395,54.59,53.865,1602043200000,18317
15,3568392.0,55.5353,54.895,55.79,55.91,54.6475,1602129600000,22980
16,3205616.0,57.1656,57.12,56.99,58.28,56.61,1602216000000,23872
17,4049496.0,57.1646,57.68,57.065,57.75,56.81,1602475200000,23805
18,3774772.0,55.8911,56.38,55.79,56.5,55.54,1602561600000,23303
19,2385892.0,55.58,55.79,55.375,56.15,55.23,1602648000000,17022
20,1973328.0,55.2454,54.69,55.67,55.728,54.4301,1602734400000,16701
21,2874924.0,55.6062,55.88,55.405,56.17,55.365,1602820800000,17684
22,3095438.0,56.2389,57.495,55.83,57.52,55.5,1603080000000,22378
23,2463804.0,56.091,56.105,55.615,56.8875,55.61,1603166400000,20417
24,2227456.0,55.3485,55.68,55.24,56.155,54.92,1603252800000,18567
25,3584784.0,56.0909,55.255,56.26,56.44,54.775,1603339200000,16073
26,1908090.0,56.2224,56.68,56.26,56.68,55.86,1603425600000,13016
27,2009986.0,54.7554,55.65,54.865,55.78,54.03,1603684800000,15315
28,2127778.0,54.2856,54.82,53.975,55.29,53.83,1603771200000,18061
29,4239988.0,51.8251,53.025,51.27,53.26,51.2,1603857600000,31114
30,3544734.0,52.914,51.235,53.175,53.78,51.1725,1603944000000,24638
31,3322408.0,52.3687,52.5,52.54,53.2,51.8625,1604030400000,25515
32,2668904.0,52.5932,53.435,52.555,53.49,51.995,1604293200000,23614
33,3229960.0,54.2832,53.145,54.485,54.82,53.105,1604379600000,22292
34,4034730.0,56.3394,56.085,56.66,57.04,54.27,1604466000000,30582
35,5205032.0,58.6586,57.655,59.19,59.315,57.0025,1604552400000,34411
36,7041970.0,62.2603,61.16,62.64,63.395,60.025,1604638800000,40518
37,4915958.0,63.9772,65.495,63.255,65.825,63.145,1604898000000,33328
38,4951022.0,61.2531,62.295,60.96,62.855,60.625,1604984400000,30456
39,4058270.0,62.9508,61.87,63.125,63.4925,61.505,1605070800000,20886
40,2229372.0,62.1442,62.865,61.73,63.275,61.465,1605157200000,18299
41,1874168.0,63.0204,62.575,63.075,63.57,62.3525,1605243600000,17049
42,2011868.0,64.3727,63.92,64.825,64.87,63.1525,1605502800000,16764
43,2496780.0,63.7224,63.81,63.685,64.255,62.985,1605589200000,19398
44,2602778.0,62.9192,63.635,62.425,63.895,62.37,1605675600000,19433
45,2688276.0,63.431,61.645,63.755,63.84,61.4433,1605762000000,18065
46,13091368.0,66.516,64.96,65.49,67.645,64.6786,1605848400000,74263
