,v,vw,o,c,h,l,t,n
0,989827.0,280.8783,280.9,280.82,284.81,278.6,1600401600000,13798
1,923172.0,278.1568,277.04,280.04,280.415,274.8,1600660800000,14516
2,526669.0,277.89,279.85,279.13,282.0,274.52,1600747200000,12053
3,439954.0,276.0483,279.52,273.66,281.11,273.43,1600833600000,9464
4,476912.0,275.7483,273.39,275.51,278.86,272.61,1600920000000,12456
5,522906.0,278.8031,273.78,280.49,281.355,273.11,1601006400000,11524
6,562214.0,285.1524,283.66,285.16,286.5,282.655,1601265600000,12192
7,383268.0,286.5574,285.53,285.73,288.285,282.94,1601352000000,10395
8,685770.0,290.0411,286.88,289.85,292.63,286.0,1601438400000,14305
9,666022.0,294.0828,294.08,293.5,298.18,290.43,1601524800000,16113
10,461363.0,293.6886,289.88,293.96,296.4,287.68,1601611200000,11896
11,337485.0,294.6211,295.88,295.18,297.93,292.075,1601870400000,8507
12,690970.0,290.6495,296.35,287.94,296.77,286.02,1601956800000,16851
13,474263.0,288.3121,288.86,288.25,291.22,287.19,1602043200000,11315
14,348942.0,291.8767,289.22,292.14,294.03,289.22,1602129600000,8872
15,387909.0,294.1474,293.79,294.73,295.19,292.65,1602216000000,9534
16,507385.0,294.1483,296.9,293.33,297.14,292.78,1602475200000,10420
17,394674.0,293.7729,293.98,293.41,296.5,290.84,1602561600000,10285
18,484822.0,291.6266,294.13,290.11,296.165,289.9,1602648000000,10142
19,619734.0,287.8693,288.28,290.48,290.74,284.39,1602734400000,12508
20,554686.0,291.2087,291.48,289.06,296.05,288.99,1602820800000,9942
21,635246.0,285.729,289.67,284.53,293.07,283.38,1603080000000,11813
22,481154.0,285.4868,284.98,285.39,288.65,282.59,1603166400000,11368
23,487990.0,280.0888,284.9,277.16,287.26,277.01,1603252800000,12973
24,974606.0,273.5538,277.13,272.72,278.29,271.2,1603339200000,17769
25,746990.0,271.9363,273.37,271.88,274.78,270.19,1603425600000,14849
26,724292.0,268.5811,269.28,269.0,270.92,266.345,1603684800000,14869
27,616143.0,267.0179,270.1,266.19,272.33,265.2,1603771200000,14360
28,901539.0,260.9491,261.46,261.86,263.71,257.95,1603857600000,17192
29,1242808.0,261.9283,261.215,263.0,266.0,253.17,1603944000000,19453
30,1159549.0,263.2196,261.26,262.9,268.34,259.45,1604030400000,20123
31,933508.0,266.4445,266.55,265.93,273.49,263.62,1604293200000,19129
32,716213.0,270.632,269.38,269.18,273.56,268.44,1604379600000,18414
33,903603.0,284.6038,272.63,285.61,288.39,272.63,1604466000000,18221
34,679592.0,291.2522,290.44,291.06,293.74,287.45,1604552400000,18119
35,498821.0,290.3296,291.08,290.63,292.73,285.96,1604638800000,11736
36,1510710.0,284.6079,302.7,275.45,304.64,274.63,1604898000000,31242
37,1075722.0,271.0329,276.46,270.33,276.46,268.05,1604984400000,21285
38,693564.0,278.9384,273.43,280.25,282.295,273.43,1605070800000,13494
39,598278.0,276.8555,280.83,276.34,281.67,274.99,1605157200000,12500
40,589735.0,275.6006,277.55,275.41,278.2,273.245,1605243600000,12715
41,649935.0,275.6343,277.03,275.54,278.02,272.908,1605502800000,13334
42,629400.0,274.8199,273.39,274.69,276.67,273.305,1605589200000,14884
43,622685.0,274.6405,276.0,272.62,276.56,272.62,1605675600000,14222
44,534935.0,273.6122,273.5,274.12,275.03,271.02,1605762000000,12640
45,760895.0,273.5055,273.74,272.94,275.66,271.55,1605848400000,15377
46,631762.0,272.0475,275.23,270.84,277.06,270.5,1606107600000,14007
47,1409994.0,271.0869,271.71,271.58,272.86,268.72,1606194000000,22158
48,1057699.0,275.0229,273.0,276.57,276.7,271.29,1606280400000,17876
49,391752.0,278.118,279.19,277.22,281.14,276.3,1606453200000,8443
50,1545170.0,281.0962,280.26,282.34,283.345,277.33,1606712400000,23181
51,1187124.0,280.522,283.71,279.2,285.36,277.535,1606798800000,23251
52,749380.0,278.3198,279.07,277.97,280.88,276.99,1606885200000,15123
53,1148547.0,279.4816,277.03,279.88,281.1,277.03,1606971600000,16684
54,1060414.0,286.1333,280.6,285.66,288.37,280.32,1607058000000,19557
55,625182.0,283.4907,286.1,283.1,286.365,281.41,1607317200000,12175
56,788102.0,279.807,281.75,278.81,282.76,278.47,1607403600000,13153
57,1008843.0,274.0071,278.88,275.32,278.935,270.95,1607490000000,19465
58,535338.0,273.931,274.54,273.98,276.7141,272.12,1607576400000,12392
59,395861.0,274.0167,272.82,274.64,275.87,271.86,1607662800000,12045
60,603003.0,277.0102,276.78,274.62,280.63,274.47,1607922000000,14358
61,700899.0,277.7174,275.73,277.39,280.0,274.48,1608008400000,15560
62,819167.0,279.1008,277.98,280.55,281.3,276.24,1608094800000,16326
63,746606.0,280.9711,282.75,280.06,284.52,279.09,1608181200000,13052
64,1683669.0,282.2843,279.76,283.37,284.72,278.8,1608267600000,15017
65,910513.0,278.1865,281.22,278.86,281.7499,273.74,1608526800000,16965
66,892920.0,280.5669,277.69,281.27,281.6,276.86,1608613200000,11949
67,425173.0,278.1797,281.44,275.7,284.455,275.54,1608699600000,10538
68,213770.0,277.7409,275.32,278.88,279.365,275.32,1608786000000,5213
69,526113.0,278.3515,281.16,277.97,281.16,276.815,1609131600000,10215
70,574683.0,280.5958,280.36,280.73,282.21,278.74,1609218000000,11381
71,617429.0,284.4815,282.72,285.51,285.84,281.645,1609304400000,13440
72,714375.0,288.8542,286.06,290.24,290.44,284.55,1609390800000,12416
73,1362384.0,291.9847,293.5,292.0,294.4,288.875,1609736400000,25385
74,840196.0,285.6608,291.17,284.38,294.7,282.97,1609822800000,17854
75,1046741.0,280.7062,282.43,281.35,285.04,277.48,1609909200000,23203
76,756138.0,282.6712,283.15,281.38,287.69,280.84,1609995600000,16881
77,657088.0,280.0634,283.01,280.21,284.3052,276.96,1610082000000,14812
78,633223.0,276.6938,278.65,276.35,278.75,274.62,1610341200000,11639
79,589883.0,275.0103,277.36,274.06,278.945,272.62,1610427600000,14774
80,963090.0,273.5469,274.52,274.25,275.81,270.305,1610514000000,15374
81,1276015.0,272.8815,274.85,272.16,276.71,271.02,1610600400000,17205
82,953544.0,268.0704,271.11,266.65,271.94,266.53,1610686800000,15610
83,1370233.0,267.9431,267.52,269.29,270.32,264.04,1611032400000,19788
84,896413.0,275.5279,272.69,275.53,277.86,272.355,1611118800000,14050
85,847960.0,272.0464,274.85,270.77,277.44,270.74,1611205200000,14676
86,740806.0,268.2536,271.09,266.7,272.27,266.67,1611291600000,12789
87,768388.0,267.0773,267.02,266.55,270.522,265.47,1611550800000,14341
88,559427.0,268.5285,266.76,268.67,270.369,265.32,1611637200000,12377
89,1022395.0,264.3759,266.25,263.04,269.335,261.38,1611723600000,18574
90,795268.0,271.109,263.37,270.07,274.29,262.88,1611810000000,16465
91,763137.0,266.5468,267.89,266.26,270.43,263.605,1611896400000,13729
92,579104.0,270.9884,270.19,270.75,273.015,267.93,1612155600000,12145
93,741926.0,278.6089,272.83,278.25,281.37,272.0,1612242000000,15114
94,503517.0,275.099,276.68,273.88,278.24,273.32,1612328400000,12119
95,672408.0,274.9785,273.95,276.85,277.0,272.62,1612414800000,11876
96,489091.0,277.1924,278.23,276.97,279.24,276.355,1612501200000,9979
97,735252.0,278.1499,278.51,278.39,280.315,276.18,1612760400000,14049
98,685373.0,282.5989,279.1,282.32,284.66,278.51,1612846800000,13232
99,855411.0,277.7102,283.9,276.87,283.9,275.85,1612933200000,16000
100,574196.0,277.7359,278.96,278.66,279.57,275.21,1613019600000,14415
101,919909.0,278.9148,275.0,278.67,284.99,275.0,1613106000000,16737
102,1046549.0,279.5169,280.08,280.35,282.39,272.87,1613451600000,17285
103,665209.0,279.6974,278.12,280.55,281.0,277.75,1613538000000,12552
