,v,vw,o,c,h,l,t,n
0,1208386.0,117.5617,116.84,117.8,118.04,116.47,1600056000000,16985
1,1409639.0,118.666,118.11,118.62,119.4,118.0,1600142400000,19100
2,1586256.0,119.2692,118.96,118.83,120.51,118.61,1600228800000,15908
3,1896328.0,117.687,117.7,117.88,118.56,116.51,1600315200000,19248
4,3424889.0,117.8166,117.53,117.67,119.4,117.27,1600401600000,18631
5,2240299.0,115.8769,116.44,116.27,116.76,114.47,1600660800000,20470
6,1838202.0,116.1134,116.28,116.27,117.61,114.97,1600747200000,18280
7,1476344.0,115.2125,116.17,114.54,117.07,114.46,1600833600000,16622
8,1736346.0,113.3426,114.42,112.73,114.74,112.54,1600920000000,22479
9,2414841.0,112.3514,112.4,112.96,113.37,110.71,1601006400000,27497
10,2072478.0,114.7531,114.1,114.54,115.85,113.26,1601265600000,22557
11,1621638.0,114.1778,114.32,114.05,114.89,113.17,1601352000000,23097
12,2514171.0,114.5748,114.55,114.7,115.835,113.58,1601438400000,24903
13,2070781.0,114.3332,115.03,114.23,115.45,113.59,1601524800000,25836
14,1664781.0,114.7814,113.42,114.56,115.8,113.185,1601611200000,25654
15,1358249.0,115.5331,115.44,115.66,116.0939,114.68,1601870400000,15696
16,2198605.0,115.4355,116.08,114.88,117.14,114.46,1601956800000,17772
17,1619978.0,114.8455,115.59,114.69,116.2,114.255,1602043200000,20455
18,2151104.0,114.5656,114.61,114.26,115.6766,114.13,1602129600000,18440
19,1718891.0,115.5766,115.19,115.71,116.51,114.23,1602216000000,21887
20,1321943.0,116.1882,115.3,116.59,117.18,115.27,1602475200000,13114
21,1232096.0,115.2533,116.26,114.95,117.56,114.37,1602561600000,16103
22,1348031.0,114.9909,115.4,114.51,116.28,114.27,1602648000000,15905
23,1463505.0,114.3154,113.76,114.36,115.12,113.3,1602734400000,18182
24,1723192.0,114.963,114.66,114.94,115.98,114.34,1602820800000,13973
25,1203029.0,113.6592,115.18,113.03,115.56,112.84,1603080000000,18107
26,1117635.0,112.9428,113.79,112.47,114.11,112.2351,1603166400000,16485
27,1167052.0,112.7544,112.61,112.3,113.83,112.28,1603252800000,18837
28,1072545.0,113.1783,112.3,113.38,113.65,111.84,1603339200000,14747
29,1288892.0,113.5114,113.82,113.7,113.855,112.78,1603425600000,14253
30,1447962.0,111.1233,112.71,111.09,112.72,110.35,1603684800000,19558
31,1100104.0,110.9365,111.33,110.41,111.99,110.41,1603771200000,16871
32,2540938.0,107.8652,108.83,107.53,109.4,107.29,1603857600000,26498
33,3084978.0,104.3339,107.32,102.95,107.865,102.86,1603944000000,33411
34,2818905.0,103.0087,102.59,103.46,104.64,102.11,1604030400000,32117
35,2590006.0,104.4522,104.0,104.89,105.44,103.27,1604293200000,27073
36,2364169.0,106.5683,106.43,106.57,107.43,105.48,1604379600000,25183
37,2254099.0,109.7741,106.86,109.0,111.38,106.65,1604466000000,28512
38,1593425.0,108.9603,109.92,108.4,110.73,107.85,1604552400000,21905
39,1422906.0,109.7117,109.14,109.56,110.73,108.17,1604638800000,17143
40,3306120.0,112.7203,116.0,110.58,117.13,110.17,1604898000000,37630
41,2136292.0,111.914,110.68,112.51,113.08,109.97,1604984400000,23781
