,v,vw,o,c,h,l,t,n
0,4431834.0,79.3143,80.81,78.99,80.95,78.11,1600401600000,27828
1,2097177.0,77.83,78.41,78.38,78.5,77.07,1600660800000,29332
2,1329612.0,79.0324,78.2,79.23,79.54,77.91,1600747200000,16206
3,1425188.0,78.3031,78.85,77.79,79.24,77.43,1600833600000,17975
4,1236195.0,78.2106,77.45,78.0,79.02,76.88,1600920000000,16199
5,1576921.0,78.4644,77.45,78.79,79.03,77.08,1601006400000,17794
6,2271363.0,80.1971,79.91,80.51,80.73,79.44,1601265600000,24943
7,1469315.0,80.0974,80.89,79.79,81.08,79.59,1601352000000,18082
8,3390275.0,80.3143,80.33,80.2,81.06,79.64,1601438400000,25814
9,4699135.0,81.3152,81.05,81.48,81.76,80.24,1601524800000,31080
10,2002050.0,79.7028,80.33,79.55,80.83,78.72,1601611200000,25043
11,2281595.0,78.5723,79.71,78.67,80.12,78.02,1601870400000,23765
12,1837320.0,78.1426,78.63,77.63,79.37,77.35,1601956800000,22331
13,1648099.0,78.5739,77.88,78.76,78.99,77.63,1602043200000,20120
14,1452197.0,79.0318,79.19,79.17,79.35,78.6,1602129600000,16071
15,2503818.0,80.6626,79.49,80.95,81.2,79.37,1602216000000,28497
16,3339970.0,82.6081,82.03,82.78,83.39,81.56,1602475200000,35376
17,2924998.0,83.4825,83.66,83.49,84.46,82.825,1602561600000,30314
18,1890246.0,83.0633,83.79,82.8,84.34,82.17,1602648000000,21258
19,2194273.0,81.5371,81.83,81.39,82.495,81.08,1602734400000,29988
20,4755043.0,81.1077,81.73,80.76,82.64,80.7,1602820800000,35010
21,2186773.0,80.2849,80.46,80.01,81.57,79.63,1603080000000,28314
22,1714724.0,80.4793,80.5,80.2,81.06,79.92,1603166400000,24357
23,1191309.0,80.1367,79.87,80.09,80.68,79.41,1603252800000,15580
24,1169486.0,80.2943,80.42,80.56,80.78,79.337,1603339200000,15154
25,1403698.0,80.4762,80.86,80.39,81.29,80.05,1603425600000,16557
26,1550815.0,78.7406,79.345,78.85,80.27,78.07,1603684800000,20780
27,1906367.0,80.3483,79.79,80.39,81.08,79.33,1603771200000,23651
28,2172598.0,77.6741,78.71,77.37,79.14,77.245,1603857600000,22987
29,1530320.0,77.6945,77.07,77.54,78.51,76.54,1603944000000,18405
30,3256029.0,76.5408,76.83,76.57,77.22,75.45,1604030400000,25171
