,v,vw,o,c,h,l,t,n
0,55225326.0,200.3407,202.8,200.39,203.65,196.25,1600401600000,465276
1,39839657.0,199.4993,197.19,202.54,202.71,196.38,1600660800000,448842
2,33517065.0,205.4506,205.06,207.42,208.1,202.075,1600747200000,335185
3,30803780.0,203.1063,207.9,200.59,208.1,200.03,1600833600000,309915
4,31202493.0,203.3038,199.85,203.19,205.57,199.2,1600920000000,312989
5,29437312.0,206.5234,203.55,207.82,209.04,202.54,1601006400000,291003
6,32004936.0,209.6154,210.88,209.44,212.57,208.06,1601265600000,296010
7,24464472.0,208.0942,209.35,207.26,210.07,206.81,1601352000000,236988
8,33829088.0,210.0916,207.73,210.33,211.98,206.54,1601438400000,284380
9,27142418.0,212.5139,213.49,212.46,213.99,211.32,1601524800000,246304
10,33134781.0,207.7122,208.0,206.19,210.99,205.54,1601611200000,363723
11,21331561.0,209.2233,207.22,210.38,210.41,206.98,1601870400000,204818
12,28554261.0,207.4603,208.82,205.91,210.18,204.82,1601956800000,302635
13,25681054.0,208.8982,207.06,209.83,210.11,206.72,1602043200000,228591
14,19925837.0,210.1118,210.51,210.58,211.19,208.32,1602129600000,202388
15,26458047.0,214.3997,211.23,215.81,215.86,211.23,1602216000000,270136
16,40456493.0,221.1056,218.79,221.4,223.86,216.81,1602475200000,391647
17,28950843.0,223.1048,222.72,222.86,225.21,220.43,1602561600000,293244
18,23451713.0,221.41,223.0,220.86,224.22,219.13,1602648000000,244243
19,22733064.0,218.5767,217.1,219.66,220.36,216.01,1602734400000,226540
20,25882732.0,220.4622,220.15,219.66,222.29,219.32,1602820800000,222213
21,27625841.0,216.7103,220.415,214.22,222.3,213.72,1603080000000,283539
22,22753511.0,215.3232,215.8,214.65,217.37,213.0901,1603166400000,245349
23,22699906.0,215.1687,213.12,214.8,216.92,213.12,1603252800000,230446
24,22351450.0,214.1883,213.93,214.89,216.055,211.7,1603339200000,218137
25,18772608.0,215.2053,215.03,216.23,216.28,213.16,1603425600000,188454
26,37111561.0,210.9515,213.85,210.08,216.3399,208.1,1603684800000,405587
27,36685925.0,212.9825,211.59,213.25,214.67,210.329,1603771200000,359568
28,51178393.0,204.9126,207.67,202.68,208.84,202.1,1603857600000,613378
29,31372563.0,205.1144,204.07,204.72,207.36,203.37,1603944000000,350614
30,36968111.0,201.4772,203.5,202.47,204.29,199.62,1604030400000,467253
31,30842163.0,202.3706,204.29,202.33,205.28,200.12,1604293200000,339681
32,27511636.0,206.487,203.89,206.43,208.12,203.12,1604379600000,277385
33,42299777.0,216.1049,214.02,216.39,218.32,212.4185,1604466000000,460852
34,36080137.0,222.9468,222.04,223.29,224.12,221.15,1604552400000,362014
35,25231895.0,222.2102,222.26,223.72,224.36,218.03,1604638800000,264715
36,44347950.0,222.4811,224.435,218.39,228.12,217.88,1604898000000,465495
37,44022470.0,211.8445,214.5,211.01,216.5,209.72,1604984400000,504391
38,29440788.0,215.6128,212.39,216.55,218.04,212.2,1605070800000,270700
39,21616115.0,216.5288,217.21,215.44,219.11,214.46,1605157200000,245295
40,18630307.0,216.001,216.36,216.51,217.42,214.16,1605243600000,191297
41,24953344.0,216.489,214.87,217.23,217.74,214.52,1605502800000,234034
42,24154112.0,215.3621,216.1,214.46,217.68,214.08,1605589200000,233158
43,28372789.0,212.4425,213.65,211.08,215.17,210.93,1605675600000,273276
44,24792746.0,211.7601,211.38,212.42,213.03,209.93,1605762000000,230817
45,22843119.0,211.636,212.2,210.39,213.285,210.0,1605848400000,214089
46,25683507.0,209.9553,210.95,210.11,212.29,208.16,1606107600000,260026
47,33979731.0,211.9157,209.59,213.86,214.25,208.86,1606194000000,294859
48,20938887.0,213.8127,215.11,213.87,215.29,212.46,1606280400000,228100
49,14512213.0,215.2732,214.85,215.23,216.27,214.04,1606453200000,140034
50,33064753.0,213.0843,214.1,214.07,214.76,210.835,1606712400000,303757
