,v,vw,o,c,h,l,t,n
0,157569,980.8454,985.77,976.47,995.3,970.815,1600401600000,4248
1,114536,967.654,962.7,974.5,975.59,945.0,1600660800000,4104
2,119839,981.051,973.66,986.07,987.26,964.61,1600747200000,4624
3,105998,964.6827,987.6,957.14,987.6,953.89,1600833600000,5118
4,73299,958.8681,956.14,960.26,970.07,947.035,1600920000000,4496
5,100528,967.7389,957.4,975.07,981.75,953.57,1601006400000,3682
6,87441,968.1889,958.84,968.47,981.93,958.84,1601265600000,4413
7,93974,967.5069,974.04,968.59,981.4,959.89,1601352000000,4441
8,169341,970.1495,974.22,965.75,986.785,958.3,1601438400000,6293
9,98979,972.0673,974.64,970.92,985.7734,964.0,1601524800000,5119
10,83045,970.012,959.6,966.92,977.63,959.6,1601611200000,4102
11,101220,987.9725,979.95,990.43,993.06,979.95,1601870400000,3347
12,118249,997.4921,992.28,993.85,1009.95,992.28,1601956800000,4111
13,109910,1006.2518,977.02,1011.27,1013.23,977.02,1602043200000,5503
14,93026,1014.2832,1015.45,1012.08,1024.9199,1011.86,1602129600000,3890
15,94333,1024.255,1021.11,1025.46,1029.615,1015.26,1602216000000,3926
16,81523,1026.8035,1027.6,1025.75,1033.9,1022.7,1602475200000,4412
17,77367,1029.2796,1025.0,1028.66,1033.47,1020.48,1602561600000,3080
18,95589,1029.4727,1030.01,1022.39,1044.83,1019.91,1602648000000,3846
19,67930,1018.8494,1012.08,1018.53,1024.38,1012.08,1602734400000,3574
20,80679,1030.5721,1027.13,1029.77,1042.24,1024.07,1602820800000,3538
21,64535,1025.3394,1029.3,1018.7,1036.175,1014.225,1603080000000,4300
22,76798,1035.7306,1023.12,1030.61,1049.39,1023.12,1603166400000,4560
23,59508,1035.9336,1034.12,1031.94,1043.01,1030.2828,1603252800000,3007
24,116153,1057.4732,1037.67,1063.23,1068.44,1037.67,1603339200000,4923
25,97267,1057.1957,1067.99,1053.2,1078.98,1050.24,1603425600000,4359
26,68524,1043.0045,1046.24,1045.29,1054.5,1033.68,1603684800000,3812
27,131634,1052.9413,1050.87,1052.58,1064.06,1045.29,1603771200000,5122
28,112417,1018.6803,1037.67,1009.26,1043.87,1008.38,1603857600000,5741
29,114481,1007.695,1011.01,1003.79,1017.12,999.52,1603944000000,4791
30,92521,995.1283,995.86,997.91,1007.155,985.05,1604030400000,4948
31,157046,1040.2613,1018.88,1043.25,1048.91,1017.67,1604293200000,7672
32,98418,1067.308,1055.31,1065.5,1080.94,1055.31,1604379600000,5521
33,130049,1084.2053,1082.17,1080.23,1098.915,1075.655,1604466000000,6707
34,171019,1101.708,1102.22,1103.74,1110.06,1089.35,1604552400000,6978
35,231272,1179.8326,1205.75,1181.11,1228.41,1156.61,1604638800000,9430
36,189978,1192.0416,1182.48,1179.58,1215.43,1174.22,1604898000000,10380
37,226734,1139.5981,1182.11,1125.46,1182.88,1122.8,1604984400000,8563
38,188412,1137.9056,1138.06,1134.4,1149.98,1128.24,1605070800000,7289
39,131618,1152.6864,1137.56,1157.87,1163.435,1132.695,1605157200000,5734
40,128966,1174.053,1158.75,1181.38,1184.89,1150.02,1605243600000,5511
41,119487,1180.8962,1186.81,1187.93,1188.35,1168.37,1605502800000,6111
42,136473,1187.8753,1178.25,1193.36,1196.62,1171.92,1605589200000,6641
43,178270,1155.1419,1190.7,1144.81,1190.7,1139.76,1605675600000,6065
44,102399,1147.9121,1142.99,1147.34,1154.2,1141.745,1605762000000,5196
45,226374,1149.8146,1149.28,1147.6,1160.49,1140.63,1605848400000,6437
46,100856,1139.7949,1148.79,1138.68,1155.425,1130.69,1606107600000,4840
