,v,vw,o,c,h,l,t,n
0,7359126.0,477.9914,480.62,476.26,488.99,471.3001,1600056000000,130268
1,5336992.0,492.9665,484.0,495.99,497.47,481.63,1600142400000,107539
2,4401412.0,491.6747,499.99,483.86,504.66,483.31,1600228800000,94468
3,5379301.0,470.3544,475.16,470.2,478.4,463.27,1600315200000,119615
4,6717711.0,468.8778,472.51,469.96,479.4,458.6,1600401600000,109939
5,5457539.0,478.1164,467.6923,487.35,487.775,466.32,1600660800000,109020
6,3482324.0,487.1997,489.01,491.17,491.82,479.26,1600747200000,74933
7,3686423.0,477.0571,491.04,470.61,491.04,469.0,1600833600000,76738
8,3727201.0,473.1101,470.53,473.08,477.0,467.82,1600920000000,71380
9,3769436.0,479.4422,474.39,482.88,484.87,468.0258,1601006400000,62929
10,4773497.0,486.85,489.1094,490.65,492.0,477.88,1601265600000,89000
11,3543193.0,492.333,489.5,493.48,496.2868,486.53,1601352000000,65180
12,4634111.0,499.46,492.57,500.03,504.63,489.2704,1601438400000,88835
13,8148905.0,517.0307,506.03,527.51,529.55,503.6,1601524800000,145643
14,6071165.0,512.792,516.43,503.06,526.3714,502.7,1601611200000,131073
15,4088069.0,514.6626,506.8,520.65,520.99,501.6997,1601870400000,79533
16,4199034.0,511.1769,518.72,505.87,521.82,504.16,1601956800000,82044
17,7988683.0,530.1778,518.0,534.66,536.49,515.815,1602043200000,146592
18,5386238.0,529.4165,533.48,531.79,535.0,524.15,1602129600000,95533
19,4761259.0,539.019,537.8339,539.44,544.28,535.0,1602216000000,93547
20,5391074.0,544.2153,548.81,539.81,551.81,538.24,1602475200000,106026
21,5602498.0,549.9991,540.56,554.09,557.65,537.2,1602561600000,99923
22,9510081.0,553.7535,562.61,541.45,572.49,541.0,1602648000000,166057
23,5110576.0,541.1513,545.52,541.94,551.22,535.1,1602734400000,101492
24,6347363.0,540.0693,549.5,530.79,554.33,530.03,1602820800000,120586
25,7567506.0,533.5779,537.07,530.72,541.8,525.38,1603080000000,126309
26,10047175.0,520.17,528.14,525.42,533.78,522.26,1603166400000,205242
27,17339708.0,494.6589,501.03,489.05,506.85,488.25,1603252800000,341364
28,6979682.0,485.9947,494.69,485.23,495.14,482.0,1603339200000,153399
29,4927862.0,486.0458,488.11,488.28,490.06,481.35,1603425600000,96941
30,6086087.0,486.7335,487.025,488.24,496.82,478.9,1603684800000,121971
31,3627175.0,486.4422,490.01,488.93,490.49,482.93,1603771200000,79651
32,5992731.0,488.931,486.36,486.24,494.0,483.28,1603857600000,120185
33,10930689.0,500.2495,488.5,504.21,513.8999,479.34,1603944000000,198720
34,7813897.0,481.8318,502.01,475.74,505.88,472.21,1604030400000,170128
35,4408193.0,481.94,478.87,484.12,486.3,475.0,1604293200000,94616
36,3689997.0,489.1089,484.93,487.22,495.305,478.76,1604379600000,77721
37,5137330.0,499.3614,495.36,496.95,507.73,493.98,1604466000000,115507
38,5372781.0,512.796,506.56,513.76,518.7337,503.45,1604552400000,102809
39,4236349.0,511.2059,515.0,514.73,515.21,502.51,1604638800000,73328
40,10409926.0,480.7744,485.54,470.5,495.85,467.26,1604898000000,262245
41,8306142.0,476.1367,470.95,480.24,484.6,463.41,1604984400000,159339
42,5460532.0,485.8983,483.0,490.76,491.68,478.26,1605070800000,107242
43,5071155.0,487.0177,491.0,486.77,496.52,480.4255,1605157200000,100743
44,3006510.0,482.4349,486.77,482.84,488.94,477.8,1605243600000,72319
45,3953563.0,480.1761,480.0,479.1,485.58,477.3,1605502800000,81492
46,3690082.0,481.8099,480.12,480.63,487.51,479.18,1605589200000,72760
47,3629237.0,482.9919,481.95,481.79,488.61,477.7212,1605675600000,84318
48,2254653.0,485.0074,482.0,484.67,487.8,480.47,1605762000000,56400
49,4255924.0,488.6515,485.22,488.24,494.76,481.57,1605848400000,94860
50,5416571.0,481.2255,490.46,476.62,491.15,475.84,1606107600000,124760
51,3557894.0,480.5754,478.84,482.88,484.05,475.89,1606194000000,87679
52,3587154.0,483.7081,485.13,485.0,486.9,478.919,1606280400000,76839
53,2805762.0,487.6541,486.58,491.36,493.25,481.845,1606453200000,61590
54,3530940.0,488.4017,490.08,490.7,492.55,481.2678,1606712400000,77805
55,5063234.0,503.3595,492.3404,504.58,509.47,491.9812,1606798800000,121086
56,3028358.0,501.4672,501.62,503.38,506.795,493.5,1606885200000,76007
57,2826116.0,500.6627,502.99,497.52,508.77,496.04,1606971600000,69894
58,3666243.0,499.1611,497.5,498.31,504.5,493.64,1607058000000,57593
59,4289293.0,512.5728,500.01,515.78,517.76,497.77,1607317200000,98624
60,4228950.0,511.4552,517.9,512.66,521.4909,505.55,1607403600000,76922
61,4178768.0,498.9368,510.53,493.6,514.5,491.29,1607490000000,99791
62,3018203.0,500.0482,494.56,501.09,503.77,492.91,1607576400000,66158
63,3160928.0,499.9147,495.0,503.22,503.34,494.85,1607662800000,64719
64,5770424.0,518.6447,505.44,522.42,524.1603,501.18,1607922000000,118311
65,3398209.0,518.7242,518.5,519.78,524.7,513.56,1608008400000,73284
66,3676992.0,523.2331,520.11,524.83,527.38,517.69,1608094800000,68049
67,3193377.0,531.4132,529.0,532.9,535.49,526.44,1608181200000,74032
68,4502692.0,532.8245,533.2,534.45,536.37,526.02,1608267600000,66884
69,3893964.0,527.5169,530.05,528.91,532.62,521.15,1608526800000,84004
70,1908529.0,524.9744,527.69,527.33,530.4,520.5,1608613200000,53898
71,2393187.0,518.2046,524.76,514.48,526.32,514.2,1608699600000,58686
72,1143952.0,514.7065,515.12,513.97,519.345,512.2104,1608786000000,31153
73,2891867.0,516.5566,516.43,519.12,523.66,507.13,1609131600000,71623
74,4022358.0,530.2715,519.9,530.87,536.5478,515.4801,1609218000000,93049
75,1876286.0,526.3734,530.13,524.59,533.2575,523.69,1609304400000,52090
76,5392322.0,539.1279,525.53,540.73,545.5,523.1502,1609390800000,107116
77,4444407.0,524.4913,539.0,522.86,540.8,515.085,1609736400000,116975
78,3133872.0,521.3267,521.55,520.8,526.78,515.89,1609822800000,75276
79,5346210.0,506.5528,511.97,500.49,513.0998,499.5,1609909200000,139366
80,3686448.0,510.2571,508.28,508.89,516.44,506.42,1609995600000,81399
81,2973949.0,509.7236,511.31,510.4,513.24,504.51,1610082000000,76258
82,3812720.0,502.3004,507.84,499.1,510.725,497.95,1610341200000,87872
83,5990425.0,491.3245,500.0,494.25,501.09,485.6701,1610427600000,132914
84,5032099.0,505.8444,495.5012,507.79,512.3542,493.01,1610514000000,107603
85,4177357.0,503.7044,507.35,500.86,514.5,499.58,1610600400000,85812
86,5865788.0,499.7406,500.0,497.98,506.32,495.1,1610686800000,96491
87,12308313.0,523.2123,501.0,501.77,509.25,493.5427,1611032400000,242871
88,32631330.0,577.3294,565.42,586.34,593.2877,556.86,1611118800000,523949
89,11840634.0,578.3304,582.45,579.84,588.75,570.4,1611205200000,211595
90,7541822.0,571.7243,582.1,565.17,583.99,564.35,1611291600000,138668
91,7207329.0,557.7797,567.0,556.78,569.75,548.65,1611550800000,165980
92,5023847.0,562.6837,554.73,561.93,567.99,554.06,1611637200000,96159
93,8670277.0,535.8861,550.71,523.28,556.4187,515.73,1611723600000,190779
94,5968978.0,542.738,535.88,538.6,553.1482,530.74,1611810000000,136115
95,4325264.0,534.0761,538.0,532.39,541.0,530.18,1611896400000,102682
96,3547507.0,539.0619,536.79,539.04,545.06,531.73,1612155600000,85149
97,3765969.0,550.4306,542.01,548.16,555.48,538.935,1612242000000,97616
98,3172288.0,541.9835,550.17,539.45,550.48,538.243,1612328400000,80360
99,5164537.0,550.0153,539.81,552.16,559.48,537.51,1612414800000,118019
100,2376175.0,549.8677,552.26,550.79,554.44,545.4778,1612501200000,68339
101,2791721.0,548.6415,555.0,547.92,555.0,543.7,1612760400000,72998
102,3703499.0,559.0124,546.0,559.07,566.0,543.0,1612846800000,89791
103,3991264.0,560.3401,562.5,563.59,566.65,553.463,1612933200000,83993
