,v,vw,o,c,h,l,t,n
0,50727724.0,59.7929,59.98,59.75,60.29,59.425,1600401600000,140977
1,33158000.0,61.0482,62.46,60.82,62.5999,60.03,1600660800000,236538
2,13538406.0,60.148,60.38,60.62,60.75,59.46,1600747200000,103120
3,15639634.0,59.3875,60.11,58.96,60.49,58.9,1600833600000,103856
4,9679042.0,59.2411,58.74,59.3,59.9,58.29,1600920000000,79052
5,9476674.0,59.5417,59.27,59.8,59.99,58.96,1601006400000,65275
6,9461255.0,59.794,60.03,59.58,60.54,59.47,1601265600000,73390
7,6478713.0,59.6756,59.58,59.47,60.16,59.4,1601352000000,54241
8,11076753.0,59.7986,59.52,59.7,60.39,59.37,1601438400000,69259
9,7456271.0,59.8174,60.17,59.68,60.27,59.45,1601524800000,61592
10,7477385.0,59.1047,58.71,58.83,59.52,58.51,1601611200000,63097
11,7023893.0,59.4951,59.44,59.56,59.6664,59.09,1601870400000,51944
12,9843998.0,59.9082,59.51,59.51,60.53,59.405,1601956800000,78453
13,8788811.0,60.4662,59.77,60.59,60.895,59.635,1602043200000,75915
14,7323625.0,60.9461,60.79,60.89,61.3,60.63,1602129600000,56554
15,7435735.0,61.1142,61.15,61.15,61.38,60.86,1602216000000,51188
16,8404074.0,61.499,61.24,61.46,61.83,61.07,1602475200000,56088
17,9026838.0,61.1066,61.57,60.97,61.78,60.875,1602561600000,54833
18,6753050.0,61.128,61.35,60.96,61.525,60.85,1602648000000,52652
19,6327496.0,60.4268,60.27,60.52,60.74,60.075,1602734400000,54699
20,6568842.0,60.6309,60.71,60.29,61.11,60.26,1602820800000,41044
21,8407536.0,59.8933,60.39,59.62,60.7517,59.39,1603080000000,56459
22,9364803.0,59.9534,59.92,59.75,60.33,59.63,1603166400000,64224
23,10283774.0,59.7335,59.34,59.67,60.12,59.22,1603252800000,63275
24,12002701.0,59.4798,59.44,59.69,59.865,58.69,1603339200000,60379
25,9802867.0,59.9218,59.9,59.9,60.16,59.71,1603425600000,56626
26,19014335.0,57.3508,58.1,57.49,58.48,56.525,1603684800000,129343
27,10889519.0,57.3469,57.64,57.08,57.98,57.02,1603771200000,78024
28,14034563.0,55.8266,56.27,55.59,56.6,55.53,1603857600000,95092
29,13679072.0,56.0938,55.2,56.02,56.755,55.14,1603944000000,83741
30,12728708.0,55.9501,55.75,56.11,56.635,55.45,1604030400000,76475
31,11583618.0,56.6497,56.44,56.45,57.47,56.115,1604293200000,79141
32,9031874.0,56.9308,57.0,56.8,57.5,56.565,1604379600000,60520
33,12192165.0,57.172,58.0,56.49,58.09,56.35,1604466000000,102588
34,9084528.0,56.8527,57.46,56.66,57.65,56.415,1604552400000,75587
35,7620359.0,56.7046,56.77,56.8,56.98,56.15,1604638800000,61179
36,11666393.0,57.8677,58.19,56.84,59.08,56.77,1604898000000,94664
37,9129609.0,56.6375,56.91,56.67,57.24,56.2,1604984400000,74457
38,7801515.0,57.2635,57.06,57.2,57.63,56.8,1605070800000,58452
39,7412869.0,56.5413,57.255,56.45,57.49,56.1,1605157200000,56868
40,5958278.0,56.8707,56.88,56.91,57.09,56.545,1605243600000,48519
41,6413490.0,57.1655,57.02,57.15,57.61,56.875,1605502800000,48293
42,5668897.0,57.1326,57.0,57.12,57.39,56.81,1605589200000,43285
43,9100913.0,56.708,57.12,56.25,57.29,56.24,1605675600000,56919
44,9775092.0,56.1202,56.09,56.45,56.48,55.56,1605762000000,77276
45,8676515.0,56.0112,56.36,55.7,56.44,55.68,1605848400000,57566
46,8365770.0,56.033,55.85,56.08,56.57,55.77,1606107600000,56433
47,10565666.0,57.3856,56.6,57.57,57.9,56.36,1606194000000,74349
48,6949546.0,57.4244,57.72,57.41,57.76,57.26,1606280400000,51975
49,5627039.0,57.6775,57.4,57.76,57.87,57.15,1606453200000,36321
50,26792183.0,57.6818,57.61,57.72,58.195,57.2,1606712400000,92268
51,11946588.0,58.9062,58.2,58.74,59.28,58.01,1606798800000,79787
52,9424286.0,58.9328,58.29,59.08,59.265,58.14,1606885200000,57351
53,9918734.0,59.4293,59.22,59.27,59.98,59.06,1606971600000,55035
54,10942165.0,60.1011,59.31,59.96,60.55,59.27,1607058000000,66716
55,15016791.0,59.8626,59.96,59.8,60.2,59.63,1607317200000,72051
