,v,vw,o,c,h,l,t,n
0,2340860.0,95.332,94.39,95.43,95.99,93.81,1600315200000,23382
1,4335689.0,96.4236,95.12,96.86,97.52,94.94,1600401600000,25114
2,2757866.0,96.5333,95.69,97.36,97.38,95.36,1600660800000,28015
3,2963324.0,94.9162,96.71,94.42,97.81,93.48,1600747200000,38141
4,2911386.0,92.6028,94.44,91.19,94.7,91.14,1600833600000,36075
5,1843880.0,92.2624,91.73,92.2,92.91,90.89,1600920000000,23883
6,1697170.0,92.2934,91.32,92.6,92.82,91.2,1601006400000,19024
7,1852267.0,94.1563,93.56,93.98,94.965,93.25,1601265600000,20501
8,1763786.0,94.2033,94.13,94.15,94.77,93.59,1601352000000,21241
9,3142870.0,94.3848,94.375,94.67,94.99,93.49,1601438400000,28052
10,2034698.0,93.6638,95.08,93.46,95.44,92.72,1601524800000,24487
11,1629502.0,94.1779,92.87,94.21,95.3,92.4,1601611200000,20725
12,1347902.0,95.6995,95.18,95.98,96.075,94.28,1601870400000,18549
13,2000130.0,95.4521,96.1,95.12,96.38,94.45,1601956800000,22475
14,2326890.0,96.4412,95.25,96.41,97.0,95.25,1602043200000,25428
15,1408201.0,97.7308,96.79,97.97,98.02,96.31,1602129600000,17470
16,1940811.0,99.3523,98.04,99.88,99.9,97.68,1602216000000,20195
17,2111915.0,100.8675,99.99,101.38,101.51,99.48,1602475200000,22009
18,2252002.0,100.8105,101.35,100.27,102.05,99.96,1602561600000,25146
19,2131900.0,100.4389,100.57,99.65,102.0,99.56,1602648000000,22659
20,2816776.0,97.6407,96.14,97.51,99.06,96.0135,1602734400000,30532
21,2956503.0,96.8111,98.18,96.52,98.18,96.17,1602820800000,25275
22,1497597.0,96.2981,97.45,95.78,97.8,95.48,1603080000000,17560
23,1964799.0,94.9841,96.42,94.59,96.73,94.23,1603166400000,24816
24,2136895.0,94.1601,94.85,93.6,95.78,93.33,1603252800000,22029
25,1945292.0,94.3898,93.35,94.39,95.215,92.87,1603339200000,23695
