,v,vw,o,c,h,l,t,n
0,1789622.0,112.0467,111.58,111.88,113.59,111.0,1600315200000,20807
1,2523321.0,111.5857,110.99,111.76,112.4,110.67,1600401600000,18955
2,2112407.0,108.6505,108.92,108.84,110.57,107.48,1600660800000,26832
3,2902915.0,105.4935,108.18,105.36,108.84,104.165,1600747200000,28774
4,2030926.0,104.0391,105.73,102.48,107.34,102.42,1600833600000,24270
5,1925217.0,103.4068,103.43,103.45,105.39,101.58,1600920000000,24045
6,1403058.0,104.0441,102.26,104.9,105.05,102.01,1601006400000,18691
7,1563343.0,108.2758,106.82,108.13,109.15,106.55,1601265600000,19002
8,1644495.0,106.7262,107.5,106.93,107.76,105.16,1601352000000,20751
9,2516922.0,109.3326,107.55,109.91,110.28,107.355,1601438400000,27725
10,1614131.0,109.5204,110.05,109.43,110.9,108.37,1601524800000,20048
11,2152475.0,111.4249,108.09,112.16,113.0,107.79,1601611200000,22557
12,1869336.0,114.2536,113.47,114.8,114.97,112.5,1601870400000,22408
13,1968182.0,115.068,115.99,113.17,117.155,112.59,1601956800000,25709
14,2414968.0,115.4108,114.34,115.18,117.0408,114.245,1602043200000,27507
15,2535422.0,116.3957,115.8,116.54,117.03,115.1,1602129600000,21988
16,1999630.0,115.9025,117.11,115.48,117.22,114.84,1602216000000,25430
17,1541224.0,116.1234,115.51,116.28,116.83,115.217,1602475200000,17702
18,2338759.0,113.2091,115.86,112.51,116.23,111.9,1602561600000,27650
19,2715517.0,110.9505,112.18,109.83,114.39,109.54,1602648000000,32427
20,2530075.0,108.8235,108.34,109.56,109.56,107.55,1602734400000,32017
21,2088678.0,110.6875,109.58,111.48,111.51,108.89,1602820800000,22166
22,1964420.0,110.4803,111.91,109.99,112.23,109.76,1603080000000,18054
23,1858769.0,112.497,110.98,112.06,113.845,110.98,1603166400000,21341
24,1299661.0,111.3813,112.02,110.64,112.73,110.46,1603252800000,17084
25,1836458.0,114.4219,110.87,115.32,115.39,110.62,1603339200000,21049
26,1452172.0,115.0989,116.22,114.81,116.52,113.6,1603425600000,17192
27,1758528.0,111.4041,113.36,111.63,113.4,110.08,1603684800000,24379
28,1814404.0,109.65,111.06,109.19,111.08,108.98,1603771200000,20279
29,3259280.0,108.8632,107.71,108.72,110.07,107.642,1603857600000,32917
30,1828974.0,109.0492,108.19,109.82,110.66,106.85,1603944000000,25980
31,2279388.0,110.6251,109.46,111.88,112.01,108.585,1604030400000,24144
32,3428160.0,114.5747,113.49,114.45,116.14,112.1897,1604293200000,32487
33,3085148.0,118.8105,117.29,119.39,120.08,116.86,1604379600000,33616
34,2161899.0,114.145,116.2,112.86,116.49,112.2,1604466000000,30603
35,2104582.0,116.3008,113.13,117.17,117.6,113.1,1604552400000,26184
36,1701085.0,115.6539,117.84,114.68,117.84,114.14,1604638800000,22407
37,4047410.0,127.4758,125.56,127.98,129.56,125.05,1604898000000,48788
38,3800472.0,127.0613,129.0,126.74,129.0,126.0,1604984400000,43380
39,3146036.0,124.8405,127.4,125.44,127.4,123.02,1605070800000,37648
40,2283862.0,120.6664,123.31,121.0,123.31,118.79,1605157200000,30994
41,1575410.0,122.8297,122.0,122.78,123.78,121.5,1605243600000,19106
42,5492756.0,125.7454,125.77,126.29,127.02,124.5,1605502800000,51048
43,3701847.0,125.993,124.92,126.89,127.07,123.27,1605589200000,33011
44,3813910.0,129.8028,127.52,129.3,131.31,126.57,1605675600000,39484
45,2228688.0,128.9824,128.06,130.3,130.36,126.25,1605762000000,30562
46,2337175.0,129.072,128.81,128.9,130.32,127.75,1605848400000,27467
47,2193053.0,133.2021,132.22,133.65,134.16,130.655,1606107600000,29911
48,2966554.0,139.0076,136.64,140.11,140.24,136.15,1606194000000,41315
49,3105823.0,140.3129,139.1,140.65,141.82,137.48,1606280400000,35717
50,1178239.0,139.6313,140.6,139.79,140.69,138.75,1606453200000,14180
51,4331430.0,138.2717,138.28,138.07,139.54,137.77,1606712400000,37997
52,3146754.0,140.5251,140.24,140.72,141.4,139.89,1606798800000,34350
53,1886683.0,140.8267,139.9,141.38,141.685,139.64,1606885200000,20902
54,2633339.0,141.0896,140.72,141.25,142.13,139.8401,1606971600000,24634
55,1547129.0,142.3946,142.8,142.53,143.5,141.43,1607058000000,19045
56,1675649.0,141.2787,141.44,141.81,141.95,139.52,1607317200000,20645
57,1405563.0,141.2296,140.06,141.43,142.4299,139.8,1607403600000,16360
58,2073278.0,142.9508,142.66,143.28,143.82,141.49,1607490000000,20549
59,1665995.0,143.3926,142.5,143.99,144.15,141.665,1607576400000,19379
60,1565914.0,143.1015,142.94,143.66,143.76,139.3,1607662800000,19552
61,2232014.0,142.0465,145.37,141.79,145.42,141.03,1607922000000,20877
62,2217062.0,142.8531,142.64,143.15,143.65,141.071,1608008400000,20645
63,1784717.0,144.465,143.85,145.25,145.48,142.88,1608094800000,22666
64,1581359.0,144.7557,144.97,145.02,145.69,143.58,1608181200000,23314
65,4837768.0,144.6227,144.98,144.91,145.49,143.23,1608267600000,33868
66,2676070.0,144.3765,146.05,144.6,147.23,142.66,1608526800000,31180
67,2211068.0,143.6923,144.91,143.73,145.18,142.5,1608613200000,19639
68,1329037.0,146.6797,144.79,146.7,147.67,144.16,1608699600000,18924
69,530062.0,145.6359,146.43,146.15,146.69,144.673,1608786000000,6568
70,1704547.0,146.6669,147.02,146.54,148.38,145.85,1609131600000,14745
71,1026411.0,145.2548,146.59,144.87,146.67,144.64,1609218000000,14043
72,1008877.0,146.6198,145.47,146.89,147.34,145.0844,1609304400000,14802
73,1361871.0,148.2263,146.75,149.0,149.3099,145.83,1609390800000,17148
74,2255652.0,148.1801,149.68,149.15,149.76,146.05,1609736400000,27792
75,2923304.0,148.6545,149.2,148.36,150.565,147.29,1609822800000,28104
76,3097206.0,156.2694,152.31,156.51,158.25,152.15,1609909200000,34616
77,2542246.0,160.1106,159.11,159.0,162.74,158.95,1609995600000,30641
78,1873591.0,158.0033,158.48,158.19,159.22,156.1,1610082000000,24371
79,2001515.0,159.0783,157.2,159.38,159.96,155.46,1610341200000,24082
80,2056030.0,161.7124,161.0,161.73,162.65,159.58,1610427600000,28411
81,2018191.0,159.3456,160.06,159.1,161.5,158.28,1610514000000,23542
82,2056905.0,161.324,160.11,161.5,162.07,159.545,1610600400000,24464
83,3451605.0,156.2182,157.18,154.78,158.74,154.37,1610686800000,32139
84,2604462.0,155.7166,155.76,156.0,156.52,154.21,1611032400000,29946
85,1660206.0,155.7355,156.0,156.26,156.43,154.66,1611118800000,23398
86,2303046.0,153.807,156.29,153.69,156.29,152.985,1611205200000,25087
87,1859262.0,152.3804,151.47,152.57,153.06,151.33,1611291600000,22215
88,2074349.0,149.6855,150.36,150.47,151.099,146.87,1611550800000,25175
89,1791085.0,148.6662,151.37,148.06,151.695,147.82,1611637200000,27268
90,3003474.0,144.1305,145.83,144.44,145.83,141.6,1611723600000,41410
91,1533772.0,147.6973,146.76,147.79,148.78,145.48,1611810000000,19885
92,2707917.0,144.4289,147.67,143.52,147.77,142.975,1611896400000,28023
93,1499310.0,145.1236,144.74,145.86,146.3,143.69,1612155600000,22302
94,1797140.0,150.8207,147.83,150.4,152.9,147.56,1612242000000,23265
95,1810305.0,151.9066,149.95,152.2,152.5,149.9,1612328400000,20640
96,1588156.0,155.744,153.39,156.68,156.76,153.33,1612414800000,23475
97,1288667.0,156.9074,158.02,156.94,158.5,155.875,1612501200000,22697
98,1337200.0,158.0917,156.81,158.79,158.83,156.69,1612760400000,18141
99,1571668.0,157.972,157.98,158.14,158.66,156.62,1612846800000,17903
100,1644053.0,159.9178,159.43,160.11,160.98,157.9101,1612933200000,19537
101,1402718.0,159.0914,159.82,159.31,161.3,157.71,1613019600000,18846
102,1242131.0,161.5618,159.59,162.27,162.5,159.33,1613106000000,17802
103,2979599.0,168.6283,163.52,169.91,171.0,162.75,1613451600000,38690
104,2317070.0,167.9477,169.36,167.55,170.12,166.68,1613538000000,28541
105,1288372.0,166.3319,166.21,166.91,167.4525,164.46,1613624400000,17768
106,1462615.0,169.7064,167.32,170.41,171.22,167.07,1613710800000,19228
107,1879992.0,170.9321,169.98,170.52,172.01,169.6,1613970000000,25841
108,2484445.0,172.4074,173.52,173.22,174.01,170.16,1614056400000,29160
109,2026593.0,177.9462,173.67,178.48,179.36,173.67,1614142800000,29954
110,1816025.0,176.2484,180.3,173.26,180.85,173.2,1614229200000,27730
111,2764493.0,169.5038,172.13,168.36,172.615,168.28,1614315600000,33665
112,2163165.0,172.4476,171.37,173.07,174.48,169.71,1614574800000,27257
113,1821016.0,173.2928,173.22,173.09,177.81,171.845,1614661200000,26438
114,2119539.0,174.3473,174.54,173.35,176.87,173.0,1614747600000,24409
115,2081131.0,172.4897,173.14,172.58,174.87,169.08,1614834000000,33523
116,2117127.0,174.2843,175.4,176.46,176.9,169.64,1614920400000,30534
117,2050928.0,179.4816,177.74,178.82,181.35,177.08,1615179600000,29314
118,2374705.0,174.7151,175.26,173.63,176.98,172.04,1615266000000,35008
119,1569189.0,176.8162,173.54,177.78,178.38,173.15,1615352400000,21976
120,1322396.0,176.9688,176.37,176.93,178.32,175.042,1615438800000,19916
121,1983828.0,180.3595,179.95,181.41,181.53,178.93,1615525200000,26119
122,1868803.0,178.1932,180.79,178.53,181.06,176.6,1615780800000,24477
123,1653898.0,175.6884,176.6,176.58,176.9,173.74,1615867200000,25576
124,1478738.0,178.1313,179.25,178.43,180.96,176.62,1615953600000,22994
125,2017115.0,181.9772,180.87,179.86,184.33,178.99,1616040000000,32924
126,6729724.0,175.9882,176.61,175.79,178.06,174.1736,1616126400000,38340
127,2006984.0,171.346,172.71,171.22,173.555,169.59,1616385600000,26386
128,1362399.0,170.0722,169.69,169.4,172.298,168.44,1616472000000,21307
129,1500548.0,171.1261,171.36,170.25,173.14,170.24,1616558400000,21393
130,2016057.0,174.7739,170.64,177.0,177.23,169.61,1616644800000,31366
131,2150953.0,179.1338,179.23,179.68,180.31,177.095,1616731200000,31985
132,1949963.0,175.2139,176.82,174.49,177.66,173.2,1616990400000,27534
133,1574657.0,177.6403,176.0,177.62,179.065,175.78,1617076800000,23636
134,1989155.0,175.7563,177.49,175.41,177.845,174.64,1617163200000,22745
135,1526658.0,176.2251,174.45,177.41,177.49,174.38,1617249600000,25674
136,1881831.0,178.7044,179.53,178.76,180.3638,177.84,1617595200000,19993
137,1857375.0,177.3915,177.66,177.4,178.83,175.9575,1617681600000,21649
138,1967103.0,177.8952,178.3,178.25,179.65,176.6105,1617768000000,21923
139,1212547.0,177.544,177.33,178.11,178.52,174.5,1617854400000,18881
140,1321382.0,179.6321,179.76,180.21,180.36,178.3,1617940800000,16781
141,1346311.0,180.6824,180.63,180.81,181.4,179.77,1618200000000,18579
142,1449252.0,178.3402,179.71,177.62,179.8,177.11,1618286400000,22477
143,1954529.0,179.3378,177.01,179.34,180.74,176.71,1618372800000,23374
144,3236592.0,174.0899,178.38,174.79,178.54,172.12,1618459200000,44847
145,2620840.0,178.6267,177.51,178.86,180.25,176.62,1618545600000,28753
146,1534179.0,178.3841,179.35,177.72,180.78,176.94,1618804800000,20923
147,2294395.0,172.4137,175.62,171.73,176.195,170.9558,1618891200000,32607
148,1611641.0,173.7245,171.03,175.13,175.24,170.1398,1618977600000,21129
149,2173266.0,174.1795,175.03,173.84,175.6,173.09,1619064000000,25633
150,2045291.0,178.044,174.31,178.04,179.14,173.53,1619150400000,25160
151,1642918.0,180.626,179.27,180.24,181.74,179.0,1619409600000,21878
152,1847999.0,182.6094,179.5,183.58,183.83,179.5,1619496000000,26402
153,1632955.0,185.213,184.02,185.26,186.13,183.95,1619582400000,25104
154,1345843.0,188.6037,187.49,189.17,189.425,187.09,1619668800000,21714
155,1358073.0,187.3121,187.94,186.95,189.12,186.75,1619755200000,20223
156,1266177.0,188.0492,188.67,188.12,189.26,186.72,1620014400000,18692
157,2750914.0,191.4088,186.96,193.32,193.66,186.08,1620100800000,39729
158,1892841.0,194.7926,193.66,194.61,196.5,191.44,1620187200000,27205
159,1660990.0,196.2746,196.37,198.18,198.28,193.1327,1620273600000,29991
160,1211705.0,197.57,194.27,198.91,199.19,193.94,1620360000000,22228
161,2046713.0,200.4658,203.01,198.56,203.8782,198.43,1620619200000,31984
162,2865215.0,195.3311,197.78,194.04,200.47,193.22,1620705600000,43487
163,2345499.0,192.3066,196.81,190.41,197.305,189.64,1620792000000,39108
164,1319552.0,195.4722,189.8,196.01,197.51,189.705,1620878400000,23848
165,1090810.0,198.576,196.43,199.38,199.91,196.25,1620964800000,20008
166,1253254.0,199.0762,198.24,199.03,199.94,197.4092,1621224000000,20487
167,2046178.0,196.1586,199.68,193.91,200.1461,193.77,1621310400000,31578
168,2616084.0,190.848,191.97,192.89,193.0,188.68,1621396800000,35859
169,1342296.0,191.2486,192.99,191.05,193.3,189.87,1621483200000,23626
170,1411335.0,193.411,192.58,193.48,194.3,191.31,1621569600000,21389
171,911472.0,194.0958,194.44,193.99,194.86,192.89,1621828800000,16311
172,1754985.0,192.8439,194.74,191.7,196.1,191.45,1621915200000,22340
173,1711911.0,192.0475,193.24,191.9,194.0,190.45,1622001600000,22912
174,2531030.0,193.9308,194.69,194.12,195.5,192.54,1622088000000,23127
175,869388.0,194.2727,194.32,194.68,195.2,192.11,1622174400000,14906
176,1527557.0,195.7779,197.77,195.82,197.82,194.61,1622520000000,20210
177,1121448.0,195.6022,196.69,195.42,196.87,193.89,1622606400000,17226
178,1343892.0,196.2774,195.2,195.88,198.38,194.04,1622692800000,22371
179,1413305.0,194.3751,195.81,194.0,196.23,193.3112,1622779200000,21250
180,917095.0,193.2403,194.77,193.11,194.77,192.7,1623038400000,16556
181,1538142.0,192.7205,191.3,194.1,194.3,189.55,1623124800000,22623
182,1321646.0,191.2997,192.59,190.79,193.06,190.61,1623211200000,19567
183,1246506.0,189.8335,193.48,188.75,193.6,188.67,1623297600000,20116
184,1327603.0,188.9915,189.28,189.2,190.5,187.79,1623384000000,21642
185,1735352.0,187.0841,188.92,187.11,189.07,185.89,1623643200000,28124
186,1609014.0,188.503,187.2,189.27,190.065,186.76,1623729600000,28908
187,1727067.0,188.9352,188.36,190.11,191.54,186.13,1623816000000,31656
188,2560401.0,183.5405,192.04,182.45,192.04,181.73,1623902400000,41657
189,4298137.0,178.8762,180.64,178.33,180.64,177.685,1623988800000,41642
190,1397807.0,183.5643,180.44,184.15,184.35,179.7405,1624248000000,21237
191,1431956.0,183.8153,183.63,183.91,185.14,181.67,1624334400000,24794
192,1033375.0,185.3144,184.5,185.13,186.39,184.1,1624420800000,19088
193,1703245.0,188.186,186.5,189.18,189.67,185.0351,1624507200000,26393
194,1833472.0,192.718,190.03,193.36,193.655,188.9001,1624593600000,24744
195,1697335.0,191.062,192.41,191.6,192.41,189.91,1624852800000,26975
196,1706878.0,191.2562,192.98,190.47,194.49,189.47,1624939200000,25921
197,1304495.0,190.6194,189.58,190.76,191.41,189.56,1625025600000,21897
198,1060611.0,191.5999,191.47,191.74,192.44,190.39,1625112000000,20248
199,1625090.0,192.4325,193.47,192.79,193.5466,191.06,1625198400000,25645
200,2176063.0,187.4821,190.82,187.96,192.44,185.67,1625544000000,32255
201,1126615.0,186.7823,186.0,186.58,188.42,185.54,1625630400000,22266
202,2915567.0,183.0222,183.61,183.23,184.88,181.68,1625716800000,43397
203,1764488.0,188.553,186.75,189.67,190.02,185.97,1625803200000,27862
204,1803838.0,191.0318,187.68,191.91,192.35,185.87,1626062400000,24523
205,1576861.0,189.3951,190.67,189.28,191.265,187.98,1626148800000,27031
206,2581216.0,187.6266,186.4,188.34,191.45,185.49,1626235200000,42840
207,2073961.0,189.3839,186.46,189.5,191.78,185.7599,1626321600000,32979
208,1486904.0,185.0443,190.13,183.43,190.37,182.805,1626408000000,25862
209,1671332.0,177.944,179.2,177.8,180.94,176.43,1626667200000,34365
210,1742374.0,181.7284,177.86,181.6,183.47,177.21,1626753600000,28408
211,1455652.0,184.9854,183.67,184.87,186.25,183.54,1626840000000,22239
212,1942194.0,182.3514,184.5,181.72,184.96,180.665,1626926400000,24157
213,1039184.0,182.8562,183.1,183.02,185.19,181.98,1627012800000,17734
214,887935.0,184.2331,183.65,184.52,185.51,183.0,1627272000000,15841
215,912192.0,183.7936,182.09,184.27,185.0,180.87,1627358400000,18062
216,823913.0,184.0391,185.0,183.76,185.56,182.29,1627444800000,14304
217,825276.0,185.3008,185.67,185.16,186.135,183.48,1627531200000,15949
218,1020421.0,182.9377,184.49,182.41,186.4,181.71,1627617600000,18420
219,1025864.0,182.7969,183.53,181.78,186.7,181.31,1627876800000,23476
220,1552782.0,185.1214,183.51,186.34,187.315,180.43,1627963200000,26827
221,1008620.0,185.4801,184.04,185.02,187.21,183.5,1628049600000,20848
222,1082716.0,186.5691,186.95,186.68,188.19,185.75,1628136000000,19885
223,1247958.0,190.4566,189.35,190.27,192.03,188.97,1628222400000,25484
224,986946.0,190.2829,189.59,190.01,191.78,188.2,1628481600000,22225
225,1618853.0,191.9783,188.85,191.7,193.75,188.85,1628568000000,26551
226,3874435.0,192.5283,192.5,193.9,193.95,190.26,1628654400000,42586
227,1580897.0,193.8333,193.93,193.4,195.33,192.96,1628740800000,28623
228,1560909.0,190.7191,193.82,190.38,194.354,189.84,1628827200000,28935
229,1484521.0,189.1513,188.96,189.65,189.79,186.434,1629086400000,22451
230,1096453.0,187.3262,188.21,187.75,189.62,184.94,1629172800000,21941
231,966993.0,186.8253,186.36,185.56,189.24,185.41,1629259200000,17331
232,1412330.0,184.4341,183.65,184.34,186.08,183.04,1629345600000,25274
233,1399966.0,185.5396,184.14,185.82,186.51,183.58,1629432000000,26029
234,1148013.0,187.5727,187.0,187.27,188.65,186.825,1629691200000,18563
235,1401484.0,188.3506,187.14,188.48,189.19,187.11,1629777600000,21194
236,1637189.0,192.1048,189.43,192.13,193.43,188.45,1629864000000,21014
237,1002003.0,191.5432,193.12,191.0,193.9,190.63,1629950400000,21680
238,1337160.0,193.7239,191.5,194.51,194.74,191.12,1630036800000,24274
239,1714833.0,190.9868,195.0,190.61,195.0,190.1,1630296000000,31349
240,2229889.0,191.2148,191.0,191.1,192.34,189.6625,1630382400000,33937
241,1792470.0,189.6941,191.75,189.48,191.75,188.18,1630468800000,29581
242,1719815.0,191.3289,189.44,191.71,192.49,189.22,1630555200000,33395
243,1529201.0,191.6143,191.77,191.52,192.85,190.63,1630641600000,27762
244,2208865.0,192.939,192.4,192.21,194.73,191.92,1630987200000,37281
245,1822620.0,191.4963,191.53,191.72,192.24,190.42,1631073600000,26214
246,1577790.0,192.8574,191.47,192.28,194.54,191.18,1631160000000,31100
247,1358328.0,192.2973,193.85,191.66,193.85,191.33,1631246400000,23179
248,1304946.0,194.0889,193.84,194.46,195.72,192.66,1631505600000,25741
249,3793992.0,188.9587,195.02,188.35,196.06,186.02,1631592000000,43083
250,1631291.0,190.2318,187.43,190.18,191.3217,187.43,1631678400000,25864
251,985354.0,190.2653,191.61,189.9,192.86,189.14,1631764800000,23387
252,2850365.0,189.2599,189.9,188.92,191.365,188.31,1631851200000,26814
253,2406405.0,183.4636,183.73,184.67,185.04,181.68,1632110400000,37723
254,1242657.0,185.0098,185.6,183.97,186.83,183.95,1632196800000,22365
255,1309212.0,187.7181,185.95,187.67,188.98,185.895,1632283200000,21994
256,1312156.0,193.5746,189.44,193.61,195.0,189.44,1632369600000,26585
257,1195424.0,194.8922,193.61,194.5,196.25,193.51,1632456000000,21235
258,1696895.0,199.8338,197.63,200.2,200.46,197.25,1632715200000,25570
259,1973859.0,199.088,200.66,197.72,202.18,197.06,1632801600000,33511
260,1955411.0,197.8265,198.53,197.44,199.05,196.9,1632888000000,31044
261,1469833.0,196.6954,198.89,195.64,198.905,195.45,1632974400000,25602
262,1501441.0,197.7855,194.53,198.31,199.96,193.94,1633060800000,25238
263,1334928.0,198.1896,197.81,198.09,200.98,196.43,1633320000000,27404
264,1924948.0,200.613,199.47,200.49,202.16,198.16,1633406400000,25794
265,1428491.0,199.3654,199.52,200.82,201.0,196.8,1633492800000,24780
266,1570601.0,202.2396,202.78,201.8,203.63,201.18,1633579200000,24538
267,1029349.0,202.8533,201.55,202.76,203.87,200.71,1633665600000,19193
268,1420108.0,203.1078,203.69,201.05,204.93,200.93,1633924800000,24610
269,1864681.0,202.9019,200.39,203.3,203.9,200.02,1634011200000,27204
270,1353812.0,201.3586,202.64,201.76,202.8905,198.245,1634097600000,24280
271,1875935.0,202.2108,202.98,202.5,203.22,200.2601,1634184000000,30046
272,3557643.0,199.1722,195.62,199.13,202.2,195.38,1634270400000,45534
273,2134418.0,199.5155,197.68,200.84,200.89,197.62,1634529600000,26293
274,1955402.0,205.3538,201.9,206.83,206.87,201.26,1634616000000,27719
275,2352366.0,211.0929,206.82,212.8,213.01,205.55,1634702400000,34332
276,1490390.0,212.2949,212.72,212.73,213.5,210.59,1634788800000,25298
277,1890852.0,215.9678,213.86,216.08,217.6,213.86,1634875200000,26669
278,2124065.0,216.4946,216.92,216.56,217.0,215.51,1635134400000,21590
279,1281397.0,216.4039,216.71,216.07,217.22,215.37,1635220800000,19730
280,1512568.0,214.1877,215.04,212.91,216.49,212.77,1635307200000,25012
281,1440263.0,213.362,213.98,213.05,214.99,212.33,1635393600000,23094
282,1776654.0,211.7944,213.96,211.03,214.5,210.41,1635480000000,24033
283,1247353.0,211.1389,212.97,210.64,213.51,209.745,1635739200000,22184
284,1626975.0,209.8692,209.89,210.1,210.55,208.9,1635825600000,24078
285,1395342.0,212.2184,209.18,212.7,213.58,208.73,1635912000000,25901
286,1440798.0,207.4256,211.86,207.71,211.86,206.0,1635998400000,25007
287,1157741.0,207.6474,209.52,207.1,211.15,205.7175,1636084800000,21827
288,943083.0,207.7953,208.23,208.17,209.15,206.63,1636347600000,20626
289,1129467.0,206.4921,206.13,207.04,207.97,205.205,1636434000000,20887
290,1513592.0,206.1403,207.56,205.41,208.2576,205.15,1636520400000,27521
291,1063634.0,206.0348,205.55,205.6,206.82,205.03,1636606800000,21820
292,1490901.0,203.3897,205.43,203.61,205.63,202.2,1636693200000,25130
293,1433723.0,204.4269,204.59,204.82,205.215,203.23,1636952400000,21935
294,1209968.0,205.4922,204.99,205.53,206.52,203.78,1637038800000,20349
295,1213832.0,202.7152,205.09,202.46,205.39,201.44,1637125200000,22462
296,1283134.0,201.238,202.3,200.91,204.08,200.58,1637211600000,21123
297,1858149.0,198.7194,198.9,199.36,199.79,195.78,1637298000000,28924
298,1747184.0,204.5277,202.76,204.15,206.5,200.7924,1637557200000,28077
299,1658088.0,208.102,205.88,209.09,209.22,205.0,1637643600000,28559
300,1433739.0,209.0093,208.3,208.63,210.24,207.25,1637730000000,27109
301,1458995.0,199.198,201.4,200.1,201.865,196.88,1637902800000,25633
302,2668725.0,201.0958,203.835,200.88,204.1599,199.57,1638162000000,32862
303,3748221.0,197.3557,198.71,197.0,200.26,196.06,1638248400000,36193
304,1653985.0,198.4664,202.02,195.45,202.38,195.32,1638334800000,31828
305,1578159.0,201.3686,197.75,201.85,203.31,197.01,1638421200000,25421
306,1642416.0,198.0183,201.86,197.73,202.145,196.07,1638507600000,30144
307,1412340.0,200.5484,199.75,199.96,202.75,198.03,1638766800000,26714
308,1339226.0,203.3465,201.64,203.3,204.44,201.04,1638853200000,24113
309,1355851.0,202.0476,203.5,202.09,204.37,200.49,1638939600000,17469
310,1231038.0,201.2569,200.89,200.73,202.67,199.75,1639026000000,21253
311,1237720.0,201.3851,203.97,201.56,204.84,199.5994,1639112400000,22797
312,1901873.0,196.9376,200.15,196.21,200.19,195.94,1639371600000,28885
313,1601025.0,199.305,196.85,198.81,201.265,196.66,1639458000000,25420
314,1397732.0,198.2407,199.98,198.08,200.39,196.08,1639544400000,24647
315,1244357.0,202.5716,201.06,201.79,204.89,199.91,1639630800000,22008
316,3516298.0,197.9638,201.51,197.24,201.58,195.04,1639717200000,32900
317,2411696.0,191.5,194.37,192.55,194.39,189.26,1639976400000,35248
318,2352084.0,196.9836,194.41,196.87,198.7,194.26,1640062800000,24839
319,922838.0,197.2128,196.6,197.12,197.8443,195.795,1640149200000,17984
320,707829.0,198.5664,198.81,197.93,200.77,197.87,1640235600000,15298
321,978003.0,200.4777,198.81,201.07,201.32,197.9,1640581200000,14365
322,669656.0,201.2581,200.3,201.17,202.68,200.19,1640667600000,12368
323,684097.0,201.606,201.74,201.24,202.42,200.41,1640754000000,13696
324,689518.0,201.5991,201.89,201.0,203.17,200.83,1640840400000,14107
325,925269.0,200.9043,200.43,200.52,201.9,200.34,1640926800000,16447
326,2199485.0,207.3059,204.6,208.22,208.52,203.01,1641186000000,36210
327,2491285.0,216.2442,210.18,215.89,218.84,210.18,1641272400000,36478
328,2772128.0,214.5925,216.74,212.39,218.36,212.23,1641358800000,38596
329,2970760.0,218.7438,218.34,220.57,220.69,214.75,1641445200000,37537
330,2173573.0,223.5056,220.52,223.73,224.52,220.07,1641531600000,38302
331,2420160.0,222.8527,226.38,222.45,226.39,220.87,1641790800000,36345
332,2402995.0,223.0704,223.44,223.84,224.53,220.56,1641877200000,30832
333,1464501.0,225.0398,225.0,224.93,226.52,222.19,1641963600000,27210
334,1925556.0,226.9828,225.7,226.45,228.1425,225.7,1642050000000,28245
335,3764446.0,222.4058,221.37,222.2,224.57,220.07,1642136400000,49846
336,3205391.0,217.3866,223.02,216.88,224.08,215.535,1642482000000,51944
337,2336779.0,210.8909,219.0,208.52,219.0,208.4,1642568400000,43910
338,2401267.0,208.969,208.0,206.9,211.72,206.39,1642654800000,40028
339,3015449.0,202.2361,206.19,200.96,206.41,199.405,1642741200000,47823
340,3535634.0,199.2941,196.55,204.11,204.86,194.4686,1643000400000,47927
341,1697139.0,203.5526,202.35,204.2,206.2796,199.08,1643086800000,31397
342,1641009.0,206.1547,206.82,206.01,208.92,202.75,1643173200000,29717
343,1850175.0,205.4774,208.67,204.96,210.42,202.68,1643259600000,29869
344,1798392.0,206.433,204.11,208.22,208.41,202.72,1643346000000,31210
345,2235250.0,206.1556,205.92,205.99,207.58,203.41,1643605200000,33316
346,2392655.0,207.2183,205.83,209.74,209.98,204.44,1643691600000,38965
347,1568681.0,209.9329,209.24,210.87,211.42,207.26,1643778000000,24834
348,1544289.0,209.5437,211.76,208.01,212.57,207.755,1643864400000,27679
349,2020677.0,210.6097,209.29,210.35,212.15,208.93,1643950800000,33482
350,2383236.0,210.2358,211.16,209.7,211.93,209.51,1644210000000,32809
351,3086121.0,211.4705,212.14,211.36,213.18,210.5,1644296400000,34859
352,2129495.0,211.0181,212.23,210.76,212.68,209.98,1644382800000,32035
353,1894164.0,211.6226,210.64,210.63,214.5,209.79,1644469200000,27893
354,2302083.0,209.3716,209.02,207.36,212.75,206.16,1644555600000,32597
355,3426373.0,204.7133,208.36,204.57,208.94,201.99,1644814800000,47248
356,3863899.0,206.9222,207.02,207.19,208.22,205.6152,1644901200000,39902
357,1569978.0,208.4199,205.84,208.59,209.91,205.84,1644987600000,25252
358,1863036.0,202.9402,206.46,201.3,206.99,201.12,1645074000000,35119
359,1636263.0,201.6769,200.49,201.17,203.92,200.47,1645160400000,31860
360,2659450.0,203.336,201.94,203.08,205.74,200.57,1645506000000,43896
361,2035411.0,200.7201,203.5,199.01,205.695,198.04,1645592400000,39251
