,v,vw,o,c,h,l,t,n
0,3313504.0,46.5924,46.66,46.55,47.13,46.22,1600401600000,18321
1,2104552.0,44.7147,45.64,44.64,45.85,44.08,1600660800000,15381
2,1430638.0,45.2024,44.66,45.4,45.61,44.315,1600747200000,9338
3,1440004.0,45.577,45.42,44.93,46.36,44.88,1600833600000,14176
4,572603.0,44.7272,44.75,44.69,45.43,44.13,1600920000000,8699
5,745037.0,44.8172,44.27,44.96,45.25,44.07,1601006400000,9178
6,565063.0,45.9163,45.51,45.85,46.2955,45.415,1601265600000,7658
7,614149.0,45.8221,46.0,45.79,46.05,45.46,1601352000000,7824
8,901543.0,46.0024,45.99,45.77,46.545,45.5,1601438400000,10100
9,858271.0,45.3677,46.06,45.41,46.12,44.82,1601524800000,9439
10,905809.0,45.7667,44.59,45.91,46.22,44.37,1601611200000,9980
11,681098.0,46.1764,46.48,46.19,46.955,45.825,1601870400000,8978
12,1813624.0,46.717,46.27,46.72,47.23,46.0,1601956800000,16777
13,1447485.0,47.8475,47.16,48.11,48.14,47.08,1602043200000,12991
14,1406018.0,48.5348,48.34,48.83,48.86,48.2,1602129600000,11817
15,1143926.0,49.577,49.15,49.59,49.97,49.0,1602216000000,13120
16,1448165.0,50.1825,49.71,50.25,50.52,49.71,1602475200000,14152
17,1058128.0,49.4674,50.07,49.32,50.23,49.02,1602561600000,12555
18,883282.0,49.2692,48.2,49.44,49.86,48.161,1602648000000,10340
19,993408.0,49.4363,48.86,49.78,49.81,48.76,1602734400000,10075
20,1718200.0,49.9716,50.1,49.9,50.58,49.74,1602820800000,10697
21,1146571.0,49.3779,49.78,49.26,49.89,48.98,1603080000000,12462
22,1757944.0,51.7139,50.74,51.25,52.87,50.11,1603166400000,16958
23,1364766.0,51.5163,51.61,51.18,52.12,50.95,1603252800000,13067
24,1086139.0,51.5644,51.2,51.68,51.82,50.96,1603339200000,12193
25,1002704.0,51.8805,52.13,51.97,52.24,51.415,1603425600000,10628
26,831283.0,50.2207,51.23,50.41,51.37,49.71,1603684800000,10509
27,1318231.0,49.9166,50.33,49.94,50.45,49.45,1603771200000,15370
28,1136659.0,49.0091,48.95,49.04,49.56,48.495,1603857600000,12625
29,1373634.0,49.553,48.96,49.75,50.13,48.85,1603944000000,16287
30,2515070.0,49.6316,49.54,49.76,50.06,49.09,1604030400000,15951
31,1122978.0,50.6652,50.53,50.7,51.09,50.34,1604293200000,13638
32,1194471.0,52.3714,51.56,52.81,53.08,51.37,1604379600000,15790
33,1175989.0,52.2018,52.6,51.9,53.24,51.58,1604466000000,12936
34,1045443.0,53.9098,52.58,53.77,54.37,52.58,1604552400000,9632
35,1250579.0,54.0653,53.96,54.15,54.54,53.61,1604638800000,12172
36,2453826.0,54.2552,56.75,52.83,58.82,52.69,1604898000000,24792
37,2096248.0,53.5637,52.77,53.78,54.34,52.61,1604984400000,22740
38,1963556.0,52.217,52.0,52.09,52.87,50.82,1605070800000,19204
39,1125559.0,51.3616,52.05,51.25,52.51,50.69,1605157200000,13616
40,869220.0,52.5095,51.76,52.66,52.8,51.58,1605243600000,10623
41,887897.0,53.3198,53.36,53.39,53.69,52.87,1605502800000,10273
42,1389809.0,52.7249,52.63,52.89,53.14,51.82,1605589200000,13815
43,924045.0,52.7507,53.36,52.45,53.435,52.38,1605675600000,10957
44,652488.0,52.9273,52.26,53.27,53.3,52.09,1605762000000,8539
45,681640.0,53.1451,53.37,53.01,53.46,52.79,1605848400000,7969
46,709893.0,53.313,53.46,53.27,54.04,53.04,1606107600000,7647
47,1650551.0,54.0877,53.88,54.09,54.72,53.29,1606194000000,16178
48,1268993.0,52.5925,53.9,52.19,53.9,52.16,1606280400000,13159
49,493386.0,53.044,52.59,53.1,53.585,52.31,1606453200000,5315
50,1615827.0,51.8198,52.56,51.82,53.1,51.5,1606712400000,13494
51,1119126.0,51.9237,52.35,51.54,52.825,51.52,1606798800000,11999
52,1196815.0,51.2301,51.25,51.38,51.51,50.63,1606885200000,11229
53,897706.0,51.0419,50.06,50.92,51.61,50.03,1606971600000,9909
54,1122693.0,51.2174,51.29,51.18,51.7,50.87,1607058000000,9099
55,817088.0,50.7304,50.87,50.85,51.17,50.21,1607317200000,9121
56,1168487.0,51.0686,50.64,51.12,51.49,50.33,1607403600000,8827
57,1571598.0,52.2508,51.78,52.6,52.7,51.38,1607490000000,14140
58,885129.0,51.3216,52.26,51.12,52.37,50.95,1607576400000,8724
59,755929.0,51.3564,50.77,51.46,51.685,50.54,1607662800000,7146
60,1151301.0,51.6165,51.95,51.36,52.1,51.36,1607922000000,10861
61,919831.0,52.3184,51.73,52.45,52.69,51.73,1608008400000,10511
62,607013.0,52.0469,52.77,51.89,52.815,51.82,1608094800000,6807
63,862380.0,52.6522,52.22,52.77,52.92,52.01,1608181200000,10193
64,1783900.0,52.3313,52.88,52.26,53.26,51.77,1608267600000,9259
65,817739.0,52.0891,51.32,52.44,52.58,50.91,1608526800000,8600
66,626587.0,52.5658,52.38,52.6,52.84,52.1,1608613200000,8385
67,535655.0,52.7648,52.84,52.44,53.4,52.34,1608699600000,6636
68,196568.0,52.4913,52.73,52.59,52.84,52.1,1608786000000,2457
69,381031.0,52.622,53.0,52.46,53.31,52.36,1609131600000,4453
70,564793.0,52.0143,52.77,51.79,52.83,51.39,1609218000000,9020
71,488343.0,52.5661,52.02,52.68,52.85,51.96,1609304400000,6326
72,498507.0,52.962,52.58,53.09,53.23,52.39,1609390800000,5376
73,874161.0,51.8208,53.07,51.53,53.35,51.13,1609736400000,9758
74,829106.0,51.6358,51.61,51.7,52.0575,51.08,1609822800000,6974
75,1148523.0,53.1862,52.31,53.18,53.75,52.31,1609909200000,12335
76,1103231.0,54.5498,53.77,55.03,55.22,53.07,1609995600000,12480
77,2072581.0,55.8398,55.25,56.1,56.44,55.14,1610082000000,20787
78,1399289.0,56.826,55.53,56.81,57.32,55.53,1610341200000,13592
79,1255225.0,58.2588,57.01,58.48,58.67,56.86,1610427600000,13643
80,1649242.0,58.564,58.58,58.44,59.11,58.25,1610514000000,16676
81,1129970.0,58.4615,58.84,58.57,59.0,57.13,1610600400000,11194
82,948046.0,57.5846,58.5,57.59,58.58,56.55,1610686800000,9267
83,1136287.0,58.4147,58.31,58.46,59.04,57.89,1611032400000,9434
84,656772.0,58.2097,58.65,58.13,58.72,57.92,1611118800000,8244
85,751215.0,57.4379,57.9,57.4,58.17,56.88,1611205200000,8290
86,1105365.0,57.5919,56.7,57.98,58.13,56.51,1611291600000,12009
87,1255562.0,57.5305,57.73,57.34,58.42,57.01,1611550800000,15620
88,731026.0,56.6949,57.85,56.35,57.85,56.135,1611637200000,9374
89,2341721.0,56.5777,55.28,57.1,57.42,55.02,1611723600000,24341
90,2885277.0,56.954,57.09,55.98,59.3,55.61,1611810000000,27975
91,2292607.0,54.5063,55.76,54.46,55.91,53.53,1611896400000,20599
92,1538436.0,54.264,55.1,54.45,55.19,53.73,1612155600000,17297
93,1302333.0,54.3496,55.13,54.5,55.3,53.87,1612242000000,13555
94,1335627.0,53.8931,54.37,53.77,54.64,53.36,1612328400000,13074
95,997459.0,53.93,54.03,53.98,54.37,53.51,1612414800000,12918
96,1199731.0,54.8893,54.3,55.16,55.225,53.81,1612501200000,12254
97,965212.0,55.8812,55.49,56.04,56.19,54.96,1612760400000,10430
98,611323.0,55.0903,55.99,54.81,56.16,54.8,1612846800000,6919
99,673154.0,54.8915,55.22,55.15,55.29,54.25,1612933200000,8421
100,850259.0,54.1204,55.5,54.21,55.5,53.48,1613019600000,11034
101,1158616.0,53.6055,53.92,53.63,54.36,53.145,1613106000000,11717
102,1385568.0,54.5711,53.92,54.82,55.11,53.6,1613451600000,13855
103,913723.0,54.7524,54.68,54.88,55.08,54.12,1613538000000,9832
104,1044528.0,54.7834,54.87,55.05,55.27,53.73,1613624400000,10973
105,1170353.0,56.4504,55.45,56.65,56.83,55.26,1613710800000,10171
106,852035.0,55.8531,56.44,55.78,56.58,55.31,1613970000000,9056
107,956197.0,55.4249,55.65,55.69,55.93,54.64,1614056400000,10232
108,1144147.0,56.8797,55.76,57.15,57.48,55.3,1614142800000,11522
109,846557.0,56.4704,57.26,55.88,57.4088,55.78,1614229200000,9671
110,1345387.0,56.2197,56.31,55.93,56.99,55.56,1614315600000,12783
111,948554.0,58.1753,56.39,58.28,58.79,56.39,1614574800000,10522
112,614036.0,57.7537,58.2,57.7,58.41,57.14,1614661200000,7171
113,710377.0,58.0233,57.7,57.74,58.78,57.4401,1614747600000,8739
114,837623.0,56.4767,57.55,56.26,57.71,55.45,1614834000000,8689
115,917158.0,57.3117,57.0,57.68,57.9,55.62,1614920400000,9690
116,1239440.0,59.7777,58.07,59.9,60.48,57.96,1615179600000,12455
117,866688.0,59.4729,60.1,59.05,60.26,59.01,1615266000000,10006
118,921084.0,60.011,59.04,59.93,60.57,58.82,1615352400000,12002
119,844930.0,60.1308,59.77,60.12,61.0,59.29,1615438800000,8709
120,1232967.0,59.7283,60.56,59.52,60.77,59.27,1615525200000,13846
121,1125742.0,60.2218,59.35,61.08,61.11,58.68,1615780800000,13653
122,993973.0,61.0972,61.11,60.95,61.79,60.61,1615867200000,11965
123,834212.0,61.3305,60.94,61.35,61.98,60.91,1615953600000,10705
124,891640.0,61.3943,61.35,61.22,62.23,60.76,1616040000000,10289
125,1572378.0,61.0449,60.77,61.02,61.57,60.11,1616126400000,9524
126,897261.0,60.4908,60.98,60.61,61.04,59.58,1616385600000,9734
127,1068408.0,59.4082,60.11,59.32,60.52,58.78,1616472000000,11730
128,807516.0,60.0988,59.74,59.86,60.52,59.653,1616558400000,11001
129,661421.0,60.1738,59.77,60.84,60.95,58.77,1616644800000,9215
130,792708.0,61.9895,61.43,62.24,62.3,61.13,1616731200000,7812
131,595577.0,62.3511,62.24,62.25,62.9315,61.94,1616990400000,8220
132,773389.0,62.185,62.32,62.08,62.9825,61.9,1617076800000,9414
133,1201895.0,62.5681,62.35,62.32,63.35,62.13,1617163200000,12824
134,746106.0,62.2786,62.68,62.39,62.75,61.67,1617249600000,9712
135,762855.0,62.7477,62.71,62.72,63.055,62.19,1617595200000,9569
136,823468.0,62.5318,62.93,62.4,62.95,62.22,1617681600000,11264
137,1133029.0,61.5705,62.19,61.5,62.565,61.05,1617768000000,13443
138,1150907.0,60.8304,61.4,60.81,61.56,60.55,1617854400000,12448
139,1369752.0,61.5757,61.2,62.07,62.1,60.51,1617940800000,15042
140,978868.0,62.9778,62.24,63.35,63.41,62.24,1618200000000,13015
141,822366.0,62.3528,63.08,62.23,63.08,62.05,1618286400000,9208
142,660433.0,62.5133,62.5,62.27,63.42,62.24,1618372800000,8488
143,643568.0,62.7619,62.46,63.03,63.05,62.27,1618459200000,8956
144,1358073.0,63.6572,63.49,63.84,64.03,62.75,1618545600000,13127
145,1020190.0,64.0234,64.04,64.0,64.58,63.68,1618804800000,12129
146,895167.0,63.4429,64.19,63.44,64.44,62.95,1618891200000,10447
147,1328844.0,64.0844,63.63,64.37,64.72,63.44,1618977600000,16269
148,1566364.0,64.6634,65.83,64.2,65.83,63.2957,1619064000000,16612
149,1419754.0,64.2155,64.55,64.31,64.83,63.62,1619150400000,17182
150,1430890.0,64.1783,64.57,64.09,64.98,63.86,1619409600000,13287
151,1521335.0,64.0274,63.79,64.08,64.34,63.47,1619496000000,14348
152,1168397.0,64.2672,64.11,64.31,64.53,63.39,1619582400000,13275
153,929172.0,64.8639,64.63,65.16,65.17,64.22,1619668800000,10513
154,1556161.0,64.4839,64.65,64.51,65.03,64.13,1619755200000,11416
155,662816.0,65.2791,65.07,65.35,65.77,64.53,1620014400000,9253
156,1133117.0,66.0441,65.04,66.4,66.6,64.71,1620100800000,13237
157,1248720.0,67.188,66.65,67.3,67.73,66.01,1620187200000,14415
158,1065481.0,67.1956,67.73,67.3,67.98,66.54,1620273600000,12765
159,989305.0,67.9282,66.86,67.94,68.58,66.69,1620360000000,11566
160,1035224.0,69.2279,68.6,69.05,69.88,68.25,1620619200000,13073
161,876164.0,67.9487,68.41,67.98,68.73,67.21,1620705600000,13075
