,v,vw,o,c,h,l,t,n
0,361680.0,307.3973,303.51,308.38,309.74,300.885,1600056000000,7296
1,237401.0,309.4143,312.74,308.48,313.55,307.245,1600142400000,6116
2,262862.0,302.6233,309.79,300.22,311.71,300.09,1600228800000,6873
3,258555.0,300.758,297.35,304.29,304.5,293.38,1600315200000,6112
4,534580.0,301.2962,303.39,301.26,305.715,297.37,1600401600000,6643
5,258222.0,298.0673,295.12,300.49,301.23,294.56,1600660800000,5722
6,286247.0,307.7592,303.29,307.9,309.59,301.81,1600747200000,6452
7,245176.0,307.5409,306.98,307.28,310.06,305.01,1600833600000,6689
8,231589.0,310.4185,306.22,310.1,313.74,304.43,1600920000000,7840
9,204056.0,313.1573,308.79,315.1,316.57,306.585,1601006400000,5483
10,308424.0,322.3593,320.67,325.2,325.965,315.485,1601265600000,8431
11,319212.0,328.3231,325.61,328.54,330.45,324.76,1601352000000,8070
12,336782.0,335.3789,328.56,334.54,338.88,328.56,1601438400000,8884
13,380641.0,328.6751,338.28,328.28,338.57,325.93,1601524800000,9437
14,729765.0,323.7472,319.88,322.79,327.29,319.08,1601611200000,15078
15,670610.0,326.7385,323.01,327.75,329.425,321.3,1601870400000,14108
16,8139038.0,327.8469,327.63,328.01,331.61,321.115,1601956800000,16647
17,547574.0,330.9576,329.05,331.64,334.0,327.75,1602043200000,10688
18,410426.0,339.8363,333.01,340.85,342.8799,333.01,1602129600000,11316
19,454129.0,347.0045,347.4744,346.55,350.04,343.57,1602216000000,12681
20,281373.0,351.9145,349.99,352.69,353.47,347.0,1602475200000,8906
21,388985.0,351.6765,353.91,351.99,355.5,348.99,1602561600000,9363
22,382304.0,360.0976,353.15,360.31,363.44,352.445,1602648000000,11239
23,330495.0,359.875,355.27,360.38,363.36,353.18,1602734400000,8366
24,291022.0,359.6415,361.05,359.44,363.98,356.71,1602820800000,8064
25,281521.0,356.0969,360.21,353.55,361.7659,351.66,1603080000000,7382
26,267295.0,357.4607,353.635,355.63,360.245,353.26,1603166400000,9040
27,411740.0,356.7996,358.89,355.97,360.0,353.91,1603252800000,9693
28,511499.0,356.027,365.99,350.26,371.165,346.95,1603339200000,13500
29,314476.0,360.1926,353.52,361.71,362.96,353.01,1603425600000,8923
30,357759.0,360.1244,358.57,362.55,362.75,356.955,1603684800000,10540
31,333458.0,367.2934,367.0,366.99,370.12,361.985,1603771200000,10108
32,306822.0,362.4913,363.03,362.85,366.6,357.61,1603857600000,8957
33,350494.0,362.8139,361.11,360.64,367.375,359.75,1603944000000,8731
34,326466.0,349.9125,357.62,349.83,359.5,344.74,1604030400000,9613
35,337273.0,355.7791,353.49,357.29,360.465,349.6317,1604293200000,10281
36,255982.0,364.0073,360.18,364.18,367.71,357.92,1604379600000,8109
37,433034.0,376.8732,368.53,377.17,381.15,364.996,1604466000000,12581
38,326650.0,385.6841,380.95,383.92,391.11,379.4,1604552400000,9852
39,440075.0,386.2222,386.27,382.89,391.495,380.89,1604638800000,11801
40,975522.0,338.9395,373.17,322.3,376.5,320.92,1604898000000,22346
41,566133.0,334.9684,322.68,339.71,340.8,322.49,1604984400000,15187
42,496611.0,344.613,340.58,346.07,349.72,336.03,1605070800000,12094
43,272486.0,340.58,349.36,339.53,350.74,336.971,1605157200000,9118
44,265192.0,341.5811,340.41,340.63,344.785,338.24,1605243600000,8087
45,381079.0,338.2256,338.16,340.8,341.26,333.54,1605502800000,10352
46,420867.0,333.5848,341.72,329.45,344.62,327.15,1605589200000,12084
47,552349.0,325.8046,330.16,322.44,332.18,321.57,1605675600000,12473
48,546102.0,336.3545,326.43,338.65,340.36,326.43,1605762000000,15751
49,431915.0,338.8764,336.52,339.87,341.18,330.88,1605848400000,12388
50,541927.0,335.6754,339.22,334.13,343.82,333.21,1606107600000,12975
51,417650.0,329.5107,332.65,328.28,337.71,325.38,1606194000000,10735
52,449121.0,333.3857,330.37,333.59,337.68,329.5,1606280400000,12710
53,310762.0,341.277,336.55,343.12,344.22,333.75,1606453200000,9663
54,3029351.0,345.4883,343.99,346.11,346.82,337.5744,1606712400000,22895
55,744307.0,350.1836,346.11,353.1,353.77,342.13,1606798800000,20853
56,413050.0,340.0141,350.7,339.13,352.5,335.5996,1606885200000,11559
57,486357.0,333.5069,337.07,330.24,340.42,328.55,1606971600000,10272
58,467838.0,323.1629,329.52,324.27,329.52,318.89,1607058000000,13821
59,344043.0,332.1456,325.28,332.59,335.02,324.42,1607317200000,8370
60,355032.0,337.3819,334.59,339.12,339.49,330.04,1607403600000,8357
61,307107.0,336.7445,337.97,334.9,342.29,334.18,1607490000000,10029
62,323973.0,331.895,333.98,331.4,336.5,330.106,1607576400000,8566
63,292176.0,336.6521,331.37,337.79,339.5161,330.28,1607662800000,6758
64,354111.0,345.4077,339.46,346.58,348.22,338.31,1607922000000,10027
65,280629.0,349.8928,347.0,348.79,353.19,345.92,1608008400000,8301
66,288669.0,353.1144,348.09,352.94,355.55,347.19,1608094800000,7338
67,294766.0,354.2622,352.63,356.15,357.26,350.345,1608181200000,8532
68,637598.0,363.0054,358.2,364.37,366.35,356.6078,1608267600000,10170
69,309885.0,360.4717,360.43,362.01,365.0,352.79,1608526800000,8408
70,204385.0,368.6294,362.01,369.73,370.88,362.0,1608613200000,7476
71,139140.0,365.4805,371.46,365.52,371.685,363.02,1608699600000,5659
72,83228.0,364.0758,364.95,364.73,366.87,361.19,1608786000000,2464
73,153423.0,363.6575,368.75,362.76,369.95,360.92,1609131600000,5844
74,187260.0,362.234,363.91,364.04,367.35,357.6,1609218000000,6702
75,147290.0,366.9495,366.16,367.28,369.07,362.825,1609304400000,6566
76,272643.0,370.9688,368.47,372.5,373.07,364.67,1609390800000,6761
77,314852.0,359.865,373.82,356.89,378.67,353.61,1609736400000,12135
78,214842.0,356.6966,356.53,356.87,360.025,353.79,1609822800000,8297
79,362414.0,365.1805,352.2,370.38,370.91,349.19,1609909200000,10676
80,446836.0,383.1684,374.58,385.95,401.29,371.1,1609995600000,10747
81,333411.0,391.8709,388.81,390.99,399.47,387.5246,1610082000000,9038
82,357681.0,386.7038,389.74,385.25,392.845,384.32,1610341200000,8812
83,257930.0,384.9238,387.75,385.0,387.75,382.32,1610427600000,10042
84,293290.0,376.7827,385.0,373.72,386.63,373.23,1610514000000,9297
85,261334.0,369.7283,374.38,366.7,374.595,365.81,1610600400000,9674
86,298008.0,360.3188,365.005,359.4,365.8,357.01,1610686800000,8890
87,319392.0,360.2723,359.62,360.63,364.69,355.89,1611032400000,9479
88,360345.0,364.7657,360.91,366.24,368.365,357.78,1611118800000,9887
89,229172.0,367.878,365.37,366.71,372.315,363.0,1611205200000,7139
90,233542.0,368.4148,361.47,369.31,371.345,361.47,1611291600000,7224
91,199565.0,368.7018,371.48,368.94,373.805,364.941,1611550800000,6761
92,212846.0,365.2175,370.03,363.68,370.88,363.52,1611637200000,7089
93,364998.0,353.977,360.0,354.66,364.265,348.0101,1611723600000,10978
94,285240.0,361.5875,356.76,362.66,365.09,352.51,1611810000000,8339
95,301593.0,356.9989,360.79,354.18,364.04,353.75,1611896400000,8875
96,205619.0,358.8246,356.17,359.82,360.955,353.955,1612155600000,8158
97,392635.0,359.3908,363.94,357.3,363.94,357.3,1612242000000,10283
98,322601.0,355.3824,360.19,354.85,361.01,352.88,1612328400000,10822
99,316713.0,358.9733,356.56,358.99,363.12,354.5,1612414800000,8394
100,248118.0,359.5706,359.0,359.32,362.105,356.73,1612501200000,7168
101,418707.0,360.3633,360.84,359.4,362.91,359.04,1612760400000,9832
102,545265.0,359.8025,361.07,360.29,364.4299,357.96,1612846800000,10043
103,446782.0,352.6783,361.01,350.54,362.79,349.205,1612933200000,11739
104,966337.0,335.2054,351.11,329.89,359.99,328.81,1613019600000,19900
105,859770.0,338.1103,331.75,337.84,344.86,331.75,1613106000000,15912
106,563158.0,334.1659,341.2,333.33,344.1,330.3032,1613451600000,14151
107,401653.0,330.213,331.48,330.17,335.78,326.4272,1613538000000,10592
108,264523.0,329.8502,328.33,330.43,330.85,328.0,1613624400000,9321
109,363450.0,327.5365,329.96,326.08,332.54,325.42,1613710800000,10284
110,580747.0,316.717,325.07,314.43,326.02,311.57,1613970000000,13944
111,534296.0,314.7708,310.75,318.25,319.91,305.47,1614056400000,13014
112,654164.0,322.5635,318.91,328.39,329.67,314.92,1614142800000,16372
113,459981.0,324.3617,326.59,322.99,328.1,320.71,1614229200000,12995
114,677110.0,334.2564,327.77,334.77,338.715,325.74,1614315600000,16394
115,604023.0,335.2175,335.01,334.2,340.47,332.77,1614574800000,14722
116,515715.0,330.5669,332.17,330.7,334.63,327.075,1614661200000,10919
117,311321.0,332.2367,330.29,331.1,335.355,328.37,1614747600000,9274
118,382964.0,326.0919,331.66,323.59,333.52,319.055,1614834000000,10895
119,301316.0,323.7906,324.7525,330.22,330.83,313.92,1614920400000,11022
120,230805.0,330.3304,328.84,328.34,334.67,326.8,1615179600000,10279
121,345206.0,337.5397,332.94,336.51,341.115,330.2,1615266000000,10289
122,284097.0,342.7708,341.83,343.2,344.8003,338.5,1615352400000,10504
123,242790.0,346.3227,342.49,346.84,348.46,336.95,1615438800000,7272
124,221779.0,341.9063,342.81,342.44,344.56,339.02,1615525200000,7164
