,v,vw,o,c,h,l,t,n
0,2098227.0,69.6813,68.93,69.76,70.3,68.41,1600056000000,24146
1,1933414.0,68.7985,70.0,68.36,70.0,68.33,1600142400000,24450
2,2448455.0,69.7776,68.6,69.32,70.64,68.34,1600228800000,28514
3,2600982.0,68.6966,69.09,68.59,69.66,67.42,1600315200000,29780
4,3236090.0,68.3396,68.03,68.15,69.1,68.02,1600401600000,25945
5,3343341.0,64.9514,66.45,64.73,67.14,63.95,1600660800000,38224
6,3219826.0,63.6175,64.55,63.71,65.54,62.68,1600747200000,36242
7,2688660.0,63.199,64.1,61.96,65.01,61.94,1600833600000,30007
8,3568206.0,61.2704,62.01,61.45,62.6586,60.16,1600920000000,39513
9,3046953.0,61.6736,60.87,62.08,62.26,60.6,1601006400000,34036
10,2384034.0,64.2066,63.5,64.03,64.87,63.29,1601265600000,24933
11,2166778.0,63.1365,63.76,63.09,64.25,62.375,1601352000000,25716
12,3094895.0,63.4866,63.2,63.52,64.1399,62.76,1601438400000,27524
13,2403896.0,63.4778,63.91,63.51,64.755,62.81,1601524800000,29197
14,2225035.0,63.4812,62.36,63.88,64.3,62.14,1601611200000,26005
15,2482322.0,65.5993,64.65,65.71,66.21,64.51,1601870400000,26114
16,3216128.0,66.4839,66.57,65.34,68.05,65.11,1601956800000,35336
17,2343335.0,67.4692,66.07,67.79,67.995,66.07,1602043200000,27041
18,1601580.0,68.2626,68.45,68.27,69.02,67.79,1602129600000,19317
19,1443337.0,68.0018,68.93,67.88,68.9852,67.07,1602216000000,19922
20,1350924.0,68.8935,68.38,69.19,69.39,67.8661,1602475200000,16847
21,2094075.0,66.8451,68.33,66.4,68.48,66.23,1602561600000,23169
22,1230339.0,66.7079,66.41,66.33,67.39,66.29,1602648000000,15187
23,1901733.0,66.2269,65.54,66.53,66.67,64.87,1602734400000,23025
24,1647311.0,66.5659,66.75,66.27,67.325,65.99,1602820800000,17798
25,1256689.0,66.144,66.62,65.6,67.25,65.51,1603080000000,14190
26,1339295.0,66.5783,66.54,66.22,67.405,66.11,1603166400000,16234
27,1568073.0,66.2468,65.99,66.14,66.82,65.77,1603252800000,17053
28,1444237.0,67.3883,65.81,67.92,68.15,65.66,1603339200000,18544
29,1433606.0,68.6351,68.54,68.73,69.05,68.0,1603425600000,18248
30,1675109.0,66.3656,67.63,66.42,67.7684,65.43,1603684800000,25235
31,2092688.0,64.0686,66.01,63.46,66.02,63.44,1603771200000,24884
32,2609496.0,61.8721,62.12,61.67,63.15,61.22,1603857600000,31458
33,1948342.0,62.5125,61.2,63.04,63.5449,60.39,1603944000000,29623
34,2640318.0,63.3366,62.56,64.02,64.08,62.16,1604030400000,30601
35,2102769.0,65.7101,65.19,65.93,66.295,64.19,1604293200000,27793
36,2853950.0,68.0116,67.33,67.78,68.79,67.18,1604379600000,27240
37,4597141.0,65.0306,67.38,63.09,68.14,63.08,1604466000000,51458
38,3069783.0,65.4893,63.56,65.37,66.49,63.56,1604552400000,38771
39,2654263.0,64.1078,65.84,63.55,66.3,63.05,1604638800000,34111
40,6537899.0,72.2246,69.25,73.45,74.62,69.1,1604898000000,69348
41,4650787.0,75.0272,73.75,75.45,76.18,73.08,1604984400000,51688
42,3121267.0,73.2357,75.67,73.02,75.67,72.06,1605070800000,36751
43,2445687.0,70.8923,71.53,71.02,72.19,69.93,1605157200000,29165
44,1775467.0,72.9922,71.5,73.13,73.52,71.5,1605243600000,22132
45,2148361.0,75.1731,75.8,75.58,75.92,74.45,1605502800000,28059
46,1648390.0,75.1657,74.57,75.42,75.82,73.78,1605589200000,20725
47,2351067.0,76.5826,75.71,75.77,77.555,75.41,1605675600000,28338
48,1971751.0,75.265,74.97,75.79,76.14,73.7,1605762000000,23546
49,2542043.0,75.454,75.4,75.65,76.15,74.71,1605848400000,33607
50,2235275.0,76.4071,75.37,76.84,77.23,75.235,1606107600000,29334
51,2760969.0,79.3435,78.48,79.85,80.01,77.7,1606194000000,32144
52,1595325.0,78.4747,78.87,78.73,78.87,77.95,1606280400000,21206
53,892424.0,78.251,78.63,78.09,79.16,77.64,1606453200000,13818
54,3340466.0,76.048,77.25,75.62,77.99,75.34,1606712400000,28777
55,1971884.0,77.3519,77.77,77.11,78.03,76.88,1606798800000,23616
56,1841731.0,78.2525,76.48,78.68,78.92,76.48,1606885200000,23140
