,v,vw,o,c,h,l,t,n
0,1190351.0,52.7371,51.81,52.58,53.36,51.37,1600315200000,16340
1,2016072.0,52.128,52.43,51.9,53.1,51.655,1600401600000,19230
2,1800999.0,49.1905,50.85,49.22,50.85,48.53,1600660800000,18472
3,1216294.0,49.9283,49.17,50.08,50.39,49.125,1600747200000,11065
4,1772056.0,51.7424,51.14,51.29,52.66,50.55,1600833600000,18155
5,997623.0,51.319,51.03,51.42,52.01,50.08,1600920000000,12287
6,716775.0,51.3715,51.01,51.71,51.97,50.59,1601006400000,9348
7,956375.0,52.7273,52.49,52.89,53.1,51.92,1601265600000,11590
8,930699.0,52.8883,52.61,52.74,53.32,52.4501,1601352000000,9236
9,1748672.0,53.3437,52.7,52.86,54.12,52.39,1601438400000,13184
10,1844318.0,53.4313,53.42,53.56,53.97,52.6097,1601524800000,18944
11,1535392.0,54.9624,52.73,55.2,55.83,52.65,1601611200000,15473
12,1738837.0,56.9715,55.55,56.9,57.66,55.55,1601870400000,19356
13,1548357.0,56.9223,57.08,56.74,57.792,56.2407,1601956800000,16408
14,965647.0,58.3173,57.33,58.36,58.89,57.3,1602043200000,11124
15,1225380.0,58.7196,58.56,59.0,59.25,57.81,1602129600000,12642
16,1253464.0,58.9962,59.2,59.23,59.36,58.18,1602216000000,12615
17,1702925.0,61.15,60.0,61.34,61.68,59.77,1602475200000,15849
18,830843.0,60.5742,60.74,60.37,60.97,60.23,1602561600000,10735
19,1566460.0,60.6752,60.68,60.82,61.34,59.67,1602648000000,13309
20,1211437.0,61.7895,59.84,62.05,62.4,59.7516,1602734400000,13067
21,1965814.0,62.1204,62.1,61.98,62.53,61.7215,1602820800000,16642
22,1374612.0,62.299,62.35,61.89,63.89,61.17,1603080000000,13310
23,900341.0,63.2582,62.04,63.04,64.14,61.85,1603166400000,10378
24,1674266.0,62.2044,62.26,61.57,63.57,61.45,1603252800000,16134
25,1159134.0,61.4921,61.7,61.12,62.275,60.96,1603339200000,11613
26,1084226.0,62.0211,61.6,62.27,62.47,61.105,1603425600000,9591
27,1425070.0,61.0183,61.36,61.14,61.51,60.35,1603684800000,11238
28,937034.0,60.9888,61.63,60.77,61.98,60.31,1603771200000,10499
29,2249446.0,60.532,59.31,60.88,61.31,58.93,1603857600000,20072
30,1851702.0,62.9494,59.87,62.66,64.25,59.6,1603944000000,18831
31,1302039.0,62.0744,61.9,62.43,63.37,60.94,1604030400000,14482
32,2904324.0,65.1261,63.65,66.45,66.94,62.775,1604293200000,24577
33,2151965.0,67.1653,66.95,67.32,68.27,65.97,1604379600000,23227
34,3051076.0,63.5589,65.97,63.46,66.3,61.74,1604466000000,27890
35,1505823.0,65.0822,65.07,64.49,66.26,64.45,1604552400000,17543
36,1225402.0,65.0596,64.7,65.12,65.99,64.1,1604638800000,14907
37,1281138.0,66.7031,68.87,65.49,70.315,65.4,1604898000000,16276
38,1786488.0,66.8893,65.86,66.58,68.41,65.68,1604984400000,18615
39,1749826.0,66.627,66.935,67.54,67.8,64.75,1605070800000,15042
40,1604432.0,66.7842,66.97,67.07,67.58,66.07,1605157200000,16944
41,1026529.0,68.5732,67.62,68.94,69.28,67.1,1605243600000,13148
42,997040.0,69.3071,70.0,69.35,70.19,68.7,1605502800000,11516
43,1852815.0,67.6319,68.67,67.39,68.87,67.06,1605589200000,20211
44,1473242.0,67.7434,67.94,67.58,68.73,67.27,1605675600000,17669
45,1264452.0,68.1673,67.64,68.22,69.01,66.92,1605762000000,13315
46,1433402.0,67.1261,68.16,66.88,68.3899,66.63,1605848400000,17474
47,929917.0,68.3816,67.62,68.91,68.96,67.32,1606107600000,12473
48,1419330.0,70.0006,69.14,70.63,70.92,68.2418,1606194000000,15518
49,717452.0,69.6144,70.06,69.69,70.3193,68.77,1606280400000,9722
50,400907.0,69.764,69.84,69.93,70.11,69.23,1606453200000,5863
51,1340602.0,68.4804,69.73,68.34,70.2,67.91,1606712400000,13669
52,1224570.0,69.9718,69.42,69.96,70.476,68.95,1606798800000,14994
53,989185.0,68.7654,69.83,68.57,69.86,68.22,1606885200000,12014
54,1664662.0,68.9801,68.6,69.37,69.785,68.0,1606971600000,15805
55,1336875.0,70.8477,69.58,70.73,71.67,69.34,1607058000000,15446
56,818638.0,71.1171,70.79,71.51,71.62,70.38,1607317200000,9955
57,1039315.0,71.8533,71.37,71.73,72.4,71.185,1607403600000,12314
58,1081069.0,72.9091,72.12,73.1,73.52,72.12,1607490000000,14030
59,1338826.0,73.1194,72.54,73.01,73.98,71.59,1607576400000,15695
60,1474756.0,72.6648,73.5,72.07,73.76,72.0,1607662800000,14960
61,2116544.0,69.4217,72.23,68.51,72.425,68.29,1607922000000,22570
62,1901008.0,69.1322,68.9,69.24,69.62,68.6,1608008400000,17798
63,4622652.0,68.434,68.61,68.4,69.22,67.19,1608094800000,18505
64,1436279.0,68.6965,68.79,68.82,69.205,68.15,1608181200000,16052
65,2289055.0,68.3204,68.91,68.29,69.3,67.41,1608267600000,12532
66,1289457.0,68.2264,67.38,68.58,68.63,66.75,1608526800000,14316
67,1214566.0,69.0148,68.46,69.13,69.48,68.31,1608613200000,12558
68,1214203.0,70.5713,69.4,70.81,71.08,69.37,1608699600000,10475
69,255420.0,70.8704,71.05,70.93,71.18,70.39,1608786000000,3716
70,632553.0,71.0667,71.55,70.71,71.99,70.58,1609131600000,8568
71,599383.0,70.4278,71.43,70.62,71.43,69.77,1609218000000,8491
72,617239.0,71.1462,70.79,71.15,71.645,70.63,1609304400000,6502
73,530071.0,71.8476,71.32,72.02,72.2,70.94,1609390800000,6608
74,3453424.0,68.9826,70.9,68.25,71.825,67.6,1609736400000,32307
75,1950264.0,69.3949,68.25,69.57,70.02,68.15,1609822800000,17514
76,1957410.0,74.0503,70.92,74.8,74.96,70.7,1609909200000,21400
77,1186931.0,76.169,75.92,76.39,77.4,74.9,1609995600000,12931
78,820910.0,75.852,76.62,75.98,76.8,75.01,1610082000000,11474
79,930143.0,75.6353,75.06,75.31,76.64,75.0,1610341200000,10731
80,744594.0,76.0365,75.89,76.26,76.59,74.43,1610427600000,11058
81,897134.0,74.8231,75.85,74.77,76.26,74.0,1610514000000,12200
82,1317794.0,77.0098,75.21,77.58,77.89,74.62,1610600400000,14002
83,1076275.0,76.0052,76.78,76.16,77.2,74.8,1610686800000,12769
84,1178559.0,77.7426,77.2,78.25,78.37,76.62,1611032400000,14440
85,1348811.0,79.1324,78.62,79.27,79.86,78.125,1611118800000,16720
86,838560.0,78.1534,79.16,77.81,79.81,77.35,1611205200000,10063
87,1046659.0,77.5413,77.56,77.66,78.12,76.64,1611291600000,12670
88,708919.0,75.6901,77.54,75.72,77.7744,74.4133,1611550800000,11178
89,708121.0,75.4056,76.29,74.84,76.29,74.74,1611637200000,11181
90,1147053.0,71.9237,73.17,71.67,73.365,70.38,1611723600000,14625
91,1007955.0,72.5989,72.93,72.55,73.43,71.6,1611810000000,14304
92,965631.0,70.7701,72.15,70.47,72.27,69.84,1611896400000,11847
93,1474468.0,71.9281,71.56,72.88,73.1,70.465,1612155600000,19088
94,1329127.0,75.7287,73.93,75.82,76.79,73.56,1612242000000,15222
95,871868.0,74.5126,75.63,74.12,75.63,74.06,1612328400000,11696
96,939187.0,75.0273,74.26,75.31,75.43,73.71,1612414800000,11059
97,696939.0,75.787,76.14,75.95,76.21,74.8,1612501200000,10228
98,861219.0,76.5599,76.75,76.58,77.07,76.08,1612760400000,11658
99,780692.0,77.1514,76.65,77.17,77.89,76.1,1612846800000,10701
100,856488.0,76.5305,77.44,76.22,77.44,76.15,1612933200000,9201
101,881124.0,76.9925,76.57,77.01,78.53,76.12,1613019600000,11434
102,645605.0,77.3291,76.7,77.87,78.05,76.56,1613106000000,9514
103,642420.0,78.1446,78.75,77.61,79.55,77.34,1613451600000,11357
104,614345.0,76.7578,77.36,76.83,78.02,76.02,1613538000000,8756
105,801302.0,75.5444,76.36,75.88,76.5,73.9,1613624400000,10472
106,829259.0,77.2913,76.6,77.25,77.78,76.415,1613710800000,11247
107,1127098.0,77.9493,77.16,77.91,78.68,76.06,1613970000000,14863
108,1230753.0,77.1443,77.2,78.21,78.74,74.84,1614056400000,18088
109,1729782.0,80.8654,78.68,81.13,81.99,78.37,1614142800000,20619
110,2057572.0,84.95,84.0,84.61,86.23,83.43,1614229200000,24839
111,1548474.0,84.1255,84.59,83.85,85.755,82.65,1614315600000,18929
112,1530614.0,86.2523,85.68,85.7,87.67,85.22,1614574800000,17670
113,1366372.0,84.5586,85.35,84.21,85.379,83.56,1614661200000,16101
114,1394912.0,83.8056,84.21,82.73,85.04,82.58,1614747600000,18488
115,2478413.0,81.0049,82.25,81.83,82.51,79.04,1614834000000,27401
116,1676341.0,82.0014,82.67,83.12,83.64,78.79,1614920400000,22836
117,1531238.0,83.7853,84.24,83.34,84.9,82.85,1615179600000,16949
118,962260.0,83.8075,84.13,83.23,84.66,83.05,1615266000000,13215
119,1434066.0,84.8918,83.17,85.49,85.81,82.69,1615352400000,15721
120,1410825.0,87.5091,86.38,87.41,88.25,85.8201,1615438800000,16594
121,692355.0,88.1668,87.39,88.64,88.71,87.15,1615525200000,10123
122,905548.0,88.1567,88.18,88.85,88.97,87.34,1615780800000,11953
123,973866.0,87.5549,88.9,87.26,88.9058,86.95,1615867200000,13387
124,1045800.0,87.8053,87.51,87.93,88.4,86.94,1615953600000,11288
125,1168668.0,87.1259,88.04,85.81,88.74,85.7,1616040000000,13678
126,1485081.0,85.4223,85.21,85.46,86.38,83.83,1616126400000,13582
127,743386.0,84.8453,85.46,85.05,85.77,83.87,1616385600000,14654
128,1917079.0,82.9194,84.12,82.39,84.94,81.61,1616472000000,21612
129,1759512.0,83.0373,83.34,82.28,84.46,82.13,1616558400000,20097
130,1129541.0,82.6023,81.74,83.48,84.01,80.385,1616644800000,18474
131,1260550.0,86.3144,84.66,87.14,87.2,83.71,1616731200000,19045
132,1037152.0,85.0117,86.56,84.32,87.7599,84.08,1616990400000,15451
133,1578470.0,87.1081,84.29,87.57,87.76,84.135,1617076800000,17372
134,1428013.0,87.9393,88.18,87.98,88.9,86.66,1617163200000,18726
135,1386794.0,89.0445,89.0,89.17,90.22,88.11,1617249600000,16814
136,1388858.0,91.6067,90.91,91.93,92.15,90.17,1617595200000,20251
137,1948197.0,92.762,91.8,92.15,94.1,91.8,1617681600000,21323
138,1578633.0,91.1038,92.15,91.1,92.23,90.4275,1617768000000,19285
139,1129232.0,91.3963,91.29,91.52,91.885,90.11,1617854400000,15015
140,942308.0,93.0228,91.91,93.72,93.75,91.4,1617940800000,12562
141,995551.0,93.3115,93.81,93.25,94.13,92.74,1618200000000,13210
142,1885883.0,93.7852,93.52,94.06,94.49,92.6718,1618286400000,14526
143,1194472.0,94.1892,93.5,94.01,95.005,93.32,1618372800000,17463
