,v,vw,o,c,h,l,t,n
0,7053058.0,186.8212,186.0,186.96,188.6,184.38,1600056000000,82373
1,7763369.0,185.8705,190.05,186.02,190.45,184.18,1600142400000,113208
2,8174799.0,183.5065,187.095,180.91,189.34,180.67,1600228800000,128892
3,11840100.0,175.8738,176.63,175.79,178.74,173.79,1600315200000,162390
4,13557242.0,175.4888,176.7,176.07,178.25,171.63,1600401600000,131202
5,13765625.0,180.7146,174.84,183.21,183.45,174.08,1600660800000,157186
6,8939288.0,186.2007,186.79,187.78,188.06,182.185,1600747200000,117297
7,6782378.0,184.2044,188.39,181.61,188.47,181.1,1600833600000,96792
8,7374516.0,182.5002,180.17,182.19,184.9,179.6,1600920000000,96990
9,7606454.0,185.3311,182.4,187.25,187.92,180.13,1601006400000,101814
10,7570637.0,190.9034,190.9996,192.02,192.47,188.09,1601265600000,97764
11,6766102.0,194.4006,192.64,194.5,195.78,191.11,1601352000000,96554
12,7939637.0,196.9641,194.06,197.03,198.72,193.311,1601438400000,107864
13,7268872.0,197.8015,199.26,196.94,201.27,196.2205,1601524800000,90741
14,6546430.0,192.8026,192.73,191.91,196.21,189.25,1601611200000,103222
15,5024054.0,195.6051,193.55,196.85,196.91,192.16,1601870400000,74849
16,5921767.0,193.8496,196.13,191.66,197.37,190.88,1601956800000,91220
17,4228748.0,194.5389,193.91,194.61,195.71,193.33,1602043200000,64423
18,5582626.0,193.7132,196.75,193.06,196.87,192.67,1602129600000,74146
19,7082372.0,196.0689,194.36,197.27,197.35,192.6,1602216000000,82977
20,10572446.0,201.2341,199.87,201.51,204.08,196.6323,1602475200000,116040
21,8145300.0,205.8672,202.44,207.74,209.02,200.11,1602561600000,118615
22,8591824.0,203.986,208.2035,203.6,208.948,200.5,1602648000000,118469
23,7630531.0,201.4942,199.99,203.14,203.48,198.128,1602734400000,83412
24,9663990.0,205.2475,204.44,204.45,207.47,202.22,1602820800000,106088
25,6491682.0,202.7695,205.52,200.06,207.23,199.1,1603080000000,92939
26,4867725.0,202.9125,201.14,201.96,205.47,200.31,1603166400000,81051
27,17247188.0,211.4202,208.3,213.07,215.83,206.02,1603252800000,215382
28,12098290.0,205.8194,211.9,203.93,212.34,202.1403,1603339200000,146031
29,6644745.0,202.9889,206.24,203.04,206.24,201.21,1603425600000,84188
30,7643148.0,197.7503,200.66,197.22,203.89,195.05,1603684800000,107497
31,4754359.0,199.8864,198.79,200.43,201.32,197.72,1603771200000,58589
32,8050042.0,193.8582,196.96,192.31,198.39,191.5,1603857600000,116489
33,7627102.0,195.4466,194.08,195.04,197.59,192.31,1603944000000,99218
34,12041236.0,186.5518,193.29,186.13,195.33,182.92,1604030400000,172009
35,14376424.0,186.1208,189.01,187.76,192.705,185.05,1604293200000,184435
36,31655751.0,181.6426,177.94,179.81,188.75,174.81,1604379600000,363440
37,16106952.0,190.8039,186.76,194.29,195.0,184.1102,1604466000000,212471
38,15188527.0,202.2485,202.3,204.56,204.92,199.37,1604552400000,179660
39,8075064.0,202.0798,204.6,202.73,204.92,198.55,1604638800000,119512
40,18986391.0,189.8687,195.74,184.72,196.07,184.44,1604898000000,317672
41,13144319.0,182.6668,184.98,183.36,186.71,178.6,1604984400000,214952
42,9151685.0,190.8327,187.4981,192.34,193.1,186.4,1605070800000,119989
43,7103620.0,190.6921,193.95,189.1,194.9,188.43,1605157200000,109783
44,6020699.0,188.6028,191.1069,188.62,191.7299,186.85,1605243600000,87414
45,10127757.0,189.8706,185.19,191.94,192.38,183.54,1605502800000,133373
46,6448805.0,192.8844,192.13,192.3,194.63,190.63,1605589200000,101563
47,8095357.0,191.0259,192.59,190.12,192.95,189.54,1605675600000,99578
48,9391530.0,190.8088,190.82,190.9,192.75,189.57,1605762000000,128471
49,11518655.0,193.1631,192.47,192.67,194.73,190.96,1605848400000,145672
50,12019989.0,198.5832,194.53,200.82,202.16,193.92,1606107600000,155069
51,14781555.0,204.5319,204.0,206.0,207.0791,198.86,1606194000000,175704
52,13794973.0,212.9588,206.29,214.46,216.07,206.23,1606280400000,168820
53,5303151.0,211.183,213.2,211.39,213.84,208.62,1606453200000,80562
54,12976149.0,212.9533,212.51,214.12,215.83,207.09,1606712400000,145156
55,10146956.0,217.6606,217.15,216.54,220.57,214.3401,1606798800000,159206
56,7537366.0,212.4999,215.6,212.56,215.75,210.5,1606885200000,118715
57,7645193.0,214.9034,213.33,214.54,216.93,213.11,1606971600000,110729
58,6214640.0,216.9425,214.88,217.77,218.553,213.01,1607058000000,90867
59,5363365.0,217.7063,217.39,217.93,219.32,216.31,1607317200000,77660
60,5419592.0,217.1476,216.325,216.94,218.72,215.57,1607403600000,84875
61,7807532.0,213.7186,217.0,210.8,218.94,209.25,1607490000000,117275
62,6556822.0,213.3365,208.36,215.34,216.23,206.65,1607576400000,95694
63,4283354.0,213.0705,213.39,214.06,215.0,210.4203,1607662800000,73669
64,9759424.0,221.144,215.95,220.79,223.16,215.0,1607922000000,123644
65,6508117.0,220.3177,221.93,221.6,222.31,217.12,1608008400000,92318
66,10110033.0,228.9431,224.8,230.2,231.15,224.61,1608094800000,138622
67,8914060.0,235.6868,234.51,235.51,238.1,232.4,1608181200000,130507
68,11424717.0,235.4178,236.66,236.45,237.17,232.28,1608267600000,103357
69,8156045.0,236.7539,232.62,237.72,239.7514,232.2013,1608526800000,106962
70,6340935.0,241.6967,240.165,243.49,243.68,238.09,1608613200000,100874
71,6421336.0,240.4365,243.6,239.44,244.25,238.33,1608699600000,93806
72,3053752.0,239.4617,240.36,238.64,242.12,238.09,1608786000000,48759
73,7079520.0,237.1158,243.5,235.73,243.5,235.25,1609131600000,90157
74,8316075.0,231.5515,236.0,231.03,236.25,229.68,1609218000000,110768
75,6017643.0,231.4973,232.19,231.51,233.84,230.02,1609304400000,82799
76,5002663.0,232.5006,232.0,234.2,234.69,229.69,1609390800000,69929
77,8148695.0,232.4464,237.8,231.92,237.9969,227.5348,1609736400000,129542
78,5047831.0,234.0005,230.47,234.91,235.64,229.8,1609822800000,75876
79,9211701.0,228.728,228.94,226.83,232.49,225.7021,1609909200000,152464
80,7107892.0,234.0737,229.46,235.04,235.6,229.22,1609995600000,110281
81,6758739.0,240.6344,237.43,242.46,242.91,236.0687,1610082000000,112878
82,5073071.0,238.2135,238.04,237.5,240.84,234.09,1610341200000,86180
83,4145557.0,236.9003,237.62,237.64,238.8,233.83,1610427600000,78326
84,7354936.0,243.9632,236.57,244.9,247.44,236.54,1610514000000,107855
85,6976718.0,244.2709,246.87,242.06,249.85,241.54,1610600400000,108410
86,8373333.0,240.132,242.25,239.79,244.5632,235.0341,1610686800000,110581
87,7436752.0,245.6741,243.3,247.25,248.74,241.0,1611032400000,102350
88,5803248.0,245.9563,248.85,244.26,249.65,244.14,1611118800000,98191
89,10336554.0,247.7855,246.67,248.64,250.37,243.58,1611205200000,132533
90,7800506.0,251.1629,246.65,252.0,254.39,246.2,1611291600000,124370
91,8499384.0,248.315,253.8,247.75,254.39,242.22,1611550800000,140072
92,7882985.0,243.301,246.9,241.0,248.76,240.03,1611637200000,119906
93,11787024.0,231.2839,234.7,229.94,235.4,225.0,1611723600000,217871
94,8245538.0,237.8461,235.0,237.79,241.555,232.21,1611810000000,132914
95,9805849.0,235.5993,238.65,234.31,240.87,232.66,1611896400000,146483
96,7788173.0,241.114,238.37,241.85,244.14,235.4,1612155600000,117521
97,7082835.0,247.5545,243.61,249.1,250.19,240.53,1612242000000,113982
98,13537154.0,253.3722,253.96,251.9,254.315,247.39,1612328400000,195808
99,23817455.0,267.9151,265.34,270.43,274.94,260.85,1612414800000,318480
100,7978598.0,267.9576,268.61,269.44,270.0,264.71,1612501200000,134559
101,10084303.0,280.3821,276.88,282.17,282.6989,274.6235,1612760400000,160287
102,8694925.0,282.7541,280.38,284.2,286.89,276.51,1612846800000,144089
103,9364487.0,283.1676,285.1,283.18,286.08,278.401,1612933200000,143620
104,21371109.0,292.084,287.33,285.03,302.1,281.6,1613019600000,265019
105,11882184.0,295.183,292.64,298.37,299.34,289.32,1613106000000,171371
106,13597698.0,304.355,306.4,304.79,309.14,298.18,1613451600000,194683
107,9879846.0,296.0332,297.63,297.2,301.5,290.56,1613538000000,171275
108,9715481.0,289.0292,291.13,290.81,292.97,285.03,1613624400000,162472
109,9413810.0,288.876,292.12,286.92,293.94,285.46,1613710800000,141955
110,13132453.0,277.809,281.42,273.85,285.0,273.29,1613970000000,220385
111,20416219.0,261.2289,259.69,265.0,267.25,252.56,1614056400000,350062
112,10764984.0,264.7703,266.105,266.07,268.6662,259.1001,1614142800000,175344
113,13403264.0,256.7854,262.76,253.94,266.0,251.42,1614229200000,235410
114,11915229.0,258.9063,257.45,259.85,261.86,253.1142,1614315600000,172539
115,10308514.0,271.4519,268.895,273.63,274.54,265.72,1614574800000,165660
116,8484874.0,271.5195,275.96,269.19,277.5,268.91,1614661200000,145231
117,10841763.0,258.4056,265.02,255.06,267.6599,253.25,1614747600000,203599
118,18878783.0,241.9471,251.76,239.07,254.8,232.27,1614834000000,342839
119,16830228.0,233.7735,243.12,239.05,243.748,223.09,1614920400000,306707
120,13340269.0,232.7265,239.0,226.09,241.33,225.65,1615179600000,229969
121,12071203.0,240.7932,240.98,241.76,244.44,236.04,1615266000000,191114
122,9443992.0,244.4816,249.31,242.07,249.96,241.27,1615352400000,158857
123,9234249.0,252.2742,247.12,253.83,254.92,246.53,1615438800000,151074
