,v,vw,o,c,h,l,t,n
0,1400405.0,41.12,41.03,41.29,41.49,40.6,1600315200000,14936
1,4732984.0,40.1863,41.07,40.07,41.48,39.96,1600401600000,17436
2,2275204.0,37.3651,39.42,37.21,39.42,36.83,1600660800000,22845
3,1804856.0,37.4578,37.29,37.26,38.155,37.19,1600747200000,17876
4,1056136.0,36.7306,37.22,36.525,37.73,36.15,1600833600000,12906
5,974296.0,36.7526,36.55,36.78,37.46,35.99,1600920000000,11025
6,844792.0,37.2766,36.59,37.42,37.57,36.42,1601006400000,8049
7,940900.0,38.675,38.59,38.56,39.07,38.19,1601265600000,12511
8,785755.0,37.7527,38.25,37.77,38.6399,37.0,1601352000000,9635
9,1268900.0,38.111,38.14,38.02,38.78,37.575,1601438400000,12601
10,1139513.0,39.0573,38.05,39.4,39.41,38.05,1601524800000,11068
11,1215806.0,39.817,38.57,40.2,40.38,38.22,1601611200000,12670
12,882852.0,39.9885,40.62,40.11,40.8,39.455,1601870400000,10260
13,898581.0,40.0965,40.48,39.95,40.85,39.75,1601956800000,7607
14,679764.0,39.5245,40.24,39.43,40.34,39.165,1602043200000,7395
15,1953096.0,40.1994,39.73,40.44,40.47,39.58,1602129600000,13523
16,665742.0,39.7632,40.93,39.58,40.93,39.45,1602216000000,6997
17,554999.0,39.6907,39.52,39.75,40.01,39.0349,1602475200000,7154
18,890343.0,38.3358,39.26,38.24,39.52,37.94,1602561600000,10931
19,722396.0,37.7992,38.4,37.66,38.72,37.44,1602648000000,8069
20,675898.0,38.4185,37.36,38.54,38.69,37.28,1602734400000,8680
21,648676.0,37.6764,38.61,37.54,38.61,37.2,1602820800000,7075
22,830465.0,37.1298,37.8,37.0,37.8,36.92,1603080000000,9686
23,587211.0,37.5367,37.41,37.5,37.84,37.25,1603166400000,7711
24,520759.0,37.1535,37.31,37.14,37.42,36.77,1603252800000,6784
25,684921.0,37.9994,37.16,38.18,38.28,37.06,1603339200000,6880
