,v,vw,o,c,h,l,t,n
0,480237.0,172.6727,172.44,172.89,173.7,171.01,1600315200000,8123
1,1071496.0,170.5929,171.745,170.01,173.27,167.71,1600401600000,11888
2,720164.0,169.8322,168.69,171.51,171.59,165.721,1600660800000,11129
3,416096.0,171.6455,171.33,172.26,172.6,169.62,1600747200000,9410
4,446459.0,169.7174,172.01,168.7,172.35,168.24,1600833600000,8753
5,264278.0,168.3668,167.8,168.14,169.9,166.49,1600920000000,6840
6,898385.0,167.8241,166.7,169.04,169.31,166.01,1601006400000,12473
7,578948.0,172.2843,171.0,172.0,174.2,169.85,1601265600000,9109
8,349626.0,172.7824,172.0,172.66,174.04,171.91,1601352000000,7031
9,685637.0,172.1157,173.05,171.43,174.83,170.6,1601438400000,12634
10,513168.0,170.0811,172.84,169.51,174.43,168.59,1601524800000,10374
11,1150065.0,168.0302,167.53,167.5,169.38,165.92,1601611200000,15192
12,670577.0,170.2684,168.22,170.81,171.145,168.11,1601870400000,11961
13,435428.0,168.9526,171.25,167.65,171.64,167.241,1601956800000,9181
14,432257.0,170.6578,169.25,170.7,171.55,168.92,1602043200000,8354
15,489583.0,172.4013,172.56,172.7,173.67,171.125,1602129600000,10688
16,463379.0,175.7149,173.5,176.12,176.72,173.27,1602216000000,10185
17,346002.0,177.375,177.67,177.43,178.29,176.48,1602475200000,7086
18,397861.0,177.5426,177.5,177.66,179.67,176.075,1602561600000,7358
19,408136.0,178.5401,178.0,177.81,181.03,177.37,1602648000000,8595
20,404040.0,178.5644,175.97,179.6,179.66,174.84,1602734400000,8244
21,502100.0,180.7008,179.62,180.79,182.35,178.81,1602820800000,7514
22,430885.0,180.2057,181.35,179.41,183.07,178.84,1603080000000,8971
23,391710.0,179.8173,179.75,179.43,181.64,178.835,1603166400000,9281
24,290206.0,179.2858,179.79,179.13,181.33,177.93,1603252800000,5761
25,407649.0,182.2322,179.13,182.82,183.55,178.99,1603339200000,9714
26,308715.0,182.5258,182.52,183.03,183.7,181.03,1603425600000,7289
27,370420.0,180.3642,181.16,180.53,182.165,179.25,1603684800000,8529
28,665494.0,184.9883,181.99,184.85,187.59,181.01,1603771200000,11522
29,618646.0,181.4338,181.81,180.66,182.97,180.32,1603857600000,10508
30,587726.0,179.8955,180.0,179.51,181.74,177.695,1603944000000,12771
31,912361.0,191.8768,195.8,191.94,198.0,189.13,1604030400000,16809
32,882582.0,195.8141,195.16,196.8,197.4,193.19,1604293200000,17453
33,714294.0,201.5915,197.2,202.46,203.55,196.67,1604379600000,12778
34,682991.0,209.252,203.59,209.42,212.28,203.25,1604466000000,13322
35,573116.0,212.8804,212.0,212.81,215.64,210.45,1604552400000,11382
36,557400.0,214.0545,212.03,214.19,216.06,211.085,1604638800000,10992
37,1161771.0,221.1832,219.54,220.59,224.24,218.0,1604898000000,20392
38,795148.0,213.4178,219.15,212.11,219.15,210.95,1604984400000,15432
39,572033.0,215.5765,214.56,215.83,218.25,214.14,1605070800000,11376
40,406582.0,212.6975,215.02,212.79,215.79,210.57,1605157200000,8813
41,268033.0,213.9072,213.43,214.74,214.94,212.08,1605243600000,7614
42,314486.0,215.0354,215.59,215.54,216.62,213.59,1605502800000,8116
43,336849.0,214.0243,213.51,214.15,215.17,211.51,1605589200000,8931
44,393066.0,212.2832,214.7,211.07,214.85,210.94,1605675600000,9644
45,324047.0,211.5384,211.76,211.76,213.17,210.32,1605762000000,9243
46,401845.0,211.2134,211.63,211.02,212.095,210.2474,1605848400000,9866
47,398904.0,209.8872,211.52,209.57,213.6,207.9,1606107600000,9277
48,593835.0,206.8397,210.6,206.53,211.0,204.79,1606194000000,10598
49,312923.0,205.9919,206.21,206.03,206.95,204.58,1606280400000,8439
50,260973.0,208.9773,207.24,209.64,210.25,205.68,1606453200000,5433
51,836897.0,209.4841,208.94,209.6,211.02,207.87,1606712400000,9630
52,566720.0,211.2941,210.46,211.61,212.36,209.74,1606798800000,10716
53,386854.0,209.4227,209.57,209.26,210.58,208.3,1606885200000,8581
54,385149.0,207.7186,208.36,207.4,209.25,206.75,1606971600000,7429
55,309899.0,208.9453,207.42,209.69,209.92,206.88,1607058000000,6495
56,294852.0,209.6313,209.52,209.21,211.47,208.58,1607317200000,7254
57,433143.0,211.5596,208.26,212.11,212.39,207.48,1607403600000,6892
58,372151.0,211.7657,212.53,211.77,213.26,210.44,1607490000000,8964
59,407591.0,209.4814,211.06,208.73,213.02,208.04,1607576400000,9919
60,591083.0,204.827,207.32,204.53,207.87,203.61,1607662800000,12426
61,488983.0,207.3024,206.17,206.38,210.175,205.73,1607922000000,9992
62,556941.0,208.3813,207.8,208.65,209.2,206.37,1608008400000,9663
63,504048.0,210.4868,209.52,210.51,211.77,207.73,1608094800000,9488
64,408112.0,212.8537,211.0,213.73,213.88,210.52,1608181200000,9562
65,1160385.0,216.8525,214.15,218.45,219.28,212.42,1608267600000,10062
66,444245.0,212.2578,214.0,213.47,215.255,207.88,1608526800000,10229
67,325979.0,212.1325,213.15,211.67,214.12,210.85,1608613200000,7547
68,301913.0,210.8492,212.95,209.98,213.1,209.92,1608699600000,7254
69,102159.0,211.9364,210.23,212.42,212.93,209.71,1608786000000,2408
70,241573.0,211.7439,215.29,211.43,216.26,210.85,1609131600000,5770
71,331617.0,211.2973,213.64,211.26,213.64,210.18,1609218000000,5864
72,251583.0,210.0273,212.64,209.72,212.64,209.37,1609304400000,6986
73,324605.0,211.7368,210.34,212.56,213.12,208.54,1609390800000,6937
74,475813.0,211.7427,213.24,212.18,214.99,208.17,1609736400000,11199
75,523565.0,214.2529,211.94,214.61,215.66,211.7,1609822800000,9513
76,644443.0,213.5958,211.58,213.21,215.88,211.268,1609909200000,13870
