,v,vw,o,c,h,l,t,n
0,1428690.0,185.9534,190.0,186.21,192.0,180.31,1600401600000,14589
1,754819.0,186.8384,180.73,190.41,191.0,179.1685,1600660800000,13214
2,2630166.0,182.8988,184.5,185.2,189.5,178.32,1600747200000,35713
3,1872042.0,192.2338,189.4,189.44,196.51,187.9,1600833600000,23445
4,964905.0,188.691,186.89,191.73,193.98,180.875,1600920000000,19264
5,996547.0,199.1821,192.9,200.96,202.7,191.99,1601006400000,17316
6,1415903.0,215.2312,205.13,218.29,219.0,204.55,1601265600000,25292
7,1572561.0,228.4554,219.0,231.5,231.8289,219.0,1601352000000,26730
8,1581134.0,238.5826,233.45,238.35,245.78,228.1,1601438400000,27589
9,1351672.0,244.9808,243.0,248.87,249.73,235.22,1601524800000,25631
10,1318451.0,250.973,240.6,251.58,257.25,239.5,1601611200000,26259
11,1399006.0,266.0455,258.45,272.59,272.63,257.01,1601870400000,28240
12,1964610.0,269.4545,273.67,271.87,275.85,262.4,1601956800000,37096
13,2194751.0,294.142,278.98,305.15,308.17,276.5701,1602043200000,39225
14,3179821.0,291.6762,311.0,289.0,314.0,278.56,1602129600000,63629
15,1848399.0,303.0347,292.0,305.35,311.2416,286.71,1602216000000,35268
16,1870311.0,295.1049,310.0,297.94,311.5964,288.0,1602475200000,39210
17,1350322.0,297.4447,295.89,299.65,302.24,289.5,1602561600000,26568
18,1351356.0,303.1782,300.0,304.52,308.7366,294.03,1602648000000,23171
19,1140547.0,299.6454,298.0,302.5,305.34,290.0,1602734400000,24055
20,1691369.0,304.1212,310.0,302.02,315.43,300.05,1602820800000,23667
21,1162484.0,311.3603,304.49,309.1,316.7821,300.72,1603080000000,23879
22,1583627.0,311.3746,313.33,309.8,317.88,303.44,1603166400000,29322
23,1948359.0,290.9025,310.94,279.59,312.95,278.632,1603252800000,42378
24,1883939.0,277.5563,282.29,280.39,287.5,268.43,1603339200000,38608
25,912499.0,284.1598,287.05,282.88,293.5,278.32,1603425600000,22851
26,1158816.0,273.9985,276.02,273.0,285.74,265.09,1603684800000,25684
27,1815132.0,264.3519,269.82,261.84,275.27,255.43,1603771200000,37349
28,1336456.0,264.2446,260.0,263.83,269.87,254.69,1603857600000,25228
29,1099869.0,270.2419,267.0,270.09,275.38,266.0,1603944000000,21501
30,1233333.0,256.9049,266.5,257.69,268.93,251.02,1604030400000,26004
31,1805531.0,261.1952,262.5,267.72,275.97,261.08,1604293200000,37493
32,8792542.0,207.1837,213.09,206.37,217.97,201.5601,1604379600000,128751
33,4154830.0,201.5089,203.0,206.56,208.48,190.1,1604466000000,62964
34,3565640.0,229.474,219.89,233.63,236.0,219.2,1604552400000,61790
35,1772513.0,236.1246,236.52,237.51,242.28,229.28,1604638800000,35816
36,1838464.0,240.3708,253.93,232.52,253.96,231.79,1604898000000,46351
37,1414720.0,226.773,231.71,225.51,235.49,217.62,1604984400000,29146
38,1371484.0,233.9914,234.89,235.19,236.97,229.02,1605070800000,23257
39,990761.0,230.5325,238.99,227.2,239.73,224.25,1605157200000,23804
40,1141631.0,224.3011,232.0,221.6,233.0,219.88,1605243600000,24590
41,1044856.0,225.9237,223.5,228.28,228.795,220.02,1605502800000,22212
42,971038.0,231.9558,228.0,233.18,234.81,226.2101,1605589200000,21165
43,683018.0,232.8746,234.53,232.82,236.33,228.33,1605675600000,15913
44,1066069.0,242.5105,234.95,244.05,246.33,233.39,1605762000000,24116
45,1386650.0,257.7189,249.1387,257.99,262.82,247.09,1605848400000,32179
46,1583573.0,265.1964,264.12,264.8,268.85,261.24,1606107600000,30449
47,1592758.0,267.94,268.5,268.97,273.98,256.395,1606194000000,30802
48,1339121.0,273.705,266.5,275.97,279.58,265.13,1606280400000,26350
49,1104474.0,290.545,282.72,288.23,298.81,282.0,1606453200000,24369
50,3788687.0,278.5383,293.98,277.98,296.4,269.0101,1606712400000,41771
51,974980.0,274.2178,281.33,274.07,282.78,269.2291,1606798800000,22519
52,1251531.0,270.4983,262.5,273.5,277.65,254.65,1606885200000,26534
53,826755.0,273.8192,275.62,272.33,278.9799,270.09,1606971600000,21115
54,737372.0,272.2568,269.78,271.97,276.2,267.24,1607058000000,17516
55,899485.0,277.5268,271.06,278.32,281.275,270.55,1607317200000,19168
