,v,vw,o,c,h,l,t,n
0,575804.0,113.5867,113.49,113.46,114.15,113.115,1600056000000,9628
1,556286.0,112.7913,113.75,112.4,113.825,112.28,1600142400000,13006
2,1135913.0,111.2679,111.66,110.82,112.66,110.3,1600228800000,17129
3,1184990.0,109.9286,110.42,109.98,111.18,108.85,1600315200000,13359
4,1071068.0,109.634,109.8,109.39,110.98,109.04,1600401600000,10757
5,1157268.0,109.924,108.87,109.79,111.15,108.1,1600660800000,14862
6,1148306.0,110.5806,110.14,109.88,111.88,109.62,1600747200000,15758
7,941782.0,108.9396,110.57,108.29,111.04,108.15,1600833600000,14318
8,775402.0,110.4914,108.55,110.87,111.34,108.15,1600920000000,12714
9,532893.0,111.8449,110.87,112.15,112.39,110.81,1601006400000,9775
10,721451.0,113.4749,112.86,113.24,114.28,112.63,1601265600000,12345
11,394183.0,112.9704,113.04,113.01,113.71,112.34,1601352000000,7904
12,1119870.0,115.3338,113.62,115.52,116.14,113.2,1601438400000,15794
13,718915.0,115.375,115.08,116.0,116.18,113.88,1601524800000,13301
14,522111.0,116.7608,115.75,116.47,117.62,115.65,1601611200000,10158
15,567878.0,116.9454,116.32,117.38,117.68,115.47,1601870400000,10057
16,718482.0,117.6357,117.38,117.5,118.75,116.785,1601956800000,10765
17,625869.0,117.2732,117.37,117.45,118.18,116.31,1602043200000,8990
18,615097.0,116.9783,118.0,117.13,118.19,116.48,1602129600000,9545
19,640021.0,118.282,117.39,118.68,118.75,116.62,1602216000000,10055
20,492814.0,119.7752,119.12,119.92,120.59,119.12,1602475200000,8346
21,467672.0,119.9811,119.92,120.09,120.925,119.18,1602561600000,7630
22,457610.0,119.4224,119.53,118.97,120.47,118.85,1602648000000,9697
23,458558.0,118.8076,118.62,118.86,119.29,118.01,1602734400000,7981
24,592681.0,118.2432,118.74,117.88,119.25,117.85,1602820800000,8870
25,656908.0,115.9637,117.75,115.21,118.25,115.1,1603080000000,11190
26,990066.0,114.5325,115.81,114.12,116.22,113.9801,1603166400000,11389
27,1172032.0,114.2606,113.49,114.4,114.95,112.52,1603252800000,11262
28,697789.0,115.4171,114.5,115.63,116.04,113.93,1603339200000,9557
29,417677.0,115.5583,116.16,115.54,116.58,114.88,1603425600000,6929
30,677189.0,114.9703,114.84,115.1,115.535,114.15,1603684800000,10516
31,755240.0,114.0479,115.21,113.1,115.91,113.03,1603771200000,13220
32,848549.0,111.8483,112.04,111.24,113.48,111.12,1603857600000,12954
33,1253025.0,111.344,111.26,111.28,112.88,109.85,1603944000000,16621
34,1305194.0,111.9758,111.06,112.2,113.1,110.745,1604030400000,18281
35,1208669.0,116.0235,113.71,116.66,117.04,112.77,1604293200000,20920
36,917249.0,117.3301,117.24,116.98,118.83,116.52,1604379600000,13827
37,770220.0,115.7316,117.38,114.58,118.64,114.5,1604466000000,10731
38,698299.0,116.4082,115.6,115.8,118.385,115.4,1604552400000,13302
39,607395.0,116.6253,116.02,116.62,117.81,115.58,1604638800000,10257
40,991109.0,115.0077,117.19,113.26,117.81,112.93,1604898000000,16991
