,v,vw,o,c,h,l,t,n
0,20618235.0,18.7727,18.79,18.73,19.34,18.525,1600401600000,58048
1,16253193.0,17.3596,18.1,17.27,18.19,17.09,1600660800000,83104
2,8997858.0,17.3759,17.41,17.33,17.735,17.17,1600747200000,45262
3,10790847.0,16.9058,17.28,16.61,17.62,16.59,1600833600000,55440
4,18029859.0,16.5166,16.34,16.62,17.0791,15.93,1600920000000,89947
5,16453477.0,16.027,16.28,15.92,16.41,15.82,1601006400000,69521
6,12085849.0,16.5497,16.36,16.45,16.8486,16.26,1601265600000,62805
7,15957679.0,15.7212,16.35,15.6,16.4,15.47,1601352000000,83715
8,15673967.0,15.6872,15.81,15.56,16.02,15.4238,1601438400000,76377
9,18031951.0,15.0836,15.36,15.01,15.527,14.88,1601524800000,78222
10,14872328.0,15.3851,14.57,15.57,15.725,14.52,1601611200000,66456
11,12330736.0,15.8749,15.77,16.07,16.13,15.6301,1601870400000,62951
12,13367933.0,16.1054,16.44,15.67,16.56,15.64,1601956800000,64728
13,10497412.0,15.8724,15.72,15.95,16.03,15.58,1602043200000,51657
14,10996425.0,16.2721,16.12,16.43,16.44,15.94,1602129600000,49747
15,11845749.0,16.2712,16.58,16.23,16.6,16.05,1602216000000,61606
16,12575985.0,15.9761,16.03,16.12,16.2,15.76,1602475200000,54013
17,14223866.0,15.7459,15.96,15.73,16.14,15.515,1602561600000,62798
18,15991762.0,16.1138,15.75,15.95,16.51,15.735,1602648000000,69482
19,15905513.0,16.1271,15.75,16.42,16.44,15.55,1602734400000,78000
20,40439040.0,15.1867,15.62,14.97,16.26,14.9,1602820800000,159224
21,18550249.0,15.1537,15.16,15.01,15.44,14.91,1603080000000,88463
22,20928676.0,15.497,15.24,15.49,15.65,15.18,1603166400000,94192
23,18720887.0,15.1938,15.36,15.01,15.5869,14.98,1603252800000,89335
24,16066864.0,15.217,15.06,15.3,15.42,14.91,1603339200000,78183
25,14022819.0,15.4446,15.46,15.4,15.78,15.17,1603425600000,70362
26,17582721.0,15.0798,15.15,15.17,15.26,14.86,1603684800000,87043
27,14873719.0,14.9892,15.11,15.09,15.23,14.745,1603771200000,72123
28,18381638.0,14.3891,14.5,14.18,14.75,14.15,1603857600000,84739
29,16496330.0,14.2515,13.9,14.45,14.49,13.7,1603944000000,76692
30,17611903.0,14.6697,14.41,14.94,14.96,14.32,1604030400000,83111
31,18628709.0,15.4333,15.12,15.58,15.8,14.78,1604293200000,89300
32,13176972.0,15.7691,15.92,15.76,16.045,15.56,1604379600000,62472
33,17834355.0,15.917,15.7,15.97,16.2,15.07,1604466000000,79021
34,15187032.0,15.8055,15.9,15.52,16.1319,15.5,1604552400000,78048
35,10469417.0,15.3443,15.49,15.22,15.83,15.1382,1604638800000,51541
36,32806327.0,18.0342,17.02,18.25,18.76,16.93,1604898000000,150868
37,19469125.0,18.3272,18.77,18.31,18.91,18.0,1604984400000,99818
38,16543521.0,17.7716,18.5,17.71,18.51,17.4,1605070800000,73407
39,10972618.0,17.4594,17.35,17.3,17.88,17.16,1605157200000,58922
40,9422900.0,17.9039,17.44,18.0,18.11,17.42,1605243600000,53417
41,23339722.0,19.5693,18.89,20.04,20.05,18.56,1605502800000,102263
42,14257430.0,19.7681,19.44,20.09,20.1,19.27,1605589200000,73376
43,15651045.0,20.1548,20.18,19.97,20.565,19.92,1605675600000,74069
44,12008579.0,20.101,19.69,20.46,20.5,19.55,1605762000000,63637
