,v,vw,o,c,h,l,t,n
0,346183.0,148.7171,147.15,148.71,150.52,146.15,1600315200000,7692
1,482047.0,148.1989,148.38,147.53,151.21,147.43,1600401600000,6561
2,288331.0,140.8107,144.12,140.92,144.99,139.25,1600660800000,7117
3,368348.0,143.6344,140.77,144.49,144.77,140.77,1600747200000,7469
4,400480.0,142.0957,144.8,141.09,146.26,140.685,1600833600000,7249
5,264337.0,141.1914,140.82,141.39,143.27,138.94,1600920000000,6478
6,259403.0,141.9877,140.07,142.04,143.11,140.07,1601006400000,5094
7,340166.0,146.3201,144.67,146.71,147.57,143.27,1601265600000,7244
8,246982.0,145.5981,147.21,145.4,147.7,144.41,1601352000000,6244
9,634716.0,147.1739,146.45,147.13,148.985,145.7,1601438400000,11580
10,538915.0,145.4241,147.82,145.12,150.0,144.11,1601524800000,9414
11,595245.0,146.5355,142.15,148.12,148.75,142.15,1601611200000,10794
12,310315.0,151.2467,149.89,151.63,152.05,149.07,1601870400000,6497
13,864054.0,157.5312,152.58,156.05,161.47,151.97,1601956800000,12872
14,404381.0,158.8431,157.99,158.4,161.31,157.56,1602043200000,8130
15,282584.0,158.1448,158.3,158.39,159.2,156.84,1602129600000,5885
16,272161.0,157.6948,159.15,157.21,160.23,156.78,1602216000000,5441
17,262895.0,158.3903,157.99,157.76,159.73,157.165,1602475200000,4939
18,288731.0,155.7903,157.2,155.47,158.6,154.6249,1602561600000,5957
19,254439.0,156.5974,156.1,156.83,157.55,154.77,1602648000000,5929
20,340021.0,157.7852,154.43,157.97,159.825,153.47,1602734400000,6541
21,434384.0,159.9176,158.86,159.16,161.35,158.33,1602820800000,7479
22,670153.0,156.6692,155.91,155.96,158.92,154.77,1603080000000,10868
23,451955.0,155.8475,156.39,154.93,158.11,153.87,1603166400000,9041
24,640522.0,155.7307,154.89,155.27,156.84,154.01,1603252800000,12171
25,1932383.0,167.2214,167.45,169.45,169.99,162.13,1603339200000,25684
26,669326.0,169.5988,170.92,169.39,171.89,168.08,1603425600000,12657
27,553179.0,164.9117,167.71,164.25,168.75,163.54,1603684800000,13500
28,605954.0,159.2871,163.28,158.42,163.585,157.54,1603771200000,13446
29,565356.0,154.8555,155.7,154.68,156.57,153.35,1603857600000,13179
30,534859.0,155.6698,153.91,155.91,157.1,153.4,1603944000000,12145
31,447296.0,156.4496,155.89,157.53,158.16,153.27,1604030400000,9991
32,427608.0,163.016,159.65,163.81,164.22,159.075,1604293200000,9274
33,602741.0,164.0868,165.6,163.92,166.6,162.2,1604379600000,10885
34,472014.0,158.9855,161.3,157.63,161.3,156.7281,1604466000000,9613
35,422233.0,161.6701,159.09,161.71,163.435,158.55,1604552400000,8845
36,334387.0,162.5887,163.06,162.65,164.36,160.765,1604638800000,6350
37,835921.0,171.5113,170.3,168.26,178.66,167.89,1604898000000,13948
38,429775.0,172.1194,168.31,172.67,173.72,167.62,1604984400000,9370
