,v,vw,o,c,h,l,t,n
0,5063300.0,72.1285,71.47,71.88,74.24,70.875,1600315200000,39391
1,6123079.0,70.3921,71.44,69.83,71.9,69.59,1600401600000,37929
2,7100376.0,65.3363,67.07,64.87,67.22,64.3525,1600660800000,64528
3,6209700.0,65.475,65.02,65.11,67.07,64.75,1600747200000,44659
4,4483622.0,64.059,65.58,62.89,66.8,62.72,1600833600000,42877
5,5397650.0,62.1501,62.05,62.83,64.16,59.6,1600920000000,46920
6,2653971.0,63.1065,62.0,63.58,63.93,62.0,1601006400000,27271
7,3867588.0,65.7356,65.8,65.79,66.535,64.8,1601265600000,35657
8,3849995.0,63.9421,65.33,63.99,65.34,62.9,1601352000000,38696
9,4218466.0,64.7981,64.15,64.68,66.12,63.7,1601438400000,35253
10,3449452.0,65.5355,64.84,66.53,66.56,64.25,1601524800000,33712
11,5399471.0,67.1386,64.13,68.2,68.5,64.05,1601611200000,40353
12,3746444.0,68.3714,68.71,68.76,69.33,67.42,1601870400000,34458
13,6561117.0,70.5022,69.75,69.98,72.63,69.01,1601956800000,57540
14,4203515.0,71.2564,70.32,71.03,72.16,69.8,1602043200000,37319
15,3764173.0,70.2108,70.83,70.07,71.23,69.4,1602129600000,37809
16,3859951.0,68.3594,70.14,67.72,70.3457,67.51,1602216000000,37882
17,3082352.0,67.5338,67.64,68.02,68.11,66.7,1602475200000,29902
18,3750978.0,66.0209,66.97,65.82,67.33,65.47,1602561600000,39519
19,2810845.0,65.8674,65.89,65.72,66.54,65.26,1602648000000,31189
20,2949312.0,65.4892,64.71,65.12,66.52,64.59,1602734400000,30362
21,4041280.0,64.812,65.53,64.82,65.7012,64.15,1602820800000,39163
22,3627179.0,64.3383,65.0,63.91,65.35,63.84,1603080000000,35117
23,2942199.0,65.0184,64.89,64.46,66.08,64.43,1603166400000,28414
24,3187758.0,64.228,64.12,64.21,65.01,63.34,1603252800000,29073
25,2929330.0,65.5881,64.01,66.35,66.54,63.9,1603339200000,25908
26,3251209.0,66.7222,66.75,66.88,67.8,65.9221,1603425600000,29451
27,3893125.0,64.619,66.01,64.68,66.1,63.87,1603684800000,37934
28,3822788.0,62.8254,64.11,61.98,64.58,61.95,1603771200000,45146
29,6691766.0,60.5154,60.27,60.76,61.63,59.35,1603857600000,61399
30,5892423.0,63.1194,60.69,63.41,64.11,60.17,1603944000000,50879
31,3728102.0,62.1699,62.98,62.81,63.62,60.83,1604030400000,36189
32,3717885.0,64.1978,62.96,64.71,64.88,62.59,1604293200000,35819
33,3590381.0,65.3377,65.6,64.99,66.0,64.4,1604379600000,34739
34,4465146.0,63.3301,64.9,62.28,64.91,62.12,1604466000000,39329
35,3324728.0,63.4806,62.93,63.47,64.1,62.455,1604552400000,31249
