,v,vw,o,c,h,l,t,n
0,11443727.0,17.3278,17.56,17.36,17.715,17.03,1600401600000,47252
1,7572315.0,16.686,17.3,16.51,17.3,16.42,1600660800000,47671
2,4241041.0,16.4962,16.52,16.62,16.74,16.24,1600747200000,32613
3,4985211.0,16.9809,16.79,16.59,17.56,16.58,1600833600000,39020
4,5341826.0,16.3602,16.37,16.34,16.67,15.91,1600920000000,40532
5,4575380.0,16.2765,16.06,16.36,16.48,15.88,1601006400000,32368
6,5752344.0,16.7016,16.69,16.58,16.95,16.49,1601265600000,37835
7,5888935.0,15.7272,16.51,15.5,16.52,15.48,1601352000000,40251
8,5298530.0,15.6883,15.55,15.63,15.91,15.45,1601438400000,40537
9,5101784.0,15.8947,15.71,15.9,16.19,15.65,1601524800000,35433
10,4475078.0,15.9453,15.23,16.15,16.29,15.23,1601611200000,33686
11,6343160.0,16.8249,16.39,16.97,16.98,16.39,1601870400000,40184
12,7510268.0,17.2757,17.31,16.83,17.82,16.815,1601956800000,49417
13,5277004.0,17.745,17.27,17.87,18.015,17.27,1602043200000,35120
14,6521975.0,18.5213,18.17,18.67,18.75,18.0,1602129600000,47238
15,5407012.0,18.8377,18.97,18.82,19.28,18.62,1602216000000,37529
16,5102358.0,19.1612,18.9,19.2,19.29,18.8,1602475200000,32292
17,5355010.0,18.9314,19.08,18.92,19.22,18.715,1602561600000,33233
18,3127024.0,19.0065,19.0,19.0,19.19,18.795,1602648000000,23533
19,4199140.0,19.2765,18.84,19.54,19.6,18.63,1602734400000,31395
20,4628375.0,19.5752,19.54,19.53,19.74,19.34,1602820800000,28081
21,6334468.0,20.1815,19.6,20.06,20.69,19.55,1603080000000,39570
22,5710925.0,20.622,20.2602,20.48,20.835,20.2602,1603166400000,45243
23,6550487.0,20.4688,20.48,20.48,20.74,20.07,1603252800000,32443
24,6969490.0,21.3573,20.6,21.85,21.91,20.5649,1603339200000,42850
25,6507794.0,21.447,22.15,21.43,22.28,21.19,1603425600000,39673
26,6162332.0,21.0433,21.25,21.27,21.4,20.64,1603684800000,41273
27,5775639.0,21.4785,21.28,21.42,22.06,21.2,1603771200000,40106
28,8398563.0,21.1327,20.75,21.31,21.5,20.73,1603857600000,59710
29,14319907.0,22.7046,23.83,22.73,23.85,21.64,1603944000000,94016
30,10777729.0,22.2975,22.72,22.23,22.84,21.97,1604030400000,72811
31,9012548.0,23.5353,22.57,23.63,24.18,22.47,1604293200000,69036
32,6594355.0,23.8956,23.83,24.06,24.135,23.36,1604379600000,47172
33,5424720.0,23.9973,23.74,23.84,24.46,23.26,1604466000000,46028
34,6195397.0,24.7409,24.5,24.71,25.17,24.45,1604552400000,47530
35,4357872.0,24.4112,24.51,24.32,24.92,24.12,1604638800000,39061
36,7820447.0,25.6796,26.65,24.93,27.99,24.72,1604898000000,58734
37,5851759.0,25.6486,25.045,26.0,26.03,24.82,1604984400000,45017
38,4881898.0,25.769,26.95,25.34,26.95,25.33,1605070800000,38672
39,4936228.0,25.3349,25.07,25.28,25.795,24.88,1605157200000,31501
40,3260495.0,26.1964,25.74,26.34,26.48,25.695,1605243600000,26810
41,6270786.0,27.2383,27.54,27.29,27.61,26.86,1605502800000,44591
42,4520549.0,27.9259,26.99,28.46,28.46,26.78,1605589200000,33255
43,3800474.0,28.3787,28.51,27.98,28.79,27.96,1605675600000,28911
44,3489192.0,28.1506,27.75,28.4,28.46,27.62,1605762000000,29198
