,v,vw,o,c,h,l,t,n
0,1638501.0,127.9716,127.01,127.97,128.98,127.01,1600401600000,16216
1,1649924.0,124.7628,126.5,124.74,127.78,122.79,1600660800000,23905
2,1408453.0,124.5665,124.59,125.48,126.16,123.01,1600747200000,17334
3,1219906.0,124.0769,126.11,122.89,126.52,122.731,1600833600000,20131
4,1151638.0,123.3325,123.11,123.43,124.54,121.5752,1600920000000,19249
5,768703.0,124.7341,122.94,125.22,125.8825,122.62,1601006400000,14283
6,1127562.0,128.4653,127.26,128.55,129.08,126.915,1601265600000,16672
7,1086338.0,127.763,127.63,127.49,129.365,126.99,1601352000000,17231
8,1598213.0,128.5582,129.1,128.22,130.02,127.11,1601438400000,24968
9,1007686.0,128.192,128.4,128.04,129.26,127.45,1601524800000,17650
10,1295602.0,128.7842,126.83,129.09,130.08,125.905,1601611200000,23533
11,978245.0,132.7678,130.34,133.51,133.64,130.27,1601870400000,17032
12,934009.0,134.8267,134.15,133.87,137.1027,132.74,1601956800000,18666
13,845223.0,136.8872,135.04,137.23,137.685,135.04,1602043200000,14292
14,886948.0,140.0618,138.84,140.83,140.85,137.24,1602129600000,15058
15,916499.0,141.7369,141.09,142.21,142.51,140.65,1602216000000,14530
16,1189787.0,143.1624,142.6,143.09,144.475,142.21,1602475200000,17992
17,1193154.0,144.2704,143.1,144.18,145.13,142.27,1602561600000,18485
18,1174546.0,145.2497,145.04,144.65,146.73,144.51,1602648000000,17944
19,1157868.0,145.7992,143.21,146.89,146.97,142.46,1602734400000,18836
20,2200864.0,147.3148,147.4,147.03,148.7,146.63,1602820800000,19400
21,1490690.0,145.1232,147.91,144.27,148.88,143.98,1603080000000,17815
22,1040743.0,147.2049,145.93,146.74,148.45,145.93,1603166400000,18658
23,762140.0,146.2949,146.11,145.96,148.17,145.5792,1603252800000,11621
24,598814.0,145.8337,146.24,146.36,146.7,144.375,1603339200000,12417
25,922115.0,147.5519,147.83,148.1,148.17,146.14,1603425600000,14914
26,928876.0,144.4884,146.16,145.03,146.6054,142.8,1603684800000,14218
27,1045930.0,143.4049,145.67,142.3,145.68,142.23,1603771200000,17281
28,1321849.0,137.4316,139.58,137.14,141.03,136.19,1603857600000,19909
29,1986807.0,131.5466,136.51,131.44,136.51,128.77,1603944000000,27575
30,1768547.0,126.5064,129.52,126.66,132.01,124.94,1604030400000,24724
