,v,vw,o,c,h,l,t,n
0,248700624.0,133.7231,126.9833,139.8733,140.0,124.4333,1600056000000,1327699
1,291894684.0,148.4836,145.52,149.92,153.98,143.5667,1600142400000,1624940
2,217640280.0,148.9117,146.6233,147.2533,152.5967,145.1033,1600228800000,1111981
3,230334759.0,141.7584,138.5333,141.1433,145.93,136.0,1600315200000,1187820
4,259196157.0,147.2972,149.3133,147.3833,150.3333,142.9333,1600401600000,1244883
5,328430400.0,146.5534,151.0433,149.7967,151.8933,135.69,1600660800000,1798875
6,238742385.0,142.05,143.2,141.41,145.92,139.2,1600747200000,1406579
7,284734878.0,130.565,135.0533,126.7867,137.3833,125.2934,1600833600000,1813272
8,289642233.0,127.7841,121.2667,129.2633,133.1667,117.1,1600920000000,1444239
9,201625377.0,134.2033,131.1567,135.78,136.2441,130.4333,1601006400000,1013848
10,149125083.0,140.202,141.54,140.4,142.6933,138.5167,1601265600000,861901
11,151024212.0,140.2521,138.6667,139.69,142.8333,137.2,1601352000000,832455
12,144424698.0,142.9583,140.44,143.0033,144.6433,140.1567,1601438400000,805604
13,152224362.0,147.4221,146.92,149.3867,149.6267,144.8067,1601524800000,871456
14,214290075.0,142.0172,140.4633,138.3633,146.3767,138.3333,1601611200000,1312381
15,134168358.0,141.8175,141.1167,141.8933,144.5467,139.7767,1601870400000,760364
16,147438777.0,139.3232,141.2633,137.9933,142.9266,135.35,1601956800000,868258
17,129383127.0,141.0787,139.9567,141.7667,143.3,137.9483,1602043200000,697608
18,121263348.0,144.1018,146.1467,141.9733,146.3333,141.7667,1602129600000,653966
19,86776968.0,143.9655,143.3767,144.6667,144.8633,142.1534,1602216000000,480862
20,116373399.0,147.7383,147.3333,147.4333,149.58,146.1933,1602475200000,682638
21,103390995.0,148.1748,147.7833,148.8833,149.63,145.5333,1602561600000,602360
22,144136182.0,153.1752,149.9267,153.7667,155.3,149.1167,1602648000000,839944
23,107017062.0,149.583,150.1033,149.6267,152.19,147.5,1602734400000,644704
24,98247612.0,149.2678,151.48,146.5567,151.9833,146.2833,1602820800000,576318
25,108863529.0,145.9876,148.7467,143.61,149.0,142.9567,1603080000000,635260
26,94968861.0,141.3404,143.9167,140.6467,143.9167,139.6834,1603166400000,649239
27,97111383.0,142.7614,140.9,140.88,144.3167,140.4167,1603252800000,635626
28,119979573.0,144.007,147.3067,141.93,148.41,141.5033,1603339200000,696429
29,100834140.0,138.2761,140.6133,140.21,140.962,135.7934,1603425600000,716931
30,84717483.0,139.1108,137.21,140.0933,141.92,136.6667,1603684800000,531452
31,68059518.0,141.6161,141.2533,141.56,143.5,140.0333,1603771200000,405454
32,76264227.0,136.9852,138.8267,135.34,139.5333,135.3333,1603857600000,600776
33,67815924.0,137.4155,136.6533,136.9433,139.3533,135.4867,1603944000000,458825
34,127762917.0,129.8601,135.6318,129.3467,135.8638,126.37,1604030400000,997520
35,87063354.0,132.8691,131.3333,133.5033,135.66,130.7667,1604293200000,512507
36,103000050.0,140.211,136.5767,141.3,142.59,135.5633,1604379600000,607840
37,96429171.0,141.243,143.54,140.3267,145.1333,139.0333,1604466000000,574859
38,85243569.0,144.4468,142.7667,146.03,146.6667,141.3334,1604552400000,526073
39,65118042.0,143.2047,145.3667,143.3167,145.5233,141.4267,1604638800000,390722
40,104499075.0,145.9364,146.5,140.42,150.8333,140.3333,1604898000000,673355
41,90852672.0,136.0575,140.03,136.7867,140.03,132.01,1604984400000,670829
42,52073166.0,138.499,138.8167,139.0433,139.565,136.86,1605070800000,335035
43,59521500.0,138.4626,138.35,137.2533,141.0,136.5067,1605157200000,395239
44,59491053.0,135.3816,136.95,136.1667,137.5106,133.8867,1605243600000,500950
45,80515905.0,140.6655,136.31,136.03,137.4833,134.6956,1605502800000,582442
46,183501468.0,149.0997,153.39,147.2033,154.0,144.3367,1605589200000,1216399
47,234124872.0,158.4579,149.45,162.2133,165.3333,147.8334,1605675600000,1470161
48,187426038.0,166.595,164.0,166.4233,169.5371,162.5233,1605762000000,1129578
49,98528766.0,164.7865,165.9967,163.2033,167.5,163.02,1605848400000,645696
50,150780912.0,173.015,167.8333,173.95,175.3333,167.2633,1606107600000,906048
51,160905282.0,182.2121,180.1333,185.1267,186.6633,175.4,1606194000000,1051179
52,146776056.0,187.3439,183.3533,191.3333,191.3333,181.79,1606280400000,924430
53,112683234.0,196.7881,193.72,195.2533,199.5933,192.8167,1606453200000,783377
54,188451156.0,193.8852,200.7367,189.2,202.6,184.8367,1606712400000,1282794
55,121146696.0,194.5761,199.1967,194.92,199.2833,190.6833,1606798800000,793955
56,143325459.0,187.3456,185.48,189.6067,190.5133,180.4033,1606885200000,1016392
57,127654275.0,197.2243,196.6733,197.7933,199.6567,194.1433,1606971600000,843502
58,88203942.0,197.873,197.0033,199.68,199.68,195.1667,1607058000000,593411
59,168920529.0,210.2727,201.6399,213.92,216.2619,201.0167,1607317200000,1092382
60,192193917.0,212.1061,208.5017,216.6267,217.0933,206.1667,1607403600000,1202191
61,213873570.0,206.867,217.8967,201.4933,218.1067,196.0,1607490000000,1678942
62,201236352.0,202.6041,191.4567,209.0233,209.25,188.78,1607576400000,1343727
63,139424922.0,203.5031,205.0033,203.33,208.0,198.9333,1607662800000,882489
64,155859900.0,210.9563,206.3333,213.2767,214.25,203.4,1607922000000,934540
65,135670602.0,212.0123,214.4267,211.0833,215.6333,207.9333,1608008400000,809045
66,126284172.0,206.6367,209.41,207.59,210.8333,201.6667,1608094800000,797184
67,168795036.0,214.1404,209.3967,218.6333,219.6067,206.5,1608181200000,1032509
68,666376995.0,226.6212,222.9667,231.6667,231.6667,209.5133,1608267600000,2089675
69,174126888.0,219.6343,222.08,216.62,222.8333,215.3567,1608526800000,1226684
70,155584782.0,210.5611,216.0,213.4467,216.6267,204.7433,1608613200000,1150487
71,99518916.0,214.0523,210.7333,215.3267,217.1666,207.5234,1608699600000,643938
72,68596704.0,219.5027,214.33,220.59,222.03,213.6667,1608786000000,465757
73,96834675.0,223.2133,224.8367,221.23,227.1333,220.2667,1609131600000,627130
74,68732433.0,220.8834,220.3333,221.9967,223.3,218.3333,1609218000000,465752
75,128537958.0,228.0566,224.0,231.5933,232.2,222.7868,1609304400000,767889
76,148949253.0,235.8531,233.33,235.2233,239.5733,230.3733,1609390800000,915316
77,145911486.0,243.7088,239.82,243.2567,248.1633,239.0632,1609736400000,952154
78,96456495.0,244.6815,241.22,245.0367,246.9467,239.7333,1609822800000,681715
79,134095740.0,254.09,252.83,251.9933,258.0,249.7,1609909200000,962690
80,154495407.0,266.8647,259.21,272.0133,272.33,258.4,1609995600000,1164677
81,225164250.0,288.8266,285.3333,293.34,294.83,279.4633,1610082000000,1799619
82,178660275.0,277.3904,283.1333,270.3967,284.81,267.8741,1610341200000,1652623
83,138811761.0,284.4893,277.0,283.1467,289.3333,275.78,1610427600000,1006723
84,99937155.0,282.1712,284.2533,284.8033,286.8233,277.3333,1610514000000,776362
85,93797238.0,283.8215,281.13,281.6667,287.6667,279.5833,1610600400000,695464
86,116332788.0,279.4335,284.0,275.3867,286.6333,273.0333,1610686800000,909529
87,76098564.0,280.2415,279.2667,281.5167,283.3333,277.6667,1611032400000,611563
88,76996599.0,283.1959,286.2467,283.4833,286.5,279.0933,1611118800000,627380
89,60010899.0,282.374,285.0,281.6633,285.24,280.4734,1611205200000,486207
90,60198735.0,279.5303,278.1033,282.2133,282.6667,276.2067,1611291600000,552876
91,123142026.0,291.1167,285.0,293.6,300.1333,279.6067,1611550800000,971891
92,69274509.0,295.2768,297.1267,294.3633,298.6333,290.5333,1611637200000,607297
93,81821517.0,289.6344,290.1167,288.0533,297.1667,286.22,1611723600000,896046
94,79127121.0,277.1157,273.3333,278.4767,282.6667,267.0,1611810000000,935676
95,104969412.0,268.3563,276.6668,264.51,280.8033,260.0333,1611896400000,1315003
96,76137696.0,274.4675,271.43,279.9367,280.6667,265.1867,1612155600000,817439
97,73038639.0,289.947,281.56,290.93,293.5,280.7335,1612242000000,712167
98,54931530.0,287.048,292.34,284.8967,292.6933,284.3549,1612328400000,565773
99,47437983.0,281.511,285.0,283.33,285.5,277.8067,1612414800000,488967
100,55699797.0,284.184,281.6667,284.0767,288.2567,279.6567,1612501200000,503358
101,60484350.0,288.5336,289.89,287.8067,292.59,284.9167,1612760400000,577764
102,45453543.0,283.0744,285.04,283.1533,286.6,280.5833,1612846800000,537349
103,108645195.0,271.5815,281.2117,268.2733,281.6067,266.6733,1612933200000,1269207
104,64868259.0,271.2403,270.8133,270.5533,276.6266,267.2417,1613019600000,634538
105,70779939.0,266.9702,267.0867,272.04,272.4433,261.7769,1613106000000,822149
106,59406612.0,267.877,272.6667,265.4067,273.6667,264.1467,1613451600000,703334
107,78176661.0,260.4124,259.6967,266.05,266.6133,254.0033,1613538000000,925842
108,53861094.0,262.1562,260.3,262.46,264.8967,258.7567,1613624400000,563097
109,56874765.0,261.9082,265.0,260.4333,265.5966,259.1233,1613710800000,618579
110,111790428.0,246.285,254.2133,238.1667,256.1667,236.7333,1613970000000,1355564
111,199814007.0,225.1602,220.71,232.9467,237.87,206.3333,1614056400000,2040480
112,110135100.0,240.6702,237.2833,247.34,248.3333,231.39,1614142800000,1004863
113,117071565.0,233.8999,242.05,227.4067,245.7355,223.5267,1614229200000,1292751
114,123267519.0,226.8575,233.3333,225.1667,235.5667,219.8367,1614315600000,1141064
115,81408606.0,235.6278,230.0367,239.4767,290.6667,228.35,1614574800000,820200
116,71196474.0,234.0729,239.4267,228.8133,240.37,228.3333,1614661200000,842209
117,90548880.0,225.2051,229.33,217.7333,233.5667,217.235,1614747600000,1046906
118,197758590.0,208.6426,218.6,207.1467,291.3133,200.0,1614834000000,2044214
119,268137297.0,194.5849,208.6867,199.3167,209.2806,179.83,1614920400000,2557905
120,155360874.0,195.5997,200.1833,187.6667,206.7083,186.2633,1615179600000,1582492
121,202569984.0,215.0993,202.7267,224.5267,226.03,198.4033,1615266000000,1857650
122,181815615.0,227.9234,233.4333,222.6867,239.2833,218.3533,1615352400000,1645340
123,108761676.0,230.8124,233.1333,233.2,234.1667,225.7267,1615438800000,1025553
124,100751520.0,227.8066,223.3333,231.2433,231.6267,222.0465,1615525200000,1009438
125,88269744.0,234.0641,231.3633,235.98,237.7267,228.0133,1615780800000,874724
126,96587016.0,230.4953,234.45,225.6267,235.9733,223.6667,1615867200000,930900
127,121117359.0,226.593,218.9567,233.9367,234.5767,217.0033,1615953600000,1015366
128,100107066.0,223.918,228.0967,217.72,229.7433,217.3333,1616040000000,1017964
129,128624754.0,215.2107,215.5333,218.29,219.0767,208.2067,1616126400000,1057774
130,118536663.0,228.6829,228.1967,223.3333,233.2067,222.9167,1616385600000,1058258
131,91475610.0,222.6259,225.2567,220.72,225.9333,219.17,1616472000000,787145
132,101355102.0,216.7368,222.6367,210.09,222.6733,210.0367,1616558400000,919134
133,117666018.0,209.9502,204.3333,213.4633,215.1667,203.1667,1616644800000,958369
134,101505216.0,206.3174,213.9567,206.2367,214.6067,199.9633,1616731200000,1107680
135,85907835.0,202.3112,205.2133,203.7633,205.4933,198.6733,1616990400000,941326
136,118297077.0,205.9456,200.5833,211.8733,212.5533,197.0033,1617076800000,890515
137,99997239.0,219.8449,215.54,222.6433,224.0,213.7033,1617163200000,814050
138,105895134.0,225.299,229.4567,220.5833,230.8068,219.8067,1617249600000,874619
139,125443290.0,232.4205,235.9033,230.35,236.0533,228.2333,1617595200000,1056414
140,84815367.0,230.112,230.1,230.54,232.1833,227.1233,1617681600000,658749
141,78927816.0,226.8012,229.0,223.6567,230.46,222.6133,1617768000000,590489
142,71472537.0,227.5535,225.7933,227.9333,229.85,223.8817,1617854400000,565979
143,64311261.0,225.1192,225.9233,225.6733,226.99,223.1433,1617940800000,610260
144,87402510.0,232.7056,228.5667,233.9933,234.9333,227.3633,1618200000000,766941
145,133695849.0,247.3963,237.5667,254.1067,254.3333,236.8867,1618286400000,1162424
146,147039441.0,251.6599,256.9,244.0767,260.2633,242.6767,1618372800000,1254523
147,83546550.0,244.2043,247.7,246.2833,247.8967,240.4367,1618459200000,723297
148,83938044.0,245.5299,242.8833,246.5933,249.8033,241.5333,1618545600000,735154
149,118960536.0,236.2648,239.8667,238.21,241.8,230.6,1618804800000,1003189
150,106767639.0,240.7136,239.14,239.6633,245.75,236.895,1618891200000,823307
151,93646542.0,241.5128,234.9233,248.04,248.28,232.6667,1618977600000,749372
152,106770765.0,244.9469,247.1667,239.8967,251.2567,239.3467,1619064000000,861046
153,84641139.0,242.9717,239.9333,243.1333,245.7867,238.4867,1619150400000,629208
154,93114885.0,245.5681,247.0,246.0667,249.7667,244.2018,1619409600000,877965
155,88310985.0,237.0286,239.32,234.9133,241.3333,234.45,1619496000000,907369
156,66663141.0,233.0145,232.1367,231.4667,236.1667,231.2,1619582400000,694144
157,86536347.0,227.0697,233.17,225.6667,234.0833,222.8334,1619668800000,899789
158,122276166.0,232.9178,222.53,236.48,238.49,222.0467,1619755200000,1014027
159,81129429.0,230.0541,234.6,228.3,235.3333,226.8333,1620014400000,761158
160,89200557.0,222.4961,226.3133,224.5333,227.8155,219.2337,1620100800000,872719
161,65705682.0,224.8621,227.02,223.6467,228.4318,222.4467,1620187200000,564901
162,83326827.0,221.038,226.92,221.18,227.0067,216.6667,1620273600000,714543
163,70407516.0,224.0625,221.9333,224.1233,230.0,220.0733,1620360000000,582434
