,v,vw,o,c,h,l,t,n
0,6478373.0,37.8071,37.68,37.89,38.15,37.45,1600315200000,43018
1,8806373.0,37.6569,37.55,37.62,38.045,37.39,1600401600000,37510
2,8192500.0,36.184,36.68,36.16,37.179,35.62,1600660800000,61287
3,7299541.0,35.6022,36.26,35.59,36.4,35.32,1600747200000,49667
4,6712675.0,35.1103,35.81,34.5,36.23,34.49,1600833600000,48339
5,7028400.0,34.7028,34.68,34.73,35.32,34.17,1600920000000,48065
6,4642197.0,34.8578,34.4,35.16,35.225,34.21,1601006400000,38504
7,5686435.0,36.1279,35.88,36.1,36.4645,35.67,1601265600000,39178
8,5277748.0,35.2538,35.5,35.3,35.58,34.72,1601352000000,42233
9,9511657.0,35.8196,35.45,35.85,36.17,35.34,1601438400000,51951
10,4685032.0,35.8532,36.03,36.0,36.09,35.4392,1601524800000,39125
11,5466969.0,36.4552,35.37,36.77,36.95,35.25,1601611200000,44255
12,5565973.0,37.6478,37.32,37.73,37.915,37.11,1601870400000,39064
13,6128503.0,37.9671,38.15,37.42,38.795,37.27,1601956800000,51483
14,7760014.0,38.6985,38.05,38.79,39.06,37.99,1602043200000,53771
15,7053763.0,39.297,39.0,39.5,39.66,38.79,1602129600000,45004
16,6119915.0,39.1539,39.7,39.17,39.76,38.58,1602216000000,46219
17,7327149.0,39.5218,39.03,39.75,39.97,38.79,1602475200000,49768
18,6559275.0,38.7448,39.5,38.42,39.69,38.32,1602561600000,53280
19,7848758.0,38.6709,38.44,38.25,39.51,38.22,1602648000000,58941
20,6135197.0,38.941,38.2,39.14,39.35,38.06,1602734400000,46839
21,6025997.0,39.2259,39.25,39.14,39.695,38.625,1602820800000,43439
22,6170921.0,39.2394,39.35,38.97,39.7,38.86,1603080000000,43334
23,5756746.0,39.4166,39.31,39.21,39.83,39.15,1603166400000,44068
24,4975365.0,39.0058,39.01,38.82,39.36,38.78,1603252800000,40280
25,6404181.0,40.0928,38.77,40.48,40.55,38.77,1603339200000,50254
26,5822765.0,40.575,40.88,40.66,41.03,40.07,1603425600000,45208
27,6365530.0,39.821,40.18,39.96,40.27,39.38,1603684800000,49564
28,7009668.0,38.755,39.63,38.41,39.73,38.39,1603771200000,53436
29,8514549.0,37.4838,37.68,37.3,38.0283,37.18,1603857600000,69775
30,6698039.0,37.6064,37.14,38.07,38.33,36.57,1603944000000,64787
31,6268708.0,38.4299,37.99,38.95,38.96,37.76,1604030400000,51841
32,5982299.0,39.6811,39.45,39.74,40.12,38.77,1604293200000,51336
33,6275010.0,40.8278,40.54,40.82,41.09,40.4,1604379600000,52240
34,7608083.0,39.4682,39.68,39.0,40.28,38.465,1604466000000,69211
35,5598993.0,40.2442,38.96,40.46,40.65,38.96,1604552400000,44886
36,6285503.0,39.5913,40.82,39.17,40.93,38.903,1604638800000,50592
37,16256200.0,44.1046,42.97,44.16,44.99,42.49,1604898000000,130453
38,8155601.0,43.8861,44.49,44.14,44.49,43.225,1604984400000,66347
39,7748131.0,43.5049,44.03,43.75,44.15,42.81,1605070800000,62281
40,8077284.0,42.6611,42.96,42.81,43.195,42.13,1605157200000,62475
41,6014242.0,43.3417,43.25,43.31,43.59,43.02,1605243600000,43176
42,7772562.0,44.257,44.66,44.28,45.04,43.795,1605502800000,59172
43,7464229.0,43.9594,43.59,44.03,44.335,43.24,1605589200000,66330
44,7387107.0,43.835,44.27,43.26,44.76,43.22,1605675600000,57813
45,7574781.0,42.8756,42.98,43.24,43.305,42.34,1605762000000,60965
46,5436060.0,42.6663,43.05,42.66,43.17,42.415,1605848400000,41307
47,6022275.0,43.0965,43.27,43.09,43.37,42.82,1606107600000,49445
48,8790774.0,44.92,44.04,45.4,45.43,43.9175,1606194000000,73236
49,5465404.0,44.6773,44.9,44.68,44.9,44.37,1606280400000,46121
50,2871804.0,44.2653,44.7,44.21,44.74,44.05,1606453200000,25633
51,14927345.0,43.3491,44.29,43.21,44.58,43.07,1606712400000,63574
52,6915945.0,44.2767,44.31,44.25,44.56,44.005,1606798800000,57493
53,5867467.0,44.5326,44.19,44.68,44.83,43.96,1606885200000,44226
