,v,vw,o,c,h,l,t,n
0,2122333.0,68.1374,68.19,67.82,69.56,67.71,1600401600000,11575
1,2308739.0,63.3824,65.96,62.97,66.37,62.41,1600660800000,25798
2,1431632.0,62.1748,62.43,62.19,63.3,61.27,1600747200000,16507
3,1568920.0,61.3568,62.39,60.34,62.728,60.13,1600833600000,18700
4,880356.0,60.3812,60.16,60.37,61.44,59.28,1600920000000,13451
5,762708.0,60.4449,59.51,60.63,61.03,59.51,1601006400000,11954
6,857471.0,62.9795,61.89,62.96,63.54,61.805,1601265600000,11929
7,572781.0,62.5287,62.72,62.47,63.115,61.795,1601352000000,8909
8,1159629.0,62.3796,62.9,61.88,63.765,61.5,1601438400000,13564
9,1615040.0,60.9543,62.04,60.73,62.55,60.22,1601524800000,17915
10,817851.0,62.2949,59.33,62.72,63.38,59.33,1601611200000,14440
11,706382.0,64.252,63.43,64.43,64.57,63.34,1601870400000,10875
12,904392.0,64.8633,65.0,63.73,66.05,63.63,1601956800000,11634
13,758192.0,64.6002,64.31,64.62,65.27,63.9,1602043200000,10867
14,748446.0,64.5038,65.06,64.84,65.37,63.74,1602129600000,9763
15,991731.0,64.5591,65.58,64.51,65.77,63.87,1602216000000,10756
16,1468880.0,63.4305,64.78,62.96,64.98,62.91,1602475200000,16304
17,1469850.0,63.7948,62.86,63.98,64.47,62.63,1602561600000,18297
18,714573.0,64.5428,64.16,64.26,65.04,64.12,1602648000000,8902
19,963126.0,63.3501,63.28,63.51,63.95,62.64,1602734400000,12427
20,600544.0,63.6991,63.76,63.33,64.31,63.235,1602820800000,7020
21,872944.0,62.5999,63.44,62.1,63.99,61.96,1603080000000,11091
22,862375.0,63.2696,62.79,63.16,64.19,62.28,1603166400000,11579
23,841381.0,62.7177,62.98,62.1,63.795,62.08,1603252800000,11199
24,1180221.0,62.2957,62.4,62.42,62.63,61.75,1603339200000,13853
25,700286.0,62.5012,63.09,62.06,63.45,61.97,1603425600000,9057
26,920342.0,59.9772,61.19,60.27,61.3,59.09,1603684800000,12612
27,1014148.0,58.8564,60.01,58.61,60.15,58.51,1603771200000,15380
28,2897118.0,56.5278,57.0,56.17,57.783,55.83,1603857600000,25933
29,3278851.0,58.6464,59.4,58.75,59.6,56.17,1603944000000,30543
30,1792654.0,59.3209,58.62,59.3,60.0,58.0,1604030400000,19242
31,1783570.0,61.3097,60.45,61.68,62.03,59.8999,1604293200000,20125
32,1716966.0,64.9757,62.71,65.62,66.23,62.29,1604379600000,17653
33,2213002.0,63.1189,64.77,61.71,64.85,61.71,1604466000000,24491
34,1797897.0,63.0126,62.55,62.4,63.95,62.2,1604552400000,21269
35,2427968.0,61.4846,62.23,61.13,62.59,60.95,1604638800000,23504
36,4986700.0,68.9655,66.54,68.61,76.11,64.87,1604898000000,46114
37,3513664.0,68.97,68.93,69.01,69.69,67.985,1604984400000,28717
38,1043202.0,68.0975,69.54,68.11,69.54,67.17,1605070800000,14239
39,1393679.0,67.8314,67.27,67.93,68.47,67.01,1605157200000,20619
40,1976174.0,69.4657,68.86,69.59,70.09,68.53,1605243600000,20007
41,2389612.0,71.8655,72.5,71.57,72.9,70.89,1605502800000,20626
42,1277795.0,71.1675,70.44,71.39,71.8,69.94,1605589200000,13794
43,1688209.0,72.7182,71.69,72.63,73.29,71.27,1605675600000,17235
44,1045178.0,72.05,71.97,72.35,72.555,71.16,1605762000000,17345
45,1059926.0,70.9411,72.04,70.98,72.275,70.4,1605848400000,12926
46,816963.0,73.007,71.36,73.55,73.56,71.295,1606107600000,10213
47,2293842.0,76.2712,74.57,76.21,77.22,74.2101,1606194000000,22358
48,730378.0,74.4322,75.43,74.09,75.61,73.93,1606280400000,13529
49,701143.0,73.9138,73.73,73.82,74.43,73.25,1606453200000,8080
50,1522424.0,73.1936,73.3,73.3,73.63,72.39,1606712400000,13914
51,1626170.0,73.1876,74.8,72.3,74.84,72.2,1606798800000,14973
52,777776.0,72.4251,72.0,72.58,72.78,71.74,1606885200000,11093
53,787975.0,73.1101,73.02,73.13,73.53,72.52,1606971600000,10677
54,1042813.0,75.2598,73.85,75.53,75.63,73.85,1607058000000,13890
55,1559246.0,75.4215,75.48,75.68,75.88,74.7,1607317200000,18878
56,1728411.0,76.3413,75.56,76.51,76.87,75.47,1607403600000,17512
57,1157222.0,76.4847,76.55,76.5,77.17,75.67,1607490000000,14163
58,1169677.0,75.5025,75.82,75.4,76.5,75.21,1607576400000,12406
59,745848.0,74.8901,75.0,74.85,75.49,74.36,1607662800000,11049
60,1257050.0,74.0668,75.48,73.26,76.0,73.21,1607922000000,15586
61,1575113.0,74.5977,74.15,74.69,74.99,73.8,1608008400000,18490
62,1106589.0,73.7617,74.74,73.65,74.8,73.19,1608094800000,13959
63,1195913.0,73.3574,74.38,73.53,74.38,72.74,1608181200000,15049
64,1930485.0,73.4071,73.5,73.44,73.82,72.51,1608267600000,13424
65,917200.0,72.7203,71.74,73.0,73.19,71.56,1608526800000,14376
66,801643.0,72.4303,73.0,72.21,73.2,71.87,1608613200000,13138
